Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
60797,0.158,0.646,0.837,2.786,-2.924,1.137,84,64
60845,0.206,0.639,0.821,2.702,-0.13,0.847,58,66
60892,0.178,0.642,0.827,2.634,3.893,0.298,46,66
60939,0.165,0.661,0.821,2.504,-3.695,-0.573,79,57
60986,0.2,0.667,0.81,0.458,-0.359,-0.122,49,63
61032,0.193,0.67,0.794,-1.725,4.847,-0.145,56,58
61079,0.161,0.677,0.813,-3.397,0.924,-1.573,52,65
61126,0.191,0.659,0.815,-6.16,6.802,-2.435,53,65
61178,0.14,0.642,0.843,-7.87,9.901,-1.412,91,65
61228,0.156,0.632,0.836,-7.786,0.702,-2.718,92,65
61278,0.159,0.624,0.857,-6.122,-0.595,-2.954,112,65
61326,0.149,0.628,0.853,-5.443,5.061,-3.038,87,65
61376,0.131,0.633,0.877,-5.267,1.092,-4.076,113,64
61425,0.127,0.637,0.85,-5.977,1.122,-4.893,87,64
61471,0.102,0.628,0.885,-7.45,-4.176,-4.382,44,53
61520,0.128,0.626,0.825,-9.046,3.763,-0.84,97,63
61568,0.081,0.647,0.896,-8.71,6.214,1.893,51,64
61619,0.137,0.632,0.874,-8.641,4.366,3.893,101,54
61668,0.135,0.602,0.861,-10.763,13.061,3.992,101,51
61714,0.062,0.556,0.89,-10.435,10.58,4.336,50,51
61762,0.084,0.564,0.908,-8.496,-2.992,5.237,69,57
61812,0.138,0.588,0.891,-11.443,-5.84,7.969,113,64
61859,0.068,0.57,0.87,-12.557,4.786,10.221,58,63
61906,0.06,0.554,0.904,-7.748,-12.962,9.145,58,63
61955,0.165,0.545,0.892,-0.061,-15.679,9.107,71,65
62002,0.189,0.543,0.876,3.023,-1.122,14.107,61,64
62055,0.159,0.555,0.906,2.634,-0.802,12.046,110,59
62102,0.156,0.575,0.905,-2.588,-1.031,9.756,59,58
62149,0.156,0.598,0.889,-9.183,0.832,7.779,66,61
62196,0.151,0.636,0.888,-13.427,-0.351,7.221,59,68
62245,0.134,0.623,0.857,-25.366,10.069,5.626,74,69
62295,0.14,0.544,0.958,-23.542,5.733,-1.756,108,59
62343,0.106,0.48,1,-8.061,14.969,-0.038,58,62
62391,0.051,0.443,1.035,2.176,-8.588,5.466,69,69
62438,0.14,0.465,0.967,6.26,-18.26,11.802,65,65
62488,0.192,0.469,0.918,9.511,-3.824,16.511,51,72
62539,0.205,0.445,0.918,13.435,-7.649,17.298,107,74
62586,0.225,0.488,0.888,15.664,-10.763,16.802,57,58
62633,0.263,0.517,0.876,12.458,-16.847,12.779,58,57
62681,0.292,0.56,0.846,7.557,-9.046,7.183,57,64
62730,0.311,0.603,0.805,-3.092,-5.649,0.275,72,76
62779,0.32,0.535,0.798,-10.779,-3.046,-1.84,101,58
62826,0.288,0.476,0.838,-11.962,1.527,0.351,56,60
62873,0.26,0.458,0.866,-9.863,-2.397,3.481,51,77
62921,0.272,0.475,0.872,-7.626,-8.908,4.832,55,67
62974,0.298,0.507,0.881,-7.641,-2.244,2.023,100,77
63024,0.282,0.529,0.895,-10.55,3.137,-0.145,98,50
63071,0.259,0.507,0.952,-12.313,0.534,-2.145,58,72
63121,0.279,0.492,0.941,-11.649,-2.664,-3.29,100,69
63172,0.208,0.407,0.972,-7.198,-3.84,-5.588,100,76
63265,0.225,0.469,0.996,10.84,2.099,-5.023,101,76
63311,0.185,0.509,0.954,9.511,-0.252,-4.122,56,45
63360,0.208,0.503,0.897,4.496,-6.573,-1.74,69,65
63408,0.22,0.516,0.885,4.87,-1.71,2.298,67,76
63458,0.259,0.516,0.796,0.252,-5.031,4.229,57,58
63506,0.298,0.479,0.831,1.947,-1.618,2.565,79,59
63553,0.206,0.473,0.959,7.099,8.244,3.908,51,51
63600,0.167,0.493,0.93,5.931,6.473,10.023,54,76
63648,0.154,0.497,0.832,5.244,2.389,17.794,54,76
63696,0.125,0.517,0.839,7.511,8.405,28.672,52,76
63744,0.117,0.542,0.843,3.557,3.527,45.229,52,78
63792,0.2,0.557,0.784,0.481,12.244,60.939,50,78
63839,0.179,0.539,0.874,-8.931,15.344,72.374,48,66
63889,0.222,0.48,0.907,-16.603,14.237,79.977,46,67
63937,0.322,0.41,0.895,-20.237,14.458,80.412,43,83
63984,0.384,0.359,0.945,-22.023,23.55,76.427,43,84
64032,0.417,0.302,0.948,-26.214,35.847,71.954,42,87
64080,0.366,0.248,1.065,-27.771,25.771,62.519,39,88
64129,0.381,0.202,1.044,-27.863,15.756,54.656,38,89
64183,0.367,0.157,1.043,-20.863,7.351,45.672,38,0
64228,0.365,0.222,1.001,-17.061,4.351,33.55,37,52
64282,0.392,0.211,1.014,-18.221,13.298,27.969,38,0
64340,0.336,0.176,0.967,-21.695,15.618,24.687,50,0
64388,0.33,0.146,1.002,-22.924,12.817,17.267,50,58
64443,0.335,0.127,1.063,-23.878,14.168,11.847,50,0
64492,0.312,0.103,1.045,-23.344,11.031,7.275,50,113
64543,0.218,0.048,1.056,-19.595,5.344,3.061,51,122
64589,0.255,0.03,1.094,-11.55,-3.267,-0.634,37,58
64644,0.291,0.032,1.077,-3.252,-4.565,-1.229,37,0
64693,0.255,0.064,1.037,-1.496,-1.389,0.366,37,113
64748,0.228,0.057,1.036,-2.962,-10.031,2.206,50,0
64805,0.272,0.069,1.011,-2.718,-16.634,2.542,50,0
64861,0.313,0.043,1.019,-1.443,-12.252,3.824,51,0
64916,0.328,0.046,1.042,-0.802,-7.122,0.863,50,0
64971,0.303,0.057,1.021,-1.489,-7.328,-0.115,51,0
65027,0.309,0.06,1.011,-0.336,-11.817,1.618,50,0
65082,0.356,0.053,0.996,3.298,-11.496,1.962,51,0
65136,0.382,0.074,0.984,3.099,-3.786,1.977,51,0
65188,0.343,0.064,0.988,0.321,0.519,0,51,148
65240,0.305,0.06,1.014,-3.107,1.397,-0.092,51,122
65286,0.319,0.038,1.022,-1.565,-5.817,0.099,51,58
65336,0.351,0.058,1.016,0.985,-8.473,1.443,51,62
65384,0.378,0.072,0.982,1.16,-6.45,2.397,51,77
65434,0.387,0.066,0.982,0.748,-2.237,0.931,51,113
65484,0.357,0.064,0.99,-2.122,0.55,-0.389,51,113
65540,0.346,0.04,1.002,-0.26,-2.779,0,51,0
65589,0.357,0.06,0.999,0.466,-1.565,0.931,51,99
65644,0.358,0.064,1.002,0.573,-3.366,-0.053,51,0
65699,0.362,0.06,0.99,0.221,-0.076,0.489,51,0
65748,0.352,0.059,1.001,-0.962,-0.71,0.26,51,106
65845,0.357,0.053,1.01,1.015,-1.008,0.153,51,110
65900,0.357,0.071,0.994,0.29,-1.908,0.107,51,0
65949,0.373,0.066,0.99,0.13,-1.527,-0.244,51,91
66004,0.351,0.063,0.996,-0.855,-0.046,-0.206,51,0
66060,0.352,0.055,0.98,0.313,-3.656,-0.542,51,0
66110,0.426,0.04,1.034,9.679,3.412,-4.427,51,113
66165,0.46,0.036,1.054,17.046,6.824,-13.214,52,0
