Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
76040,-0.016,0.195,1.044,4.576,-0.618,-0.06,185,0
76102,-0.027,0.188,1.046,3.27,-0.024,0.253,184,0
76164,-0.027,0.188,1.046,3.954,-1.373,0.556,184,0
76226,-0.015,0.207,1.033,2.485,-0.066,-0.007,184,0
76289,-0.024,0.188,1.04,2.661,-0.38,0.045,184,0
76350,-0.034,0.194,1.044,2.066,-1.482,0.142,184,0
76412,-0.013,0.193,1.03,3.672,-2.011,-0.209,185,0
76475,-0.025,0.195,1.036,2.869,-1.41,0.446,185,0
76539,-0.018,0.195,1.039,3.742,0.901,-0.137,186,0
76603,-0.031,0.196,1.058,3.708,-0.218,-0.096,0,0
76664,-0.017,0.19,1.038,4.044,-2.242,-0.503,185,0
76727,-0.01,0.211,1.036,3.343,-1.755,0.613,186,0
76789,-0.02,0.188,1.025,3.898,-1.475,-0.093,185,0
76851,-0.016,0.208,1.028,2.789,-0.801,0.238,186,0
76913,-0.021,0.203,1.041,1.91,-0.263,0.459,186,0
76976,-0.023,0.2,1.055,2.924,-2.051,0.465,186,0
77038,-0.009,0.202,1.019,3.244,-1.909,0.618,186,0
77103,-0.016,0.198,1.047,2.606,0.157,0.353,185,0
77165,-0.037,0.182,1.066,3.341,-6.437,0.759,185,0
77228,-0.004,0.197,1.031,2.669,-3.952,0.768,185,0
77289,0.001,0.209,1.034,3.16,-2.731,0.584,185,0
77351,-0.0,0.188,1.038,2.615,-0.003,-0.072,185,0
77414,-0.012,0.196,1.049,2.394,0.335,0.619,185,0
77476,-0.024,0.204,1.054,2.6,-2.535,0.51,0,0
77532,0.005,0.183,1.044,2.327,-4.626,0.335,61,0
77595,0.007,0.209,1.035,2.032,-2.446,0.76,0,0
77661,0.004,0.186,1.04,2.51,-0.614,0.157,0,0
77716,-0.01,0.186,1.045,3.022,-0.432,0.571,63,0
77771,-0.004,0.196,1.046,2.212,-1.541,0.315,62,0
77834,0.002,0.192,1.031,2.608,-1.441,0.291,185,0
77896,0.003,0.202,1.038,2.431,-0.535,0.575,186,0
77959,0.001,0.194,1.051,1.897,0.55,-0.05,0,0
78021,-0.009,0.187,1.054,2.773,0.362,-0.02,185,0
78076,-0.005,0.197,1.041,2.777,-0.388,0.7,62,0
78140,-0.004,0.193,1.046,2.149,-0.073,0.547,0,0
78202,-0.002,0.189,1.04,3.025,-0.824,0.326,0,0
78261,-0.008,0.19,1.04,2.671,0.997,0.585,62,0
78316,-0.014,0.18,1.053,3.514,-0.927,-0.014,62,0
78371,-0.008,0.197,1.048,2.802,-0.545,0.43,62,0
78427,-0.004,0.196,1.038,3.048,-0.856,0.473,61,0
78489,-0.001,0.189,1.037,2.918,-0.04,0.181,185,0
78544,-0.015,0.197,1.056,2.611,1.446,-0.121,63,0
