Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
52123,-0.102,0.04,1.146,-12.328,-20.427,6.706,17,54
52168,-0.103,0.015,1.081,-12.756,-35.427,12.198,17,50
52212,-0.041,0.098,0.858,-16.252,-42.443,11.748,17,50
52255,-0.034,0.093,0.943,-38.366,-14.679,31.695,16,49
52299,-0.137,-0.196,1.397,-14.687,-14.985,40.061,17,51
52343,-0.065,0.117,1.098,-0.809,-62.817,32.344,17,50
52387,0.061,0.095,0.991,-4.63,-63.733,26.939,16,50
52434,0.144,0.012,1.001,5.43,-37.115,22.145,15,53
52477,0.223,0.001,0.843,8.504,-10.422,23.489,9,57
52521,0.158,-0.169,0.898,6.092,20.855,16.534,8,50
52564,0.125,-0.2,0.91,6.42,28.092,10.107,9,51
52609,0.102,-0.374,1.082,5.786,59.55,7.124,17,48
52652,-0.123,0.114,1.116,15.198,39.794,-8.328,17,46
52696,-0.105,0.027,1.179,5.305,14.893,-0.186,16,45
52740,0.015,-0.035,1.1,3.209,2.062,-10.58,17,47
52783,0.026,0.025,1.034,-4.25,4.308,-14.466,17,46
52830,0.045,0.019,1.044,-5.9,9.443,-15.321,16,47
52873,0.034,-0.006,1.041,-2.199,11.13,-9.931,16,47
52917,-0.013,-0.048,1.078,1.835,4.712,-4.233,16,47
52962,-0.037,-0.007,1.067,-1.238,-10.915,-7.067,10,17
53005,-0.029,0.084,1.096,-6.847,1.198,-1.617,17,47
53049,0.012,-0.051,1.063,-8.145,-11.183,-4.305,16,46
53093,0.061,-0.055,1.03,-7.947,-5.269,-4.464,16,48
53136,0.006,-0.01,1.047,-7.427,-0.553,-6.583,16,48
53180,0.005,-0.037,1.022,-5.752,5.104,-4.825,17,48
53227,-0.025,-0.079,1.063,-0.783,-0.603,-6.275,16,48
53271,0.038,-0.035,1.057,1.642,-3.445,-5.058,17,47
53314,0.037,-0.005,1.055,-1.324,2.927,-2.031,15,47
53358,0.054,-0.037,1.039,-1.022,5.996,-3.627,16,47
53402,0.011,-0.048,1.025,1.401,15.824,0.116,17,46
53445,-0.058,-0.051,1.069,6.756,5.174,0.435,15,47
53489,-0.022,-0.033,1.092,7.809,-4.517,-0.305,17,47
53533,0.031,0.013,1.059,4.583,-0.154,1.062,16,46
53576,0.025,-0.032,1.034,1.643,6.176,2.347,14,47
53620,-0.063,-0.049,1.056,1.131,0.604,1.94,14,47
53666,-0.033,-0.018,1.041,8.863,-3.683,-0.786,15,48
53710,-0.025,-0.007,1.048,8.626,5.277,-0.91,16,48
53754,-0.014,-0.007,1.094,7.023,1.813,-1.944,16,47
53798,0.023,0.032,1.069,5.65,0.665,-0.537,16,47
53842,-0.005,0.015,1.064,1.237,2.945,1.522,16,47
53886,-0.019,-0.019,1.049,2.83,0.703,1.924,16,48
53929,-0.042,0.015,1.063,3.121,-1.251,1.098,16,45
53974,0.002,0.014,1.062,2.362,2.929,2.124,16,45
54018,-0.001,0.001,1.072,0.075,3.491,3.028,16,46
54064,-0.031,0.002,1.054,-0.092,-0.704,2.31,16,46
54108,-0.036,-0.014,1.019,0.426,-0.71,-0.916,16,46
54152,-0.047,-0.0,1.049,2.794,0.004,-1.874,16,46
54196,-0.011,0.021,1.064,2.421,0.563,-1.906,16,46
54239,-0.025,0.01,1.062,-0.858,1.994,-0.343,16,46
54283,-0.033,0.01,1.064,-2.321,-0.829,-0.24,16,46
54370,-0.029,0.006,1.058,1.731,-0.033,-2.604,16,46
54414,-0.005,0.019,1.06,1.45,-1.884,-2.073,16,46
54457,0.019,0.019,1.049,-0.032,2.602,0.749,16,45
54504,-0.021,0.001,1.061,-2.02,3.414,1.765,16,46
54548,-0.031,-0.01,1.046,1.167,3.082,0.852,16,47
54592,-0.04,-0.008,1.06,4.248,-1.496,-1.205,16,46
54636,-0.0,0.026,1.047,4.838,-3.684,-2.324,16,46
54680,0.018,0.035,1.045,2.031,2.231,-0.778,16,46
54724,-0.042,0.016,1.073,-2.174,2.222,1.073,16,46
54767,-0.046,0.007,1.051,-2.63,-1.003,1.296,16,46
54811,-0.04,0.002,1.042,-0.794,-0.366,-0.114,16,46
54855,-0.041,-0.001,1.041,1.309,-1.313,-1.99,16,46
54902,-0.004,0.02,1.049,2.621,0.682,-0.845,16,45
54946,-0.011,0.019,1.059,0.275,2.021,0.51,16,46
54990,-0.026,0.016,1.054,-1.059,2.553,1.854,16,46
55035,-0.028,0.0,1.043,0.699,1.889,1.167,36,47
55080,-0.057,0.001,1.049,1.738,-0.832,-1.193,35,47
55124,-0.045,0.013,1.059,2.779,-0.646,-1.873,16,46
55169,-0.031,0.028,1.063,1.432,1.458,-0.97,16,46
55213,-0.017,0.02,1.068,-0.641,0.955,0.854,17,47
55258,-0.017,0.005,1.047,-0.638,1.357,1.553,37,47
55302,-0.055,0.015,1.056,0.64,0.833,-0.634,17,47
55354,-0.051,0.001,1.046,1.621,-0.625,-2.299,108,47
55399,-0.005,0.021,1.069,2.896,-1.129,-0.801,16,47
55443,-0.023,0.032,1.072,-0.96,0.09,0.348,16,46
55488,-0.004,0.021,1.045,-1.184,2.163,1.767,37,47
55532,-0.065,-0.001,1.045,-0.471,1.035,-0.187,17,47
55577,-0.07,0.018,1.057,1.794,-2.653,-2.227,37,47
55621,-0.038,0.009,1.054,1.169,-1.339,-2.224,16,47
55665,0.004,0.019,1.062,0.862,0.854,0.32,16,47
55711,-0.011,0.036,1.064,-1.206,1.331,2.368,37,47
55758,-0.055,0.012,1.049,-1.973,0.105,1.199,17,45
55802,-0.038,0.007,1.043,0.672,-0.031,0.032,17,45
55846,-0.028,0.016,1.054,2.574,0.367,-0.663,17,45
55890,-0.039,0.016,1.066,0.789,0.43,-0.755,17,45
55934,-0.029,0.023,1.068,-0.41,0.595,0.253,17,45
55979,-0.035,0.014,1.055,-0.494,1.119,0.512,17,45
56023,-0.045,0.014,1.05,0.281,0.704,-0.646,17,45
56067,-0.042,0.017,1.064,0.487,-0.77,-1.234,17,45
56111,0.009,0.018,1.07,0.738,0.046,-0.01,17,45
56158,-0.031,0.019,1.059,-0.688,0.735,0.18,17,45
56203,-0.04,0.012,1.051,-0.506,0.9,-0.21,17,45
56247,-0.046,0.008,1.044,0.18,0.044,-1.079,17,45
56291,-0.049,0.021,1.055,0.476,-0.345,-1.156,17,45
56335,-0.034,0.01,1.061,0.523,0.408,-0.462,17,45
56379,-0.065,0.021,1.053,-0.442,0.927,-0.34,5,17
56423,-0.035,0.022,1.048,-0.029,0.791,0.078,17,45
56468,-0.031,0.017,1.046,0.484,0.509,-0.297,17,45
56512,-0.036,0.016,1.064,0.551,1.256,-0.104,17,46
56559,-0.053,0.018,1.071,0.152,0.021,-0.12,18,46
56652,-0.026,0.012,1.048,0.044,0.708,-0.423,109,45
56696,-0.049,0.012,1.059,0.166,-0.014,-0.888,17,45
56740,-0.032,0.011,1.057,0.718,0.637,-0.675,17,46
56785,-0.073,0.009,1.059,0.131,-0.115,-1.558,5,17
56829,-0.008,0.036,1.057,1.391,0.723,-0.487,17,46
56873,-0.021,0.019,1.057,1.421,1.062,-0.552,17,46
56918,-0.049,0.018,1.062,1.041,0.247,-0.923,17,45
56963,-0.018,0.031,1.049,1.862,-0.041,-0.657,17,45
57007,-0.01,0.04,1.056,2.553,0.672,-0.128,17,45
57054,-0.024,0.03,1.055,2.071,-0.231,-0.308,17,45
57099,-0.038,0.02,1.057,1.76,-0.003,-0.411,17,45
57143,-0.031,0.023,1.071,0.998,1.163,-0.525,17,45
57187,-0.048,0.023,1.061,0.591,-0.888,-0.473,17,45
57232,-0.013,0.029,1.052,0.485,-0.982,-0.071,17,45
57276,-0.022,0.037,1.064,0.294,0.417,0.085,17,45
57320,-0.018,0.039,1.058,0.25,1.345,0.225,17,45
57365,-0.048,0.02,1.06,0.417,0.233,-0.268,17,45
57409,-0.025,0.033,1.055,0.645,0.256,-0.729,17,45
57462,-0.032,0.024,1.054,0.942,-0.559,-0.598,109,45
57511,-0.027,0.025,1.056,0.925,0.715,-0.371,109,45
57562,-0.045,0.027,1.056,0.484,1.004,-0.441,109,45
