Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
61216,-0.481,-0.282,0.854,4.602,-28.038,52.481,0,84
61273,-0.626,-0.245,0.767,8.779,-16.061,38.84,0,77
61329,-0.217,-0.031,0.754,20.084,-9.45,35.504,0,84
61386,-0.234,-0.012,0.795,7.902,7.09,22.664,0,87
61443,-0.286,-0.064,0.866,-4.473,1.488,26.168,0,85
61499,-0.322,-0.144,0.878,-1.405,-11.374,20.13,0,89
61556,-0.314,-0.138,0.869,0.154,-0.914,15.458,0,83
61616,-0.321,-0.062,0.964,9.247,11.511,11.351,0,87
61672,-0.529,0.034,0.99,-1.444,-9.038,6.84,0,78
61728,-0.447,-0.001,1.083,4.452,-5.893,1.672,0,85
61785,-0.438,-0.027,1.146,-3.687,-0.972,-0.275,0,83
61842,-0.451,-0.07,1.214,-7.351,-7.29,-3.668,0,88
61898,-0.435,-0.241,1.149,-8.389,2.192,-24.16,0,83
61955,-0.415,-0.277,0.927,2.684,24.176,-27.321,0,83
62012,-0.429,-0.225,0.962,4.79,8.58,-26.183,0,89
62068,-0.314,-0.166,0.885,-4.763,4.372,-18.977,0,88
62126,-0.277,-0.177,1.122,-5.687,-10.122,4.323,0,95
62186,-0.22,-0.171,0.896,1.609,-22.87,-10.507,0,92
62243,-0.151,-0.141,0.824,10.611,-2.745,5.148,0,93
62300,-0.224,-0.123,0.825,8.71,-9.344,-13.973,0,93
62357,-0.177,-0.216,0.838,-2.893,-15.16,-32.522,0,93
62414,-0.249,-0.202,0.986,-6.916,12.869,7.901,0,96
62472,-0.247,-0.193,1.084,-1.02,-7.418,-19.549,0,89
62529,-0.208,-0.326,1.12,-2.766,-11.061,-29.004,0,84
62585,-0.214,-0.145,1.141,-1.267,-8.296,4.504,0,87
62643,-0.292,0.137,1.149,16.381,13.511,15.885,0,95
62702,-0.438,-0.184,1.136,-10.122,26.519,14.481,0,81
62759,-0.495,-0.202,0.986,-8.947,11.519,29.061,0,84
62816,-0.485,-0.195,0.927,-7.481,-15.809,26.046,0,84
62873,-0.307,0.096,0.829,14.307,-9.183,22.725,0,95
62930,-0.281,0.02,0.856,5.932,5.947,13.183,0,93
62988,-0.316,-0.051,0.899,0.817,9.396,4.511,0,91
