Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
38517,0.082,-0.958,0.297,-6.337,-3.297,-21.344,110,75
38568,0.078,-0.945,0.313,-3.033,29.961,-20.511,110,77
38619,0.089,-0.911,0.307,2.489,26.466,14.121,111,75
38670,0.05,-0.914,0.334,-9.091,28.084,-25.229,112,77
38721,0.089,-0.917,0.356,-4.244,6.146,-18.886,112,75
38771,0.126,-0.924,0.336,-2.536,9.152,-13.35,113,73
38822,0.11,-0.919,0.354,5.129,25.008,-1.3,113,72
38876,0.114,-0.881,0.323,4.441,16.153,-5.413,114,71
38927,0.123,-0.906,0.318,8.794,36.18,0.543,115,72
38977,0.113,-0.915,0.303,3.879,18.359,1.84,115,71
39028,0.137,-0.878,0.282,8.825,46.655,10.464,116,74
39079,0.143,-0.87,0.297,-0.972,29.001,8.067,117,71
39129,0.14,-0.91,0.327,-9.569,4.384,0.959,97,67
39179,0.138,-0.958,0.341,-8.197,15.432,3.036,121,66
39230,0.11,-0.995,0.34,-7.214,13.306,-0.213,125,66
39279,0.084,-0.948,0.318,-2.488,19.022,-0.504,90,65
39333,0.058,-0.896,0.289,1.564,29.288,2.773,134,63
39385,0.017,-0.926,0.3,1.198,26.355,4.488,136,62
39434,0.006,-0.942,0.281,-15.189,-6.535,-1.119,95,59
39485,0.014,-0.953,0.292,-15.345,-12.454,-0.892,139,59
39537,0.029,-0.956,0.273,1.102,-2.753,10.947,146,57
39591,0.068,-0.988,0.25,0.462,0.942,9.123,0,56
39647,0.042,-1.017,0.26,5.591,10.089,11.71,0,56
39701,0.033,-0.969,0.261,-1.603,-2.59,-5.19,0,54
39756,0.034,-0.937,0.239,6.494,0.166,9.175,0,53
39814,0.012,-0.978,0.261,-1.749,0.346,-2.123,0,51
39868,-0.042,-1.005,0.273,10.574,1.173,13.121,0,51
39923,-0.068,-0.959,0.277,6.688,-0.332,11.99,0,57
39977,-0.074,-0.907,0.266,2.13,-9.036,0.439,0,51
40033,-0.043,-0.882,0.22,-3.139,-3.354,-11.226,0,49
40087,-0.032,-0.934,0.217,-3.658,11.126,-16.005,0,48
40141,-0.036,-1.009,0.206,-3.745,12.156,-23.161,0,47
40185,-0.018,-1.041,0.204,1.682,29.908,-14.231,16,48
40229,-0.018,-1.014,0.204,7.21,36.802,6.276,16,47
40273,-0.022,-0.949,0.2,-6.732,41.511,-12.221,16,57
40321,-0.044,-0.904,0.221,-4.106,40.603,-3.24,16,49
40375,-0.103,-0.95,0.291,-4.793,27.641,-3.497,0,48
40426,-0.061,-1.014,0.261,-2.963,24.017,-6.241,92,81
40474,0.001,-1.012,0.225,-11.425,-9.652,-13.748,91,50
40522,0.017,-0.917,0.223,5.897,36.069,11.985,84,65
40570,-0.032,-0.892,0.257,-7.515,43.679,2.716,83,52
40620,-0.053,-0.908,0.303,-5.605,31.702,4.09,83,62
40669,0.034,-0.945,0.283,-6.741,17.031,-4.725,82,86
40719,0.067,-1.057,0.315,-15.942,31.824,-14.868,82,80
40772,0.065,-1.073,0.356,22.2,26.702,-2.266,81,88
40822,0.095,-0.921,0.369,28.71,14.238,-4.636,80,90
40871,0.104,-0.928,0.376,36.71,32.603,4.314,80,91
40923,0.124,-1.033,0.422,76.519,50.336,19.448,80,105
40979,-0.05,-1.008,0.578,74.374,94.87,29.198,81,0
41030,-0.202,-0.9,0.552,74.374,80.42,23.992,80,107
41129,-0.262,-0.711,0.389,38.824,-8.65,3.04,80,0
41181,-0.233,-0.836,0.455,44.977,-27.023,-2.477,78,110
41235,-0.036,-0.777,0.369,2.858,-27.696,-11.237,78,108
41286,-0.028,-0.73,0.35,-4.38,21.49,1.7,81,108
41342,-0.128,-0.726,0.375,-56.214,1.186,1.004,78,0
41394,-0.175,-0.881,0.451,-57.969,-56.901,-6.207,77,111
41445,-0.083,-0.939,0.405,-45.954,-73.298,-25.531,74,108
41496,0.049,-0.921,0.304,-48.458,-48.534,-4.654,76,112
41544,0.066,-0.943,0.393,-57.328,-2.86,4.761,75,63
41593,0.031,-0.971,0.425,-53.237,37.779,15.679,77,62
41650,-0.03,-0.976,0.381,-47.214,43.695,-3.96,73,0
41708,-0.068,-0.959,0.539,-29.916,27.466,14.09,78,192
41764,-0.308,-1.006,0.425,-34.994,-28.661,-21.074,75,190
41820,-0.132,-1.016,0.339,3.98,-32.855,-18.939,76,187
41876,-0.037,-0.995,0.246,-11.264,-30.244,-37.045,76,186
41927,-0.039,-0.961,0.382,30.047,3.574,11.426,79,109
41978,-0.055,-1.111,0.513,51.916,28.382,43.145,81,108
42034,-0.455,-1.251,0.689,86.244,37.885,67.405,74,182
42081,-0.448,-1.182,0.733,143.023,32.511,118.977,49,65
42128,-0.619,-1.089,0.769,164.664,28.13,160.901,42,60
42177,-0.663,-0.974,0.67,189.405,11.483,177.076,43,60
42224,-0.678,-0.834,0.761,210.198,-41.061,190.237,39,64
42270,-0.523,-0.573,0.605,214.74,-68.954,178.458,35,69
42317,-0.293,-0.375,0.503,203.832,-61.321,165.924,27,73
42363,-0.043,0.092,0.421,161.74,-35.473,140.779,23,78
42411,-0.052,0.29,0.612,102.191,21.478,106.519,23,84
42468,-0.128,0.337,0.578,53.672,9.597,77.427,0,89
42514,-0.339,0.376,0.76,2.719,-0.133,46.58,17,90
42574,-0.305,0.427,0.76,7.857,-7.26,29.145,0,91
42621,-0.31,0.476,0.784,-4.312,13.195,2.9,16,91
42679,-0.316,0.498,0.865,-6.426,13.101,0.391,0,91
42726,-0.324,0.486,0.929,-8.906,5.917,-9.224,16,90
42772,-0.23,0.468,0.944,5.381,6.712,2.079,17,90
42819,-0.408,0.504,0.861,-4.379,0.407,-5.259,16,90
42866,-0.42,0.473,0.927,1.285,-5.734,2.21,16,90
42912,-0.273,0.5,0.799,-0.391,-4.408,1.581,16,91
42959,-0.291,0.5,0.789,-10.372,11.248,-1.762,16,91
43006,-0.377,0.46,0.803,-22.242,30.053,2.745,17,90
43067,-0.407,0.445,0.83,-24.748,7.199,-4.121,0,90
43124,-0.378,0.427,0.802,-41.45,-8.251,-20.675,0,90
43170,-0.408,0.265,0.872,-57.603,-0.879,-44.221,17,83
43217,-0.499,0.143,0.999,-29.656,32.382,-22.122,19,82
43264,-0.773,0.314,1.066,-13.786,50.595,7.402,20,78
43311,-0.668,0.447,1.047,-0.94,0.564,23.832,16,80
43357,-0.477,0.385,0.985,4.213,-52.687,30.399,17,85
43404,-0.235,0.256,0.836,0.42,-67.481,-13.566,23,88
43454,-0.235,0.154,0.904,24.039,-50.344,-33.412,26,86
43501,-0.406,0.346,0.777,0.741,-21.001,-17.898,23,85
43548,-0.47,0.363,0.846,-29.038,6.504,1.487,22,83
43606,-0.449,0.086,1.156,-15.753,-18.189,8.516,0,86
43706,-0.426,0.414,0.893,6.057,-12.43,-12.338,0,86
43753,-0.603,0.438,0.986,-5.512,1.02,34.183,23,89
43800,-0.418,0.204,0.999,-32.816,-44.321,42.008,23,88
43847,0.059,0.141,0.952,16.53,-44.55,-6.972,18,90
43894,0.089,0.239,0.869,33.298,-9.896,-58.206,23,89
43955,-0.471,0.412,0.953,19.594,48.504,-33.557,0,87
44012,-0.653,0.492,0.875,-29.145,-0.194,41.038,0,85
44060,-0.272,0.181,1.135,-23.901,-49.145,35.168,22,92
44107,0.124,0.166,0.999,12.424,-61.977,-20.191,22,89
