Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
121332,-0.093,-0.273,1.125,17.366,8.705,19.649,16,0
121389,0.072,-0.312,1.044,22.786,-27.205,-29.995,7,0
121451,0.032,-0.017,1.155,27.443,28.985,7.883,0,0
121515,-0.111,-0.01,0.795,10.656,11.695,-16.969,0,0
121577,-0.094,0.045,1.065,-4.725,-0.685,-15.756,0,0
121640,-0.217,0.041,1.206,-11.427,5.84,25.273,0,0
121703,-0.163,-0.024,0.769,-6.427,-14.008,-12.687,0,0
121769,-0.047,-0.037,0.712,-5.414,0.449,15.344,0,0
121832,-0.122,-0.05,1.107,1.639,17.947,25.534,0,0
121895,-0.063,-0.033,1.125,0.203,-8.11,28.71,0,0
121958,-0.021,-0.07,1.126,10.137,-12.87,28.672,0,0
122021,-0.086,0.135,1.105,16.74,14.13,20.649,0,0
122085,-0.153,-0.076,1.085,11.252,14.466,12.466,0,0
122147,-0.171,-0.01,0.962,4.713,-1.252,19.435,0,0
122211,-0.18,-0.075,0.942,-1.148,-7.397,17.962,0,0
122273,-0.496,-0.346,0.775,-8.522,-18.762,17.389,0,0
122337,-0.317,-0.075,1.12,-6.13,-12.565,21.216,0,0
122392,-0.185,-0.033,0.923,-4.967,-5.699,2.633,16,0
122445,-0.701,-0.021,1.042,-12.407,-21.797,11.748,5,5
122508,-0.158,-0.028,0.963,1.981,-7.649,5.003,0,0
122571,-0.111,0.01,0.638,-8.579,-18.725,-14.945,0,0
122635,-0.119,0.009,1.311,6.206,13.915,14.739,0,0
122697,-0.104,0.02,1.055,11.606,7.86,11.83,0,0
122761,-0.056,0.038,1.046,-4.565,-2.693,-3.218,0,0
122823,-0.096,0.029,1.109,-8.794,19.49,7.969,0,0
122887,-0.149,-0.046,1.176,-3.153,-10.763,-30.401,0,0
122942,-0.032,-0.023,1.102,0.624,-10.573,-21.339,16,0
122995,-0.049,-0.04,1.099,-7.059,9.802,-31.989,10,0
123059,-0.094,-0.267,1.101,-9.219,15.298,-25.965,0,0
123122,-0.13,-0.011,1.151,15.495,8.955,0.368,0,0
123185,-0.152,0.043,1.12,13.006,10.351,3.593,0,0
123248,-0.175,-0.279,0.869,-0.567,-1.328,-18.035,0,0
123312,-0.106,-0.051,1.09,3.961,16.775,1.644,0,0
123374,-0.084,0.038,1.174,-7.13,21.145,13.705,0,0
123438,-0.002,-0.071,0.732,-4.305,-9.656,-10.529,0,0
123504,-0.045,0.084,1.151,9.803,14.405,13.347,0,0
123568,-0.141,-0.005,1.055,13.776,10.844,18.221,0,0
123630,-0.072,-0.064,1.041,11.534,1.132,21.802,0,0
123694,-0.064,0.002,1.077,11.144,1.963,23.733,0,0
123757,-0.047,-0.205,1.114,-0.568,-5.269,20.076,0,0
123821,-0.034,-0.018,1.136,0.283,3.645,18.626,0,0
123883,-0.138,-0.049,1.117,-6.036,13.802,20.122,0,0
123947,-0.144,-0.067,1.073,-5.832,14.656,27.885,0,0
124010,-0.321,-0.534,0.543,-5.229,-10.273,25.466,5,5
124077,-0.312,0.08,1.189,-3.74,-18.649,19.74,0,0
124140,-0.048,-0.026,0.94,-5.076,-2.413,14.336,0,0
124204,-0.192,-0.135,0.986,9.905,6.495,11.58,0,0
124267,-0.194,-0.07,0.931,6.378,1.772,8.249,0,0
124329,-0.151,0.007,0.992,-9.656,-0.127,6.775,0,0
124393,-0.132,-0.024,1.165,-15.702,20.723,28.93,0,0
124499,-0.151,-0.138,1.148,-1.198,-5.605,-15.824,0,0
124563,-0.128,-0.048,1.173,15.617,-18.397,-28.565,0,0
124626,-0.126,-0.036,1.139,10.84,-9.191,-29.382,0,0
124693,-0.121,-0.062,1.1,0.916,-16.855,-37.084,0,0
124749,-0.124,-0.091,1.062,6.968,10.388,-24.267,16,0
124813,-0.163,-0.186,1.044,5.33,-10.214,-19.641,0,0
124876,-0.043,-0.268,0.853,18.412,-13.458,-20.031,0,0
124940,-0.049,-0.245,1.146,30.557,20.748,-26.771,0,0
125003,-0.133,-0.181,0.991,20.069,16.87,-23.489,0,0
125067,-0.079,-0.021,0.946,-0.723,-8.188,-30.261,0,0
125130,-0.042,0.007,0.91,-3.733,7.587,8.89,0,0
125194,-0.084,0.003,1.001,-7.74,13.137,-6.297,0,0
125260,-0.071,-0.049,1.054,-5.237,16.355,17.412,0,0
125314,0.008,-0.046,1.02,-1.174,-4.846,21.702,18,0
125377,0.007,-0.055,1.065,0.386,-1.405,19.58,0,0
125441,-0.046,-0.066,1.094,13.939,-5.969,19.718,0,0
125504,-0.064,-0.043,1.08,13.092,0.323,25.183,0,0
125568,-0.18,-0.018,1.154,4.242,10.954,24.458,0,0
125631,-0.19,-0.081,1.134,5.172,9.885,29.679,0,200
125694,-0.315,-0.376,1.068,-15.492,-6.878,28.832,0,197
125757,-0.517,-0.361,0.665,-9.794,-13.947,21.832,0,196
125825,-0.181,0.167,1.281,-8.695,25.771,23.649,0,0
125888,-0.175,-0.088,1.06,5.345,-1.57,17.519,0,0
125952,-0.151,-0.06,0.984,0.989,4.991,13.13,0,0
126015,-0.113,-0.033,1.085,-4.863,2.775,23.907,0,0
126078,-0.048,-0.032,1.04,-3.771,-0.16,-4.485,0,0
126142,-0.14,-0.011,1.113,-5.391,-1.813,-27.237,0,0
126195,-0.142,-0.026,1.106,5.996,-3.538,-15.069,17,0
126248,-0.115,-0.046,1.097,0.822,-8.16,-32.739,12,0
126302,-0.109,-0.036,1.073,1.08,-10.779,-7.92,16,0
126368,-0.025,-0.026,1.251,-10.58,21.028,-14.489,0,0
126422,-0.03,-0.075,1.087,-16.321,20.534,-16.878,16,0
126478,-0.111,-0.298,1.135,4.672,8.79,-6.064,9,0
126542,-0.047,-0.262,1.043,34.313,25.443,-21.015,0,0
126606,-0.185,-0.141,1.047,34.947,14.664,-43.656,0,0
126659,-0.123,-0.1,0.95,14.313,-14.344,-51.489,16,0
126723,-0.138,-0.052,1.083,6.679,-0.082,-33.282,0,0
126786,-0.164,-0.073,1.138,5.646,-2.466,-16.053,0,0
126845,-0.059,-0.037,0.848,-2.643,-19.069,-15.795,111,0
126907,-0.009,-0.023,1.192,7.857,5.356,17.824,112,0
126966,-0.071,-0.062,0.971,0.386,2.899,2.507,116,0
127030,0.005,-0.051,1.05,10.298,-6.672,10.408,0,0
127093,0.055,-0.059,1.065,11.786,-4.657,12.275,0,0
127157,0.022,0.01,1.1,18.466,5.114,19.147,0,197
127210,0.018,-0.043,1.096,25.267,5.632,14.145,19,193
127273,-0.058,-0.051,1.112,17.26,14.084,10.794,0,0
127336,-0.179,-0.038,1.13,0.936,28.038,4.103,0,183
127399,-0.381,-0.001,0.862,-10.391,21.076,12.832,0,180
127466,-0.315,-0.016,1.033,-9.954,6.696,19.069,0,0
127529,-0.679,-0.074,0.575,-13.58,-22.832,5.378,5,5
127635,-0.175,-0.265,0.755,-13.921,-16.649,-2.129,0,167
127698,-0.107,-0.072,1.044,11.145,11.848,-0.506,0,0
127750,-0.15,0.051,0.962,-0.559,14.504,-9.381,16,160
127811,-0.413,0.068,1.059,-5.412,-6.488,-18.01,0,156
127861,-0.015,0.033,1.118,-5.802,9.462,4.952,16,153
127923,-0.147,0.063,1.133,-6.802,22.885,28.897,0,149
127983,-0.092,0.015,1.135,-5.481,-17.718,18.71,0,145
128047,-0.085,-0.032,1.105,-8.26,-4.204,-20.466,0,141
128107,-0.189,-0.156,1.098,-8.618,22.542,-5.895,0,138
128167,-0.311,-0.308,1.115,0.259,36.007,3.439,0,135
128228,-0.14,-0.28,0.876,11.414,-14.305,-19.176,0,131
128287,-0.087,-0.23,0.858,-1.641,33.359,-21.962,0,128
128348,-0.311,-0.199,1.012,3.181,38.344,-19.802,0,125
128407,-0.19,-0.062,1.055,16.668,54.085,0.906,0,123
128466,-0.117,-0.023,0.912,9.073,13.481,6.075,0,123
128534,-0.164,-0.45,0.741,-19.138,19.008,-10.278,0,0
128592,-0.139,-0.226,1.066,5.2,-1.572,-3.834,0,115
128652,-0.188,-0.108,1.084,14.13,2.186,6.274,0,111
128710,-0.165,-0.23,1.068,13.435,-14.366,-7.645,0,108
128770,-0.107,-0.061,1.057,14.168,-15.924,-3.151,0,105
128828,-0.165,-0.011,1.066,10.74,27.076,14.588,0,101
128886,-0.296,-0.041,0.952,-0.656,30.229,11.947,0,100
128944,-0.48,-0.45,1.069,-15.351,40.076,29.809,0,93
129002,-0.5,-0.049,0.817,-3.412,-5.801,33.153,0,91
129062,-0.367,-0.046,1.112,-8.198,-29.275,15.748,0,91
129132,-0.176,0.017,0.858,7.221,10.905,11.183,0,87
129188,-0.342,-0.078,0.997,1.733,-0.193,9.226,0,86
129245,-0.394,-0.053,0.928,-4.649,-10.534,-1.105,0,85
129308,-0.106,-0.049,1.065,-5.855,4.688,10.056,0,0
129371,-0.278,-0.068,1.001,-4.45,-9.008,-9.865,0,0
129434,-0.192,-0.08,1.04,2.264,-7.87,-6.919,0,0
129490,-0.555,-0.295,1.114,-16.239,-12.573,-19.344,0,91
129554,-0.167,-0.253,1.075,11.534,-23.107,-28.542,0,0
129619,-0.176,-0.075,1.065,14.13,-6.977,-32.298,0,0
129676,-0.349,-0.061,0.935,9.969,13.664,-37.313,0,82
129732,-0.241,-0.132,1.102,5.821,20.931,-31.229,0,81
129788,-0.138,-0.229,1.107,18.878,-7.0,-30.634,0,82
129845,-0.157,-0.235,0.934,25.45,17.985,-29.397,0,79
129901,-0.141,-0.21,0.936,21.87,22.527,-29.702,0,80
129957,-0.319,-0.154,0.97,14.534,25.557,-20.939,0,81
130019,-0.39,-0.06,0.956,-2.096,-16.146,-22.9,0,165
130081,-0.101,-0.006,0.904,-6.069,-6.542,0.437,0,0
130148,-0.154,-0.063,0.935,-12.962,20.221,-8.904,0,0
130210,-0.278,-0.149,1.077,-8.504,5.06,1.947,0,0
130274,-0.134,-0.556,1.042,-11.759,-9.687,-22.755,5,5
130337,-0.125,-0.039,1.062,9.508,-0.296,18.364,0,0
130400,-0.17,-0.335,1.099,11.099,-12.847,11.328,0,0
130463,-0.081,-0.295,1.046,12.588,-16.038,-5.226,0,0
130527,-0.164,-0.196,1.069,-5.597,-4.212,-19.215,0,0
130589,-0.242,-0.191,1.088,10.405,25.672,-6.123,0,0
130696,-0.041,0.236,1.384,43.003,-11.221,-22.794,0,0
130761,-0.041,0.153,1.234,36.564,5.382,-28.763,0,0
130825,-0.3,-0.078,0.917,12.718,-4.322,-26.412,0,0
130888,0.034,0.117,1.182,12.664,7.76,-28.618,0,0
130952,-0.282,-0.168,0.942,12.038,-6.553,-29.481,0,0
131014,-0.158,-0.047,0.79,-15.166,-15.502,-29.924,0,0
131078,-0.177,-0.079,1.04,12.069,5.35,-26.435,0,0
131141,-0.15,-0.154,1.04,17.466,2.92,-25.847,0,0
131205,-0.181,-0.002,1.074,12.695,10.137,-25.176,0,0
131267,-0.184,0.066,1.081,4.903,-3.56,-22.359,0,0
131334,-0.187,0.093,1.08,-2.508,-10.344,-20.26,0,0
131397,-0.149,0.024,1.064,-4.229,-8.244,-22.282,0,0
131461,-0.139,-0.111,1.084,-14.008,17.504,-27.053,0,0
131513,-0.135,-0.227,1.066,5.688,8.615,-33.336,16,0
131576,-0.133,-0.11,0.987,11.305,1.259,-33.634,0,0
131640,-0.113,-0.018,1.064,12.3,14.224,-28.954,0,0
131699,-0.179,-0.2,0.918,-2.469,-4.023,-26.382,0,124
131762,-0.074,0.071,1.19,17.38,-14.763,-21.313,0,199
131825,-0.018,-0.075,1.002,9.133,10.812,-20.87,0,196
131891,-0.11,-0.133,1.02,6.139,14.595,-20.557,0,194
131954,-0.119,-0.083,1.047,13.716,5.908,-14.282,0,191
132017,-0.018,-0.165,0.833,-4.135,-10.843,-25.912,0,188
132079,-0.035,-0.151,1.12,10.87,-7.092,5.711,0,184
132131,0.064,-0.267,1.093,25.893,4.945,-14.473,18,181
132193,0.036,-0.142,1.056,26.771,23.168,-17.466,0,177
132255,-0.154,-0.056,1.159,10.337,36.084,-21.496,0,172
132317,-0.356,-0.03,1.092,-8.321,33.55,-29.672,0,167
132381,-0.34,-0.021,1.056,-7.595,-9.145,12.229,0,163
132442,-0.425,-0.47,0.595,-5.794,-17.099,-14.108,0,160
132503,-0.212,-0.089,1.004,2.16,-0.138,1.113,0,157
132563,-0.006,0.118,1.245,22.376,14.626,16.053,0,154
132625,-0.072,0.065,1.166,15.515,10.639,9.619,0,151
132685,-0.167,-0.066,0.833,-5.461,-11.324,-17.298,0,148
132746,-0.086,-0.125,0.922,4.624,6.795,-20.626,0,145
132805,-0.246,-0.132,1.09,9.329,6.301,-31.313,0,142
132866,-0.16,-0.061,1.055,15.992,-14.618,-43.893,0,139
132929,-0.175,-0.039,1.102,16.336,-12.534,-51.275,0,135
132988,-0.177,0.019,1.061,17.708,-7.351,-43.977,0,132
133048,-0.19,-0.035,1.09,6.957,1.151,-32.427,0,129
