Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35200,-0.331,-1.154,0.146,-8.378,2.355,-1.67,72,82
35249,-0.272,-1.104,0.184,-6.215,-12.922,-3.39,71,83
35298,-0.19,-1.064,0.178,-5.906,-10.55,-2.132,71,84
35347,-0.029,-0.882,0.393,-0.577,3.796,1.964,71,89
35396,-0.037,-0.893,0.365,0.466,-4.045,1.084,71,90
35445,0.028,-0.847,0.374,0.323,6.962,2.556,71,91
35494,-0.357,-1.211,0.046,-3.643,-6.032,-2.557,71,80
35547,-0.006,-0.868,0.368,0.538,1.341,1.359,71,90
35596,-0.172,-1.046,0.181,-1.554,-0.392,-0.696,72,85
35645,0.034,-0.816,0.431,1.025,5.372,1.968,71,92
35693,0.158,-0.669,0.587,2.14,9.962,4.824,71,96
35742,-0.082,-0.931,0.332,-0.608,-5.512,0.533,71,88
35791,-0.092,-0.967,0.274,-0.212,-3.22,-0.334,71,87
35841,0.024,-0.829,0.436,3.093,2.264,2.15,72,92
35890,0.157,-0.681,0.58,7.857,3.353,5.471,71,96
35939,-0.189,-1.058,0.144,-0.81,-3.972,-1.237,72,83
35988,-0.231,-1.076,0.146,-1.108,-0.97,-1.166,71,83
36035,-0.24,-1.093,0.119,-1.777,-3.984,-1.833,71,82
36084,-0.037,-0.896,0.333,0.984,1.517,2.234,72,88
36133,-0.254,-1.113,0.122,-2.917,-4.813,-2.048,71,82
36183,-0.154,-1.029,0.208,-1.622,-3.073,-0.234,72,84
36232,-0.136,-1.006,0.244,-1.039,-1.291,0.291,72,85
36288,-0.238,-1.113,0.129,-1.649,-2.962,-1.5,72,82
36337,0.037,-0.805,0.46,2.446,2.136,2.527,72,91
36386,-0.179,-1.026,0.223,-0.413,-4.958,-1.792,72,84
36435,-0.173,-1.037,0.22,-0.036,-5.017,-0.526,72,84
36487,-0.222,-1.067,0.166,-0.575,-4.181,-0.508,72,83
36536,-0.209,-1.06,0.171,-0.956,-5.81,-1.44,72,83
36585,-0.328,-1.172,0.035,-3.734,-5.763,-2.906,72,79
36634,-0.268,-1.122,0.106,-2.193,-7.311,-2.212,72,81
36683,-0.316,-1.17,0.052,-2.93,-7.255,-2.719,72,80
36732,-0.121,-0.97,0.267,-0.718,-2.316,0.282,72,86
36781,-0.021,-0.869,0.392,0.283,0.445,1.46,72,89
36830,-0.295,-1.144,0.107,-2.46,-4.572,-1.944,72,80
36879,-0.175,-1.035,0.206,-0.703,-3.466,-0.423,72,84
36931,-0.253,-1.099,0.151,-3.373,-3.1,-2.008,72,82
36980,-0.035,-0.869,0.377,0.526,-1.009,1.686,72,89
37029,0.148,-0.716,0.539,2.702,2.797,5.668,72,94
37079,0.054,-0.781,0.478,1.597,1.625,4.08,72,92
37128,0.054,-0.786,0.454,1.187,0.797,3.776,72,91
37177,-0.229,-1.088,0.173,-4.391,-1.691,-1.777,72,84
37226,-0.009,-0.854,0.405,0.441,-0.237,1.681,72,91
37275,0.11,-0.747,0.508,2.236,1.59,2.828,72,94
37324,0.041,-0.797,0.45,1.446,2.319,1.701,72,92
37377,0.003,-0.84,0.412,0.307,1.535,1.501,72,91
37426,-0.037,-0.876,0.358,0.21,-0.116,1.316,72,90
37475,0.021,-0.829,0.418,0.732,1.637,1.504,72,91
37524,-0.257,-1.114,0.124,-3.419,-1.438,-1.45,71,83
37573,0.206,-0.637,0.62,2.845,3.291,3.9,72,97
37622,-0.222,-1.085,0.143,-1.664,-1.955,-1.451,72,83
37714,0.103,-0.736,0.522,2.337,0.55,3.971,72,94
37764,-0.187,-1.053,0.182,-0.925,-0.997,-0.463,71,84
37813,-0.296,-1.154,0.093,-1.451,-3.462,-2.241,71,81
37865,-0.045,-0.901,0.33,0.304,0.108,1.243,71,89
37914,-0.148,-0.991,0.249,-0.475,0.438,-0.57,71,86
37963,-0.053,-0.894,0.369,0.635,-0.802,0.936,72,89
38012,0.047,-0.812,0.436,1.685,1.114,1.551,72,92
38062,-0.16,-1.016,0.241,-0.408,-0.723,-0.643,71,86
38111,-0.015,-0.859,0.386,1.717,0.051,1.127,71,90
38160,-0.318,-1.17,0.065,-2.606,-3.353,-1.667,71,81
38209,0.013,-0.828,0.432,1.321,-0.076,1.098,71,91
38258,0.152,-0.708,0.531,2.091,3.781,3.08,72,95
38310,-0.106,-0.936,0.317,0.02,1.244,1.382,72,88
38360,-0.117,-0.963,0.279,-0.154,-3.101,0.426,72,87
38410,-0.233,-1.095,0.145,-2.247,-3.004,-1.898,72,83
38459,-0.037,-0.885,0.372,0.29,0.455,1.294,72,90
38508,-0.255,-1.123,0.121,-2.036,-4.131,-1.574,71,82
38557,-0.128,-0.983,0.256,-0.921,-1.361,-0.041,72,85
38606,-0.242,-1.088,0.158,-1.78,-2.728,-1.35,71,83
38657,-0.093,-0.954,0.292,-0.45,-1.912,0.788,72,87
38706,-0.124,-0.98,0.268,-0.848,-0.357,0.318,72,87
38758,0.02,-0.823,0.435,0.702,1.74,2.706,72,91
38807,0.069,-0.767,0.486,0.855,0.321,3.417,71,93
38856,0.078,-0.778,0.472,1.244,1.656,3.143,71,93
38906,-0.3,-1.17,0.089,-2.576,-3.552,-2.124,72,81
38956,-0.138,-0.996,0.237,-0.402,-0.588,-0.047,72,86
39005,-0.086,-0.938,0.324,0.557,0.166,1.058,72,88
39054,0.041,-0.81,0.438,1.269,0.208,2.993,71,92
39104,0.008,-0.827,0.413,0.775,2.592,2.496,72,91
39153,-0.263,-1.109,0.141,-1.311,-4.339,-2.085,72,83
39205,-0.091,-0.94,0.306,0.219,-1.477,1.68,71,88
39255,-0.07,-0.901,0.35,1.012,-0.611,2.718,72,89
39305,-0.227,-1.077,0.163,-0.935,-2.981,-1.402,72,84
39354,0.087,-0.754,0.487,3.27,2.395,7.15,72,94
39403,-0.113,-0.944,0.307,0.334,-0.876,2.173,72,88
39453,-0.161,-1.022,0.229,-1.553,-2.187,-0.274,72,85
39502,-0.268,-1.115,0.133,-2.55,-4.561,-2.361,72,82
39553,-0.129,-0.974,0.256,-0.926,-1.005,-0.193,72,87
39602,-0.427,-1.287,-0.024,-3.989,-6.433,-3.825,22,26
39654,-0.046,-0.89,0.368,0.405,-1.5,1.302,72,89
39704,0.04,-0.796,0.462,0.837,2.441,2.193,72,92
39753,-0.122,-0.96,0.29,-0.276,-0.85,0.158,72,87
39802,-0.056,-0.885,0.369,0.324,-0.452,1.614,72,90
39853,-0.035,-0.877,0.379,0.717,-0.749,1.671,72,90
39902,-0.168,-1.003,0.255,-0.73,-1.578,-0.038,72,86
39952,0.097,-0.746,0.509,2.643,1.426,3.545,72,94
40001,-0.107,-0.947,0.3,0.582,0.065,0.833,72,88
40051,0.172,-0.659,0.598,4.199,4.066,4.057,72,96
40103,-0.174,-1.02,0.229,-1.657,-2.735,-0.778,72,86
40154,0.049,-0.779,0.465,1.183,0.576,0.679,72,93
40246,-0.272,-1.12,0.116,-2.538,-3.168,-1.541,71,82
40296,-0.185,-1.024,0.21,-1.779,-2.032,-0.848,72,85
40346,-0.004,-0.837,0.413,0.463,1.459,0.925,72,92
40395,-0.021,-0.855,0.402,0.386,0.822,1.546,72,92
40445,-0.243,-1.087,0.153,-3.155,-2.401,-1.352,72,84
40495,-0.177,-1.013,0.233,-1.894,-0.592,-0.405,72,90
40545,-0.042,-0.886,0.366,0.068,-0.343,1.897,72,92
40598,-0.228,-1.089,0.158,-2.663,-1.684,-1.309,72,93
40648,0.266,-0.553,0.697,4.612,4.921,5.69,72,102
40698,-0.296,-1.148,0.11,-3.519,-3.765,-1.75,72,93
40749,-0.05,-0.907,0.349,-1.065,-0.865,0.528,72,93
40799,0.051,-0.779,0.47,1.489,1.293,1.411,72,91
40849,-0.181,-1.035,0.207,-1.135,-1.07,-0.402,72,90
40898,-0.166,-1.006,0.24,-0.374,-1.879,-0.418,71,90
40948,-0.223,-1.076,0.166,-1.367,-2.408,-1.076,71,84
40998,0.05,-0.774,0.466,1.06,1.251,3.03,72,94
41051,-0.09,-0.937,0.313,-0.381,-1.311,0.665,72,89
41101,-0.273,-1.124,0.112,-2.629,-2.76,-1.736,71,82
41151,-0.119,-0.965,0.27,-0.99,-1.872,0.138,71,87
41200,0.065,-0.788,0.472,1.1,0.807,3.077,71,94
41250,0.04,-0.794,0.458,0.765,1.129,2.65,71,92
41299,-0.26,-1.136,0.113,-2.303,-2.398,-1.858,71,82
41350,-0.325,-1.191,0.032,-3.112,-3.571,-2.015,71,80
41400,-0.269,-1.116,0.13,-3.077,-4.469,-1.714,71,83
41449,-0.111,-0.962,0.27,-0.568,-3.072,-0.355,71,87
41502,-0.163,-1.016,0.223,-0.917,0.596,0.041,71,86
41552,-0.059,-0.89,0.369,0.237,-0.506,1.716,71,90
41603,-0.008,-0.845,0.394,0.629,0.468,2.293,71,91
41652,-0.078,-0.914,0.323,-0.071,0.362,1.293,71,88
41702,0.075,-0.76,0.494,1.486,1.081,4.106,71,94
41752,0.099,-0.747,0.499,1.431,3.666,4.011,71,94
41801,0.02,-0.809,0.454,1.263,0.906,2.711,71,92
41851,-0.203,-1.056,0.189,-0.922,-2.488,-0.796,71,84
41902,-0.117,-0.955,0.285,0.207,-0.219,0.405,72,87
41955,-0.117,-0.965,0.283,0.31,-1.125,0.168,71,87
42004,-0.291,-1.141,0.104,-2.104,-2.323,-1.975,71,81
42054,0.009,-0.827,0.436,1.429,-0.714,2.095,71,92
42104,-0.277,-1.138,0.105,-1.393,-2.909,-2.094,71,82
42155,0.12,-0.71,0.545,2.996,2.629,4.752,71,95
42204,-0.222,-1.069,0.172,-1.209,-1.494,-0.918,71,84
42254,-0.316,-1.154,0.092,-3.012,-2.376,-2.809,72,81
42304,-0.181,-1.022,0.233,-1.704,-1.369,-0.746,71,85
42354,-0.079,-0.917,0.336,-0.355,-0.479,1.435,72,90
42404,-0.162,-1.006,0.246,-1.382,-1.481,-0.378,72,86
42458,-0.242,-1.077,0.202,-1.329,-2.557,-1.4,72,84
42508,-0.176,-1.015,0.232,-0.559,-1.279,-0.129,72,85
42558,0.091,-0.736,0.52,2.211,1.341,2.964,71,95
42607,-0.02,-0.851,0.391,1.699,0.965,1.341,72,91
42657,0.158,-0.672,0.586,2.926,2.869,4.281,72,96
42713,0.135,-0.691,0.554,2.761,1.182,2.677,72,95
42805,-0.033,-0.87,0.383,0.981,0.763,1.571,72,90
42854,-0.302,-1.152,0.1,-1.806,-3.907,-2.163,71,81
42903,-0.194,-1.033,0.215,-0.852,-2.27,-1.442,72,85
42955,-0.106,-0.943,0.308,0.111,-0.744,0.996,72,88
43004,-0.2,-1.042,0.202,-0.678,-2.583,-1.021,71,85
43054,0.001,-0.836,0.42,0.818,0.684,2.59,72,91
43102,0.09,-0.744,0.505,1.138,2.098,3.464,72,94
43151,-0.05,-0.885,0.365,-0.038,-0.62,1.373,71,90
43200,-0.207,-1.05,0.2,-1.256,-2.576,-0.759,71,84
43249,0.021,-0.812,0.443,1.28,1.346,2.196,72,92
43298,-0.079,-0.912,0.338,-0.537,-0.924,0.537,71,89
43347,-0.279,-1.131,0.12,-2.455,-3.493,-1.91,71,82
43400,-0.04,-0.87,0.38,0.384,-0.161,0.862,71,90
43449,0.109,-0.728,0.525,1.89,3.578,2.492,71,94
43498,-0.064,-0.896,0.37,-0.13,-0.53,1.116,71,89
43547,-0.148,-0.995,0.246,-1.483,-2.662,-0.571,72,86
43596,-0.349,-1.202,0.044,-4.316,-3.423,-2.27,71,80
43645,-0.163,-0.999,0.249,-1.276,-1.703,-0.087,71,86
43695,0.02,-0.818,0.429,0.817,1.216,1.409,72,92
43744,-0.204,-1.047,0.19,-1.974,-1.468,-1.238,71,84
43793,-0.079,-0.913,0.336,-0.241,1.87,1.242,72,89
43844,0.048,-0.791,0.449,1.818,4.662,3.582,71,92
43893,-0.309,-1.153,0.076,-5.929,-3.092,-3.132,71,81
43942,-0.264,-1.093,0.142,-6.573,-2.931,-2.687,71,83
43992,-0.495,-1.333,-0.109,-11.744,-10.534,-8.607,21,26
44041,0.008,-0.819,0.439,0.797,7.005,6.399,72,92
