Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21497,0.283,0.567,0.803,-1.232,-0.67,-0.829,23,138
21548,0.281,0.561,0.763,-1.619,-0.059,-1.413,23,137
21598,0.275,0.558,0.723,-1.535,-1.345,-1.408,23,136
21648,0.28,0.566,0.856,-0.088,-0.481,-0.033,23,140
21697,0.284,0.562,0.997,1.059,2.589,0.87,23,143
21747,0.28,0.561,0.783,-1.42,0.593,-1.224,23,137
21797,0.276,0.567,0.767,-1.498,-0.848,-1.136,23,137
21848,0.268,0.564,0.791,-0.834,-0.866,-0.78,23,137
21901,0.276,0.559,0.769,-0.903,-0.846,-0.799,23,136
21951,0.268,0.557,0.96,1.085,1.162,1.153,23,143
22001,0.28,0.559,0.839,-0.215,-0.149,-0.497,23,138
22051,0.277,0.554,0.952,0.035,2.424,0.651,23,143
22102,0.268,0.558,0.731,-1.979,-1.063,-2.098,23,136
22152,0.263,0.56,0.974,1.489,1.932,2.046,23,143
22202,0.281,0.569,0.837,-0.304,-0.469,-0.5,24,138
22252,0.268,0.563,0.809,-1.306,0.966,-1.407,24,137
22302,0.259,0.561,0.945,0.353,2.111,0.806,24,142
22355,0.283,0.557,0.848,-0.16,-1.765,0.115,24,138
22406,0.275,0.558,0.928,0.436,1.69,0.638,24,141
22456,0.265,0.554,1.013,1.058,2.929,1.037,24,144
22506,0.271,0.56,0.781,-0.854,-1.103,-0.566,24,136
22556,0.267,0.56,0.815,-0.496,-0.984,-0.541,24,137
22606,0.275,0.561,0.878,0.544,-0.404,0.535,24,139
22657,0.264,0.563,0.961,1.332,0.47,1.89,24,142
22707,0.28,0.562,0.789,-0.344,-2.215,-0.499,24,137
22757,0.265,0.553,0.971,1.275,3.012,1.269,24,143
22810,0.264,0.55,0.842,0.379,-1.136,-0.01,24,139
22860,0.274,0.561,0.788,-0.399,-2.408,-0.053,24,137
22916,0.275,0.563,0.842,-0.211,-0.273,-0.21,24,139
22965,0.262,0.563,0.843,-0.272,0.441,-0.386,24,139
23014,0.267,0.555,0.806,-0.065,-1.903,-0.135,24,137
23064,0.282,0.554,0.938,1.947,-0.638,1.666,24,142
23113,0.286,0.562,0.832,0.052,-0.642,-0.129,26,138
23162,0.281,0.558,0.841,0.264,-0.199,-0.249,24,138
23212,0.268,0.563,0.824,-0.135,-1.249,0.057,24,138
23264,0.279,0.563,0.751,-1.047,-3.279,-1.342,26,135
23313,0.273,0.563,0.998,3.845,2.551,2.013,26,144
23362,0.279,0.559,0.885,1.508,-1.92,0.962,24,141
23411,0.283,0.56,0.774,-0.351,-3.462,-0.525,23,137
23460,0.281,0.558,0.782,-0.678,-1.929,-0.782,23,138
23510,0.278,0.565,0.875,0.648,-0.38,0.149,23,140
23560,0.281,0.562,0.924,0.877,0.325,0.984,23,142
23609,0.288,0.568,0.89,0.792,0.028,0.33,23,141
23658,0.274,0.562,0.951,1.231,1.808,0.912,23,143
23707,0.271,0.557,0.928,0.985,0.826,1.163,23,142
23759,0.285,0.56,0.866,0.889,-1.666,0.955,23,140
23809,0.302,0.566,0.909,0.419,0.954,0.644,23,142
