Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
42938,-0.128,-0.168,1.017,0.538,-1.765,-0.469,75,29
42985,-0.132,-0.177,1.023,-0.578,1.058,0.055,75,29
43031,-0.144,-0.184,1.046,-0.398,-3.215,0.211,75,29
43078,-0.099,-0.161,0.996,-0.542,3.366,0.242,75,30
43124,-0.149,-0.173,1.048,0.128,-0.465,0.828,75,29
43170,-0.119,-0.166,1.014,-0.965,0.339,0.168,75,29
43216,-0.134,-0.186,1.035,-0.361,-0.412,0.397,75,29
43267,-0.098,-0.173,0.997,0.207,0.345,0.295,75,30
43313,-0.144,-0.171,1.049,-0.638,1.648,0.693,75,29
43359,-0.116,-0.169,1.003,-1.362,-0.647,0.304,75,29
43406,-0.145,-0.188,1.047,-0.106,-0.553,0.251,75,29
43452,-0.101,-0.177,1.01,0.566,-0.021,-0.404,75,29
43498,-0.158,-0.288,1.154,13.038,0.308,0.713,76,30
43545,-0.137,-0.271,1.213,60.511,3.334,7.44,76,30
43591,-0.138,0.009,1.318,96.748,32.562,16.176,78,31
43643,-0.209,0.337,1.359,105.718,20.143,37.985,51,9
43689,-0.208,0.437,1.271,105.702,-20.481,44.244,54,32
43738,-0.144,0.409,0.942,99.557,-55.977,26.87,51,42
43784,-0.025,0.506,0.709,64.061,-37.672,8.021,50,43
43831,0.001,0.397,0.606,18.359,-27.672,-16.254,53,55
43882,-0.033,0.271,0.612,-26.13,-9.216,-38.863,139,48
43927,-0.046,0.032,0.726,-54.145,17.399,-37.382,50,24
43973,-0.212,-0.106,0.933,-60.702,22.02,-30.0,70,23
44021,-0.18,-0.191,1.103,-53.672,-32.061,-39.634,87,44
44067,-0.01,-0.267,1.041,-38.282,-31.534,-13.752,67,21
44115,-0.005,-0.152,1.116,-13.244,-31.252,-2.913,67,22
44163,0.083,0.028,1.06,-9.355,-19.733,-6.09,86,21
44209,0.04,0.096,1.013,-12.867,6.276,-4.273,71,23
44255,-0.097,0.088,1.12,-15.435,-0.104,0.014,69,22
44301,-0.068,0.063,1.06,-12.211,-8.717,2.099,68,26
44346,-0.043,0.074,1.042,-8.076,-2.164,2.434,69,22
44392,-0.013,0.043,1.118,-0.231,3.703,2.959,69,24
44439,-0.023,0.064,1.084,5.052,12.164,6.003,83,22
44485,-0.045,0.065,1.119,3.895,1.926,8.036,84,22
