Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
18381,0.067,-0.622,0.752,-19.137,-28.092,10.672,0,63
18425,-0.001,-0.642,0.765,-19.092,-20.481,8.168,7,61
18469,0.058,-0.599,0.692,-19.542,-18.099,8.252,16,57
18513,0.058,-0.517,0.649,-24.634,-7.634,15.122,6,59
18556,-0.064,-0.613,0.714,-26.542,-22.634,19.336,6,58
18612,0.009,-0.61,0.616,-28.534,-27.939,25.473,0,58
18655,-0.032,-0.623,0.615,-37.901,-6.817,34.511,9,43
18702,-0.052,-0.673,0.617,-44.908,-8.748,33.618,8,66
18745,-0.08,-0.758,0.62,-46.786,-18.351,31.16,17,43
18789,-0.019,-0.759,0.558,-50.145,-8.725,33.321,8,44
18842,0.01,-0.761,0.523,-56.931,16.061,35.45,0,43
18886,-0.201,-0.89,0.616,-53.565,9.214,41.885,17,42
18940,-0.17,-0.925,0.524,-56.885,-7.916,37.168,0,44
18983,-0.22,-0.951,0.49,-56.87,9.687,31,17,44
19026,-0.266,-0.959,0.473,-38.893,-10.092,24.473,8,42
19081,-0.178,-0.958,0.396,-32.443,-10.779,15.626,0,45
19138,-0.252,-1.011,0.413,-27.26,-4.985,4.771,0,50
19193,-0.229,-0.946,0.374,-20.168,-6.634,4.527,0,49
19248,-0.255,-0.955,0.375,-17.13,1.221,3.13,0,52
19302,-0.295,-0.947,0.393,-8.626,-8.763,2.458,0,51
19357,-0.248,-0.915,0.362,-3.779,-7.244,0.641,0,52
19411,-0.27,-0.918,0.399,1.611,-10.412,-1.099,0,52
19466,-0.24,-0.903,0.387,3.817,-10.901,1.427,0,49
19521,-0.228,-0.881,0.404,6.015,-9.832,1.313,0,52
19575,-0.216,-0.875,0.384,5.519,-6.267,-2.183,0,51
19633,-0.212,-0.864,0.397,3.435,6.267,-3.336,0,50
19687,-0.229,-0.867,0.429,3.282,4.58,-2.969,0,51
19742,-0.209,-0.859,0.418,1.695,5.809,-3.183,0,50
19796,-0.221,-0.891,0.432,1.061,4.115,-3.374,0,50
19851,-0.196,-0.886,0.402,-0.489,0.29,-4.855,0,51
19906,-0.206,-0.891,0.432,-0.84,5.588,-4.855,0,50
19960,-0.205,-0.883,0.45,-0.122,1.115,-5.45,0,53
20016,-0.19,-0.864,0.45,-0.214,0.496,-4.954,0,53
20070,-0.184,-0.861,0.439,-1.664,0.534,-6.137,0,54
20128,-0.188,-0.859,0.438,-3.962,-1.031,-4.519,0,54
20184,-0.175,-0.866,0.449,-5.931,-2.038,-4.382,0,54
20238,-0.165,-0.896,0.447,-2.985,-2.924,-3.992,0,54
20293,-0.165,-0.874,0.44,-2.298,2.214,0.42,0,54
20348,-0.161,-0.885,0.45,-2.557,-2.908,-0.038,0,55
20403,-0.14,-0.887,0.417,-3.435,-0.412,-0.756,0,55
20458,-0.153,-0.888,0.415,-4.611,0.557,0.511,0,55
20513,-0.14,-0.875,0.41,-2.947,-2.519,1.198,0,55
20568,-0.14,-0.865,0.407,-4.962,4.664,0.58,0,55
20626,-0.165,-0.886,0.432,-4.672,3.634,-0.053,0,55
20680,-0.171,-0.904,0.419,-3.015,-0.557,0.802,179,55
20734,-0.149,-0.901,0.427,-1.58,2.817,1.382,0,55
20790,-0.159,-0.897,0.427,-0.519,0.641,0.756,0,55
20845,-0.148,-0.889,0.416,-0.718,1.702,-0.374,0,55
20900,-0.163,-0.892,0.424,-2.42,3.71,-1.046,0,55
20955,-0.163,-0.899,0.427,-2.916,-0.45,-2.42,0,55
21053,-0.156,-0.889,0.429,-1.901,3.58,-2.58,0,55
21108,-0.157,-0.886,0.43,-2.076,2.191,-3.321,0,54
21163,-0.156,-0.884,0.416,-2.122,3.679,-3.725,0,55
21221,-0.148,-0.886,0.41,-3,10.298,-3.473,0,55
21276,-0.153,-0.895,0.419,-3.725,12.565,-3.298,0,54
21331,-0.175,-0.887,0.415,-4.092,10.046,-3.695,0,51
21386,-0.175,-0.903,0.41,-2.061,2.107,-2.672,0,51
21441,-0.144,-0.893,0.385,-2.336,4.053,-1.695,0,54
21496,-0.129,-0.885,0.376,-4.099,17.443,-1.992,0,51
21551,-0.178,-0.898,0.41,-3.061,11.954,-0.664,0,50
21606,-0.167,-0.892,0.4,-3.916,5.389,-0.74,0,50
21661,-0.165,-0.9,0.394,-4.366,1.496,-0.71,0,49
21719,-0.143,-0.886,0.384,-4.634,5.985,-1.053,0,49
21774,-0.152,-0.902,0.387,-6.206,11.618,-2.023,0,48
21828,-0.175,-0.916,0.425,-6.321,5.687,-2.229,0,49
21883,-0.156,-0.908,0.394,-5.603,-2.618,-0.771,0,49
21938,-0.158,-0.903,0.391,-3.58,-1.985,-0.588,0,49
21993,-0.143,-0.899,0.368,-4.031,1.275,-0.908,0,49
22048,-0.16,-0.911,0.384,-5.634,2.756,-0.641,0,49
22103,-0.166,-0.909,0.375,-3.992,-0.908,1.198,0,48
22158,-0.15,-0.917,0.369,-5.107,-0.84,0.641,0,50
22215,-0.137,-0.908,0.358,-5.603,1.656,0.229,0,49
22270,-0.149,-0.918,0.357,-4.527,3.252,0.481,0,49
22326,-0.143,-0.911,0.356,-3.794,2.863,-0.298,0,49
22380,-0.144,-0.907,0.348,-3.573,5.13,-0.435,0,50
22435,-0.133,-0.915,0.336,-3.153,9.847,-0.634,0,49
22491,-0.148,-0.921,0.344,-3.527,12.137,-0.84,0,50
22545,-0.149,-0.927,0.353,-2.863,9.771,-1.298,0,45
22600,-0.166,-0.921,0.353,-2.008,6.015,-1.206,0,44
22654,-0.148,-0.911,0.344,-2.626,4.733,-3.183,0,43
22712,-0.149,-0.915,0.345,-3.687,8.702,-3.603,0,44
22767,-0.159,-0.915,0.34,-3.756,10.947,-3.45,0,48
22822,-0.153,-0.913,0.339,-3.145,10.038,-2.817,0,48
22877,-0.152,-0.919,0.343,-3.939,10.992,-2.092,0,48
22932,-0.163,-0.932,0.357,-4.702,8.481,-1.573,0,42
22986,-0.165,-0.929,0.35,-3.328,2.58,-1.405,0,43
23042,-0.152,-0.911,0.336,-2.092,-0.786,-1.328,0,44
23096,-0.156,-0.919,0.333,-1.947,1.26,-1.802,0,43
23151,-0.139,-0.914,0.32,-2.542,5.588,-2.198,0,44
23208,-0.145,-0.928,0.323,-2.847,7.298,-1.702,0,45
23264,-0.162,-0.929,0.347,-2.206,3.336,-0.786,0,43
23318,-0.149,-0.924,0.329,-2.366,0.656,-0.145,0,44
23373,-0.145,-0.932,0.316,-2.656,1.725,-1.725,0,45
23428,-0.148,-0.928,0.333,-2.366,1.344,-1.702,0,43
23483,-0.145,-0.921,0.331,-0.328,0.748,-0.519,0,42
23537,-0.141,-0.916,0.313,-0.779,3,-0.779,0,41
23592,-0.152,-0.912,0.322,-0.634,1.656,0.511,0,41
23647,-0.152,-0.917,0.33,-1.489,-1.031,1.176,0,41
23704,-0.146,-0.921,0.325,-2.802,-2.26,-0.122,0,41
23759,-0.133,-0.923,0.331,-2.847,-1.565,-0.656,0,42
23857,-0.133,-0.926,0.325,-2.771,0.969,-1.305,0,42
23912,-0.133,-0.933,0.329,-3.145,-0.504,-0.855,0,42
23966,-0.131,-0.928,0.336,-1.916,-1.725,0.443,0,42
24022,-0.128,-0.924,0.323,-1.916,1.29,0.023,0,42
24076,-0.149,-0.924,0.342,-2.26,1.496,0.412,0,43
24131,-0.142,-0.921,0.34,-2.359,-3.305,0.557,0,41
24185,-0.118,-0.92,0.327,-2.298,-2.153,-0.069,0,42
24244,-0.128,-0.933,0.328,-2.359,0.786,0.023,0,43
24299,-0.128,-0.925,0.331,-2.344,-1.985,0.122,0,41
24353,-0.115,-0.931,0.323,-3.191,-0.878,-1.053,0,42
24409,-0.126,-0.928,0.329,-3.389,-0.542,-2.466,0,43
24464,-0.12,-0.921,0.33,-2.962,-2.718,-1.985,0,43
24518,-0.112,-0.926,0.308,-1.305,-0.664,-0.695,0,41
24573,-0.12,-0.93,0.321,-1.58,2.473,0.13,0,42
24628,-0.125,-0.927,0.32,-1.344,1.29,0.664,0,43
24683,-0.118,-0.932,0.323,-1.649,0.267,0.809,0,41
24741,-0.114,-0.926,0.321,-1.908,0.87,0.389,0,42
24796,-0.117,-0.931,0.327,-2.595,-0.191,-0.435,0,43
24851,-0.113,-0.932,0.323,-1.863,-1.756,-0.718,0,44
24906,-0.115,-0.933,0.315,-1.641,0.58,-0.977,0,42
24961,-0.108,-0.929,0.308,-0.916,2.42,-0.969,0,43
25016,-0.122,-0.924,0.314,-1.069,3.756,-0.221,0,43
25071,-0.112,-0.921,0.318,-2.008,1.252,-0.198,0,45
25126,-0.117,-0.923,0.306,-3.26,1.756,-1.336,0,44
25181,-0.124,-0.931,0.313,-3.656,2.878,-0.771,0,42
25242,-0.112,-0.938,0.31,-3.344,2.405,0.45,0,43
25293,-0.11,-0.932,0.334,-3,2.763,-0.053,0,44
25348,-0.094,-0.935,0.318,-1.244,2.718,-1.115,0,44
25402,-0.094,-0.932,0.317,0.305,5.779,-1.573,0,44
25455,-0.106,-0.938,0.325,0.595,6.885,-1.878,0,44
