Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
26979,-0.252,-0.593,0.722,2.76,14.546,8.717,119,91
27031,-0.316,-0.609,0.735,1.841,6.622,6.553,120,90
27083,-0.209,-0.607,0.718,7.125,16.99,22.379,120,93
27136,-0.453,-0.618,0.748,-4.415,4.233,-5.425,134,85
27188,-0.484,-0.616,0.899,24.858,38.137,25.603,120,89
27239,-0.62,-0.591,1.036,35.107,9.229,40.847,120,89
27292,-0.628,-0.559,0.961,63.153,-7.704,62.321,138,86
27352,-0.651,-0.484,0.842,81.733,8.965,96.519,0,85
27400,-0.682,-0.294,0.805,78.008,20.188,121.763,38,94
27447,-0.617,-0.278,0.727,62.13,-32.557,114.168,34,98
27495,-0.451,-0.183,0.637,39.351,-61.29,91.282,38,97
27542,-0.416,-0.173,0.657,12.985,-61.176,69.313,32,99
27599,-0.449,-0.225,0.737,-26.43,-56.237,42.489,0,98
27657,-0.381,-0.236,0.849,-6.342,-31.687,21.733,0,101
27714,-0.397,-0.161,0.813,4.594,-14.293,-1.418,0,101
27771,-0.338,-0.009,1.007,10.925,15.998,11.308,0,98
27828,-0.298,0.114,1.063,10.401,3.712,7.2,122,100
27885,-0.46,0.036,0.891,-1.247,-8.035,-0.699,0,101
27942,-0.483,0.062,0.847,-6.811,-8.861,-5.766,0,99
28000,-0.526,0.142,1.081,2.614,-17.748,26.34,0,100
28057,-0.548,-0.127,0.806,-8.939,-20.412,26.565,0,99
28114,-0.445,-0.009,0.972,-12.84,-8.01,42.435,0,99
28161,-0.343,-0.214,1.024,-3.224,-9.282,46.985,16,100
28218,-0.152,-0.257,1.029,6.958,-7.87,24.511,0,99
28275,-0.1,-0.165,0.84,1.717,0.263,-4.35,0,100
28336,-0.279,-0.152,0.942,-2.65,7.533,-20.153,0,102
28394,-0.324,0.091,1.005,16.303,16.556,-29.748,0,102
28451,-0.49,0.07,0.849,11.58,-5.139,-22.855,0,102
28509,-0.31,0.053,1.074,23.18,18.09,-12.931,0,102
28566,-0.477,-0.085,0.872,-2.686,-8.156,-14.79,0,99
28623,-0.32,0.029,0.99,5.564,8.843,-0.159,0,102
28681,-0.571,-0.232,0.776,-7.886,-9.611,-8.506,5,31
28739,-0.365,-0.057,0.921,-0.332,-1.252,-1.835,0,103
28796,-0.375,-0.042,0.943,-2.019,4.236,-0.949,0,103
28857,-0.305,0.046,1.006,2.264,9.113,1.274,0,100
28914,-0.396,-0.061,0.942,1.374,0.814,0.153,0,99
28972,-0.433,-0.099,0.895,0.665,-0.86,-0.892,0,99
29029,-0.276,0.068,1.042,4.174,9.891,4.857,0,99
29086,-0.245,0.106,1.053,3.587,11.531,6.013,0,99
29144,-0.25,0.103,1.039,3.333,13.214,5.456,0,99
29201,-0.339,0.036,0.967,-2.792,7.44,1.537,0,102
29258,-0.574,0.048,0.921,-21.519,-8.596,-12.041,0,102
29317,-0.384,0.093,0.987,-8.847,15.98,17.1,0,101
29374,-0.454,0.047,1.041,-9.817,-6.205,26.489,0,102
29424,-0.409,-0.208,0.964,-14.43,-17.122,36.947,16,102
