Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27284,0.025,-0.927,0.346,0.263,-3.575,1.803,66,196
27340,0.01,-0.938,0.347,0.256,-3.719,1.661,65,196
27396,0.029,-0.932,0.334,0.89,-3.486,1.945,65,197
27453,0.01,-0.941,0.355,1.121,-2.508,2.542,85,196
27509,0.002,-0.923,0.357,0.59,-3.971,4.556,64,197
27565,-0.021,-0.927,0.39,-1.536,-6.105,5.381,63,197
27621,-0.06,-0.886,0.388,-4.127,-8.918,3.668,61,198
27673,-0.076,-0.836,0.398,1.055,-17.534,9.466,60,81
27719,-0.065,-0.912,0.357,0.629,-26.281,2.367,5,24
27768,-0.084,-1.047,0.409,4.613,-11.812,0.79,57,82
27817,-0.016,-0.968,0.432,18.603,-14.145,12.88,57,85
27867,0.051,-0.934,0.489,22.023,11.725,24.733,57,83
27916,-0.063,-0.952,0.616,17.382,10.104,38.008,55,82
27964,-0.086,-0.948,0.615,27.779,-28.892,40.0,53,85
28013,0.051,-0.802,0.464,33.992,-30.79,36.794,52,84
28062,0.044,-0.702,0.454,26.595,6.536,38.29,59,85
28112,-0.044,-0.672,0.505,16.275,20.878,38.664,16,85
28157,-0.111,-0.658,0.478,11.885,9.258,37.557,55,16
28199,-0.131,-0.796,0.466,5.146,-7.979,33.878,16,15
28244,-0.131,-1.013,0.37,2.106,7.937,25.491,50,16
28290,-0.184,-0.985,0.308,-7.45,25.809,13.052,50,14
28334,-0.299,-0.996,0.332,-16.504,32.893,13.335,51,12
28379,-0.397,-1.115,0.377,-25.481,23.305,3.847,51,11
28423,-0.414,-1.058,0.369,-26.779,-4.974,-5.983,52,11
28468,-0.264,-0.823,0.299,-21.901,-19.285,-3.444,55,11
28517,-0.17,-0.646,0.274,-11.725,-8.123,8.671,56,14
28562,-0.171,-0.638,0.267,-2.446,3.598,5.002,57,16
28607,-0.204,-0.684,0.298,25.458,11.203,8.147,57,17
28658,-0.212,-0.76,0.274,47.885,20.55,7.423,57,16
28702,-0.288,-0.856,0.291,42.496,40.183,-8.1,58,19
28747,-0.369,-0.92,0.359,33.931,50.344,-15.069,62,18
28791,-0.409,-0.809,0.418,27.557,48.374,-29.725,60,19
28836,-0.392,-0.648,0.517,16.71,27.901,-27.847,64,17
28881,-0.286,-0.553,0.54,17.275,-1.139,-21.954,63,19
28929,-0.213,-0.722,0.485,8.742,-6.765,-9.076,63,18
28973,-0.43,-1.23,0.619,-46.282,17.606,-40.328,61,18
29018,-0.365,-1.121,0.647,-50.824,-3.634,-29.641,60,18
29063,-0.337,-1.164,0.601,-7.16,-39.687,14.34,61,28
29108,-0.144,-0.907,0.435,11.603,-45.634,0.206,62,19
29153,0.012,-0.574,0.309,16.885,3.456,6.29,64,17
29197,-0.088,-0.49,0.405,12.42,29.817,25.557,60,16
29242,-0.214,-0.612,0.454,6.388,20.473,19.73,64,17
29286,-0.249,-0.689,0.462,12.708,-5.209,18.968,64,17
29334,-0.183,-0.608,0.372,17.0,-28.291,14.506,65,15
29378,-0.133,-0.548,0.312,17.901,-9.565,30.023,64,16
29423,-0.227,-0.806,0.329,18.855,1.758,42.481,64,14
29467,-0.42,-1.408,0.292,2.347,49.038,25.176,65,14
29512,-0.501,-1.284,0.341,6.03,74.466,-0.307,65,16
29557,-0.526,-1.078,0.315,17.435,69.359,2.254,67,17
29608,-0.524,-0.972,0.344,11.802,59.863,-13.389,175,16
29697,-0.504,-0.685,0.367,3.007,5.683,-32.969,81,16
29744,-0.404,-0.618,0.309,12.115,-15.78,-31.733,89,16
29792,-0.338,-0.649,0.266,21.435,-0.177,-33.565,77,16
29837,-0.314,-0.806,0.33,17.13,11.074,-36.687,76,17
29883,-0.37,-1.147,0.436,-4.343,33.756,-44.084,75,16
29928,-0.434,-1.248,0.686,-37.87,40.046,-57.405,73,23
29974,-0.413,-1.106,0.853,-55.458,-4.296,-31.13,78,18
30020,-0.302,-0.939,0.733,-29.412,-61.847,-22.45,77,18
30065,-0.091,-0.654,0.449,-12.519,-58.023,-26.061,76,16
30111,-0.018,-0.417,0.388,-6.168,-23.394,-9.742,75,17
30159,-0.13,-0.542,0.37,-8.023,-0.107,8.042,75,16
