Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
19642,0.239,0.53,0.911,0.946,0.185,0.702,24,142
19692,-0.001,0.531,0.91,-2.933,-2.52,-1.2,14,142
19741,0.216,0.523,0.909,0.118,2.532,0.785,22,142
19790,0.107,0.52,0.912,-1.114,-0.396,-0.411,19,142
19840,0.031,0.529,0.911,-2.658,-2.329,-1.254,16,142
19890,0.275,0.523,0.91,0.791,2.862,0.83,24,142
19939,0.092,0.526,0.911,-1.648,0.339,-0.49,18,142
19988,0.176,0.522,0.918,-0.055,0.794,0.042,21,142
20040,0.197,0.515,0.912,0.13,0.79,0.23,22,142
20089,0.02,0.528,0.905,-2.326,-1.252,-1.045,15,142
20140,0.263,0.514,0.915,0.658,1.747,0.783,24,142
20189,0.333,0.518,0.923,1.956,3.84,1.262,26,142
20238,0.066,0.515,0.916,-1.343,-1.505,-0.468,18,142
20287,0.006,0.521,0.914,-3.024,-5.058,-1.28,15,142
20337,0.118,0.517,0.899,-1.776,0.328,-0.867,19,142
20386,0.176,0.514,0.917,-0.605,4.831,0.098,22,142
20435,0.311,0.517,0.921,2.845,4.212,2.171,26,142
20488,0.128,0.52,0.907,-0.124,-2.848,-0.11,20,142
20538,-0.02,0.524,0.909,-2.469,-2.703,-1.774,15,142
20587,-0.099,0.515,0.914,-3.114,-3.06,-2.149,12,142
20636,0.221,0.518,0.93,1.192,0.912,1.029,23,142
20686,0.15,0.517,0.919,0.411,-1.182,0.249,21,142
20736,0.097,0.523,0.914,-0.107,-0.694,-0.298,18,142
20785,0.158,0.521,0.918,0.928,0.336,0.656,21,142
20834,0.128,0.524,0.92,0.249,-1.867,0.125,19,142
20884,0.082,0.517,0.904,-0.399,-0.964,-0.415,18,142
20936,0.134,0.519,0.917,0.38,-0.559,0.113,20,142
20985,0.267,0.524,0.901,2.028,0.276,0.996,24,142
21035,0.185,0.516,0.907,1.074,0.241,0.413,21,142
21085,0.309,0.518,0.919,2.558,1.512,1.428,25,142
21134,0.027,0.524,0.914,-0.97,-2.476,-1.143,16,142
21184,0.158,0.531,0.914,0.769,0.066,0.153,20,142
21233,0.075,0.523,0.909,0.25,-2.71,-0.006,18,142
21282,0.378,0.521,0.908,2.82,2.552,1.81,26,142
21332,0.144,0.532,0.91,-0.075,0.867,-0.227,20,142
21385,0.034,0.525,0.923,-0.512,-0.95,-0.592,17,142
21434,0.304,0.527,0.916,2.961,1.141,2.001,26,142
21483,0.383,0.532,0.89,3.39,3.92,1.829,26,142
21533,0.19,0.523,0.906,0.367,2.617,0.225,20,142
21582,0.348,0.523,0.924,2.865,3.493,1.458,26,142
21633,0.412,0.531,0.914,3.747,2.975,2.541,28,142
21682,0.155,0.529,0.914,0.377,-0.974,0.273,19,142
21731,0.172,0.529,0.902,0.897,0.77,0.538,20,142
21781,-0.003,0.527,0.911,-0.998,-3.988,-1.104,14,142
21830,0.256,0.532,0.908,1.306,0.268,0.997,22,142
21882,0.139,0.53,0.904,-0.139,0.104,-0.171,18,142
21933,0.037,0.533,0.906,-0.929,-1.178,-0.795,15,142
21982,0.217,0.537,0.905,1.167,0.155,0.688,22,142
22031,0.216,0.525,0.904,0.548,0.45,0.612,21,142
22081,0.136,0.524,0.906,-0.512,-0.108,-0.288,18,142
22173,0.097,0.535,0.905,-1.095,-0.76,-0.269,17,142
22223,0.003,0.532,0.906,-3.305,-2.303,-2.032,14,141
22273,0.237,0.537,0.907,0.056,4.896,0.765,22,142
22323,0.24,0.524,0.919,1.264,2.889,1.24,23,142
22375,0.157,0.527,0.904,-0.553,-2.193,0.082,19,142
22424,0.259,0.533,0.891,0.134,3.647,0.251,22,142
22474,0.192,0.524,0.906,-0.672,4.385,0.042,21,142
22523,0.108,0.528,0.911,-1.048,-0.12,-0.179,18,142
22574,0.318,0.526,0.912,2.275,2.487,1.276,25,142
22623,0.161,0.533,0.909,-0.653,0.726,0.075,19,142
22673,0.214,0.521,0.904,0.086,2.662,0.705,21,142
22722,0.063,0.518,0.913,-1.485,-1.547,-0.973,16,142
22772,0.317,0.531,0.902,1.81,2.823,1.393,25,142
22824,0.163,0.527,0.908,-0.954,0.651,-0.332,20,142
22875,0.071,0.518,0.913,-1.863,0.947,-0.628,18,142
22925,0.157,0.516,0.918,-0.281,1.779,0.237,21,142
22974,0.158,0.523,0.904,0.116,-1.905,-0.024,21,142
23024,0.255,0.524,0.902,0.537,2.662,0.715,23,142
23073,-0.009,0.531,0.91,-2.868,-1.252,-1.501,15,142
23123,0.015,0.52,0.917,-2.534,-1.045,-1.634,16,142
23174,-0.006,0.522,0.924,-1.526,-2.586,-1.183,15,142
23223,0.23,0.522,0.909,1.21,0.421,1.156,23,142
23276,0.037,0.521,0.886,-1.575,-3.633,-1.21,16,142
23325,0.223,0.524,0.911,0.052,3.487,0.275,22,142
23375,-0.022,0.525,0.923,-2.444,-1.362,-1.535,15,142
23426,0.228,0.521,0.922,0.793,0.978,0.659,23,142
23475,0.019,0.526,0.909,-1.632,-1.323,-0.871,16,142
23525,0.321,0.524,0.914,1.367,1.829,1.408,26,142
23575,0.202,0.523,0.916,0.198,0.82,0.376,22,142
23624,0.285,0.524,0.909,0.998,2.159,0.804,25,142
23674,0.258,0.52,0.914,0.841,1.445,0.947,24,142
23728,0.292,0.519,0.921,1.292,1.237,1.33,25,141
23777,0.119,0.519,0.922,-0.001,-0.169,0.046,19,142
23827,0.049,0.522,0.916,-0.57,-0.883,-0.554,17,141
23877,0.21,0.522,0.915,0.742,0.764,0.847,22,142
23926,0.186,0.52,0.916,0.832,0.909,0.436,22,141
23976,0.184,0.518,0.913,1.097,-0.233,0.817,22,141
24027,0.242,0.522,0.902,0.478,0.475,0.642,23,141
24076,0.13,0.524,0.909,-0.425,0.921,-0.734,19,142
24126,0.127,0.521,0.923,0.334,2.741,0.234,20,141
24176,0.147,0.514,0.923,1.381,-1.739,0.787,22,141
24229,0.032,0.52,0.905,-0.743,-5.845,-1.058,16,142
24279,0.227,0.525,0.904,0.958,3.83,0.765,23,142
24329,0.237,0.529,0.912,1.702,3.348,0.934,24,142
24379,0.094,0.525,0.924,0.379,-3.17,-0.019,19,142
24429,0.071,0.52,0.909,-0.53,-2.156,-0.572,17,141
24478,-0.118,0.519,0.917,-3.065,-4.56,-2.135,6,43
24528,0.22,0.526,0.922,1.951,-0.452,0.941,23,142
24579,0.183,0.527,0.905,0.787,-0.573,0.443,21,142
24629,0.219,0.524,0.906,1.74,2.548,0.765,23,142
24724,0.267,0.529,0.905,2.72,1.135,1.546,24,142
24774,0.258,0.531,0.902,2.216,0.824,1.373,22,141
24824,0.215,0.53,0.906,1.558,0.396,0.785,21,142
24875,0.11,0.535,0.903,0.164,-1.665,-0.081,18,142
24925,0.156,0.53,0.897,-0.118,-0.959,-0.274,19,142
24974,0.287,0.531,0.911,1.562,4.832,1.187,23,142
25024,0.106,0.532,0.919,0.467,0.131,0.056,18,142
25074,0.116,0.529,0.916,0.877,-4.56,0.1,18,142
25124,0.474,0.539,0.89,4.26,6.1,2.442,28,142
25177,0.018,0.532,0.902,-1.551,-1.745,-1.045,15,142
25227,0.157,0.535,0.905,0.52,0.085,0.269,20,142
25277,0.069,0.536,0.9,-0.092,-3.6,-0.443,16,142
25327,0.264,0.539,0.891,1.591,0.07,1.45,24,142
25377,0.117,0.527,0.895,-0.468,-0.291,0.009,19,142
25427,0.165,0.536,0.904,-0.239,0.298,0.048,21,142
25478,0.056,0.531,0.902,-2.311,-0.247,-1.196,16,142
25528,0.122,0.53,0.916,-0.973,0.652,-0.415,18,142
25577,0.232,0.527,0.91,1.053,0.757,0.718,22,141
25630,0.11,0.53,0.905,-1.156,-1.642,-0.294,18,142
25680,0.18,0.53,0.899,-0.173,0.041,0.138,21,142
25731,0.215,0.534,0.895,0.444,0.359,0.473,22,142
25781,0.345,0.536,0.906,1.7,2.503,0.995,25,142
25831,0.094,0.528,0.901,-2.429,0.763,-0.438,18,142
25881,-0.043,0.519,0.916,-3.3,-2.958,-1.517,14,142
25931,0.104,0.529,0.907,-1.207,-3.328,-0.409,17,142
25988,0.054,0.532,0.894,-2.58,-0.985,-1.489,15,142
26037,0.129,0.529,0.91,-1.527,1.793,-0.543,19,142
26087,0.149,0.528,0.912,-0.778,0.249,0.087,19,142
26139,0.154,0.534,0.918,-0.884,-1.558,0.062,21,142
26188,0.071,0.525,0.908,-2.239,-0.987,-0.793,18,142
26237,0.076,0.526,0.913,-2.048,-0.23,-0.263,17,142
26287,0.104,0.527,0.919,-1.274,-1.675,-0.33,20,142
26336,0.063,0.526,0.916,-2.335,-2.046,-0.856,17,142
26386,0.043,0.526,0.908,-2.587,-0.102,-1.274,16,142
26435,0.15,0.532,0.907,-0.611,0.781,-0.272,20,142
26484,0.292,0.53,0.903,1.35,2.52,1.0,26,141
26533,0.301,0.525,0.908,1.4,4.018,1.258,26,141
26586,0.163,0.52,0.901,-0.106,0.655,0.397,20,142
26635,0.177,0.524,0.909,-0.518,-0.979,0.156,21,142
26685,0.161,0.523,0.905,-1.142,-1.198,-0.305,21,142
26734,0.013,0.519,0.908,-3.217,-1.516,-1.49,16,142
26783,0.078,0.521,0.916,-1.131,-1.855,-0.682,18,142
26833,-0.007,0.524,0.921,-2.055,-7.882,-1.136,14,142
26883,0.256,0.523,0.894,0.517,0.903,0.489,24,141
26932,-0.05,0.518,0.91,-3.35,-3.689,-2.123,17,142
26982,0.063,0.513,0.923,-1.377,-1.19,-0.778,19,142
27034,0.133,0.527,0.916,-0.437,-2.357,-0.336,20,142
27083,0.274,0.513,0.914,1.404,1.543,1.369,25,142
27133,0.043,0.522,0.924,-0.708,-2.268,-0.475,16,142
27183,0.236,0.522,0.913,0.886,-0.351,0.738,23,142
27275,0.12,0.521,0.915,-0.217,-0.597,-0.239,18,142
27324,0.098,0.515,0.916,-0.156,-1.862,-0.38,17,142
27374,0.061,0.526,0.919,-0.644,-2.025,-0.549,16,142
27423,0.133,0.523,0.907,0.502,-1.047,-0.086,18,142
27472,0.162,0.525,0.908,0.926,-0.922,0.43,19,141
27525,0.237,0.521,0.909,1.346,0.007,0.963,23,141
27574,0.018,0.528,0.906,-1.609,-4.248,-1.303,15,142
27624,0.02,0.518,0.908,-1.6,-1.359,-1.12,14,141
27673,0.284,0.521,0.923,1.896,2.766,1.412,24,142
27722,0.007,0.521,0.904,-1.395,-7.351,-1.387,14,142
27771,0.228,0.533,0.9,0.355,1.263,-0.022,21,142
27822,-0.097,0.519,0.912,-3.713,-3.305,-2.858,20,142
27871,0.047,0.521,0.903,-1.707,-1.57,-0.862,18,142
