Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
47200,-0.089,-0.054,0.885,-49.321,-44.679,-22.969,45,25
47244,-0.101,-0.083,0.945,-40.221,-24.237,-7.672,45,22
47288,-0.024,-0.054,0.948,-29.481,-16.397,-2.863,48,21
47333,0.006,-0.007,0.963,-24.214,-2.092,-1.038,65,21
47378,0.013,0.044,1.016,-23.947,0.626,-5.282,68,21
47422,0.064,0.025,0.999,-23.977,14.344,-4.092,60,21
47466,-0.056,-0.045,1.232,-5.962,6.878,-3.565,44,21
47513,-0.006,0.074,1.08,0.756,-3.221,-3.71,45,21
47558,0.045,0.049,1.052,-4.435,10.336,3.794,67,21
47602,-0.099,0.015,1.142,0.618,2.626,8.992,59,20
47647,-0.056,0.046,1.06,0.382,-18.076,10.939,66,21
47692,0.033,0.039,1.009,-2.198,-15.015,14.298,67,21
47737,0.045,0.038,1.052,-2.183,-11.595,12.16,66,22
47781,0.085,0.046,1.042,-0.053,-6.947,8.107,51,22
47825,0.063,0.056,1.075,-2.069,1.931,7.901,45,22
47869,0.034,0.052,1.102,-1.794,-5.382,4.977,45,22
47917,0.082,0.071,1.047,-0.344,-2.855,2.573,45,23
47960,0.047,0.02,1.061,-2.924,-2.885,-5.695,44,22
48004,0.117,0.015,1.001,-5.107,1.298,-14.473,44,22
48048,0.085,-0.01,1.045,-5.153,11.099,-12.71,46,21
48092,0.026,-0.052,1.052,-2.809,9.847,-12.847,44,21
48136,0.024,-0.073,1.038,0.779,6.069,-12.076,45,20
48180,0.019,-0.024,1.026,1.458,6.351,-9.702,45,21
48223,-0.031,-0.021,1.078,2.649,5.878,-4.992,46,20
48267,-0.035,0.048,1.081,3.107,-1.672,0.863,44,20
48311,-0.047,0.059,1.103,0.626,-2.756,6.359,45,20
48358,0.011,0.029,1.083,1.443,-15.305,9.351,44,21
48402,0.05,0.057,1.017,0.13,-0.664,13.298,48,22
48446,-0.011,0.035,1.078,-0.023,-3.885,11.153,44,22
48489,0.041,0.035,1.051,1.282,-9.405,9.389,44,21
48533,0.068,0.026,1.035,0.122,-0.527,9.534,44,22
48577,0.036,-0.016,1.043,0.573,1.374,5.985,44,22
48621,0.062,-0.007,1.034,2.626,-3.397,1.702,47,21
48665,0.072,0.014,1.064,2.16,0.695,1.519,47,21
48709,0.054,0.014,1.062,0.786,0.763,0.679,47,21
48757,0.022,0.016,1.062,0.344,1.443,0.634,66,22
48802,0.031,0.013,1.052,2.176,1.771,-0.985,66,22
48847,0.019,0.03,1.065,1.244,0.962,-1.45,66,22
48891,0.013,0.015,1.083,0.344,-7.794,-1.221,47,21
48935,0.088,0.027,1.075,-1.382,-10.29,-1.038,45,21
48980,0.053,-0.061,1.162,2.924,-0.519,3.443,57,21
49025,0.023,-0.048,1.168,25.053,-2.168,5.695,45,21
49069,-0.085,0.028,1.235,46.336,2.069,15.397,41,22
49113,-0.102,0.222,1.102,52.496,12.443,28.473,40,23
49160,-0.209,0.298,0.969,48.214,33.878,56.023,52,25
49204,-0.322,0.372,0.945,27.122,37.252,91.145,36,27
49248,-0.28,0.312,0.901,0.038,19.763,116.573,44,24
49293,-0.183,0.227,0.886,-20.664,-4.748,119.412,52,27
49338,-0.004,0.126,0.981,-33.229,-37.489,98.886,43,35
49383,0.238,-0.001,0.973,-34.611,-66.153,67.145,40,37
49470,0.509,-0.194,0.935,-25.855,-11.481,12.794,31,40
49514,0.358,-0.173,1.053,-14.687,34.878,11.565,33,38
49559,0.198,-0.04,1.027,-12.58,40.672,7.084,38,40
49606,0.029,-0.068,1.156,-14.427,14.107,6.969,30,36
49651,0.092,-0.035,1.062,-7.321,-23.053,0.84,30,36
49695,0.173,-0.027,1.061,-1.115,-23.649,-1.71,32,37
49739,0.167,0.029,1.049,2.053,9.534,-0.015,30,36
49783,0.07,0.03,1.078,2.611,17.878,0.771,30,36
49827,0.076,-0.014,1.051,0.321,6.809,0.153,31,37
49872,0.088,0.009,1.053,3.595,2.527,-0.771,30,37
49916,0.099,0.001,1.051,1.641,7.595,2.618,32,39
49960,0.088,-0.022,1.051,-0.473,0.924,4.038,34,39
50009,0.134,-0.07,1.084,4.26,-18.153,-4.405,32,38
50053,0.206,-0.01,1.027,2.733,-11.611,-9.74,33,37
50098,0.188,0.021,1.008,-1.893,7.74,-16.611,33,38
50142,0.117,0.047,1.101,-0.534,13.924,-17.855,33,36
50187,0.056,0.038,1.083,4.099,8.664,-18.84,45,36
50231,0.025,0.061,1.044,2.511,8.733,-14.382,32,35
50276,0.011,0.069,1.075,4.969,-0.481,-7.687,38,34
50321,0.028,0.106,1.032,4.634,1.656,-1.649,37,34
50365,0.032,0.087,1.036,3.649,8.458,2.389,34,34
50409,0.021,0.078,0.936,-1.16,15.954,7.947,32,36
50458,0.008,0.031,1.097,3.244,14.183,8.603,69,35
50503,0.01,0.061,1.031,1.74,9.229,14.023,36,35
50547,-0.019,0.017,1.096,-1.176,-0.733,17.099,35,36
50592,0.042,-0.034,1.137,4.359,-22.282,12.359,37,36
50637,0.16,-0.029,1.023,4.29,-16.42,9.603,37,36
50681,0.157,-0.018,1.02,-1.702,-1.046,7.901,35,36
50726,0.163,-0.011,1.097,-2.45,-3.45,1.053,38,36
50771,0.169,-0.018,1.068,-1.321,-5.573,-5.977,37,36
50824,0.135,0.007,1.058,-3.557,-9.885,-13.931,160,36
50872,0.108,-0.002,1.082,-1.962,-9.939,-16.611,38,37
50916,0.089,0.007,1.065,1.878,-5.863,-17.573,31,35
50961,0.116,0.092,1.016,0.45,1.931,-19.573,37,35
51005,0.061,0.07,1.106,0.969,10.985,-14.542,31,36
51049,0.032,0.098,1.072,3.198,3.099,-16.099,31,34
51094,0.012,0.114,1.012,-1.206,1.107,-9.595,30,37
51138,-0.045,0.087,1.135,1.885,-0.847,-0.893,32,37
51183,-0.01,0.1,1.073,5.489,-3.244,3.855,32,37
51227,0.05,0.122,0.983,6.084,11.237,10.359,32,40
51275,-0.043,0.048,1.037,-0.626,18.031,22.672,33,35
51320,0.009,0.026,1.068,4.015,0.031,20.511,37,35
51365,0.082,0.038,1.018,0.229,-1.595,24.718,44,36
51417,0.072,-0.058,1.091,-1.656,-3.847,23.023,149,36
51468,0.153,-0.031,1.09,-1.137,-15.779,14.695,139,36
51512,0.244,-0.031,1.048,-1.046,-9.947,4.061,37,36
51557,0.225,0.036,1.033,-2.809,10.473,-0.168,38,36
51602,0.133,-0.054,1.105,1.153,-2.229,-9.344,35,37
51647,0.153,0.023,1.021,-1.534,-13.031,-17.321,37,38
51696,0.131,0.017,1.039,-5.038,-10.756,-22.382,51,37
51784,0.002,0.07,1.07,2.397,14.832,-14.328,33,35
51828,-0.012,0.141,1.03,1.275,10.878,-9.427,30,33
51873,-0.022,0.114,1.039,-0.885,12.344,0.466,30,34
51917,-0.027,0.096,1.062,3.779,3.809,5.099,30,35
51962,-0.014,0.077,1.021,1.595,7.237,14.076,32,35
52006,0.026,0.048,1.043,1.901,0.794,16.458,33,36
52051,0.068,-0.001,1.075,0.763,-4.168,15.977,34,36
52097,0.147,-0.007,1.055,0.084,-7.015,11.359,33,35
52145,0.152,-0.015,1.066,0.015,-1.344,3.878,33,36
52189,0.152,0.024,1.099,0.13,4.908,1.145,31,36
52234,0.115,-0.017,1.087,3.931,6.634,-1.511,32,36
52278,0.083,0.029,1.039,3.519,4.588,-2.595,31,37
52323,0.056,0.03,1.05,-0.389,2.939,-3.802,32,36
52368,0.044,0.072,0.988,-4.099,-2.458,-3.359,31,38
52413,0.041,0.045,1.045,-3.496,-2.29,-4.229,32,37
52457,0.062,0.009,1.015,-2.382,5.756,-2.229,31,36
52502,0.021,0.013,1.117,4.611,4.389,0.985,29,36
52546,0.03,0.049,1.049,4.748,-1.229,3.748,29,36
52594,0.073,0.031,1.031,2.046,2.466,5.397,32,36
52639,0.041,0.079,1.021,-2.45,6.29,2.115,32,35
52683,0.013,-0.008,1.131,-2.885,-8.786,-0.305,33,35
52728,0.132,-0.028,1.019,3.008,-5.931,-2.443,33,36
52773,0.057,0.027,1.103,2.282,15.305,5.641,35,36
52818,-0.008,-0.006,1.135,8.565,-7.634,4.183,35,36
52864,0.102,0.046,1.024,11.305,-12.038,2.718,34,38
