Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
16698,-0.599,0.755,0.788,48.985,27.534,52.87,23,180
16751,-0.449,0.851,0.642,57.664,22.145,60.359,22,0
16802,-0.503,0.802,0.549,57.534,40.702,70.481,23,180
16854,-0.464,0.769,0.415,51.588,32.656,68.198,22,180
16906,-0.458,0.71,0.453,48.031,6.22,67.489,23,180
16957,-0.304,0.793,0.295,40.611,-17.542,55.092,23,181
17010,-0.183,0.827,0.187,20.82,-16.106,41.344,21,0
17064,-0.077,0.825,0.204,-3.957,-3.486,16.486,20,182
17117,-0.012,0.803,0.215,-16.328,-10.181,-26.275,18,182
17168,-0.097,0.875,0.288,-25.786,14.359,-59.489,18,182
17221,-0.644,0.871,0.433,-20.544,77.046,-28.725,20,0
17273,-0.613,0.969,0.558,-0.111,28.244,6.232,16,0
17326,-0.515,1.864,0.346,1.947,-61.023,10.116,16,0
17379,-0.069,0.837,0.217,7.875,-40.832,-9.446,21,0
17431,-0.408,0.926,0.39,-10.1,33.588,-20.786,20,0
17484,-0.57,0.738,0.483,-12.761,13.038,17.511,23,0
17540,-0.322,0.919,0.377,1.423,-25.577,18.695,16,0
17593,-0.081,0.952,0.224,-1.656,-15.525,-1.128,16,0
17645,-0.196,0.942,0.302,-20.38,14.193,-18.443,16,0
17698,-0.437,0.863,0.359,-30.13,25.008,-18.16,16,0
17751,-0.319,0.893,0.198,-45.756,30.557,-20.702,22,0
17804,-0.248,0.933,-0.034,-87.359,95.099,-31.405,22,0
17857,-0.591,0.803,0.121,-132.115,130.656,-40.748,23,0
17910,-0.735,0.695,0.287,-163.107,109.214,-27.511,27,0
17954,-0.977,0.456,0.664,-160.282,42.435,-6.357,23,29
18010,-0.757,0.322,0.74,-136.046,10.618,-0.781,23,0
18063,-0.705,0.296,0.859,-104.58,16.939,18.916,22,0
18106,-0.827,0.258,0.984,-45.87,17.796,29.931,23,20
18148,-0.745,0.261,0.926,5.134,2.178,32.443,23,16
18191,-0.573,0.343,0.743,19.368,1.388,26.176,20,30
18243,-0.487,0.417,0.61,7.783,19.371,12.045,19,0
18296,-0.504,0.356,0.607,-5.566,10.096,-3.535,23,0
18340,-0.647,0.823,0.808,-27.802,-15.591,-31.389,21,33
18382,-0.679,0.538,0.539,-30.082,-24.074,-19.275,6,5
18428,-0.839,0.759,0.526,-24.144,30.336,18.397,20,29
18482,-1.03,0.734,0.742,-34.313,34.641,71.076,20,0
18538,-1.116,0.588,1.123,-39.458,-55.725,118.565,16,0
18590,-0.725,0.365,1.083,10.056,-155.328,130.931,16,0
18647,-0.27,0.292,0.892,61.718,-165.115,114.641,13,0
18694,0.023,0.236,0.759,99.435,-151.031,66.863,17,100
18747,0.174,0.252,0.554,117.702,-130.489,1.167,17,0
18799,0.185,0.363,0.405,107.573,-100.733,-67.237,11,0
18852,0.128,0.622,0.359,78.198,-66.191,-118.099,17,0
18908,-0.021,0.714,0.305,60.137,-36.252,-146.435,17,0
18961,-0.163,0.924,0.177,40.664,9.049,-156.038,16,0
19014,-0.432,1.047,0.063,8.152,65.634,-133.985,20,0
19067,-0.672,1.141,0.055,-38.221,103.389,-85.511,29,0
19122,-0.868,1.037,0.206,-67.542,77.443,-45.985,37,0
19175,-0.828,0.927,0.267,-77.886,29.992,-10.82,30,0
19229,-0.773,0.935,0.304,-100.061,34.763,30.762,27,0
19325,-0.882,0.747,0.55,-122.214,20.933,68.504,29,0
19379,-0.822,0.591,0.692,-117.924,-0.916,97.702,21,0
19428,-0.691,0.422,0.862,-88.687,-29.137,114.481,18,90
19472,-0.492,0.28,0.901,-48.565,-41.221,114.374,17,40
19516,-0.46,0.205,0.952,-23.876,-47.176,116.534,17,39
19560,-0.352,0.199,1.021,20.775,-68.931,106.878,17,41
19603,-0.114,0.291,0.914,52.076,-96.664,74.939,17,43
19647,0.063,0.427,0.744,59.58,-102.305,45.511,10,45
19691,0.185,0.619,0.663,57.87,-83.58,15.998,8,49
19735,0.163,0.713,0.589,56.557,-61.405,2.728,10,51
19790,0.235,0.886,0.547,56.267,-37.023,-9.147,16,0
19844,0.206,0.97,0.554,43.603,-34.229,-23.229,17,0
19896,0.118,1.002,0.532,20.92,-56.046,-30.443,10,0
19949,0.101,0.933,0.397,18.16,-45.824,-24.725,9,0
20001,0.005,0.934,0.376,17.441,-26.598,-16.597,12,0
20055,0.025,0.913,0.356,19.255,-15.721,-9.336,17,0
20108,0.127,0.957,0.249,13.894,13.44,-7.344,16,0
20160,0.193,0.994,0.21,-19.805,46.71,-25.466,16,0
20213,0.312,1.038,0.081,-72.725,96.863,-54.366,12,0
