Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32416,0.044,-0.872,0.389,1.835,-21.573,-0.88,53,0
32464,0.055,-0.841,0.391,-2.16,-18.09,4.672,56,86
32520,0.008,-0.795,0.417,-5.33,-31.196,10.87,17,5
32574,0.022,-0.783,0.399,-7.565,-10.11,13.176,53,0
32623,-0.01,-0.845,0.412,-11.0,-7.92,14.992,58,85
32671,0.011,-0.914,0.386,-14.344,-12.909,17.298,52,84
32718,0.013,-0.894,0.367,-13.832,7.889,25.031,50,84
32770,-0.016,-0.856,0.339,-10.206,5.693,33.092,54,83
32814,-0.071,-1.031,0.27,-13.748,20.345,29.145,49,16
32858,-0.105,-0.931,0.224,-16.534,31.573,27.878,49,14
32902,-0.168,-0.988,0.241,-15.588,30.496,29.221,48,13
32946,-0.189,-0.998,0.227,-11.191,34.985,15.931,49,16
32990,-0.252,-1.024,0.268,-15.427,27.771,13.42,50,14
33034,-0.326,-1.146,0.297,-19.802,-16.409,-1.737,51,13
33078,-0.183,-1.102,0.253,-17.771,-23.977,-2.109,52,13
33122,-0.118,-0.94,0.213,-14.092,-27.74,-1.558,54,12
33169,-0.109,-0.906,0.181,-10.145,-8.456,-3.554,56,11
33213,-0.146,-0.871,0.217,5.858,6.921,-4.775,57,11
33257,-0.125,-0.805,0.173,18.603,10.338,-7.052,57,11
33301,-0.143,-0.824,0.193,30.099,31.131,-1.962,58,11
33346,-0.157,-0.787,0.225,37.962,16.384,-1.949,58,11
33390,-0.148,-0.869,0.244,40.626,23.994,3.101,59,11
33434,-0.156,-0.987,0.262,39.916,16.974,-17.887,58,10
33479,-0.223,-0.954,0.312,35.84,21.756,-22.893,60,10
33523,-0.222,-0.867,0.339,28.679,23.388,-26.13,61,13
33571,-0.22,-0.839,0.353,18.58,14.416,-26.992,65,16
33616,-0.168,-0.778,0.417,17.893,20.133,-27.015,66,17
33661,-0.14,-0.756,0.427,23.282,-4.497,-9.416,65,17
33707,-0.111,-1.039,0.424,8.89,-5.038,-3.672,64,16
33752,-0.153,-1.341,0.493,-27.046,0.136,-30.687,63,17
33797,-0.108,-0.825,0.548,-21.504,-15.272,-21.008,63,18
33842,-0.006,-0.656,0.447,-5.863,-36.687,15.427,63,17
33887,-0.043,-0.865,0.415,-10.756,-23.115,7.591,63,17
