Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33184,-0.025,-0.932,0.334,-1.455,-5.91,-0.694,0,120
33243,-0.044,-0.937,0.353,-0.583,-9.506,-1.413,0,119
33301,-0.038,-0.926,0.349,2.818,2.979,2.95,0,125
33359,-0.058,-0.925,0.359,-0.762,-13.343,-0.745,0,116
33418,-0.052,-0.92,0.348,-2.664,-26.615,-3.923,0,111
33477,-0.049,-0.927,0.341,1.388,5.428,2.418,0,126
33536,-0.059,-0.934,0.349,2.589,15.844,5.289,0,130
33597,-0.045,-0.932,0.327,-0.504,-10.189,0.454,0,117
33655,-0.052,-0.942,0.337,3.031,6.132,5.321,0,125
33714,-0.046,-0.922,0.34,1.994,-4.768,1.542,0,120
33772,-0.044,-0.933,0.339,-1.966,-14.841,-1.618,0,115
33831,-0.049,-0.927,0.344,0.612,-11.235,-0.594,0,117
33890,-0.064,-0.934,0.345,-1.452,-15.639,-1.686,0,113
33948,-0.061,-0.934,0.343,7.945,8.684,8.447,0,125
34007,-0.063,-0.919,0.333,6.008,-0.851,7.569,0,121
34065,-0.076,-0.942,0.339,-3.425,-18.91,5.122,0,114
34123,-0.102,-0.954,0.377,9.344,-13.221,10.397,0,123
34185,-0.104,-0.93,0.374,14.603,-13.969,20.573,0,112
34243,-0.104,-0.907,0.381,15.191,-9.939,20.939,0,118
34302,-0.099,-0.893,0.381,12.534,-34.69,17.099,0,107
34361,-0.102,-0.89,0.389,8.29,-4.153,14.191,0,118
34419,-0.105,-0.896,0.39,2.063,-11.388,8.366,0,116
34478,-0.089,-0.891,0.381,-1.636,-10.145,4.977,0,116
34536,-0.102,-0.908,0.38,-3.687,-10.969,-7.012,0,109
34595,-0.125,-0.902,0.388,-6.031,-13.863,5.434,0,120
34657,-0.144,-0.912,0.389,-5.206,-23.924,0.73,0,114
34715,-0.119,-0.905,0.376,-6.985,-20.794,5.473,0,111
34774,-0.134,-0.9,0.388,-8.084,-12.908,6.382,0,113
34832,-0.147,-0.911,0.393,-6.557,-11.313,7.359,0,117
34890,-0.151,-0.92,0.38,-6.374,-16.206,5.473,0,121
34949,-0.121,-0.921,0.352,-9.443,-14.939,5.481,0,115
35007,-0.14,-0.933,0.373,-12.511,-18.443,-0.829,0,111
35065,-0.151,-0.926,0.356,-8.053,-34.122,1.597,0,111
35124,-0.11,-0.91,0.313,-6.046,-31.527,6.533,0,111
