Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
64555,0.016,-0.84,0.372,-4.389,9.109,-8.143,0,0
64618,0.11,-0.813,0.263,-12.626,28.313,0.1,1,0
64681,-0.06,-0.8,0.363,-22.809,64.679,-12.86,0,0
64745,-0.137,-0.882,0.452,-8.702,-14.303,-12.115,0,0
64807,0.009,-0.862,0.375,-9.847,16.468,5.517,0,0
64871,0.004,-0.979,0.36,-11.282,48.42,3.809,0,0
64934,-0.142,-0.97,0.449,-5.069,40.603,7.718,0,0
64997,-0.157,-0.986,0.453,-1.339,-15.687,15.924,0,0
65063,-0.075,-1.147,0.305,-11.786,-18.366,-8.337,0,0
65127,-0.082,-0.935,0.237,-8.753,-5.644,9.198,0,0
65189,-0.111,-0.997,0.189,6.546,2.556,29.588,0,0
65253,-0.079,-1.053,0.115,6.37,20.762,8.588,0,0
65316,-0.119,-0.797,0.207,-4.481,16.867,13.267,0,0
65380,-0.163,-0.917,0.188,-3.033,3.942,0.145,0,0
65442,-0.148,-0.904,0.192,1.426,4.959,-11.221,0,0
65506,-0.167,-0.922,0.22,1.938,11.158,-9.689,0,0
65569,-0.214,-1.018,0.245,8.855,3.827,-14.573,0,0
65635,-0.162,-1.072,0.208,14.176,1.157,-18.786,0,0
65698,-0.07,-1.248,0.104,26.443,32.893,-17.565,0,0
65762,-0.116,-1.052,0.22,-4.916,70.244,-23.427,0,0
65825,-0.117,-0.774,0.352,11.901,40.779,14.382,0,0
65888,0.0,-0.842,0.265,22.473,20.305,22.802,0,0
65951,-0.053,-0.865,0.342,-5.351,20.198,13.023,0,0
66015,-0.063,-0.845,0.334,1.238,-16.664,6.147,1,0
66078,-0.079,-0.834,0.302,-16.389,-15.725,3.878,1,0
66142,-0.128,-0.85,0.306,-18.427,-20.015,-10.354,0,0
66199,-0.137,-0.913,0.34,-22.099,-25.282,-9.735,58,0
66254,-0.123,-0.917,0.34,-18.733,-29.229,-6.508,57,0
66310,-0.076,-0.94,0.298,-7.504,-28.756,6.611,57,0
66365,-0.069,-0.894,0.279,0.826,2.362,13.664,57,0
66428,-0.125,-0.897,0.307,-9.405,10.541,17.817,0,0
66492,-0.144,-1.351,0.239,-21.336,8.252,3.926,1,0
66555,-0.114,-1.043,0.202,-10.267,12.872,-14.374,0,0
66619,-0.112,-0.829,0.272,-2.862,2.858,30.305,0,0
66682,-0.11,-1.183,0.186,17.374,-18.221,21.58,1,0
66748,-0.036,-0.876,0.121,26.695,6.571,6.817,0,0
66811,-0.125,-0.795,0.156,13.008,10.664,14.427,0,0
66875,-0.199,-0.827,0.169,16.061,0.385,5.8,0,0
66938,-0.208,-0.846,0.2,11.008,4.773,-0.728,0,0
67002,-0.273,-0.922,0.277,2.848,13.151,2.067,0,0
67065,-0.236,-1.025,0.268,11.951,10.108,-1.314,1,0
67129,-0.191,-1.016,0.236,5.912,16.861,-13.649,0,0
67191,-0.198,-1.141,0.229,9.929,31.489,-18.618,1,0
67255,-0.228,-1.086,0.269,-16.229,33.756,-34.115,0,0
67321,-0.207,-0.763,0.341,-12.061,-0.929,-13.962,1,0
67385,-0.079,-0.925,0.199,4.47,-18.748,-1.081,0,0
67448,-0.03,-0.957,0.175,1.002,18.001,-0.436,0,0
67512,-0.165,-0.846,0.323,-8.237,14.548,1.047,0,0
67575,-0.181,-0.821,0.296,-8.344,-21.282,-5.299,0,0
67639,-0.14,-0.795,0.27,-10.015,-32.863,-5.656,0,0
67745,-0.204,-0.938,0.378,-9.229,-33.252,9.033,1,0
67809,-0.169,-1.032,0.351,2.638,-49.397,6.397,0,0
67872,-0.058,-0.93,0.27,10.221,-26.366,19.626,0,0
67939,-0.19,-1.229,0.268,1.154,15.527,1.224,0,0
68002,-0.168,-0.968,0.216,10.435,2.887,3.37,0,0
68066,-0.171,-0.982,0.181,12.253,6.491,17.618,1,0
68129,-0.207,-1.124,0.15,19.527,-15.84,-0.34,1,0
68193,-0.121,-0.821,0.142,9.107,-28.412,-1.624,1,0
68256,-0.133,-0.8,0.153,4.535,-17.908,7.382,0,0
68320,-0.202,-0.8,0.176,14.221,-20.618,3.624,1,0
68383,-0.165,-0.842,0.162,18.702,-15.075,7.962,0,0
68447,-0.214,-1.057,0.248,13.924,22.899,2.371,1,0
68513,-0.2,-1.107,0.288,8.855,27.985,-18.443,1,0
68577,-0.138,-1.204,0.24,-0.532,20.313,-16.16,0,0
68640,-0.129,-1.004,0.265,-8.069,32.366,-23.229,0,0
68704,-0.108,-0.78,0.308,2.646,19.595,0.499,0,0
68767,-0.046,-0.906,0.254,0.446,14.839,0.911,0,0
68831,-0.029,-0.926,0.259,-5.42,36.412,2.01,1,0
68894,-0.099,-0.794,0.35,-10.252,17.244,-0.509,0,0
68958,-0.11,-0.787,0.335,-18.137,-5.852,-6.615,0,0
69022,-0.133,-0.839,0.332,-24.954,-16.489,-16.863,0,0
69086,-0.136,-0.874,0.343,-22.832,-21.321,-14.203,0,0
69152,-0.151,-0.961,0.379,-15.092,-15.031,2.478,1,0
69216,-0.132,-0.993,0.337,-3.064,-8.732,2.358,0,0
69279,-0.126,-0.943,0.314,-6.237,6.779,11.771,0,0
69343,-0.203,-1.152,0.335,-11.382,20.486,5.64,0,0
69407,-0.204,-1.061,0.28,-5.053,6.35,-6.351,0,0
69471,-0.154,-0.958,0.233,7.172,-10.695,20.038,0,0
69534,-0.164,-1.167,0.173,14.977,-27.45,18.397,0,0
69598,-0.075,-0.875,0.117,26.733,-15.489,8.656,0,0
69661,-0.124,-0.811,0.137,23.313,-1.303,20.344,0,0
69728,-0.146,-0.833,0.157,25.809,-4.945,10.336,0,0
69792,-0.131,-0.839,0.167,19.71,1.126,7.275,0,0
69856,-0.166,-1.007,0.201,13.29,8.367,4.195,1,0
69919,-0.149,-1.032,0.2,5.911,9.845,-14.489,0,0
69983,-0.148,-1.012,0.22,0.91,19.745,-23.191,0,0
70046,-0.135,-1.169,0.176,-1.59,36.29,-30.618,0,0
70111,-0.158,-1.011,0.227,-14.687,62.962,-45.412,0,0
70174,-0.187,-0.635,0.362,-7.916,45.183,-5.721,1,0
70238,-0.141,-0.915,0.299,-4.305,16.735,7.122,0,0
70305,-0.113,-0.97,0.276,-14.366,25.237,-1.675,0,0
70369,-0.195,-0.832,0.384,-23.023,3.664,-0.947,0,0
70432,-0.143,-0.82,0.295,-17.237,-24.511,-4.724,0,0
70496,-0.159,-0.845,0.302,-17.183,-23.771,-1.483,0,0
70560,-0.134,-0.888,0.291,-12.748,-23.473,5.214,1,0
70624,-0.177,-1.015,0.288,-8.511,-23.695,5.463,1,0
70687,-0.104,-0.963,0.223,2.041,-15.102,6.885,0,0
70752,-0.155,-0.934,0.255,-2.164,-2.69,22.214,0,0
70815,-0.208,-1.123,0.226,0.759,-0.508,7.206,0,0
70882,-0.165,-1.087,0.142,3.864,-2.097,-0.27,0,0
70988,-0.167,-1.087,0.155,11.008,5.382,23.618,1,0
71053,-0.154,-0.936,0.167,16.023,-12.382,13.198,0,0
71116,-0.127,-0.819,0.154,14.26,-3.791,16.908,1,0
71180,-0.168,-0.857,0.16,14.168,-11.044,12.137,0,0
71244,-0.147,-0.873,0.147,12.053,0.589,-0.209,0,0
71308,-0.219,-0.919,0.236,8.824,0.788,-10.697,0,0
71371,-0.218,-1.089,0.202,11.275,-3.464,-17.496,0,0
71436,-0.188,-0.993,0.223,4.531,14.435,-26.275,0,0
71502,-0.187,-1.161,0.214,0.384,14.928,-29.962,0,0
71567,-0.171,-1.022,0.201,-10.405,22.382,-35.954,0,0
71630,-0.146,-0.804,0.278,-9.137,26.916,-22.771,0,0
71694,-0.139,-0.873,0.288,-4.771,26.565,-3.382,1,0
71758,-0.078,-0.926,0.26,-0.908,19.557,10.121,1,0
71822,-0.115,-0.908,0.322,-4.818,18.824,8.573,0,0
71886,-0.116,-0.797,0.319,-3.637,8.09,8.282,0,0
71950,-0.155,-0.824,0.346,-9.893,-11.71,3.822,1,0
72013,-0.164,-0.854,0.356,-10.351,-26.763,-1.051,1,0
72081,-0.179,-0.914,0.378,-6.977,-36.069,-4.019,0,0
72144,-0.151,-0.945,0.335,5.742,-34.664,6.939,0,0
72209,-0.156,-0.919,0.317,8.756,-13.176,18.443,1,0
72272,-0.18,-0.996,0.312,10.427,-23.802,29.458,0,0
72337,-0.211,-1.156,0.27,3.035,-28.832,13.656,0,0
72400,-0.194,-1.03,0.226,9.493,-63.221,10.916,1,0
72465,-0.264,-1.003,0.295,8.888,-89.214,23.107,0,0
72528,-0.28,-1.061,0.242,8.832,-145.45,-0.927,0,0
72599,-0.057,-0.831,0.142,21.374,-130.817,13.496,1,0
72654,-0.058,-0.867,0.253,24.412,-76.298,21.565,16,0
72708,-0.144,-0.873,0.369,24.725,-57.015,14.16,17,0
72760,-0.087,-0.887,0.365,27.321,-55.0,8.366,16,0
72812,-0.011,-0.836,0.421,24.099,-23.382,8.626,11,0
72876,-0.093,-0.93,0.527,16.366,-6.44,-1.135,0,0
72939,-0.089,-0.908,0.513,15.573,-15.8,-11.956,0,0
73001,-0.075,-0.925,0.552,14.817,2.132,-7.866,0,0
73065,-0.042,-0.897,0.501,9.65,20.878,-13.313,1,0
73117,-0.087,-0.865,0.513,3.826,19.084,-3.875,16,0
73184,-0.003,-0.827,0.462,8.55,14.569,-0.38,0,0
73236,0.074,-0.792,0.371,4.182,24.527,-1.937,9,0
73299,0.051,-0.885,0.428,-9.695,38.305,-8.579,0,0
73362,0.047,-0.785,0.446,-20.557,39.725,-9.992,0,0
