Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
31173,0.26,0.845,0.572,-4.664,-0.389,0.985,8,0
31228,0.261,0.841,0.584,-4.053,0.313,1.641,7,0
31281,0.26,0.84,0.588,-3.42,1.725,3.122,7,0
31337,0.26,0.843,0.589,-2.275,1.985,4.649,8,0
31388,0.263,0.835,0.591,-1.916,1.145,5.87,6,0
31444,0.27,0.837,0.593,-2.687,1.313,5.305,9,0
31497,0.29,0.83,0.602,-2.229,0.206,4.618,9,0
31552,0.278,0.827,0.595,-2.794,3.748,5.435,8,0
31606,0.274,0.823,0.613,-1.679,0.58,4.206,7,0
31663,0.282,0.83,0.591,-1.588,-0.221,3.992,7,0
31714,0.28,0.825,0.603,-1.977,2.977,4.206,6,0
31770,0.271,0.816,0.606,-1.344,0.473,3.748,6,0
31822,0.291,0.827,0.594,-0.496,-0.122,3.679,9,0
31878,0.289,0.818,0.608,-0.71,2.954,4.252,8,0
31931,0.279,0.816,0.622,-0.252,-0.382,2.916,31,0
31985,0.303,0.817,0.598,0.824,-1.191,0.786,38,0
32038,0.277,0.813,0.591,0.061,3.71,1.962,37,0
32093,0.257,0.825,0.616,-0.214,1.458,3.786,38,0
32149,0.279,0.82,0.601,0.275,-2.511,3.595,37,0
32204,0.3,0.816,0.591,-1.061,1.053,4.298,7,0
32257,0.288,0.817,0.624,-1.084,1.435,3.305,6,0
32312,0.286,0.814,0.62,-0.504,0.115,2.519,5,0
32364,0.294,0.812,0.616,0.298,0.947,2.466,5,0
32420,0.281,0.814,0.616,0.046,0.55,1.58,7,0
32472,0.287,0.809,0.622,0.473,-2.466,-0.107,7,0
32528,0.315,0.808,0.608,2.229,-1.115,-0.672,7,0
32580,0.275,0.806,0.636,4.237,1.244,-1.366,7,0
32635,0.296,0.811,0.62,7.244,-5.611,-3.924,10,0
32691,0.308,0.831,0.587,8.504,-1.573,-4.679,6,0
32744,0.279,0.831,0.59,8.229,8.565,-2.687,26,0
32799,0.248,0.834,0.602,9.382,5.985,-2.481,7,0
32851,0.24,0.848,0.58,8.26,-0.046,-1.237,7,0
32908,0.263,0.864,0.558,6.069,1.412,0.824,7,0
32960,0.251,0.853,0.566,4.237,1.321,1.733,8,0
33015,0.263,0.853,0.56,2.115,0.664,1.832,10,0
33068,0.259,0.852,0.565,0.641,1.237,2.252,10,0
33124,0.251,0.849,0.566,-0.847,1.145,1.893,10,0
33179,0.25,0.848,0.582,-0.26,0.015,2.084,10,0
33235,0.267,0.845,0.577,0.16,2.168,3.214,10,0
33288,0.247,0.845,0.578,1.008,1.802,3.275,10,0
33343,0.27,0.857,0.568,0.634,1.053,3.275,10,0
33396,0.26,0.844,0.568,-0.763,2.481,3.824,10,0
33452,0.245,0.855,0.574,-3,1.893,4.901,8,0
33504,0.262,0.843,0.572,-3.901,0.145,5.779,7,0
33559,0.268,0.842,0.574,-4.336,1.229,6.458,6,0
33612,0.27,0.831,0.584,-4.855,1.099,6.511,9,0
33668,0.277,0.835,0.592,-5.13,0.863,6.847,8,0
33723,0.277,0.828,0.593,-4.756,1.878,6.756,7,0
33779,0.278,0.829,0.607,-5.145,0.931,6.947,9,0
33831,0.293,0.814,0.612,-4.847,-0.267,6.832,8,0
33927,0.294,0.79,0.618,-3.641,-0.206,4.672,7,0
33982,0.311,0.801,0.634,-2.16,-1.557,1.618,6,0
34034,0.307,0.801,0.629,-0.626,-1.084,-0.679,7,0
34091,0.314,0.801,0.604,0.794,-0.351,-1.496,7,0
34143,0.277,0.797,0.644,1.87,4.45,-1.275,10,0
34199,0.274,0.804,0.644,5.191,-3.985,-2.55,10,0
34251,0.302,0.805,0.611,7.305,-2.534,-3.527,8,0
34307,0.274,0.812,0.603,7.504,4,-2.611,9,0
34360,0.265,0.833,0.601,8.969,4.519,-1.656,25,0
34416,0.257,0.83,0.584,9.542,3.687,-0.481,9,0
34468,0.253,0.838,0.591,7.603,1.107,0.26,6,0
34524,0.264,0.851,0.562,5.847,0.45,0.87,9,0
34577,0.273,0.849,0.564,2.87,1.824,1.374,7,0
34632,0.258,0.847,0.589,1.389,0.183,0.924,7,0
34684,0.255,0.845,0.581,0.733,0.084,1.45,7,0
34741,0.258,0.842,0.588,0.344,1.153,2.061,7,0
34793,0.26,0.845,0.592,0.992,1.382,2.489,7,0
34848,0.262,0.845,0.583,0.634,0.992,2.122,7,0
34904,0.256,0.84,0.577,1.603,1.695,2.527,7,0
34957,0.26,0.835,0.577,1.374,2.023,3.031,7,0
35012,0.25,0.844,0.579,0.985,0.023,1.893,7,0
35064,0.256,0.847,0.574,0.756,1.504,2.351,7,0
35121,0.251,0.85,0.567,0.099,2.038,2.595,7,0
35173,0.258,0.847,0.581,-0.626,1.122,4.008,8,0
35229,0.262,0.851,0.577,-1.046,1.313,4.435,6,0
35281,0.259,0.846,0.567,-3.107,2.42,5.985,7,0
35338,0.253,0.835,0.595,-3.573,1,5.718,8,0
35394,0.281,0.831,0.588,-4.466,0.305,6.412,25,0
35450,0.269,0.829,0.597,-5.267,2.969,7.214,7,0
35503,0.269,0.831,0.612,-4.733,-0.931,7.107,6,0
35556,0.297,0.819,0.61,-3.519,-0.16,6.756,31,0
35610,0.302,0.812,0.617,-2.84,2.244,5.405,37,0
35666,0.286,0.813,0.616,-1.634,-0.412,2.885,10,0
35720,0.305,0.805,0.612,-0.344,-1.809,0.412,8,0
35776,0.307,0.802,0.61,1.183,-0.618,-1.878,10,0
35828,0.267,0.797,0.643,2.863,6.565,-0.344,8,0
35884,0.261,0.812,0.643,5.916,-6.107,-3.137,6,0
35940,0.314,0.823,0.592,6.939,-5.359,-4.71,9,0
35994,0.272,0.836,0.581,5.092,6.763,-3.519,40,0
36050,0.243,0.832,0.606,5.542,2.328,-2.786,7,0
36104,0.252,0.843,0.589,5.031,-1.267,-1.985,9,0
36157,0.26,0.842,0.579,4.031,-0.481,-1.252,16,0
36213,0.249,0.848,0.592,3.489,0.748,-0.244,10,0
36265,0.253,0.838,0.603,2.863,-1.885,-0.26,9,0
36322,0.28,0.849,0.55,3.061,3.237,0.924,8,0
36374,0.239,0.847,0.594,4.45,8.802,2.092,7,0
36430,0.231,0.847,0.583,5.992,0.824,2.885,9,0
36487,0.249,0.856,0.553,4.679,0.389,3.847,7,0
36539,0.246,0.865,0.568,2.71,1.924,3.763,7,0
36595,0.247,0.856,0.559,1.237,0.656,3.374,7,0
36690,0.253,0.847,0.577,-1.382,0.695,2.435,7,0
36747,0.249,0.843,0.584,-1.298,0.58,2.588,7,0
36800,0.248,0.85,0.57,-0.969,1.008,2.947,9,0
36855,0.245,0.845,0.583,-0.656,1.908,3.427,9,0
36909,0.253,0.843,0.569,-0.298,0.351,3.885,9,0
36965,0.259,0.844,0.578,-0.153,0.611,3.176,9,0
37021,0.258,0.844,0.57,-1.076,1.855,2.863,10,0
37078,0.255,0.841,0.582,-0.489,0.031,2.473,10,0
37130,0.262,0.849,0.587,-0.344,0.771,2.71,10,0
37186,0.254,0.859,0.588,-0.618,1.588,2.649,10,0
37239,0.258,0.841,0.586,-0.435,-0.389,1.977,8,0
37296,0.267,0.846,0.579,-0.55,0.55,1.664,7,0
37348,0.265,0.841,0.595,-0.427,2.26,1.336,7,0
37404,0.25,0.836,0.595,0.29,-0.298,0.305,8,0
37458,0.265,0.842,0.597,0.901,2.321,1.534,26,0
37512,0.237,0.837,0.594,1.626,2.611,2.511,16,0
37568,0.249,0.85,0.578,1.969,-0.924,2.412,16,0
