Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
21294,0.145,0.497,0.928,-0.506,1.695,-0.088,22,143
21343,0.137,0.489,0.928,0.181,-0.744,0.042,22,143
21392,0.152,0.499,0.92,-0.031,-1.235,-0.068,22,142
21442,0.148,0.496,0.919,-0.239,-0.691,0.024,21,143
21491,0.161,0.5,0.923,-0.432,1.003,-0.262,28,143
21541,0.144,0.487,0.931,-0.006,1.495,0.142,29,143
21591,0.148,0.495,0.931,0.679,-1.087,0.312,22,143
21641,0.164,0.492,0.928,0.678,-2.058,0.157,22,143
21693,0.162,0.502,0.914,0.238,-0.001,0.081,22,143
21742,0.153,0.498,0.919,-0.162,0.414,-0.022,21,143
21791,0.149,0.495,0.937,-0.423,2.267,-0.199,22,143
21841,0.133,0.5,0.937,0.776,0.82,0.06,22,143
21891,0.152,0.505,0.926,0.917,-2.825,0.118,20,142
21940,0.178,0.498,0.921,0.659,-0.437,0.265,21,142
21989,0.156,0.5,0.919,0.017,1.321,0.048,21,143
22039,0.14,0.493,0.93,0.607,0.436,-0.032,20,142
22088,0.143,0.504,0.932,0.634,-2.07,0.057,6,43
22140,0.157,0.498,0.923,0.679,-0.094,0.378,20,143
22190,0.153,0.499,0.926,0.848,-0.771,0.16,21,143
22240,0.161,0.502,0.922,0.871,-1.292,0.121,21,143
22289,0.163,0.504,0.922,0.564,-0.35,-0.061,19,143
22338,0.159,0.505,0.927,0.512,0.474,-0.397,20,143
22387,0.146,0.507,0.924,0.553,-0.431,0.25,20,143
22437,0.154,0.501,0.921,0.697,-0.655,0.081,20,143
22487,0.157,0.509,0.918,0.41,-0.9,0.073,19,143
22536,0.156,0.501,0.916,0.696,-0.542,0.083,19,143
22588,0.146,0.504,0.911,0.411,-0.702,0.011,19,143
22638,0.162,0.504,0.919,0.503,-0.661,0.144,19,143
22687,0.158,0.508,0.916,0.571,-0.365,0.054,19,143
22736,0.164,0.506,0.925,0.676,-0.871,-0.087,19,143
22787,0.161,0.514,0.908,-0.381,-1.833,-0.224,19,143
22836,0.17,0.51,0.916,-1.155,1.808,0.121,19,143
22885,0.146,0.506,0.924,-0.527,3.432,-0.03,19,143
22935,0.137,0.505,0.917,-0.191,-1.848,-0.153,19,143
22984,0.188,0.506,0.909,-0.506,-1.382,0.218,19,143
23036,0.159,0.508,0.917,-1.52,2.157,-0.357,19,143
23087,0.141,0.502,0.919,-1.06,1.827,-0.244,19,143
23136,0.134,0.507,0.92,-0.703,-2.117,-0.034,19,143
23186,0.169,0.509,0.921,-1.272,0.414,0.205,19,143
23235,0.156,0.503,0.918,-0.952,2.136,0.097,19,143
23284,0.146,0.497,0.917,-0.485,-0.167,0.023,19,143
23334,0.162,0.515,0.919,-0.919,-0.283,-0.059,20,143
23384,0.156,0.504,0.917,-0.992,1.056,-0.2,19,143
23434,0.149,0.496,0.925,-0.824,0.065,-0.166,19,143
23483,0.15,0.503,0.917,-0.479,-0.475,0.147,20,143
