Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
20468,-0.407,0.044,1.011,11.647,-6.151,-10.412,17,0
20521,-0.291,0.074,0.936,4.534,-9.284,-8.611,17,0
20574,-0.344,0.073,0.984,-0.491,6.421,-1.508,16,0
20637,-0.364,0.039,1.018,-0.854,-4.216,2.969,0,0
20689,-0.264,0.031,0.983,-3.434,-5.923,1.703,7,0
20742,-0.3,0.022,1.014,-3.05,-1.05,1.362,9,0
20794,-0.277,0.024,1.018,1.157,-1.797,-1.361,9,0
20846,-0.285,0.013,1.001,2.937,3.732,-3.406,7,0
20900,-0.3,0.03,0.999,1.897,-0.12,-4.319,9,0
20964,-0.306,0.049,0.984,1.315,5.942,-5.374,0,0
21016,-0.321,0.028,1.012,0.42,0.449,-6.145,16,0
21068,-0.349,0.021,0.998,-2.907,-8.96,-8.046,9,0
21121,-0.276,0.009,0.99,-3.174,-11.87,-7.252,7,0
21173,-0.359,0.026,1.004,5.689,32.641,13.405,9,0
21226,-0.39,0.036,1.046,13.144,30.71,19.214,30,0
21279,-0.363,0.026,1.001,7.566,-9.599,3.183,16,0
21343,-0.28,0.073,0.922,-0.455,-23.137,-6.679,0,0
21398,-0.317,0.062,0.982,-4.439,-0.665,-5.71,9,0
21450,-0.339,0.026,1.02,-2.714,-3.574,-4.174,9,0
21502,-0.319,0.01,0.988,-2.922,-10.191,-10.779,9,0
21555,-0.273,0.028,0.976,-4.17,-15.269,-10.878,9,0
21607,-0.346,0.004,0.998,2.002,16.143,5.479,16,0
21659,-0.352,0.061,1.008,10.123,24.496,10.84,9,0
21713,-0.389,0.028,1.005,6.068,2.25,6.664,30,0
21766,-0.349,0.07,0.948,0.468,-15.325,2.751,9,0
21818,-0.321,0.079,0.969,-3.869,-10.37,3.484,16,0
21884,-0.311,0.049,1.001,-4.923,-6.883,4.439,0,0
21937,-0.308,0.033,1.018,-2.105,-4.152,1.728,9,0
22000,-0.31,0.041,0.986,-1.111,-1.386,0.773,0,0
22063,-0.306,0.039,1.019,-1.735,-5.152,-2.807,0,0
22117,-0.315,0.049,0.989,-0.517,2.587,0.821,30,0
22180,-0.349,0.03,1.012,0.104,-0.764,1.003,0,0
22234,-0.296,0.032,0.983,-0.868,-3.446,-1.13,30,0
22287,-0.306,0.042,1.006,-0.258,0.829,0.264,30,0
22341,-0.329,0.026,1.023,1.758,-0.71,1.242,31,0
22404,-0.332,0.032,1.007,1.532,1.336,1.979,0,0
22460,-0.38,0.066,0.973,1.172,2.398,12.656,16,0
22512,-0.346,0.051,0.976,-3.337,-3.818,13.267,9,0
22564,-0.309,0.089,0.958,-11.664,-10.401,11.847,9,0
22628,-0.312,0.039,0.999,-17.191,-11.321,10.817,0,0
22680,-0.243,-0.015,1.042,-10.918,-11.996,6.307,7,0
22733,-0.218,-0.032,1.042,-4.475,-5.294,0.696,16,0
22786,-0.248,0.001,1.029,2.757,5.174,-2.957,9,0
22838,-0.31,0.023,0.994,3.766,2.087,-4.369,9,0
22890,-0.293,0.003,1.008,2.121,-2.225,-5.175,4,0
22957,-0.248,0.013,1.024,4.41,5.576,-4.837,0,0
23009,-0.264,-0.002,1.039,9.146,2.76,-10.176,7,0
23072,-0.276,0.012,1.018,14.221,3.438,-14.237,0,0
23124,-0.3,0.047,0.993,14.313,7.359,-14.679,7,0
23177,-0.346,0.057,0.975,12.239,7.371,-11.489,9,0
23272,-0.313,0.066,0.981,5.886,-1.824,-8.115,11,0
23325,-0.304,0.063,0.98,1.403,5.111,-5.779,9,0
23378,-0.332,0.065,0.999,-0.365,-2.902,-9.351,30,0
23442,-0.356,0.105,0.967,-6.102,-3.152,-8.527,0,0
23494,-0.444,0.1,0.948,-14.466,-12.31,7.595,9,0
23550,-0.487,0.086,1.039,-18.939,-29.687,31.954,7,0
23614,-0.172,-0.143,1.038,-14.588,-45.427,38.687,0,0
23668,0.003,-0.153,1.059,11.018,13.841,14.893,0,37
23732,-0.116,-0.027,1.068,22.557,20.969,-11.824,0,0
23795,-0.234,0.052,0.958,19.649,13.754,-29.275,0,0
23847,-0.378,0.121,0.947,11.199,22.313,-26.183,7,0
23911,-0.476,0.176,0.983,5.558,12.111,-11.29,0,0
23964,-0.427,0.11,0.953,-6.719,-7.017,9.718,10,0
24016,-0.338,0.056,0.951,-15.847,-11.59,13.992,8,0
24072,-0.28,0.034,1.03,-18.168,-9.324,12.542,7,0
24124,-0.26,0.01,1.04,-12.19,-9.203,7.298,6,0
24177,-0.253,0.005,1.024,-7.297,-6.814,0.247,10,0
24241,-0.249,-0.042,1.019,-2.708,-13.483,-10.443,0,0
24304,-0.317,-0.002,1.038,2.829,1.832,-5.771,0,0
24356,-0.263,0.028,0.991,6.432,0.959,-4.142,6,0
24410,-0.32,0.043,1.019,6.166,11.972,-0.038,9,0
24462,-0.319,0.049,1.005,3.842,-4.61,-1.16,9,0
24514,-0.281,0.044,0.989,1.96,0.666,1.264,9,0
24570,-0.302,0.043,1.025,1.291,-2.426,1.719,9,0
24623,-0.283,0.05,0.987,0.902,-1.229,1.422,9,0
24675,-0.297,0.044,1.013,0.146,-0.747,1.063,9,0
24728,-0.288,0.045,0.992,-0.001,-2.093,0.661,9,0
24781,-0.299,0.042,1.018,-0.586,-0.362,1.186,16,0
24834,-0.31,0.019,1.055,2.958,-2.409,2.657,16,0
24898,-0.306,0.022,1.084,11.237,-9.216,4.832,0,0
24962,-0.246,0.063,1.023,19.641,-4.031,9.481,0,0
25014,-0.336,0.118,1.072,10.359,-2.168,16.153,8,0
25069,-0.31,0.099,0.968,-12.962,-45.252,17.702,7,0
25122,-0.171,0.083,0.88,-19.252,-32.947,18.473,8,0
25186,-0.156,0.08,0.97,-16.824,-4.001,17.198,0,0
