Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36941,-0.02,-0.927,0.398,-1.206,-1.031,-1,39,16
36985,0.001,-0.92,0.373,-0.756,0.542,-0.45,40,16
37028,-0.036,-0.928,0.402,-0.626,2.427,-0.008,40,16
37072,-0.001,-0.911,0.379,-0.779,0.489,-1.061,40,16
37115,-0.018,-0.917,0.386,-1.527,4.107,0.443,39,16
37158,-0.041,-0.923,0.398,-1.206,3.389,0.13,39,17
37202,-0.02,-0.945,0.42,4.687,5.519,4.557,39,17
37258,-0.142,-0.964,0.551,14.809,18.267,24.992,0,17
37300,-0.395,-1.074,0.713,66.588,30.145,72.725,17,17
37343,-0.58,-1.029,0.803,102,19.237,115.931,36,17
37387,-0.665,-0.992,0.816,132.611,0.649,150.557,35,21
37430,-0.597,-0.927,0.761,149.229,-5.74,164.107,32,22
37474,-0.525,-0.741,0.728,145.145,-3.626,162.412,32,25
37527,-0.47,-0.609,0.637,133.229,5.389,159.863,0,29
37571,-0.428,-0.39,0.661,106.076,-5.817,146.87,35,32
37615,-0.345,-0.232,0.614,75.985,-30.84,128.267,29,37
37662,-0.312,-0.216,0.608,38.779,-40.458,91.931,28,38
37706,-0.265,-0.125,0.653,11.985,-34.382,66.809,26,41
37751,-0.309,-0.09,0.792,-5.565,-25.282,45.382,25,51
37796,-0.329,-0.121,0.855,-17.733,-26.771,28.015,28,58
37844,-0.316,-0.08,0.898,-21.344,-24.374,13.489,28,98
37892,-0.324,-0.064,0.875,-19.443,-10.733,6.389,29,97
37940,-0.388,-0.006,0.932,-15.351,10.359,7.282,27,97
37987,-0.457,0.012,0.974,-12.053,9.527,11.275,26,96
38034,-0.461,0.007,0.973,-11.298,-4.298,13.679,27,96
38084,-0.407,-0.023,0.954,-13.672,-16.206,14.382,29,96
38132,-0.337,-0.051,0.988,-12.618,-24.221,8.351,29,95
38179,-0.314,-0.05,0.973,-4.626,-16.954,7.847,27,94
38226,-0.318,-0.032,0.964,-3.626,10.618,11.763,26,93
38274,-0.435,-0.05,1.067,-6.183,20.191,15.26,25,91
38321,-0.491,-0.085,1.064,-3.191,0.718,19.107,30,90
38378,-0.521,-0.091,1.054,-3.344,1.099,19.595,0,89
38434,-0.612,-0.098,1.053,-6.954,10.977,11.992,0,88
38492,-0.646,-0.071,1.005,-9.565,12.756,14.031,0,87
38551,-0.644,-0.074,0.937,-10.939,-5.42,20.275,0,86
38608,-0.584,-0.091,0.913,-3.443,-9.374,14.618,0,87
38666,-0.503,-0.024,0.823,9.435,-27.351,8.214,0,88
38722,-0.407,0.099,0.789,8.939,8.733,1.977,0,88
38769,-0.604,0.035,0.918,5.878,-7.053,3.13,26,89
38827,-0.422,0.07,0.767,0.42,-17.344,7.992,0,89
38874,-0.434,0.064,0.752,-13.55,8.962,19.977,30,89
38921,-0.505,-0.003,0.852,-12.931,-0.16,20.504,25,89
38968,-0.427,-0.02,0.844,-1.969,-17.206,14.359,30,89
39018,-0.386,-0.004,0.808,4.183,-1.351,8.908,30,89
39065,-0.428,-0.074,0.838,8.718,16.718,17.908,26,88
39121,-0.367,0.045,0.846,18.275,70.153,17.038,0,86
39169,-0.652,0.123,0.98,16.382,52.931,1.573,28,86
39216,-0.687,0.124,0.987,8.26,-24.74,-15.389,23,87
39272,-0.443,0.148,0.837,0.122,-39.374,-20.008,0,83
39329,-0.457,0.082,0.852,-8.191,22.405,-14.13,0,86
39418,-0.699,0.042,0.981,-2.947,-4.084,-13.252,30,84
39467,-0.673,0.04,0.951,-2.305,-20.87,-15.908,30,85
39526,-0.651,0.007,0.949,-7.206,3.718,-16.015,0,87
39583,-0.824,-0.101,1.054,-14.603,31.099,-16.725,0,88
39630,-0.605,-0.106,1.027,-4.534,-6.603,-12.962,23,88
39677,-0.414,-0.067,0.854,2.031,-22.16,-4.359,22,91
39725,-0.431,-0.076,0.746,-0.069,-6.26,-2.008,25,91
39772,-0.551,-0.146,0.771,-0.344,4.305,-1.13,25,94
39819,-0.586,-0.162,0.828,9.076,-12.191,-5.802,24,93
39866,-0.463,-0.093,0.79,13.664,-22.481,-11.275,23,96
39914,-0.464,-0.076,0.833,11.641,-4.542,-10.863,25,97
39964,-0.515,-0.093,0.878,15.344,-3.328,-11.069,24,98
40012,-0.481,-0.028,0.893,17.771,-11.053,-14.198,23,98
40059,-0.451,0.016,0.872,12.985,-14.664,-11.015,23,99
40108,-0.392,0.07,0.869,5.053,-10.679,-2.466,23,99
40155,-0.42,0.011,0.86,0.542,-19.733,-6.588,16,99
40202,-0.403,-0.037,0.808,1.42,-10.229,-8.221,23,100
40250,-0.464,-0.028,0.902,1.038,1.573,-7.275,24,100
40298,-0.526,-0.033,0.952,1.794,-11.519,-8.183,23,100
40348,-0.412,0.073,0.971,-7.206,-4.473,3.55,23,100
40396,-0.395,0.045,1.014,-10.473,-19.046,12.298,23,100
40454,-0.323,-0.024,0.969,-7.191,-30.55,7.779,0,101
40512,-0.344,-0.128,0.99,3.924,-38.55,2.008,0,101
40559,-0.216,-0.066,0.928,6.618,-15.908,-6.16,17,100
40606,-0.303,-0.013,0.99,2.45,21.053,1.321,16,99
40654,-0.336,0.021,1.021,2.74,0.061,-0.542,24,98
40712,-0.298,0.016,0.944,3.588,2.359,5.221,0,96
40769,-0.373,0.026,0.978,8.099,4.076,7.71,0,95
40820,-0.424,0.031,1.038,5.115,13.26,3,30,94
40867,-0.402,0.032,1.09,3.527,-5.191,8.924,29,92
40915,-0.402,0,1.085,5.84,-12.237,12.573,31,92
40973,-0.419,-0.052,1.045,7.817,6.641,20.794,0,91
41020,-0.546,-0.011,1.012,3.504,83.924,28.695,23,91
41067,-0.767,0.047,1.182,-8.16,67.916,20.878,30,90
41114,-0.676,0.101,1.099,-14.359,-13.847,22.618,23,91
41162,-0.522,0.087,0.852,-13.725,-39.405,19.237,21,91
41209,-0.447,0.053,0.745,-9.939,-16.221,9.58,22,92
41260,-0.387,0.101,0.75,0.634,-2.282,7.763,23,93
41307,-0.414,0.159,0.779,-0.389,0.496,0.015,23,93
41354,-0.499,0.135,0.855,-4.924,2.901,3.786,16,94
41401,-0.492,0.105,0.842,-4.832,3.649,15.542,16,94
41448,-0.48,0.075,0.849,-5.824,-1.084,16.244,16,95
41505,-0.446,0.055,0.828,-7.534,-9.489,12.573,0,95
41559,-0.463,0.005,0.865,-7.58,-0.443,12.099,121,95
41612,-0.471,0.027,0.923,-2.695,3.695,10.023,119,95
41665,-0.466,0.04,0.927,0.763,-1.725,6.603,118,95
41725,-0.4,0.077,0.901,0.511,-7.023,1.672,0,95
41784,-0.365,0.12,0.88,-0.649,0.771,0.16,0,95
41841,-0.453,0.128,0.927,-3.794,7.305,-7.183,0,94
41899,-0.467,0.132,0.948,-2.733,8.176,-6.008,0,94
42000,-0.412,0.104,0.893,-2.954,4.405,2,0,92
42057,-0.453,0.08,0.938,-6.252,9.366,2.282,0,93
42115,-0.459,0.087,0.97,-5.443,1.397,-3.527,0,89
42172,-0.466,0.137,0.952,-6.206,0.443,-4,0,92
42219,-0.505,0.146,0.995,-7.191,-2.267,0.794,17,86
42276,-0.478,0.125,0.996,-5.756,-10.191,3.534,0,91
42337,-0.509,0.041,1.043,-5.435,-8.45,8.496,0,91
42394,-0.51,0.018,1.043,-7.809,-5.359,-0.809,0,92
42452,-0.667,-0.037,1.108,-15.931,18.359,-19.542,0,92
42510,-0.803,-0.122,1.17,-21.809,10.817,-31.901,0,92
42568,-0.47,-0.069,0.953,-11.786,-36.397,-24.809,0,95
42627,-0.246,-0.15,0.876,-0.336,-22,-23.45,0,98
42685,-0.505,-0.22,0.968,15.344,-25.366,-19.855,0,100
42743,-0.175,-0.08,0.702,22.656,-42.924,-27.962,0,101
42802,-0.321,-0.036,0.806,15.435,-0.206,-22.099,0,102
42863,-0.369,0.007,0.835,8.275,-7.702,-9.916,0,102
42920,-0.335,-0.132,0.852,9.962,10.282,-4.649,0,102
42979,-0.339,-0.066,0.898,13.458,37.878,-11.885,0,102
43031,-0.432,-0.037,0.973,3.267,7.351,-15.962,89,102
43083,-0.38,-0.004,0.934,-0.176,-11.916,-10.366,90,102
43131,-0.374,0.009,0.895,-4.275,7.771,1.084,27,102
43190,-0.417,0.018,0.864,-13.786,22.229,13.099,0,102
43248,-0.437,-0.052,0.912,-31.802,7.847,20.176,0,102
43310,-0.314,-0.097,0.976,-28.588,-18.328,12.916,0,101
43359,-0.241,-0.083,1,-13.832,-1.473,12.298,23,101
43416,-0.337,-0.074,1.078,7.328,3.069,9.031,89,100
43473,-0.389,-0.053,0.986,18.87,3.458,3.931,0,99
43525,-0.415,-0.031,0.907,13.076,15.763,12.931,90,98
43576,-0.378,-0.041,0.922,6.031,18.504,8.038,90,97
43632,-0.436,-0.023,0.87,-0.053,18.137,8.031,0,95
43679,-0.581,-0.085,0.956,-7.618,23.405,7.466,25,94
43726,-0.593,-0.098,1.01,-2.023,2.893,6.794,21,91
43780,-0.467,-0.046,0.936,3.809,-4.405,5.344,91,93
43837,-0.472,-0.034,0.923,1.718,7.527,4.137,0,92
43883,-0.576,-0.029,0.991,-4.137,19.511,-2.412,23,89
43940,-0.656,-0.077,1.013,-7.542,6.908,-4.42,0,90
43997,-0.641,-0.098,0.962,-13.847,13.87,1.786,0,90
44054,-0.694,-0.088,0.965,-18.878,8.244,4.809,0,91
44110,-0.594,-0.064,0.969,-17.786,-13.298,7.031,0,91
44157,-0.528,-0.097,0.938,-1.817,-36.183,5.771,25,91
44205,-0.456,-0.103,0.94,6.924,-48.481,-4.748,21,93
44255,-0.408,-0.037,0.865,16.771,-5.954,3.573,30,94
44302,-0.469,-0.022,1.041,27.817,-10.748,-7.145,24,94
44353,-0.336,0.01,0.929,30.29,-20.931,2.534,87,95
44400,-0.275,-0.028,0.748,30.74,30.573,23.885,26,95
44446,-0.439,-0.031,0.816,35.214,58.244,21.557,23,95
44493,-0.654,-0.046,0.874,41.328,12.702,6.176,26,88
44540,-0.495,0.149,0.718,31.26,-25.282,-6.55,23,96
44592,-0.395,0.238,0.705,7.412,12.649,6.901,86,96
44639,-0.505,0.207,0.843,-5.107,17.603,15.794,30,95
44732,-0.475,0.133,0.819,3.389,-0.031,0.504,24,95
44783,-0.545,0.129,0.853,3.168,20.481,1.237,89,95
44829,-0.549,0.18,0.938,-0.763,18.511,-2.069,22,94
44887,-0.515,0.238,0.934,-10.13,3.718,-2.618,0,94
44944,-0.487,0.217,0.932,-25.473,0.725,-1.87,0,93
44995,-0.494,0.123,0.952,-22.191,-3.679,-6.137,89,92
45051,-0.501,0.103,0.923,-13.626,-6.13,-10.26,0,91
45109,-0.534,0.088,0.922,-6.962,-1.115,-4.565,0,91
45166,-0.464,0.118,0.88,-5.275,-14.939,-7.962,0,91
45225,-0.452,0.107,0.884,-9.008,-5.061,-6.252,0,90
45283,-0.494,0.015,0.948,-5.481,-8.382,-11.053,0,90
45330,-0.589,0.067,1.008,2.557,5.878,-4.687,23,90
45376,-0.614,0.072,1.079,6.489,-11.58,-7.053,22,79
45423,-0.644,0.033,1.066,1.985,0.374,-8.954,23,89
45473,-0.673,0.003,1.086,0.351,29.87,-15.481,83,88
45520,-0.768,-0.096,1.089,2.359,42.229,-21.679,28,89
45568,-0.637,-0.077,0.886,13.412,7.168,-23.122,26,92
45615,-0.545,-0.077,0.756,9.382,-9.969,-27.832,25,92
45665,-0.496,-0.131,0.76,2.794,-15.176,-32.466,22,93
45712,-0.506,-0.142,0.787,6.412,-20.672,-30.435,24,95
45759,-0.426,-0.026,0.774,7.069,-17.969,-28.664,22,97
45806,-0.412,0.064,0.8,1.603,-22.496,-19.481,24,98
45852,-0.413,-0.006,0.774,0.878,-30.687,-14.214,25,60
45897,-0.378,-0.032,0.745,5.443,-11.557,-11.611,24,60
45942,-0.445,-0.045,0.835,9.847,3.901,-11.725,24,60
45988,-0.457,-0.022,0.906,9.275,0.817,-11.153,24,61
46033,-0.46,-0.025,0.963,7.786,-10.481,-10.55,24,60
46082,-0.388,-0.005,0.923,5.038,-16.74,-12.069,25,59
46127,-0.372,-0.034,0.892,-2.504,-10.069,-10.168,30,59
46175,-0.437,-0.087,0.903,-9.84,-6.588,-4.107,65,59
46221,-0.455,-0.093,0.974,-8.603,5.099,2.603,29,60
46265,-0.49,-0.083,0.972,-5.565,-2.229,5.412,16,58
46311,-0.438,-0.013,0.98,-7.679,-11.046,10.557,37,58
46357,-0.343,0.055,1.015,-12.878,-7.992,19.099,30,62
46402,-0.343,-0.037,1.025,-6.496,-7.916,25.985,28,60
46450,-0.293,0.061,1.023,12.718,2.901,11.626,66,60
46502,-0.301,0.137,1.011,18.817,24.664,10.16,66,97
46551,-0.426,0.061,1.069,24.031,7.183,6.45,26,96
46598,-0.435,0.026,0.957,30.916,-11.298,7.733,21,95
46645,-0.421,0.012,0.889,27.687,-11.405,7.794,26,94
46695,-0.472,0.013,0.91,16.649,-1.87,9.214,70,93
46742,-0.502,-0.012,0.973,0.412,7.71,11.679,23,93
46789,-0.521,-0.042,1.023,-6.71,10.969,9.565,22,92
46836,-0.516,0.052,1.042,-10.817,15.153,10.718,25,91
46894,-0.531,0.06,0.971,-13.466,4.206,5.405,0,92
46954,-0.515,0.059,0.908,-12.733,7.687,4.489,0,92
47001,-0.583,0.046,0.953,-6.771,-7.832,-9.504,23,92
47048,-0.697,0.076,1.009,-1.748,8.099,9.878,24,92
47095,-0.544,-0.044,0.959,6.351,-29.649,8.389,27,92
47143,-0.329,0.057,0.851,14.359,-4.672,5.282,23,93
47234,-0.5,0.151,0.859,6.817,8.695,6.168,23,94
47281,-0.475,0.213,0.809,-1.992,0.16,8.076,23,94
47328,-0.433,0.178,0.82,-6.977,6.618,13.695,23,95
47376,-0.437,0.116,0.884,-8.557,-0.229,7.618,23,95
47426,-0.397,0.133,0.845,-7.321,-4.763,0.198,23,94
47473,-0.457,0.123,0.927,-15.649,-4.748,-2.58,23,95
47521,-0.447,0.083,1.073,-9.351,-17.588,8.718,26,95
47568,-0.305,-0.014,0.874,8.901,14.397,10.412,25,95
47616,-0.419,0.061,0.928,22.786,40.718,4.252,25,94
47664,-0.423,0.071,0.843,26.42,17.931,-7.878,23,94
47711,-0.43,0.225,0.747,14.924,14.374,-18.962,22,93
47758,-0.473,0.26,0.776,-10.305,8.763,-22.26,21,92
47805,-0.49,0.168,0.752,-27.626,16.763,-21.702,22,91
47855,-0.575,0.127,0.871,-33.695,32.229,-20.282,22,90
47902,-0.733,-0.005,0.992,-32.802,19.252,-14.748,24,88
47949,-0.662,-0.073,0.94,-22.26,-1.153,-4.359,23,86
47996,-0.592,-0.018,0.9,-17.779,0.656,-4.26,23,86
48044,-0.619,-0.039,0.909,-13.481,-3.183,-0.527,23,86
48091,-0.6,0,0.946,-6.802,-1.115,5.084,23,85
48138,-0.652,-0.005,1.023,-1.931,-10.115,10.885,24,86
