Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29947,0.211,-0.942,0.209,-3.607,-21.985,0.066,0,28
29997,0.108,-0.921,0.307,-3.359,-5.862,3.16,144,23
30047,0.07,-0.876,0.306,5.625,-26.78,5.908,150,23
30098,0.12,-0.808,0.273,8.614,-30.305,12.05,148,26
30140,0.143,-1.082,0.261,2.025,-9.672,10.496,16,23
30182,0.132,-1.028,0.244,-1.24,16.071,3.321,16,23
30232,-0.008,-0.975,0.405,6.222,31.484,8.126,143,25
30285,0.075,-1.019,0.335,11.188,27.038,-8.301,147,24
30338,0.132,-0.783,0.304,16.095,34.336,-1.867,0,25
30394,0.057,-0.963,0.366,-4.286,45.328,-3.808,0,23
30447,0.136,-0.99,0.32,-21.817,47.542,-12.672,0,21
30496,-0.025,-1.006,0.474,-11.483,20.272,-6.319,124,28
30539,0.078,-0.887,0.431,-0.151,10.77,-4.195,7,30
30581,0.063,-0.861,0.37,-23.634,11.224,-11.194,9,28
30635,0.024,-0.877,0.358,-26.206,4.851,-22.207,0,25
30688,0.055,-0.881,0.439,-22.053,8.765,-3.193,0,22
30739,0.09,-0.87,0.33,-12.015,-4.502,-11.132,123,19
30781,0.115,-0.925,0.335,-7.716,4.553,0.376,16,17
30829,0.101,-0.997,0.325,-11.787,-1.217,4.091,118,16
30877,0.14,-1.101,0.259,-16.094,3.547,10.906,117,18
30924,0.096,-1.164,0.182,-23.0,10.748,11.198,115,15
30972,0.04,-1.473,0.123,-34.878,24.87,1.657,115,17
31021,-0.011,-1.07,0.191,-29.763,33.397,14.261,117,17
31068,-0.207,-1.002,0.162,-18.484,-22.803,35.145,34,5
31111,-0.039,-1.028,0.18,14.024,-31.481,27.849,16,18
31161,0.061,-0.909,-0.028,22.46,-3.8,30.151,110,12
31208,0.05,-0.727,-0.022,7.706,38.654,31.627,102,16
31255,-0.08,-0.719,0.122,-14.459,26.156,18.981,106,17
31302,0.012,-0.652,0.122,-6.549,16.147,24.97,104,22
31349,-0.05,-0.738,0.11,5.707,-30.557,19.528,97,19
31396,-0.003,-0.882,-0.021,10.409,-28.443,5.167,94,19
31443,0.003,-0.957,-0.02,9.84,16.004,-0.301,97,17
31491,-0.042,-1.019,0.074,4.511,33.084,3.821,97,17
31537,-0.095,-1.334,0.098,0.355,32.431,0.343,91,19
31586,-0.141,-1.572,0.089,-0.315,11.727,-20.523,90,18
31633,-0.096,-1.414,0.077,-10.033,-3.163,-30.702,92,18
31680,-0.145,-1.368,0.089,-19.916,-10.878,-35.863,94,16
31726,0.001,-0.958,0.114,5.729,-23.55,-26.252,91,16
31773,0.214,-0.849,0.007,39.878,-20.848,3.901,89,15
31819,0.244,-0.706,0.036,38.137,33.748,17.587,88,15
31865,0.105,-0.694,0.177,21.186,56.626,19.753,88,16
31912,-0.049,-0.745,0.211,7.821,40.153,0.147,87,15
31969,-0.038,-0.662,0.261,10.804,16.418,4.845,87,0
32028,-0.073,-0.798,0.229,3.535,-10.741,-8.185,85,0
32075,0.034,-0.91,0.157,4.216,-12.4,-14.149,84,16
32121,0.012,-0.915,0.186,2.589,2.866,-8.571,84,22
32166,-0.033,-0.942,0.301,3.807,-0.194,0.31,58,17
32211,-0.027,-1.101,0.318,2.506,-17.735,6.615,60,17
32258,0.012,-1.307,0.236,2.208,-24.084,5.05,84,20
32304,0.104,-1.387,0.109,11.387,18.171,15.746,86,22
32395,-0.155,-0.877,0.29,-25.832,48.679,27.573,109,20
32454,-0.241,-0.819,0.367,-20.589,-14.057,36.519,125,0
32506,-0.2,-0.997,0.093,-9.012,-68.886,0.891,126,21
32556,-0.021,-0.837,0.028,8.867,-47.519,-7.207,129,19
32602,-0.008,-0.685,0.056,2.187,-0.05,6.111,85,17
32648,-0.137,-0.735,0.133,-4.992,2.491,9.706,87,19
32697,-0.072,-0.728,0.207,10.936,-6.122,29.196,118,21
32743,-0.015,-0.76,0.112,13.998,-3.073,22.486,86,22
32790,-0.074,-0.891,0.111,5.059,11.759,7.002,84,21
32837,-0.122,-1.185,0.237,3.345,27.907,8.798,96,23
32883,-0.194,-1.417,0.155,-0.407,1.937,-13.68,84,22
32935,-0.065,-1.456,0.022,3.336,16.506,-14.217,83,62
32983,-0.081,-1.32,-0.008,-23.049,48.275,-25.225,100,20
33032,-0.16,-1.04,0.115,-21.786,12.283,-21.773,112,25
33080,0.088,-0.868,0.019,13.74,-14.37,-1.719,112,30
33138,0.193,-0.769,-0.08,16.786,48.962,-11.521,104,0
33197,-0.004,-0.732,0.147,-10.671,118.42,-11.702,97,0
33255,-0.216,-0.829,0.267,-23.252,106.366,-31.022,111,0
33313,-0.279,-0.75,0.39,-13.438,36.107,-22.168,110,0
33375,-0.21,-0.808,0.291,-9.316,-23.939,-23.107,109,0
33433,-0.168,-0.907,0.307,-6.836,-29.985,-22.656,109,0
33491,-0.107,-1.093,0.281,6.603,-31.443,-15.829,107,0
33550,0.002,-1.262,0.253,15.223,10.727,14.012,104,0
33608,-0.139,-1.408,0.156,4.845,11.501,9.554,102,0
33667,-0.208,-0.93,0.282,7.072,7.049,27.115,99,0
33724,-0.228,-1.032,0.303,24.373,-76.046,46.702,98,0
33781,-0.07,-1.081,0.042,36.969,-105.595,36.534,95,0
33840,0.014,-0.862,-0.03,32.183,-47.847,27.145,92,0
33899,-0.061,-0.615,0.098,21.91,-23.405,27.168,89,0
33947,-0.099,-0.666,0.084,16.1,-31.977,27.092,86,26
33993,-0.047,-0.683,0.07,25.626,-28.496,16.656,82,23
34040,-0.044,-0.867,0.066,14.885,-4.831,12.303,82,22
34088,-0.077,-1.138,0.243,15.14,40.398,17.3,83,57
34136,-0.208,-1.426,0.157,-7.165,8.606,-8.19,81,25
34183,-0.139,-1.547,0.11,-16.872,27.052,-29.191,81,24
34233,-0.095,-1.228,0.11,-38.985,36.427,-45.115,81,79
34289,-0.112,-0.868,0.189,-36.519,-14.349,-33.603,80,0
34350,0.071,-0.942,0.025,-13.942,-17.435,-33.702,80,0
34406,0.108,-0.812,0.052,-16.415,54.053,-21.364,82,0
34466,-0.051,-0.727,0.252,-27.771,92.008,8.642,135,0
34527,-0.228,-0.715,0.371,-22.061,52.87,-4.318,135,0
34587,-0.181,-0.734,0.319,-17.151,-2.094,-16.865,134,0
34647,-0.036,-0.897,0.335,-4.258,14.329,-3.655,135,0
34707,-0.155,-1.078,0.342,-5.137,19.221,-24.489,132,0
34766,-0.148,-1.217,0.34,1.653,-7.469,-10.652,125,0
34826,-0.045,-1.246,0.218,14.567,0.084,16.515,127,0
34888,-0.179,-1.25,0.207,9.649,16.423,11.209,123,0
34948,-0.109,-0.786,0.214,20.361,-29.954,41.672,106,0
35007,-0.107,-1.134,0.03,24.13,-52.893,27.435,119,0
35065,-0.072,-0.926,-0.001,10.815,-35.779,7.539,117,0
35163,-0.044,-0.583,0.082,23.969,-15.4,27.687,113,114
35222,-0.05,-0.624,0.08,24.893,-9.787,32.924,110,0
35280,-0.078,-0.826,0.068,21.13,17.376,25.947,104,0
35328,-0.237,-1.179,0.141,2.02,7.161,1.586,86,30
35380,-0.237,-1.418,0.127,-0.458,-2.346,-11.333,102,30
35428,-0.13,-1.464,0.08,-0.095,12.771,-13.124,101,33
35476,-0.159,-1.307,0.123,-22.74,22.396,-35.405,100,36
35534,-0.055,-0.795,0.222,-21.534,-0.345,-29.168,93,0
35584,0.024,-0.875,0.099,-15.853,-9.325,-32.759,95,41
35641,0.066,-0.929,0.057,-1.925,38.015,-17.901,95,0
35699,-0.053,-0.85,0.15,-17.635,75.237,-18.52,95,0
35757,-0.112,-0.66,0.289,-13.929,55.931,-9.095,95,0
35815,-0.152,-0.591,0.32,-3.356,20.994,-5.662,95,0
35876,-0.155,-0.776,0.275,-7.004,-14.298,-15.497,94,0
35934,-0.201,-1.084,0.256,-7.961,-23.496,-25.458,94,0
35992,-0.146,-1.226,0.246,-3.669,-9.842,-8.277,96,0
36050,-0.173,-1.232,0.197,-9.045,10.935,12.682,102,0
36109,-0.212,-1.313,0.234,9.561,29.331,22.656,110,0
36167,-0.201,-0.792,0.284,14.855,-12.181,54.13,92,0
36217,-0.19,-1.225,0.086,31.279,-57.191,38.397,92,66
36276,-0.105,-0.997,-0.005,28.313,-54.847,18.504,99,0
36333,-0.067,-0.676,0.073,25.322,-33.107,29.282,90,0
36399,-0.147,-0.675,0.095,1.793,-38.84,44.84,166,0
36456,-0.041,-0.663,0.03,30.137,-29.733,41.725,83,0
36513,-0.097,-0.872,0.033,11.941,-2.103,14.239,92,0
36571,-0.245,-1.314,0.139,-1.177,20.142,-0.68,83,95
36628,-0.262,-1.657,0.085,3.914,8.71,-28.71,94,0
36684,-0.174,-1.41,0.081,-8.817,32.924,-59.595,83,0
36742,-0.071,-0.642,0.27,-25.153,26.813,-40.756,92,0
36799,-0.057,-0.88,0.187,-0.978,12.839,-27.756,103,0
36857,-0.032,-0.748,0.153,-5.232,28.519,-31.924,101,0
36920,-0.123,-0.665,0.172,-19.409,49.641,-10.771,143,0
36979,-0.177,-0.724,0.237,-11.354,36.947,-3.019,127,0
37038,-0.094,-0.716,0.176,-2.747,38.824,-2.522,125,0
37097,-0.102,-0.748,0.257,-1.937,51.473,1.998,122,0
37155,-0.166,-0.929,0.28,-8.132,29.786,-4.297,120,0
37214,-0.154,-1.16,0.165,-14.577,10.493,-27.992,114,0
37272,-0.077,-1.171,0.148,-22.122,31.519,-23.221,116,0
37330,-0.093,-1.249,0.055,-23.053,55.176,-11.793,107,0
37391,-0.1,-1.341,0.02,-21.894,74.206,-27.403,104,0
37448,-0.021,-0.742,0.169,-10.402,43.321,18.662,100,0
37506,-0.037,-0.947,0.11,20.316,11.693,35.557,97,0
37563,0.049,-1.033,-0.084,39.908,27.037,39.298,93,0
37620,-0.047,-1.027,-0.035,31.534,89.458,43.947,90,0
37677,-0.241,-0.889,0.151,24.427,92.962,46.237,88,0
37734,-0.214,-0.665,0.197,33.038,36.985,45.664,85,0
37790,-0.049,-0.621,0.047,37.336,32.649,40.282,82,0
37847,-0.089,-0.851,-0.03,39.969,69.58,26.29,80,0
37906,-0.12,-0.978,0.028,42.519,99.847,16.982,78,0
37962,-0.196,-1.131,0.098,47.939,93.015,0.629,79,0
38062,-0.184,-1.317,-0.02,44.55,80.092,-49.595,75,0
38118,-0.183,-0.693,0.222,32.751,79.924,-60.504,79,0
38174,-0.211,-0.996,0.102,4.879,49.023,-42.664,73,0
38231,-0.141,-0.937,0.184,3.227,58.031,-52.313,83,0
38288,-0.18,-0.663,0.28,-12.161,53.366,-40.351,0,98
38345,-0.168,-0.673,0.299,-21.473,34.023,-33.817,0,96
38403,-0.142,-0.803,0.304,-13.11,41.435,-31.954,0,96
38464,-0.181,-1.07,0.308,-20.163,44.046,-30.214,0,97
38521,-0.185,-1.049,0.405,-11.394,29.74,-7.654,0,98
38579,-0.085,-1.193,0.326,-2.306,31.15,17.301,200,101
38637,-0.103,-1.263,0.17,-18.494,40.153,10.422,195,104
38690,-0.214,-1.209,0.308,-10.771,32.252,11.522,122,107
38745,-0.202,-0.908,0.234,-6.272,-33.45,33.74,118,113
38798,-0.082,-1.273,0.032,28.065,-58.275,31.237,114,118
38852,-0.049,-0.96,-0.035,27.565,-37.107,24.872,105,124
38914,-0.067,-0.59,0.036,32.424,-25.634,26.809,186,133
38968,-0.096,-0.578,0.019,6.822,-32.763,30.099,100,137
39022,-0.044,-0.665,-0.012,17.18,-19.825,32.489,98,142
39080,-0.109,-1.003,-0.04,4.254,-5.876,8.331,96,0
39137,-0.078,-1.29,0.021,10.606,19.563,12.176,92,0
39198,-0.103,-1.606,0.025,18.936,30.904,-9.602,155,0
39257,-0.154,-1.355,0.056,-14.496,20.604,-40.191,164,155
39312,-0.203,-0.898,0.177,-18.613,-11.234,-43.962,88,157
39366,0.017,-0.893,0.003,23.882,-40.908,-14.506,85,160
39425,0.136,-0.783,-0.038,15.14,22.336,-3.346,86,160
39483,-0.01,-0.671,0.191,-9.628,80.527,8.733,157,159
39540,-0.204,-0.734,0.259,-14.479,55.71,-13.491,138,160
39599,-0.175,-0.681,0.184,-14.539,4.952,-22.954,135,160
39656,-0.124,-0.753,0.111,-23.978,-4.717,-26.008,134,162
39714,-0.063,-0.771,0.118,-8.085,12.686,-27.336,133,165
39772,-0.121,-0.98,0.115,-26.475,4.329,-29.278,130,167
39829,-0.059,-1.229,0.143,-10.071,24.221,-23.565,126,170
39889,0.061,-1.224,0.017,-20.15,12.803,-8.369,117,173
39947,0.082,-1.72,-0.227,-7.804,51.412,-16.117,113,176
40004,0.174,-0.744,0.075,17.82,63.443,34.294,109,179
40061,0.088,-0.975,0.09,8.286,47.328,30.771,104,182
40118,0.073,-0.947,0.12,32.481,8.108,29.489,101,164
40174,0.065,-1.04,0.053,45.565,42.031,40.55,97,188
40231,-0.013,-0.915,0.084,42.893,75.092,39.649,94,191
40289,-0.014,-0.616,0.225,38.947,80.748,43.565,92,194
40345,-0.089,-0.55,0.178,37.076,69.412,44.099,89,197
40406,-0.139,-0.795,0.113,39.58,63.153,43.16,86,200
40463,-0.088,-0.917,0.107,40.809,73.42,27.374,85,0
40519,-0.232,-1.122,0.132,45.405,71.359,-4.88,81,0
40577,-0.175,-1.15,0.136,45.893,60.275,-17.82,80,0
40633,-0.22,-1.208,0.078,28.565,86.298,-45.901,78,0
40689,-0.197,-0.789,0.255,24.365,70.092,-36.702,79,0
40747,-0.106,-0.921,0.252,19.94,67.038,-6.654,78,0
40803,-0.122,-0.803,0.29,3.31,69.267,-9.388,77,0
40859,-0.145,-0.764,0.309,-1.646,62.366,-29.267,77,0
40956,-0.235,-0.821,0.336,-13.887,55.084,-46.389,88,85
41008,-0.16,-0.954,0.382,2.419,46.328,-44.015,92,84
41058,-0.237,-0.962,0.376,-13.4,45.977,-30.351,91,84
41110,-0.253,-1.006,0.411,-13.928,30.718,-10.936,106,85
41161,-0.242,-1.169,0.348,-17.538,9.124,-7.254,97,87
41212,-0.156,-1.269,0.265,-10.757,26.076,-0.456,98,90
41265,-0.279,-1.597,0.19,-20.988,40.748,-16.006,105,92
41317,-0.177,-1.024,0.328,7.191,12.95,6.548,103,97
41369,-0.079,-1.024,0.254,22.339,-41.397,29.29,103,102
41425,-0.115,-1.056,0.024,15.582,-50.71,2.996,99,107
41479,-0.005,-0.58,0.019,31.824,-36.389,29.402,102,115
41532,-0.013,-0.44,0.037,28.496,-23.802,32.275,98,119
41585,-0.018,-0.673,0.036,25.878,-13.135,38.252,97,126
41643,-0.126,-0.922,0.059,30.55,3.607,27.42,89,0
41701,-0.103,-1.171,0.08,30.107,20.09,10.587,98,0
41759,-0.176,-1.542,0.028,1.098,8.952,-11.895,116,195
41815,-0.177,-1.457,0.013,-16.105,-3.667,-22.908,113,137
41873,-0.147,-1.163,0.174,-16.759,16.409,-49.069,104,146
41928,-0.006,-0.574,0.239,-10.373,-36.359,-25.061,93,146
41982,0.064,-0.785,0.082,4.667,-13.15,-10.158,93,150
42042,0.083,-0.691,0.118,-11.359,42.542,-13.308,106,0
42099,-0.13,-0.674,0.229,-22.515,69.565,-12.206,98,0
42155,-0.254,-0.755,0.289,-17.631,24.738,-27.384,100,142
42211,-0.118,-0.787,0.24,1.331,2.118,-11.895,132,143
42267,-0.153,-1.048,0.245,-5.169,0.464,-22.55,115,147
42323,-0.161,-1.135,0.282,-4.872,-6.748,-12.665,116,150
42383,-0.091,-1.193,0.294,-4.663,3.48,17.914,112,151
42438,-0.179,-1.565,0.241,-9.152,14.7,9.224,107,155
42496,-0.198,-0.8,0.288,-8.094,-12.683,14.497,115,159
42552,-0.272,-0.925,0.2,-4.4,-48.908,51.145,108,164
42608,-0.09,-1.189,0.006,34.328,-64.107,25.031,99,171
42667,-0.007,-0.803,-0.063,42.557,-21.399,24.824,103,0
42719,-0.064,-0.553,0.039,18.235,13.588,41.206,128,65
42770,-0.168,-0.619,0.149,6.03,-7.288,40.107,115,67
42831,-0.1,-0.882,0.086,22.301,-45.473,25.084,104,0
42890,-0.124,-1.182,-0.002,3.589,-29.13,-19.532,89,0
42947,-0.071,-1.478,-0.036,-4.204,6.176,-22.137,90,0
43004,-0.083,-1.469,-0.014,-12.604,29.733,-34.267,90,0
43063,-0.181,-1.208,0.115,-29.893,17.896,-52.901,93,0
43120,0.01,-0.591,0.221,-16.072,-24.916,-25.595,96,198
43180,0.068,-0.817,0.115,-14.707,-0.129,-27.008,102,0
43238,-0.013,-0.757,0.266,-23.244,69.015,-34.328,106,197
43296,-0.179,-0.726,0.37,-22.779,61.412,-25.198,122,194
43359,-0.199,-0.656,0.374,-5.254,16.0,-7.405,107,195
43418,-0.144,-0.756,0.304,-2.866,-12.451,-15.303,129,197
43478,-0.15,-1.102,0.294,5.206,-21.29,-15.509,106,200
43536,-0.024,-1.248,0.267,18.142,1.266,14.764,104,0
43594,-0.101,-1.23,0.224,1.425,11.021,28.603,106,0
43655,-0.237,-1.428,0.164,3.842,-0.425,26.366,137,0
43713,-0.125,-0.782,0.236,20.896,-8.17,51.55,100,0
43814,-0.159,-1.085,0.121,34.527,-44.771,43.031,98,0
43876,-0.007,-0.657,0.044,37.427,-43.198,37.45,93,0
43941,-0.048,-0.527,0.077,26.0,-23.634,41.183,127,0
43999,-0.087,-0.712,0.096,17.631,-28.327,34.992,88,0
44046,-0.02,-1.023,0.049,30.215,17.792,31.221,89,40
44094,-0.065,-1.25,0.045,14.301,30.165,-5.676,88,41
44141,-0.16,-1.435,0.093,-6.554,40.748,-28.832,88,43
44190,-0.12,-1.459,0.033,-23.252,37.397,-45.756,105,44
44249,-0.266,-1.37,0.048,-51.74,36.992,-79.046,111,0
44307,-0.162,-0.791,0.28,-33.504,-36.16,-61.275,120,0
44368,0.043,-0.903,0.102,-25.61,-34.572,-39.595,116,0
44427,0.025,-0.716,0.251,-34.252,60.29,-30.954,110,0
44485,-0.237,-0.751,0.349,-28.947,70.321,-21.673,123,0
44545,-0.225,-0.729,0.401,-0.44,10.004,-10.892,134,0
44604,-0.167,-0.835,0.259,-4.877,-11.214,-20.082,120,0
44662,-0.18,-0.996,0.321,0.945,-18.47,-10.09,126,0
44722,-0.107,-1.082,0.29,8.645,-24.092,17.014,123,0
44780,-0.11,-1.293,0.174,-0.776,-1.659,22.794,121,0
44838,-0.224,-1.335,0.271,1.574,10.795,16.588,111,0
44900,-0.226,-0.86,0.253,10.964,-45.802,49.183,110,0
44958,-0.122,-1.243,0.053,37.733,-73.176,49.794,112,0
45016,-0.013,-0.958,-0.042,47.489,-34.725,43.321,94,0
45072,-0.136,-0.697,0.048,31.985,-7.777,59.962,28,5
45129,-0.144,-0.516,0.122,19.373,2.153,71.435,89,0
45188,-0.142,-0.715,0.11,24.901,-27.298,56.58,113,0
45246,-0.107,-1.071,0.009,24.603,-23.008,14.653,108,0
45303,-0.061,-1.439,-0.072,4.765,9.993,-21.57,89,0
45360,-0.164,-1.516,0.021,-24.733,51.878,-47.038,88,0
45422,-0.312,-1.407,0.188,-44.229,16.663,-83.198,115,0
45479,-0.152,-0.723,0.254,-36.061,-40.832,-56.511,100,0
45539,-0.021,-0.848,0.174,-29.305,-23.115,-40.237,114,0
45596,-0.018,-0.739,0.187,-34.42,35.634,-39.542,104,0
45657,-0.144,-0.718,0.323,-26.809,52.611,-26.282,127,0
45715,-0.213,-0.739,0.309,-14.206,30.679,-25.481,108,0
45773,-0.185,-0.813,0.325,-3.204,15.145,-24.351,105,0
45832,-0.221,-0.945,0.33,0.794,-3.974,-24.229,116,0
45894,-0.169,-1.098,0.281,7.28,-16.245,-9.285,116,0
45955,-0.095,-1.289,0.204,2.143,9.265,27.894,144,0
46013,-0.232,-1.241,0.288,5.066,-4.493,22.382,123,0
46071,-0.253,-0.957,0.08,-7.294,-49.908,53.687,32,5
46130,-0.099,-1.217,-0.027,35.55,-54.45,50.382,106,0
46188,-0.074,-0.92,-0.038,35.16,-21.566,47.0,109,0
46246,-0.09,-0.485,0.081,44.793,1.414,56.626,93,0
46295,-0.175,-0.576,0.12,17.075,-24.007,64.481,89,54
46344,-0.131,-0.673,0.145,24.443,-33.786,60.885,88,58
46397,-0.079,-0.968,0.027,25.382,-21.779,42.954,88,63
46446,-0.064,-1.237,0.023,18.718,7.406,14.677,87,66
46495,-0.145,-1.487,0.026,0.408,31.87,-20.101,88,67
46545,-0.228,-1.478,0.042,-21.328,33.916,-55.893,90,71
46604,-0.299,-1.296,0.112,-33.847,-4.657,-95.313,101,0
46697,-0.05,-0.717,0.217,-18.743,-29.863,-44.176,87,74
46754,-0.078,-0.876,0.151,-23.084,2.174,-42.053,86,0
46813,-0.205,-0.857,0.209,-23.328,29.901,-22.153,114,0
46871,-0.165,-0.681,0.207,-12.543,12.893,-6.093,107,0
46934,-0.165,-0.661,0.174,-17.339,41.076,-3.635,123,0
46998,-0.263,-0.831,0.311,-14.527,30.214,-5.198,0,0
47062,-0.216,-1.002,0.306,-8.663,-12.422,-7.398,0,0
47122,-0.168,-1.153,0.329,-11.232,-15.18,1.253,150,0
47186,-0.125,-1.196,0.177,-15.177,-21.014,5.148,0,0
47246,-0.178,-1.629,0.093,-3.895,15.153,1.146,138,0
47310,-0.192,-0.917,0.095,2.489,-25.342,30.321,0,0
47371,-0.155,-0.991,0.046,30.939,-23.565,55.374,146,0
47434,-0.173,-0.936,0.014,47.031,-21.939,36.023,0,0
47486,-0.116,-0.756,0.036,43.328,-9.229,28.901,117,18
47537,-0.103,-0.688,0.024,30.794,10.844,28.71,141,22
47587,-0.247,-0.714,0.103,0.629,3.262,42.305,137,29
47638,-0.312,-0.817,0.133,27.519,-13.322,66.229,122,50
47689,-0.287,-0.797,0.187,40.855,16.51,88.336,133,59
47746,-0.437,-0.915,0.152,46.977,52.366,92.237,170,93
47800,-1.198,-1.653,0.137,81.069,13.21,138.198,135,97
47850,0.018,-0.572,0.3,89.863,-81.931,108.656,57,102
47903,0.141,-0.479,0.237,-37.115,18.252,15.453,58,105
47961,-1.084,-1.04,0.665,40.069,28.979,51.557,183,107
