Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
15948,-0.075,-0.857,0.314,-16.611,-26.756,-4.063,0,145
16009,-0.103,-0.89,0.356,-7.044,33.672,-6.273,0,146
16068,-0.178,-0.83,0.463,5.775,57.344,-20.893,0,147
16129,-0.242,-0.842,0.5,4.105,38.763,-29.885,0,147
16179,-0.206,-0.878,0.454,-1.228,12.566,-35.053,16,147
16238,-0.167,-0.872,0.426,0.996,8.504,-26.0,0,147
16299,-0.174,-0.879,0.385,5.299,6.276,-9.564,0,147
16362,-0.195,-0.953,0.423,4.84,3.83,-2.152,0,147
16421,-0.113,-0.967,0.355,10.223,-2.129,-4.378,0,147
16472,-0.113,-0.926,0.378,11.401,4.536,-1.341,16,147
16532,-0.111,-0.898,0.391,8.188,-13.375,-5.176,0,147
16591,-0.082,-0.916,0.341,14.455,-11.541,-0.711,0,147
16642,-0.085,-0.9,0.335,9.229,10.868,-0.047,9,147
16701,-0.146,-0.888,0.395,4.774,11.304,-2.271,0,147
16751,-0.12,-0.908,0.384,3.214,-1.553,-5.736,17,147
16811,-0.071,-0.905,0.358,2.876,9.158,-5.079,0,147
16874,-0.109,-0.933,0.398,0.369,13.176,-10.225,0,148
16934,-0.085,-0.933,0.382,1.057,2.815,-14.106,0,148
16995,-0.07,-0.897,0.374,1.944,13.84,-8.788,0,149
17044,-0.069,-0.906,0.372,1.278,17.305,-11.618,16,149
17105,-0.078,-0.895,0.373,0.192,22.366,-13.275,0,162
17167,-0.067,-0.899,0.365,-0.863,21.313,-14.145,0,162
17228,-0.073,-0.928,0.374,-4.406,25.076,-14.221,0,161
17289,-0.069,-0.963,0.39,-4.581,24.359,-15.664,0,161
17350,-0.021,-0.915,0.33,-2.722,42.183,-14.679,0,160
17412,-0.08,-0.909,0.376,-3.805,53.924,-11.931,0,108
17469,-0.172,-0.916,0.428,0.269,37.412,-14.656,0,106
17527,-0.094,-0.915,0.402,0.888,22.344,-13.191,0,104
17585,-0.115,-0.921,0.424,0.992,19.382,-4.743,0,104
17643,-0.104,-0.927,0.415,2.121,9.876,-2.492,0,103
17700,-0.083,-0.915,0.392,3.205,9.19,1.499,0,103
17759,-0.084,-0.919,0.383,1.289,-6.304,-0.456,0,103
17816,-0.066,-0.908,0.36,2.352,-2.88,1.854,0,103
17873,-0.064,-0.903,0.355,-0.021,0.873,2.235,0,103
17935,-0.072,-0.907,0.361,-1.542,-1.09,0.63,0,103
17992,-0.064,-0.927,0.37,-4.953,-2.066,0.227,0,103
18051,-0.078,-0.919,0.384,-3.765,-7.43,1.028,0,102
18108,-0.075,-0.915,0.384,-3.744,-8.639,0.257,0,102
18166,-0.083,-0.923,0.385,-3.284,-5.133,-1.621,0,103
18224,-0.057,-0.93,0.375,0.551,-8.745,-0.863,0,103
18282,-0.057,-0.938,0.356,0.363,-10.496,2.657,0,103
18339,-0.074,-0.939,0.377,2.468,-9.64,4.237,0,103
18398,-0.081,-0.923,0.39,2.68,-24.305,2.612,0,104
18458,-0.019,-0.92,0.334,0.244,-20.55,2.535,0,105
18516,-0.028,-0.909,0.344,0.075,-12.975,0.929,0,105
18575,-0.037,-0.921,0.357,-2.235,-5.747,0.871,0,105
18632,-0.076,-0.928,0.385,-1.18,-2.662,0.842,0,105
18691,-0.058,-0.926,0.357,-1.574,-17.779,-0.005,0,106
18749,-0.018,-0.925,0.331,-3.771,-5.733,1.824,0,107
18807,-0.09,-0.935,0.388,-1.147,-14.362,0.2,0,106
18908,-0.053,-0.928,0.345,-1.929,8.145,4.005,0,108
18966,-0.082,-0.92,0.378,-0.518,-3.65,2.08,0,108
19027,-0.024,-0.923,0.318,-1.313,2.582,1.571,0,107
19086,-0.074,-0.938,0.35,-1.642,4.814,0.927,0,107
19144,-0.057,-0.935,0.333,-1.507,1.838,0.125,0,107
19202,-0.081,-0.94,0.354,-2.467,1.945,-0.22,0,107
19260,-0.069,-0.932,0.362,-3.435,-1.481,-0.614,0,107
19318,-0.063,-0.932,0.373,0.732,-1.549,0.127,0,107
19377,-0.058,-0.941,0.351,1.059,1.694,-0.717,0,107
19435,-0.065,-0.939,0.36,4.223,1.68,-0.151,0,107
19493,-0.052,-0.921,0.347,2.707,-1.726,-0.137,0,107
19554,-0.06,-0.926,0.359,2.942,-3.874,-1.238,0,107
19612,-0.042,-0.921,0.333,2.329,-2.311,-1.503,0,108
19671,-0.052,-0.924,0.343,4.088,0.088,-0.493,0,108
19729,-0.063,-0.914,0.352,1.679,0.111,-1.256,0,107
19787,-0.064,-0.924,0.355,2.581,-1.298,-0.325,0,107
19846,-0.058,-0.934,0.358,2.585,-1.044,1.336,0,107
19904,-0.068,-0.936,0.368,1.155,-2.386,1.098,0,107
19962,-0.054,-0.926,0.363,1.857,-3.341,1.649,0,107
20021,-0.049,-0.918,0.364,1.01,-0.675,1.307,0,108
20081,-0.055,-0.918,0.377,-0.6,-2.967,0.089,0,108
20140,-0.044,-0.933,0.371,-3.447,-6.424,-1.795,0,107
20201,-0.05,-0.932,0.375,-3.097,-5.411,-2.188,0,161
20262,-0.042,-0.921,0.357,-2.039,-2.961,-1.719,0,161
20324,-0.048,-0.914,0.362,-1.968,0.452,-1.713,0,161
20385,-0.052,-0.913,0.358,-2.246,0.999,-1.875,0,161
20447,-0.063,-0.923,0.364,-3.07,-0.448,-1.056,0,161
20508,-0.05,-0.928,0.345,-4.915,-2.395,-0.662,0,161
20570,-0.045,-0.929,0.361,-3.671,0.51,-0.562,0,161
20634,-0.039,-0.929,0.355,-2.601,-1.44,-0.363,0,161
20696,-0.042,-0.928,0.347,-3.528,-1.304,-0.366,0,161
20758,-0.044,-0.926,0.355,-1.162,-1.644,-0.038,0,161
20819,-0.041,-0.935,0.335,-1.623,0.089,-0.546,0,161
20881,-0.038,-0.927,0.339,-0.649,-0.709,0.106,0,161
20939,-0.048,-0.928,0.335,-0.248,-0.367,0.697,0,108
20998,-0.048,-0.933,0.336,-0.286,-0.976,0.474,0,107
21056,-0.041,-0.936,0.348,0.554,0.005,0.523,0,108
21114,-0.045,-0.935,0.344,0.657,-1.249,0.639,0,107
21176,-0.054,-0.94,0.348,0.458,0.194,-0.093,0,107
21234,-0.046,-0.938,0.34,2.129,-1.144,-0.097,0,108
21293,-0.041,-0.93,0.336,1.936,-0.132,-0.262,0,108
21351,-0.058,-0.93,0.349,1.242,-1.608,0.057,0,107
21409,-0.047,-0.931,0.339,1.196,-2.274,0.022,0,109
21468,-0.042,-0.933,0.343,1.278,-1.979,0.123,0,109
21526,-0.046,-0.937,0.338,2.672,-1.011,0.4,0,109
21584,-0.041,-0.932,0.339,2.399,-0.125,0.42,0,109
21644,-0.049,-0.938,0.34,1.765,-1.067,0.145,0,110
21705,-0.038,-0.934,0.331,0.722,-1.757,0.435,0,110
21764,-0.046,-0.933,0.339,0.583,-1.466,0.412,0,109
21822,-0.044,-0.925,0.344,0.699,-1.114,0.331,0,110
21924,-0.04,-0.925,0.331,2.04,1.101,0.401,0,110
21983,-0.054,-0.925,0.341,1.647,0.921,0.212,0,110
22041,-0.056,-0.924,0.343,0.897,0.133,0.572,0,110
22099,-0.051,-0.924,0.352,-0.015,-0.95,0.931,0,110
22159,-0.049,-0.92,0.352,-0.14,-0.504,1.258,0,109
22217,-0.048,-0.931,0.336,-0.526,-1.227,0.452,0,110
22279,-0.054,-0.935,0.355,-1.003,0.292,0.683,0,109
22338,-0.053,-0.928,0.34,-0.771,-1.442,0.157,0,109
22396,-0.053,-0.935,0.35,-0.337,-0.864,0.158,0,108
22455,-0.058,-0.93,0.36,-0.672,-0.05,-0.218,0,109
22513,-0.056,-0.935,0.348,-1.652,-4.077,-1.46,0,109
22573,-0.049,-0.928,0.357,-2.017,-0.55,-1.153,0,108
22631,-0.067,-0.931,0.358,-2.476,-4.007,-1.025,0,108
22689,-0.038,-0.934,0.356,-4.607,-6.214,-2.243,0,108
