Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
65381,-0.196,-0.85,0.678,5.053,35.754,-33.145,0,84
65427,-0.043,-0.983,0.528,-3.438,39.137,-40.458,16,82
65483,-0.127,-0.931,0.648,3.195,55.977,-43.542,0,80
65540,-0.153,-0.78,0.525,2.453,35.733,-31.885,0,77
65589,-0.033,-0.793,0.512,17.925,46.055,-29.992,75,79
65638,0.046,-0.81,0.295,-9.154,62.809,-32.771,76,72
65693,-0.007,-0.792,0.316,-14.707,98.626,-33.023,0,71
65752,-0.151,-0.756,0.251,-47.696,90.824,-31.481,0,67
65808,-0.087,-0.764,0.489,-29.947,68.519,-26.885,0,74
65864,-0.038,-0.754,0.256,-40.809,85.763,-25.366,0,70
65920,-0.163,-0.803,0.48,-46.153,93.817,-19.352,0,72
65976,-0.201,-0.876,0.443,-35.87,71.344,-23.223,0,69
66035,-0.236,-0.985,0.65,-5.085,57.931,14.351,0,132
66095,-0.165,-1.056,0.465,-11.13,48.198,2.402,0,126
66154,-0.236,-1.193,0.239,-33.748,51.588,-38.614,0,134
66213,-0.39,-1.1,0.245,-42.493,37.115,-24.45,0,137
66277,-0.33,-0.925,0.296,-11.281,-30.749,-15.679,0,143
66336,-0.375,-1.025,0.196,1.322,-50.962,1.56,0,147
66393,-0.445,-0.98,0.139,2.342,-71.206,50.641,0,71
66448,-0.389,-0.898,0.079,10.783,-90.221,84.649,0,60
66503,-0.458,-0.823,0.068,0.731,-67.489,111.351,0,60
66553,-0.667,-0.817,0.219,-14.41,-88.412,133.595,99,64
66603,-0.662,-0.797,0.126,-19.655,-80.481,150.275,95,65
66653,-0.819,-0.874,0.189,-1.523,-65.954,157.267,93,68
66705,-0.86,-0.891,0.125,25.214,-51.794,162.802,92,121
66767,-0.833,-0.833,0.205,-21.993,-42.794,149.702,0,124
66816,-0.728,-0.759,0.177,-37.45,-29.191,92.229,41,107
66865,-0.721,-0.46,0.451,-78.977,-34.931,72.962,39,110
66914,-0.723,-0.398,0.321,-103.748,-87.122,68.763,36,111
66963,-0.689,-0.196,0.151,-93.626,-124.824,66.275,38,115
67013,-0.681,-0.151,0.044,-67.603,-93.748,68.702,33,139
67062,-0.66,-0.291,0.085,-51.313,-38.885,87.374,31,118
67111,-0.743,-0.211,0.3,-62.947,12.041,84.939,29,117
67163,-0.791,-0.674,0.215,-94.611,-81.773,71.969,29,116
67212,-0.896,-0.456,0.34,-114.198,-47.282,70.29,30,117
67261,-0.885,-0.453,0.359,-108.656,-86.74,74.679,28,117
67309,-0.728,-0.298,0.356,-92.962,-74.221,82.252,26,117
67363,-0.789,-0.443,0.299,-88.321,-48.276,84.412,27,0
67412,-1.067,-0.162,0.502,-88.115,12.008,85.168,30,116
67461,-1.138,-0.213,0.449,-86.359,-13.353,87.664,29,116
67510,-0.933,-0.132,0.283,-68.733,-34.036,77.374,29,117
67562,-0.884,-0.027,0.323,-47.046,12.59,59.137,38,118
67611,-0.929,0.096,0.274,-50.267,24.901,55.176,28,117
67659,-0.985,0.142,0.327,-61.962,32.504,74.084,27,118
67708,-1.005,0.137,0.421,-72.542,24.663,74.695,28,118
67758,-1.034,0.082,0.348,-81.511,-11.608,67.031,28,119
67807,-1.069,0.15,0.452,-64.55,-31.134,63.214,27,120
67856,-1.125,0.171,0.653,-65.122,8.784,71.809,30,121
67905,-1.176,0.19,0.677,-82.084,-19.503,94.023,29,124
67954,-1.125,0.083,0.709,-73.595,-84.962,106.672,23,128
68050,-0.755,-0.063,0.52,13.129,-91.893,119.824,19,155
68104,-0.427,-0.054,0.467,46.038,-42.702,106.695,16,0
68157,-0.188,0.233,0.553,45.466,9.541,67.969,17,0
68213,-0.417,0.603,0.637,19.714,36.314,38.389,16,0
68267,-0.654,0.482,0.732,-22.876,-25.363,-4.723,16,0
68319,-0.445,0.385,0.753,14.895,-27.153,34.597,16,0
68376,-0.497,0.274,0.719,7.954,-40.031,0.66,15,0
68422,-0.115,0.421,0.635,36.229,33.295,4.627,17,83
68468,-0.475,0.718,0.578,26.595,33.809,-26.475,17,78
68517,-0.819,0.975,0.641,19.237,57.313,21.165,17,85
68563,-0.955,0.848,0.592,-40.733,11.409,31.405,17,87
68610,-0.778,0.604,0.677,-58.046,-57.702,51.267,15,79
68663,-0.079,0.544,0.886,-44.817,-38.321,64.176,16,0
68716,-0.238,0.447,1.043,4.012,16.972,63.771,17,0
68774,-0.348,0.472,1.0,1.088,0.856,46.58,112,0
68833,-0.421,0.494,0.88,4.201,-21.214,-0.462,111,0
68889,-0.476,0.344,0.749,32.695,-28.916,-26.29,9,0
68941,-0.218,0.327,0.465,52.962,-30.649,-32.312,9,0
68998,-0.224,0.577,0.622,53.45,-1.819,-38.046,13,0
69054,-0.426,0.592,0.441,47.885,-26.191,-54.802,12,0
69100,-0.383,0.62,0.315,37.374,12.659,-70.336,13,78
69146,-0.428,0.759,0.272,2.138,76.176,-66.061,15,78
69199,-0.759,0.766,0.151,-38.275,81.008,-52.802,16,0
69253,-0.92,0.792,0.769,-74.046,41.466,-35.473,17,0
69306,-0.931,0.744,0.856,-76.84,19.172,29.701,17,0
69359,-0.81,0.493,0.944,-52.458,-15.959,26.153,17,0
69412,-0.637,0.375,0.906,-10.723,1.585,35.534,16,0
69469,-0.499,0.24,0.774,6.762,-4.726,24.076,16,0
69525,-0.364,0.308,0.572,27.481,-17.556,-2.416,14,0
69578,-0.356,0.459,0.525,17.477,7.159,-28.824,13,0
69630,-0.44,0.517,0.528,-0.308,25.954,-37.374,15,0
69684,-0.747,0.395,0.647,-20.425,32.389,-36.496,15,0
69737,-0.673,0.448,0.444,-30.812,1.8,-40.153,15,0
69790,-0.868,0.527,0.793,-46.0,5.746,-31.71,15,0
69843,-0.843,0.232,0.814,-1.525,-30.641,10.165,17,0
69895,-0.6,0.107,0.809,-12.935,-27.055,-29.12,19,164
69949,-0.374,-0.209,0.667,42.229,-2.14,-36.275,16,161
70000,-0.408,-0.227,0.586,71.588,61.445,-99.573,18,158
70053,-0.84,0.418,0.328,73.863,96.527,-136.832,19,0
70103,-1.564,0.449,0.568,80.16,127.305,-64.672,22,129
70152,-1.394,0.517,0.695,87.214,26.182,24.218,23,127
70204,-0.907,0.274,0.57,85.595,-86.427,-34.552,34,150
70254,-0.627,0.179,0.406,88.756,-104.557,-39.511,22,151
70305,-0.517,0.264,0.276,82.87,2.659,-61.74,30,150
70358,-0.898,0.189,0.376,73.389,68.145,-50.878,23,126
70407,-0.987,0.187,0.216,58.198,-33.641,-74.702,8,37
70457,-0.784,0.368,0.251,29.076,-64.069,-96.389,24,123
70506,-0.783,0.392,0.239,-25.426,-47.913,-100.557,30,121
70555,-0.96,0.306,0.366,24.298,35.328,-89.74,26,119
70604,-1.137,0.091,0.681,61.351,34.389,-59.855,24,117
70696,-0.689,0.097,0.732,77.595,-85.916,-129.931,29,116
70747,-0.769,-0.574,0.597,74.55,-78.069,-187.252,37,117
70810,-0.528,-0.675,0.32,66.481,-39.292,-214.107,0,0
70872,-0.618,-0.823,0.202,67.908,118.649,-203.153,0,112
70930,-0.867,-0.893,0.131,76.695,175.939,-195.061,0,102
70986,-0.888,-0.887,0.073,86.832,138.137,-195.725,0,59
71035,-0.83,-0.911,0.045,77.695,128.924,-190.748,94,53
71086,-0.784,-0.858,0.071,55.916,111.855,-175.435,98,48
71135,-0.692,-0.85,0.093,-3.675,103.489,-156.664,102,44
71184,-0.67,-0.83,0.119,-23.398,96.412,-148.168,105,42
71233,-0.552,-0.753,0.17,-33.427,83.137,-141.504,107,40
71286,-0.407,-0.852,0.195,-48.275,65.221,-137.313,110,42
71337,-0.226,-0.915,0.255,-56.771,55.947,-129.427,126,43
71388,-0.187,-0.961,0.484,-49.992,42.374,-97.084,129,44
71439,-0.25,-0.964,0.388,-51.412,57.542,-52.359,128,43
71494,-0.217,-1.022,0.59,-44.649,56.305,26.023,128,122
71553,-0.106,-0.911,0.627,-29.786,33.061,73.653,181,124
71607,-0.264,-1.117,0.402,-20.583,14.561,34.389,177,49
71661,-0.263,-1.08,0.457,7.872,28.566,39.847,173,50
71714,-0.236,-0.896,0.267,-6.503,-44.594,60.794,169,52
71772,-0.226,-0.974,0.271,24.653,-38.878,84.863,156,57
71825,-0.131,-1.222,0.098,48.389,-44.977,88.748,160,62
71879,-0.039,-1.228,-0.047,64.374,31.819,79.504,157,68
71933,-0.14,-1.063,-0.01,51.206,48.191,68.115,154,75
71988,-0.232,-0.797,0.107,27.191,38.725,74.962,151,81
72049,-0.523,-0.838,0.128,-24.649,-96.365,78.038,45,26
72112,-0.177,-0.792,0.071,15.249,-45.412,64.305,0,0
72175,-0.269,-0.842,-0.012,-7.544,-14.229,33.344,0,0
72241,-0.436,-0.841,0.134,-26.137,35.908,0.192,0,0
72304,-0.63,-0.967,0.276,-33.472,28.298,-23.168,0,0
72368,-0.625,-1.025,0.461,-5.945,26.38,-33.809,0,0
72431,-0.691,-1.092,0.256,-30.05,-5.374,-51.344,0,0
72494,-0.56,-0.81,0.308,-2.36,-1.671,-43.344,0,0
72557,-0.355,-0.7,0.27,33.534,2.329,-0.17,0,0
72621,-0.382,-0.845,0.162,40.282,8.827,9.498,0,0
72674,-0.308,-0.863,0.118,34.115,25.023,11.879,0,40
72730,-0.39,-0.717,0.148,-0.759,34.313,-0.669,0,73
72787,-0.311,-0.614,0.244,-8.478,32.519,1.494,0,46
72842,-0.444,-0.673,0.235,-35.488,-3.6,-21.26,0,46
72896,-0.44,-0.74,0.364,-32.693,-18.722,-49.191,0,44
72950,-0.407,-0.863,0.465,-13.498,-14.004,-48.748,0,46
73005,-0.487,-1.104,0.322,-25.234,-44.339,-54.893,0,40
73059,-0.227,-1.001,0.211,-14.389,-10.762,-40.191,0,33
73112,-0.466,-1.202,0.312,-25.799,31.405,-35.16,0,26
73165,-0.445,-1.187,0.436,-8.906,-10.915,-48.076,0,25
73219,-0.315,-0.729,0.297,-3.922,-83.611,-26.405,0,24
73275,-0.224,-0.86,0.153,2.949,-83.802,13.751,0,30
73329,-0.334,-1.253,0.126,17.846,-76.374,-6.976,0,34
73383,-0.117,-0.985,-0.03,37.038,-45.214,-9.177,0,42
73438,-0.068,-0.728,0.001,25.985,29.915,28.214,0,48
73536,-0.241,-0.77,0.119,10.054,29.855,56.389,0,57
73592,-0.214,-0.877,0.088,8.546,-4.061,49.992,0,81
73650,-0.171,-1.14,0.067,13.99,5.693,29.443,0,87
73712,-0.125,-1.177,0.102,-36.074,-32.586,-56.197,5,55
73769,-0.165,-1.231,0.145,-19.564,38.244,-34.084,0,94
73830,-0.228,-1.088,0.297,-30.681,43.427,-68.58,0,95
73886,-0.237,-0.698,0.522,-3.935,26.313,-70.786,0,81
73943,-0.179,-0.817,0.296,-1.143,11.548,-50.198,0,82
74000,-0.058,-1.021,0.15,-2.128,44.901,-24.939,0,82
74056,-0.147,-0.941,0.127,0.844,88.748,-4.672,0,87
74114,-0.313,-0.779,0.271,-17.522,71.107,-0.575,0,88
74171,-0.315,-0.786,0.285,-12.395,13.913,-5.553,0,93
74228,-0.236,-0.792,0.253,-26.126,-19.113,-25.013,0,99
74287,-0.23,-0.844,0.371,-11.394,0.91,-12.333,0,107
74348,-0.341,-0.981,0.397,-17.161,-28.712,-14.982,0,112
74406,-0.247,-1.064,0.322,0.132,-48.702,-1.779,0,119
74466,-0.109,-1.223,0.165,42.95,19.076,25.458,0,129
74526,-0.125,-1.034,0.237,28.87,33.061,28.916,0,133
74586,-0.217,-0.912,0.328,36.985,54.832,52.626,0,144
74646,-0.243,-1.155,0.391,52.42,31.344,61.893,0,146
74707,-0.355,-1.215,0.258,71.336,25.611,73.817,0,155
74771,-0.286,-0.879,0.365,78.038,51.176,120.74,0,0
74834,-0.475,-0.888,0.37,79.969,51.992,141.214,0,0
74901,-0.636,-0.817,0.276,88.008,-11.119,148.641,0,0
74961,-0.67,-0.737,0.326,101.687,-26.088,156.206,154,0
75017,-0.708,-0.781,0.183,93.878,27.313,140.595,148,114
75068,-0.849,-0.37,0.414,72.847,11.723,98.931,57,117
75118,-0.872,0.055,0.535,76.496,11.866,51.962,50,120
75168,-0.802,-0.07,0.448,61.359,1.48,72.921,54,121
75218,-0.982,0.044,0.374,52.557,-13.636,38.237,44,124
75269,-0.949,0.172,0.625,66.565,-30.132,63.664,43,126
75325,-0.645,0.28,0.61,64.008,-56.351,51.206,40,177
75378,-0.386,0.348,0.574,31.893,-59.336,21.49,39,180
75431,-0.623,0.156,0.597,-16.922,-13.496,-30.662,39,181
75485,-0.734,0.204,0.617,9.074,16.033,4.124,41,182
75538,-0.644,0.382,0.574,27.112,24.692,22.52,39,182
75591,-0.628,0.431,0.386,-0.643,-2.113,-19.585,40,182
75644,-0.974,0.218,0.542,21.587,29.786,43.308,39,182
75699,-0.859,0.439,0.61,21.616,11.649,49.588,40,183
75752,-0.605,0.571,0.569,13.002,-28.637,8.579,38,183
75808,-0.769,0.442,0.302,-8.232,48.84,-10.937,39,183
75862,-1.003,0.434,0.583,-3.197,57.885,72.145,38,178
75915,-0.828,0.483,0.623,12.73,-10.073,64.977,38,178
75967,-0.674,0.623,0.431,6.475,-34.183,-19.39,36,175
76017,-0.729,0.673,0.384,-12.53,-37.106,-21.843,35,122
76069,-0.66,0.577,0.467,2.666,14.376,30.044,36,167
76122,-0.865,0.414,0.403,-27.281,25.962,6.604,36,165
76174,-0.978,0.33,0.573,-4.235,23.489,36.903,36,163
76224,-0.93,0.354,0.632,-16.338,-28.641,16.225,37,121
76276,-0.775,0.374,0.693,-11.167,-50.916,20.188,37,121
76369,-0.719,0.416,0.679,-11.581,-33.008,31.949,35,123
76420,-0.844,0.534,0.642,-42.656,-66.0,11.3,36,126
76470,-0.836,0.379,0.789,-52.137,-107.427,28.603,31,129
76519,-0.512,0.374,0.951,-0.845,-150.359,27.87,31,131
76569,-0.24,0.331,0.897,49.722,-144.71,25.359,30,133
76620,-0.147,0.361,0.83,22.412,-95.282,-24.191,30,138
76680,-0.085,0.431,0.852,25.802,-41.405,-29.334,0,139
76731,-0.239,0.469,0.989,33.641,-64.832,0.083,31,142
76779,-0.134,0.5,0.894,33.557,-91.397,-23.464,30,144
76830,0.048,0.574,0.803,35.588,-81.557,-0.344,30,147
76891,0.016,0.581,0.867,37.26,-75.069,-17.902,0,151
76952,0.159,0.637,0.702,39.26,-71.954,-36.74,0,155
77014,0.134,0.901,0.598,18.39,42.063,-38.954,0,156
77075,-0.184,0.803,0.724,-16.84,-41.017,-33.884,0,159
77136,0.003,0.7,0.679,-5.436,-4.361,1.247,0,161
77198,0.085,0.777,0.672,12.531,27.562,28.419,0,162
77262,-0.007,0.743,0.785,1.702,12.719,10.782,0,163
77314,0.241,0.815,0.474,-19.162,-13.697,-19.524,29,163
77376,0.208,0.705,0.638,-58.275,102.511,9.541,0,163
77427,-0.002,0.689,0.961,-58.763,48.565,-62.969,31,161
77479,-0.101,0.702,0.879,-57.611,42.168,-81.695,36,159
77541,-0.27,0.395,0.806,-49.244,123.29,-28.42,0,157
77593,-1.044,0.214,1.035,13.53,100.611,59.45,36,156
77644,-0.36,0.597,0.934,25.344,-28.611,77.092,34,157
77706,0.134,0.871,0.665,5.863,-73.015,35.771,0,157
77770,0.114,0.409,0.61,-14.361,23.329,-20.771,0,156
77832,-0.244,0.255,0.666,29.103,89.786,17.201,0,154
77892,-0.708,0.595,0.594,-52.344,85.412,38.779,0,152
77944,-0.707,0.403,0.769,-84.534,-34.915,54.786,37,153
78006,-0.489,0.32,0.913,-55.58,-42.542,43.672,0,153
78057,-0.259,0.015,1.219,-11.341,-46.412,25.687,36,154
78109,0.01,-0.034,1.134,57.573,-77.16,-19.972,33,154
78160,0.286,0.361,0.645,59.038,-40.221,-61.969,30,153
78212,-0.308,0.364,1.032,34.084,-12.679,-73.046,38,154
78267,-0.299,0.938,0.125,15.848,38.916,-68.832,35,152
78318,-0.941,0.808,0.198,-67.565,130.397,7.669,37,149
