Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
55449,0.049,-1.211,0.448,-19.282,-23.908,-17.584,128,32
55498,-0.039,-1.358,0.289,-27.229,-40.674,-41.983,124,28
55548,0.144,-1.674,0.237,-26.229,-29.084,28.089,119,59
55599,0.045,-0.838,0.275,4.96,-42.221,39.214,115,60
55650,0.171,-1.077,0.21,23.282,-53.046,45.427,112,75
55697,-0.341,-1.007,0.117,38.359,-58.878,20.397,111,18
55745,0.057,-0.793,0.045,47.099,-51.069,20.458,105,17
55793,0.048,-0.694,0.056,39.771,-33.756,23.908,80,17
55839,-0.158,-0.624,0.128,31.908,23.659,24.878,79,17
55885,-0.324,-0.69,0.139,33.916,-29.71,26.916,78,17
55930,-0.012,-1.0,0.122,41.588,-65.721,17.008,76,18
55976,0.067,-0.987,0.092,36.374,-43.53,-24.764,75,25
56023,0.055,-1.122,0.15,15.046,26.159,-21.592,75,24
56069,0.038,-1.404,0.159,-22.211,-2.072,-23.824,75,27
56114,0.051,-1.387,0.156,-16.557,14.41,-28.863,75,22
56160,0.069,-1.466,0.098,-32.176,1.401,-32.977,74,22
56209,0.047,-1.139,0.146,-50.305,-0.955,-46.344,74,21
56254,0.145,-0.694,0.137,-23.092,23.71,-24.496,75,21
56300,0.17,-0.699,0.149,-12.84,41.496,-20.771,80,22
56347,0.125,-1.015,0.191,-22.672,78.198,-27.015,82,24
56393,-0.036,-0.867,0.312,-31.71,84.939,-23.137,83,29
56440,0.111,-0.678,0.299,-38.237,64.298,-29.366,84,32
56491,-0.166,-0.664,0.339,-38.58,35.145,-36.557,134,30
56541,-0.075,-0.7,0.242,-30.359,37.901,-32.893,133,39
56591,0.045,-0.598,0.197,-17.198,47.833,-23.664,133,31
56652,0.049,-0.971,0.192,-14.571,-25.316,-44.082,133,0
56712,0.157,-1.253,0.507,-50.666,-42.02,1.908,128,0
56771,0.24,-1.227,0.262,24.382,8.708,28.29,126,0
56829,0.074,-1.287,0.303,17.611,40.534,37.221,119,0
56888,-0.265,-1.018,0.341,17.092,16.054,43.863,99,0
56945,0.111,-0.999,0.493,34.947,-74.244,54.504,94,0
57001,-0.136,-1.075,0.278,44.565,-97.664,41.275,86,0
57055,-0.071,-0.805,0.118,66.473,-81.443,46.145,0,22
57101,-0.175,-0.598,0.135,54.275,-40.947,62.901,74,23
57145,0.027,-0.609,0.208,43.008,39.079,62.412,71,27
57191,0.142,-0.705,0.239,39.092,-24.537,47.893,70,24
57236,0.149,-1.008,0.21,30.473,-67.193,21.977,69,27
57283,0.137,-1.044,0.264,12.901,6.958,-15.548,71,33
57329,-0.073,-1.212,0.237,-13.763,-56.049,-23.756,68,30
57375,0.034,-1.271,0.214,-40.084,-17.117,-38.328,69,27
57421,0.002,-1.375,0.221,-70.901,22.176,-48.916,69,38
