Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32316,-0.142,-0.959,0.151,11.98,9.146,-1.623,85,62
32363,-0.225,-1.014,0.102,1.022,-2.586,-13.68,119,62
32409,-0.133,-0.924,0.196,8.9,-0.755,-2.098,85,62
32454,-0.124,-0.951,0.158,4.76,-5.656,-2.699,75,64
32499,-0.105,-0.948,0.156,4.439,0.968,-1.442,75,65
32544,-0.11,-0.945,0.179,2.61,5.117,-1.761,75,65
32589,-0.161,-0.97,0.16,1.696,0.898,-2.38,75,63
32636,-0.108,-0.921,0.21,4.73,0.009,2.575,74,65
32681,-0.11,-0.927,0.203,4.099,1.476,1.726,75,65
32727,-0.172,-0.997,0.143,1.908,-0.045,-1.738,74,65
32772,-0.171,-0.993,0.15,0.528,-3.321,-1.856,74,66
32817,-0.079,-0.919,0.19,2.907,1.832,1.838,74,66
32870,-0.157,-0.978,0.162,-0.496,-1.462,2.138,82,0
32916,-0.121,-0.946,0.215,2.168,-3.682,3.602,83,66
32961,-0.081,-0.939,0.207,3.523,-2.999,5.007,83,66
33007,-0.165,-1.002,0.137,1.083,-4.807,0.767,79,64
33052,-0.118,-0.963,0.182,4.425,-1.346,6.187,80,66
33100,-0.089,-0.934,0.196,6.55,0.933,8.662,81,66
33146,-0.156,-1.003,0.138,2.004,-1.277,3.953,78,64
33191,-0.143,-0.979,0.151,2.949,1.099,3.544,78,65
33236,-0.147,-0.974,0.183,1.293,-1.721,2.55,79,65
33282,-0.177,-1.022,0.13,-0.017,-7.231,-2.357,77,64
33328,-0.071,-0.903,0.213,3.25,0.393,1.062,81,68
33373,-0.169,-0.994,0.136,0.544,-1.14,-0.41,78,64
33419,-0.217,-1.046,0.095,-0.358,-1.924,-1.819,75,63
33464,-0.19,-1.015,0.113,0.411,0.553,-1.338,76,65
33512,-0.138,-0.949,0.193,0.703,2.9,1.162,80,66
33558,-0.157,-1.001,0.142,0.175,0.645,0.323,79,66
33603,-0.105,-0.93,0.221,0.818,4.445,1.261,81,66
33648,-0.198,-1.016,0.134,-1.206,0.818,-2.998,77,65
33694,-0.136,-0.968,0.184,0.478,1.033,-2.022,80,65
33739,-0.181,-0.997,0.15,-0.394,2.091,-4.559,78,65
33785,-0.172,-0.978,0.184,-0.188,0.521,-3.655,79,65
33830,-0.115,-0.946,0.195,1.861,-0.096,-0.981,81,66
33876,-0.18,-0.989,0.157,0.471,1.891,-2.362,78,65
33925,-0.186,-0.985,0.165,0.495,-1.179,-1.875,79,66
33971,-0.181,-0.988,0.145,0.463,-4.575,-1.64,78,64
34016,-0.201,-1.014,0.11,-1.387,-5.236,-0.318,77,64
34062,-0.152,-0.986,0.159,0.311,-3.423,2.182,79,65
34107,-0.12,-0.943,0.202,0.887,1.507,5.442,81,66
34153,-0.208,-1.036,0.111,-0.963,-4.643,0.052,76,64
34198,-0.146,-0.966,0.194,0.737,-3.385,3.243,80,66
34244,-0.135,-0.984,0.153,0.489,-3.306,1.831,79,66
34290,-0.131,-0.969,0.169,0.504,0.194,2.667,79,66
34338,-0.15,-0.974,0.189,0.587,-1.051,1.825,80,66
34384,-0.131,-0.971,0.185,0.782,-2.242,0.04,80,67
34429,-0.117,-0.946,0.183,0.258,1.338,-0.511,80,68
34476,-0.129,-0.95,0.195,-0.049,2.379,-0.443,80,68
34522,-0.182,-1.005,0.134,-0.44,-2.371,-2.263,78,66
34568,-0.182,-1.01,0.128,-0.755,-2.987,-2.478,77,65
34656,-0.18,-0.993,0.145,-0.621,2.138,-1.092,79,69
34710,-0.177,-0.99,0.169,-0.714,-0.358,-0.917,80,0
34763,-0.196,-1.011,0.111,-1.581,-2.695,-0.792,78,0
34820,-0.156,-0.983,0.172,-0.411,0.135,1.175,80,0
34874,-0.148,-0.976,0.175,-0.09,1.008,1.507,81,0
34927,-0.145,-0.963,0.188,-0.065,-0.195,0.981,82,0
34982,-0.212,-1.042,0.105,-1.237,-3.533,-0.697,112,0
35031,-0.154,-0.982,0.155,0.52,-0.36,0.301,112,66
35079,-0.199,-1.021,0.1,-0.089,1.04,-0.855,111,62
35126,-0.102,-0.911,0.241,1.15,4.131,1.233,112,70
35174,-0.122,-0.95,0.178,0.516,0.278,-0.869,112,68
35221,-0.169,-0.994,0.146,-1.778,0.54,-2.852,113,65
35272,-0.178,-0.997,0.152,-1.787,-0.517,-2.739,112,67
35320,-0.175,-0.987,0.155,-1.607,-1.625,-2.828,112,68
35368,-0.157,-0.985,0.152,-0.856,-1.344,-2.301,111,69
35417,-0.166,-0.968,0.16,-0.689,0.113,-2.209,111,69
35463,-0.163,-0.974,0.175,-0.995,-2.102,-1.069,82,66
35510,-0.163,-0.992,0.129,-1.586,-3.985,-1.086,111,64
35558,-0.146,-0.956,0.162,-1.579,0.44,-0.159,110,67
35611,-0.156,-0.96,0.175,-2.498,-1.149,-0.633,0,66
35664,-0.134,-0.949,0.192,-1.747,-3.02,-1.05,0,67
35723,-0.167,-0.996,0.147,-5.789,-6.55,-3.301,110,0
35771,-0.176,-0.996,0.128,-6.808,-5.449,-3.331,110,70
35819,-0.206,-1.036,0.095,-11.551,-8.725,-6.939,111,68
35872,-0.181,-1.003,0.106,-9.602,-5.058,-6.298,0,69
35920,-0.18,-0.99,0.114,-11.27,-6.049,-8.14,110,68
35969,-0.134,-0.944,0.143,-8.13,-1.929,-3.533,110,71
36017,-0.159,-0.977,0.09,-11.146,-0.516,-8.227,110,70
36065,-0.161,-0.978,0.103,-8.008,2.609,-7.651,110,70
36116,-0.086,-0.936,0.142,-8.008,17.093,-2.603,106,73
36163,-0.175,-0.985,0.056,-8.542,5.405,-13.904,106,73
36218,-0.117,-0.996,0.054,-8.89,15.575,-11.251,104,0
36267,-0.174,-1.138,0.084,-13.859,-2.942,-18.358,104,73
36316,0.057,-1.027,0.168,2.492,26.649,-11.239,103,84
36364,0.139,-0.958,0.156,17.809,41.84,13.844,105,76
36412,0.027,-1.371,0.151,5.659,77.817,19.742,105,77
36465,-0.016,-0.984,-0.207,-5.49,122.366,-42.183,0,77
36519,-0.182,-0.524,0.061,-30.084,143.053,-53.374,0,83
36584,-0.259,-0.358,0.277,-8.321,97.725,-77.794,0,0
36638,-0.245,-0.633,0.131,-1.245,21.561,-35.084,0,92
36692,-0.179,-1.747,-0.189,12.344,16.478,-33.061,0,80
36748,0.134,-1.317,-0.203,48.527,33.397,-33.671,0,102
36796,0.043,-1.175,0.239,-10.0,-20.872,60.137,90,84
36843,0.217,-1.491,-0.263,-10.588,-50.191,62.427,86,85
36897,0.343,-1.34,-0.196,14.023,-38.771,69.427,193,93
36953,0.227,-1.234,-0.17,-11.115,1.033,52.687,192,107
37009,0.034,-1.161,-0.05,-24.656,11.951,25.538,190,117
37067,0.009,-1.16,-0.08,-17.096,-35.855,-7.012,188,118
37122,0.01,-1.057,-0.01,10.191,-24.061,-0.194,187,92
37176,-0.008,-0.97,0.105,6.669,0.869,22.652,186,92
37273,-0.155,-1.09,0.08,10.076,-35.141,5.667,184,95
37327,-0.053,-0.984,0.095,20.389,-23.44,4.736,185,95
37382,-0.118,-0.918,0.141,11.305,-10.397,2.167,185,95
37435,-0.1,-0.878,0.131,15.351,-1.569,3.261,185,93
37489,-0.093,-0.831,0.227,20.853,-2.925,13.503,185,93
37543,-0.04,-0.906,0.14,17.817,-3.722,20.147,186,92
37601,-0.035,-0.933,0.104,18.565,-7.917,28.588,187,99
37655,-0.014,-0.939,0.061,23.496,22.256,35.618,189,91
37709,-0.113,-0.974,0.117,12.298,30.656,41.885,191,93
37765,-0.0,-0.854,0.197,19.073,44.796,43.687,195,95
37819,-0.129,-0.916,0.229,0.248,20.912,38.618,0,88
37873,-0.148,-0.928,0.224,2.321,17.627,35.483,0,82
37928,-0.199,-1.027,0.114,-0.28,7.362,-33.466,0,91
37983,-0.304,-1.187,0.083,7.314,28.687,-82.42,0,82
38047,-0.36,-1.071,0.114,15.497,36.427,-111.542,0,0
38100,-0.309,-0.78,0.071,-11.846,24.908,-87.84,0,71
38158,-0.312,-0.877,0.19,6.713,19.059,-60.908,0,136
38215,-0.349,-1.042,0.076,5.93,-33.198,-45.267,0,134
38273,-0.116,-1.038,-0.025,12.641,-15.782,-29.817,0,132
38330,-0.054,-0.927,-0.034,6.931,25.046,17.088,0,132
38387,-0.194,-0.933,0.004,-5.358,51.504,66.511,0,130
38445,-0.148,-0.976,0.18,-8.885,31.389,84.695,0,134
38498,-0.323,-0.974,0.211,-10.664,-0.173,69.008,0,68
38555,-0.265,-0.962,0.209,-13.634,-72.229,47.664,0,70
38609,-0.22,-1.074,0.055,-11.298,-95.282,36.588,0,72
38669,-0.075,-0.969,-0.005,-0.481,-75.763,30.863,0,68
38721,-0.088,-1.001,-0.009,-2.474,-50.29,28.328,0,74
38774,-0.19,-1.05,0.035,-3.972,-40.725,13.975,0,70
38827,-0.116,-0.954,0.007,-1.175,-37.176,7.283,0,69
38880,-0.179,-1.035,0.146,-10.13,-24.592,4.443,0,71
38935,-0.082,-0.906,0.142,-13.885,1.061,-4.747,111,0
38982,-0.323,-1.055,0.407,-25.901,-27.05,-41.972,112,68
39032,-0.287,-1.112,0.362,-19.336,-32.275,-33.527,112,67
39086,-0.186,-0.984,0.263,1.107,-39.481,-30.931,0,66
39133,-0.154,-0.833,0.284,-2.951,-43.646,-32.072,111,65
39180,-0.078,-0.891,0.302,8.374,16.788,18.862,112,69
39235,-0.163,-0.942,0.226,5.893,5.154,-24.053,113,0
39283,-0.148,-0.928,0.274,1.371,6.866,-29.511,115,66
39330,-0.241,-0.938,0.253,-2.051,-4.768,-25.901,116,63
39377,-0.272,-0.972,0.248,-3.394,-21.125,-26.888,116,62
39426,-0.259,-0.981,0.247,-3.61,-36.382,-22.599,116,62
39484,-0.211,-0.99,0.233,-2.342,-30.0,-0.012,116,0
39531,-0.127,-0.984,0.224,3.348,-33.13,43.473,116,61
39578,-0.144,-1.123,0.211,6.743,-37.084,57.275,117,61
39626,-0.169,-0.992,0.182,10.473,-51.267,64.275,116,63
39682,-0.066,-0.862,0.156,10.992,-48.58,71.718,116,0
39737,-0.067,-0.949,0.136,15.297,-18.578,62.962,118,0
39785,-0.125,-0.999,0.138,9.916,3.103,32.214,116,66
39832,-0.18,-0.964,0.115,2.6,8.269,1.792,117,61
39882,-0.153,-0.874,0.221,5.656,36.282,23.27,119,59
39973,-0.354,-1.009,0.154,-2.479,2.906,-28.488,123,56
40029,-0.302,-0.927,0.172,2.439,14.199,-28.718,125,0
40077,-0.281,-0.919,0.116,-0.634,28.427,-36.351,127,52
40129,-0.349,-0.951,0.181,-1.513,33.542,-43.153,0,52
40185,-0.388,-1.03,0.182,-3.157,19.503,-58.183,133,0
40242,-0.299,-1.025,0.125,-5.105,3.878,-68.58,135,0
40302,-0.251,-0.951,0.135,-4.741,15.009,-61.679,0,0
40363,-0.262,-0.971,0.15,-5.256,13.77,-38.908,0,0
40426,-0.245,-0.992,0.163,-0.376,6.273,-15.369,0,0
40486,-0.231,-0.993,0.137,0.334,-4.257,4.076,0,0
40538,-0.236,-1.0,0.12,0.293,-16.882,16.343,0,45
40589,-0.247,-1.022,0.07,-0.643,-35.156,31.046,0,45
40641,-0.152,-0.96,0.123,0.628,-11.45,39.008,0,50
40697,-0.167,-0.99,0.131,-1.0,-16.778,44.901,136,0
40745,-0.196,-1.013,0.128,-5.388,-30.168,44.855,134,47
40794,-0.206,-1.011,0.129,-8.288,-38.099,38.977,132,51
40842,-0.169,-0.997,0.17,-9.977,-45.779,28.626,131,50
40893,-0.173,-1.004,0.154,-9.282,-52.183,19.868,131,51
40949,-0.098,-0.956,0.179,-1.528,-48.305,16.219,130,0
40997,-0.097,-0.985,0.118,-1.359,-23.361,2.899,130,53
41044,-0.13,-0.98,0.149,5.582,0.608,3.26,130,52
41101,-0.232,-1.026,0.122,1.596,-0.995,-8.444,130,0
41157,-0.19,-0.987,0.15,11.389,13.396,-8.633,131,0
41206,-0.128,-0.918,0.202,11.962,46.357,-0.382,133,52
41257,-0.216,-0.982,0.116,10.534,26.832,-15.78,0,51
41310,-0.154,-0.91,0.165,15.128,38.313,-1.357,0,49
41361,-0.261,-0.965,0.149,6.369,35.992,-8.008,134,49
41409,-0.285,-1.04,0.092,-3.324,-12.517,-33.41,40,14
41456,-0.259,-1.037,0.078,-5.095,-17.961,-44.399,40,14
41513,-0.247,-1.061,0.074,-5.734,-14.386,-55.257,40,5
41570,-0.283,-0.995,0.212,-3.248,-6.817,-35.584,136,0
41627,-0.13,-0.897,0.223,1.676,0.662,-23.206,137,0
41684,-0.197,-0.964,0.213,2.24,-8.402,-18.754,136,0
41741,-0.228,-1.004,0.152,0.478,-9.421,-23.139,136,0
41801,-0.216,-0.995,0.164,4.237,-5.504,-9.748,136,0
41858,-0.173,-0.945,0.219,10.091,-1.351,8.498,136,0
41915,-0.171,-0.952,0.232,9.203,-6.26,14.851,135,0
41963,-0.225,-1.012,0.131,-0.31,-24.062,3.48,133,51
42011,-0.152,-0.942,0.219,7.536,-7.913,21.422,132,50
42067,-0.23,-1.018,0.122,-1.988,-36.876,-3.199,131,0
42116,-0.152,-0.96,0.227,4.91,-11.592,15.015,130,54
42173,-0.139,-0.95,0.223,5.493,-9.699,11.679,129,0
42229,-0.151,-0.958,0.237,3.529,-15.3,5.091,128,0
42280,-0.132,-0.928,0.244,9.445,-8.18,4.143,127,57
42329,-0.124,-0.929,0.238,10.218,-10.242,-0.402,126,59
42377,-0.161,-0.937,0.242,10.595,-10.577,-6.01,125,60
42434,-0.179,-0.792,0.163,16.802,-10.657,-13.647,137,0
42490,-0.12,-0.454,0.113,24.29,-0.239,-8.489,123,0
42539,-0.058,-0.376,0.21,20.45,33.023,41.229,134,57
42595,-0.214,-0.8,0.166,15.924,49.534,37.985,121,0
42686,-0.682,-1.138,0.395,-51.168,54.718,-77.122,36,18
42732,-0.94,-0.753,0.736,-68.756,-105.763,-70.366,75,60
42781,-0.78,-0.575,0.428,-88.275,-250.137,-91.527,71,66
42826,-0.426,-0.411,-0.033,-78.664,-250.137,-91.145,66,71
42880,-0.185,-0.697,-0.264,-26.947,-238.45,-54.893,68,0
42920,0.08,-1.068,-0.345,24.191,-171.229,-58.568,87,0
42971,0.374,-0.849,-0.43,65.191,-90.359,36.427,82,125
43020,0.416,-1.015,-0.125,60.481,57.114,117.389,82,132
43071,0.218,-1.47,-0.145,37.176,44.237,133.198,74,142
43123,-0.093,-1.652,0.214,50.496,55.519,95.557,150,98
43179,-0.015,-1.422,0.037,34.008,-39.553,84.137,147,107
43234,-0.171,-1.267,0.283,-15.246,-28.893,41.382,0,109
43290,-0.196,-1.417,0.227,-32.687,-41.084,6.109,0,111
43345,-0.093,-1.281,0.088,-11.183,-49.183,-38.282,0,109
43399,-0.001,-1.196,0.229,-14.832,45.104,-38.824,148,103
43447,-0.002,-1.201,0.172,-23.244,33.733,-41.473,72,104
43494,-0.037,-1.176,0.178,-17.038,58.725,-43.718,70,98
43541,-0.141,-1.024,0.28,-9.298,64.695,-49.13,36,124
43587,-0.158,-0.78,0.22,-17.449,61.947,-40.947,38,95
43644,-0.017,-0.6,0.278,4.647,67.931,13.647,0,95
43692,-0.1,-0.851,0.255,-14.229,67.137,9.925,39,123
43741,0.03,-1.052,-0.117,-0.117,83.542,0.49,96,93
43790,-0.055,-0.959,-0.011,3.838,134.214,17.857,88,110
43838,-0.132,-0.996,-0.096,-14.153,140.916,11.012,91,84
43886,-0.176,-0.964,-0.082,-14.382,142.191,11.219,94,88
43934,-0.343,-1.315,-0.025,-24.0,112.298,-18.795,94,79
43987,-0.371,-1.252,-0.137,4.519,72.328,-57.206,186,79
44036,-0.175,-0.868,-0.027,-2.906,-2.627,-19.387,105,76
44087,-0.172,-0.896,-0.123,-18.038,-2.039,2.275,188,79
44135,-0.113,-0.95,-0.119,-27.863,-31.16,-1.763,97,81
44183,-0.112,-1.06,-0.191,-4.989,-29.626,0.667,96,78
44231,-0.088,-0.975,-0.215,2.645,-21.322,2.495,96,81
44279,-0.037,-0.908,-0.224,3.944,5.624,9.523,96,81
44327,-0.094,-0.975,-0.152,-1.273,7.521,16.34,96,81
44376,-0.117,-1.003,-0.117,2.958,-6.851,15.049,95,83
44424,-0.099,-1.002,-0.102,25.702,-12.935,22.443,97,80
44473,-0.123,-0.979,-0.027,34.267,-1.938,11.503,58,82
44519,-0.121,-1.119,-0.004,31.046,0.617,6.041,57,86
44567,-0.162,-1.108,-0.024,34.962,-15.808,-12.552,93,81
44613,-0.086,-0.924,0.127,27.038,3.601,6.097,57,85
44662,-0.135,-0.954,0.128,17.725,-1.652,11.657,96,86
44710,-0.174,-0.982,0.112,20.298,-15.346,8.732,94,82
44759,-0.119,-0.867,0.164,19.679,-9.49,24.367,95,87
44806,-0.166,-0.917,0.181,12.237,-19.747,13.888,71,84
44854,-0.164,-0.914,0.195,9.697,-20.704,8.949,92,85
44904,-0.168,-0.911,0.241,7.157,-24.341,3.241,71,85
44952,-0.163,-0.969,0.175,6.806,-25.89,-0.328,91,84
44999,-0.148,-0.989,0.18,3.661,-20.166,-3.526,71,83
45047,-0.062,-0.92,0.226,8.345,0.227,7.969,94,88
45094,-0.174,-0.975,0.145,-1.963,-9.596,6.359,70,92
45187,-0.148,-0.969,0.177,0.328,1.98,15.557,93,86
45235,-0.096,-0.988,0.154,4.14,5.388,15.059,95,88
45289,-0.088,-0.924,0.205,3.475,20.32,19.473,95,86
45336,-0.094,-0.943,0.157,3.39,20.033,13.853,96,86
45386,-0.144,-0.942,0.148,2.782,9.558,8.812,99,82
45433,-0.102,-0.956,0.178,5.173,34.965,7.538,101,84
45481,-0.171,-1.049,0.108,-1.26,25.252,-16.279,103,76
45529,-0.141,-0.987,0.139,6.218,27.336,-12.77,103,77
45576,-0.167,-0.971,0.126,5.177,32.809,-23.555,104,75
45623,-0.141,-0.951,0.176,5.922,32.901,-26.634,107,70
45671,-0.247,-1.081,0.092,1.175,31.962,-31.099,110,65
45718,-0.128,-1.01,0.11,10.557,37.71,-23.328,112,64
45765,-0.011,-0.909,0.165,14.275,67.015,11.63,117,60
45815,-0.12,-0.946,0.099,21.656,94.298,-7.813,121,59
45858,-0.27,-0.849,0.127,20.198,103.527,-23.734,51,53
45901,-0.337,-0.875,0.182,12.023,76.603,-19.344,51,51
45962,-0.335,-0.907,0.139,12.481,57.191,-36.16,0,0
46014,-0.329,-0.951,0.151,10.29,47.565,-51.267,51,0
46072,-0.354,-1.105,0.121,15.52,44.069,-61.153,0,173
46133,-0.294,-1.075,0.048,6.498,42.206,-61.16,0,0
46186,-0.284,-1.029,0.092,-5.154,35.466,-36.069,108,168
46237,-0.293,-0.997,0.222,-0.591,8.32,-11.476,110,93
46286,-0.25,-0.915,0.222,7.066,20.054,35.436,109,93
46336,-0.099,-0.858,0.235,9.506,20.814,32.939,108,94
46385,-0.271,-1.127,0.228,-9.023,-40.015,38.153,32,29
46443,-0.271,-1.048,0.21,2.672,-58.328,24.802,0,170
46501,-0.174,-0.967,0.155,11.634,-64.672,23.363,0,172
46554,-0.142,-0.985,0.084,16.366,-46.504,32.504,94,173
46607,-0.179,-0.998,0.121,13.267,-34.359,40.771,91,177
46662,-0.159,-0.967,0.169,16.73,-39.542,39.969,133,179
46721,-0.248,-0.936,0.085,-6.35,-54.985,38.634,129,183
46767,-0.186,-0.899,0.149,-14.992,-71.634,38.977,92,58
46813,-0.229,-0.989,0.106,-20.916,-82.122,31.534,90,59
46866,-0.197,-1.003,0.109,-22.748,-85.344,25.504,86,193
46912,-0.105,-0.931,0.163,-21.45,-78.435,26.344,81,65
46958,-0.143,-0.985,0.158,-21.969,-70.374,31.305,79,67
47004,-0.053,-0.947,0.253,-18.702,-65.756,35.588,81,74
47049,-0.177,-1.054,0.119,-11.84,-60.168,39.137,75,69
47102,-0.054,-1.033,0.112,-14.485,-44.176,39.687,76,0
47153,-0.097,-1.0,0.181,-6.047,-28.254,33.802,75,78
47213,-0.072,-1.003,0.183,1.597,-6.389,22.771,0,0
47266,-0.06,-0.936,0.224,5.649,17.883,6.374,0,80
47312,-0.202,-1.075,0.291,-8.449,15.017,-19.203,73,77
47366,-0.208,-1.095,0.276,-10.18,-5.441,-28.107,0,75
47419,-0.053,-0.898,0.248,-0.613,5.773,-27.855,0,77
47465,-0.185,-1.021,0.213,-9.698,-10.174,-26.176,75,70
47511,-0.074,-0.96,0.237,1.245,35.842,-34.603,75,72
47559,-0.168,-1.051,0.113,-2.11,43.672,-41.359,76,71
