Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
37664,-0.328,-0.898,0.217,18.153,5.354,-64.191,87,100
37712,-0.262,-0.946,0.112,11.76,-25.16,-14.64,87,102
37761,-0.392,-1.084,-0.065,-4.557,-26.954,-26.402,88,99
37808,-0.047,-0.784,0.242,25.647,20.466,21.763,88,100
37856,-0.508,-1.191,-0.175,-10.841,-25.588,23.71,87,101
37904,-0.46,-1.173,-0.161,-8.321,-32.824,21.84,86,102
37952,-0.051,-0.814,0.237,8.571,-39.328,24.534,85,105
38003,-0.012,-0.812,0.275,3.212,-40.611,31.687,83,108
38052,-0.103,-0.992,0.099,-0.793,-36.733,37.427,82,130
38106,-0.331,-1.243,-0.173,-5.411,-68.478,38.954,81,197
38159,-0.177,-1.006,0.073,-1.384,-5.31,36.962,80,0
38208,-0.126,-0.926,0.174,-2.327,8.154,25.015,80,129
38253,-0.263,-1.03,0.184,-11.894,-25.313,-4.102,80,55
38298,-0.259,-0.977,0.175,-12.947,-51.183,-16.911,79,55
38343,-0.14,-0.931,0.158,-13.092,-61.336,-29.855,79,54
38388,-0.39,-1.201,-0.13,-9.29,-54.137,-36.282,79,52
38435,0.062,-0.864,0.204,7.435,-32.229,-35.672,79,52
38479,0.095,-0.851,0.228,7.292,18.314,-27.344,72,52
38524,-0.272,-1.126,-0.047,-3.949,31.099,-35.944,65,52
38568,-0.237,-1.045,0.069,1.582,40.878,-18.314,69,52
38612,-0.312,-1.078,0.163,1.84,35.863,-14.265,68,53
38658,-0.33,-1.048,0.158,1.367,22.031,-9.249,68,53
38702,-0.207,-0.945,0.184,5.909,9.282,-2.659,74,52
38746,-0.099,-0.87,0.243,7.334,5.414,1.364,76,54
38791,-0.27,-1.055,0.024,-0.458,-19.098,-3.738,69,52
38838,-0.156,-0.972,0.12,1.195,-8.465,5.672,72,52
38882,-0.116,-0.923,0.183,1.996,-0.703,13.81,74,52
38926,-0.179,-0.978,0.147,0.979,-9.961,12.117,72,53
38971,-0.271,-1.079,0.051,-0.864,-27.496,1.455,69,52
39015,-0.292,-1.11,0.009,-1.48,-35.095,-3.12,66,52
39060,-0.103,-0.93,0.179,3.134,-7.622,19.221,80,54
39105,-0.267,-1.105,0.025,-0.963,-25.943,-1.071,80,53
39150,-0.316,-1.143,-0.022,-2.605,-23.2,-5.639,79,54
39194,0.055,-0.775,0.347,10.908,9.661,11.899,79,54
39242,-0.325,-1.142,-0.021,-2.976,-10.546,-6.41,80,54
39287,-0.105,-0.923,0.187,5.618,0.574,0.08,80,55
39341,-0.383,-1.192,-0.085,-4.687,-5.981,-16.295,80,198
39394,0.027,-0.787,0.334,7.66,11.326,8.437,80,195
39447,-0.251,-1.039,0.066,-0.091,0.855,-15.672,80,194
39500,-0.236,-1.026,0.091,-1.407,1.901,-15.24,81,195
39554,-0.281,-1.072,0.049,-2.033,-0.18,-21.426,82,194
39608,-0.34,-1.121,0.162,-3.477,-2.682,-24.701,83,195
39655,-0.145,-0.926,0.197,0.184,0.151,-4.105,73,53
39700,-0.284,-1.078,0.039,-1.608,-1.715,-9.685,71,51
39744,-0.02,-0.823,0.31,2.946,3.807,4.71,76,51
39789,-0.364,-1.15,-0.036,-1.282,-5.596,-4.49,66,50
39833,-0.247,-1.02,0.16,-0.131,-5.483,-0.524,71,50
39878,-0.101,-0.897,0.234,0.87,-1.687,3.921,76,51
39923,-0.344,-1.151,-0.034,-1.413,-18.756,-2.82,84,51
39967,0.061,-0.744,0.37,3.429,11.479,10.427,76,52
40054,-0.001,-0.824,0.298,4.26,3.718,8.562,78,51
40099,-0.273,-1.094,0.024,-0.443,-11.051,-0.91,68,51
40146,0.119,-0.696,0.405,6.235,12.666,7.401,82,52
40192,-0.093,-0.883,0.228,1.762,2.878,1.984,76,52
40237,-0.194,-0.977,0.141,0.087,-5.053,-2.435,72,51
40281,-0.282,-1.085,0.027,-1.188,-10.554,-5.476,69,52
40326,-0.465,-1.273,-0.16,-3.063,-14.246,-7.919,22,16
40370,0.088,-0.717,0.421,3.314,15.111,9.189,72,51
40417,-0.305,-1.078,0.165,-0.836,-7.277,-0.435,112,52
40461,-0.124,-0.916,0.166,2.629,-4.444,0.348,71,52
40506,-0.092,-0.916,0.223,4.76,-3.154,1.087,73,53
40554,-0.14,-0.942,0.168,5.869,-0.878,2.182,72,53
40598,-0.149,-0.937,0.19,6.026,0.983,1.579,72,54
40643,-0.285,-1.071,0.048,-0.19,-7.527,-2.955,67,53
40693,-0.189,-0.978,0.135,3.611,-5.615,-2.48,71,155
40747,-0.239,-1.025,0.082,0.104,-6.843,-3.289,69,193
40800,-0.075,-0.863,0.249,5.193,1.897,0.917,75,194
40852,-0.141,-0.935,0.195,2.727,-2.104,-0.103,72,194
40905,-0.397,-1.192,0.162,-5.012,-8.914,-3.37,63,193
40954,-0.118,-0.897,0.159,5.207,0.985,1.645,81,54
40999,-0.218,-1.011,0.174,1.777,-0.345,-0.456,81,53
41043,-0.172,-0.93,0.163,5.388,-0.059,-1.265,71,52
41089,-0.428,-1.191,0.174,-8.379,-4.707,-7.253,61,52
41134,-0.407,-1.178,0.158,-6.699,-6.185,-6.782,78,51
41179,-0.271,-1.035,0.065,0.966,-3.382,-2.654,68,52
41223,-0.092,-0.847,0.162,9.355,4.517,1.833,72,51
41268,-0.161,-0.882,0.182,6.63,3.472,0.562,77,51
41313,-0.365,-1.12,-0.005,-3.406,-5.595,-5.126,67,52
41357,-0.006,-0.678,0.312,11.117,16.864,1.439,74,52
41405,0.065,-0.838,0.318,11.838,45.511,9.193,74,52
41449,-0.101,-0.764,0.134,4.889,25.496,6.351,70,53
41494,-0.111,-0.69,0.07,4.765,46.802,9.657,67,53
41538,-0.095,-0.647,0.172,0.698,62.611,17.922,66,53
41583,-0.048,-0.7,0.123,3.599,77.122,21.507,67,53
41627,-0.275,-0.88,0.091,-7.463,84.656,3.213,62,55
41672,0.041,-0.849,0.287,5.741,83.817,15.699,74,55
41717,-0.073,-0.867,0.159,6.644,91.397,-5.023,68,55
