Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27781,-0.075,-0.806,0.302,13.374,12.906,11.842,72,174
27831,-0.188,-0.821,0.196,-0.193,0.151,21.157,72,164
27884,-0.161,-0.934,0.191,-2.062,-3.04,22.23,73,0
27937,-0.201,-1.011,0.14,-3.418,-12.701,-1.665,73,0
27988,-0.201,-0.919,0.193,-6.141,-11.567,1.945,73,170
28040,-0.287,-1.087,0.196,-8.88,-20.486,4.169,73,175
28091,-0.094,-0.939,0.193,2.335,-3.248,13.439,73,175
28142,-0.252,-1.021,0.223,-11.625,-17.669,-2.695,72,123
28191,-0.072,-0.927,0.256,-0.043,-2.307,9.781,72,122
28239,-0.176,-0.988,0.186,-4.085,-5.961,2.515,72,120
28288,-0.201,-1.014,0.205,-4.866,-6.126,1.802,72,122
28338,-0.265,-1.045,0.202,-5.824,-27.396,-0.723,72,163
28387,-0.217,-1.021,0.185,-5.029,-28.349,1.208,71,125
28435,-0.279,-1.078,0.18,-6.744,-42.556,-4.112,71,121
28487,-0.215,-1.054,0.068,-1.175,-29.403,-2.18,71,0
28536,-0.118,-0.988,0.114,2.363,-4.45,7.27,71,122
28587,-0.232,-1.016,0.068,0.836,-0.425,3.1,71,108
28636,-0.081,-0.892,0.254,5.326,11.052,13.669,71,141
28686,-0.212,-0.982,0.157,-1.21,-4.494,-0.003,71,160
28737,-0.222,-1.042,0.096,-2.394,-8.154,-4.817,71,162
28788,-0.178,-1.014,0.125,-2.299,-4.227,-0.258,71,165
28838,-0.115,-0.918,0.191,-0.647,2.544,5.257,71,165
28889,-0.19,-0.98,0.189,-2.693,-7.106,3.356,71,142
28938,-0.11,-0.926,0.177,0.827,-4.656,2.78,71,140
28988,-0.26,-1.072,0.065,-3.58,-13.862,-3.681,70,140
29041,-0.188,-1.018,0.109,2.784,4.114,-0.766,71,165
29092,-0.218,-1.015,0.147,0.917,4.534,2.027,71,165
29145,-0.22,-0.982,0.215,1.219,-1.827,3.232,71,184
29196,-0.139,-0.947,0.183,3.176,-5.461,0.982,71,163
29246,-0.158,-0.98,0.174,2.855,-4.037,0.429,71,164
29297,-0.127,-0.926,0.179,5.82,5.639,4.584,72,163
29348,-0.287,-1.049,0.073,-0.423,-3.969,0.284,72,163
29395,-0.2,-0.966,0.191,1.621,-3.508,1.196,72,107
29444,-0.272,-1.051,0.048,-0.512,-8.439,-2.873,72,105
29494,-0.25,-1.016,0.199,-0.468,-6.483,-0.205,72,105
29542,-0.256,-1.035,0.202,-0.952,-11.909,-0.467,73,107
29589,-0.339,-1.089,0.188,-1.629,-22.1,-3.562,22,32
29637,-0.191,-0.967,0.204,-1.245,-8.174,4.437,72,106
29684,-0.272,-1.035,0.205,-1.396,-20.922,-0.593,72,106
29731,-0.136,-0.939,0.205,-0.874,-4.429,3.028,72,105
29779,-0.147,-0.945,0.204,0.109,-7.897,1.124,72,106
29828,-0.142,-0.948,0.186,0.168,-5.764,-0.205,72,106
29875,-0.267,-1.033,0.21,-0.407,-17.73,-2.649,73,107
29926,-0.355,-1.091,0.216,-3.225,-31.201,-5.702,72,106
29976,-0.222,-1.018,0.185,-1.091,-25.209,-3.779,72,162
30027,-0.115,-0.911,0.189,2.656,-3.375,4.167,72,163
30080,-0.368,-1.146,0.181,-1.874,-30.617,-4.879,22,50
30131,-0.308,-1.047,0.209,-0.861,-19.191,-2.732,73,176
30183,-0.202,-0.967,0.203,-0.593,-11.41,2.448,73,178
30235,-0.161,-0.951,0.183,0.297,-5.549,5.069,73,176
30328,-0.196,-0.958,0.214,-3.099,-5.939,3.133,73,147
30379,-0.253,-1.032,0.182,-8.547,-19.148,-2.279,73,159
30433,-0.218,-1.007,0.199,-9.453,-15.423,-1.443,72,164
30484,-0.165,-0.958,0.199,-4.468,-8.911,-0.804,72,163
30537,-0.148,-0.94,0.217,-3.046,-7.53,1.049,71,192
30588,-0.124,-0.941,0.193,-1.075,-5.075,2.369,71,168
30639,-0.151,-0.944,0.216,-1.536,-2.836,3.173,71,143
30689,-0.094,-0.902,0.199,1.377,0.052,4.615,71,140
30738,-0.065,-0.884,0.184,1.432,2.297,5.304,72,140
30790,-0.084,-0.906,0.182,1.118,2.314,4.105,71,162
30844,-0.082,-0.893,0.195,0.368,2.29,1.917,72,160
30896,-0.181,-0.981,0.183,-3.293,-9.045,0.156,72,160
30947,-0.132,-0.935,0.188,-1.097,-2.8,0.834,72,178
30998,-0.007,-0.84,0.187,3.68,7.872,4.159,72,152
31048,-0.184,-0.987,0.184,-2.957,-5.927,1.602,72,154
31098,-0.127,-0.928,0.198,-0.422,-1.702,2.165,72,140
31150,-0.332,-1.086,0.187,-9.126,-21.006,-1.98,72,150
31200,-0.167,-0.962,0.183,-2.694,-6.116,0.814,72,152
31251,-0.143,-0.947,0.18,-2.044,-4.464,0.341,71,154
31305,-0.146,-0.954,0.18,-2.324,-3.518,-0.637,72,168
31355,-0.123,-0.93,0.211,-1.863,-2.751,-0.162,72,141
31406,-0.098,-0.924,0.238,-0.369,-0.515,0.219,72,140
31457,-0.266,-1.05,0.072,-11.733,-9.704,-5.511,71,165
31508,-0.166,-0.961,0.183,-5.134,-3.152,-2.016,71,167
31558,-0.183,-0.992,0.143,-6.791,-3.633,-3.862,70,141
31608,-0.228,-1.022,0.119,-9.828,-4.271,-6.9,71,140
31661,-0.083,-0.908,0.228,-0.821,3.937,-1.02,71,185
31714,-0.274,-1.072,0.054,-12.848,-2.776,-11.776,71,195
31767,-0.209,-1.043,0.065,-4.81,-6.277,-6.275,71,140
31816,0.0,-0.945,-0.036,14.395,15.756,16.244,72,125
31865,-0.029,-1.073,-0.047,10.627,32.489,26.336,73,123
31917,0.04,-0.904,-0.135,22.672,59.221,42.916,72,165
31976,-0.07,-0.977,-0.027,17.13,81.992,-27.258,0,170
32025,-0.065,-0.803,0.183,14.382,64.542,-31.313,74,120
32083,-0.19,-1.335,0.33,3.891,53.817,-57.802,0,160
32142,-0.478,-1.902,0.433,-52.626,39.282,-145.763,0,149
32200,-0.162,-1.004,0.381,-22.779,47.397,-178.489,0,155
32264,-0.493,0.413,0.719,-13.751,16.718,-137.084,0,0
32322,-0.319,-0.01,0.149,-1.426,-117.71,-33.344,154,0
32380,-0.128,-0.378,-0.333,54.58,-66.71,85.96,148,0
32435,-0.329,-0.546,-0.449,16.595,23.707,29.87,79,0
32494,-0.512,-1.501,-0.639,-10.832,-45.767,80.908,0,179
32550,0.025,-1.161,0.037,-39.153,-48.351,83.954,0,124
32608,0.2,-1.793,-0.199,-90.496,-140.939,118.092,0,127
32661,0.381,-2.0,-0.379,-30.595,-182.802,111.122,0,74
32718,0.292,-1.636,-0.411,-18.611,-174.573,70.824,189,79
32772,0.09,-1.685,-0.46,-32.74,-142.198,25.198,184,81
32820,0.32,-1.423,-0.474,-19.901,-104.122,26.298,85,83
32868,0.094,-1.261,-0.252,-21.871,-60.718,24.733,87,86
32916,0.072,-1.139,-0.205,-12.193,-18.319,6.986,99,88
33008,-0.059,-0.904,-0.113,13.885,20.816,57.125,94,92
33056,-0.055,-0.749,-0.052,21.954,13.248,37.252,93,95
33105,-0.094,-0.844,-0.048,23.366,1.932,38.565,87,110
33154,-0.148,-0.824,0.026,35.992,7.022,36.611,85,90
33205,-0.327,-0.765,0.013,45.45,-6.312,40.115,88,87
33253,-0.297,-0.836,0.123,51.29,-2.806,34.13,87,90
33301,-0.268,-0.807,0.109,45.16,13.838,22.374,90,87
33349,-0.245,-0.767,0.135,28.489,33.824,7.01,90,91
33398,-0.387,-0.782,0.171,16.679,38.824,-3.879,92,88
33446,-0.364,-0.716,0.196,15.035,21.374,8.173,94,85
33496,-0.361,-0.713,0.055,-13.689,-3.767,-0.698,96,108
33544,-0.397,-0.908,0.139,-5.147,-1.444,22.595,97,82
33592,-0.448,-1.11,0.029,-2.51,5.091,-7.687,99,79
33644,-0.453,-0.827,0.187,5.248,17.411,2.214,102,77
33692,-0.482,-0.824,0.168,0.299,-5.56,6.872,104,82
33751,-0.384,-0.975,0.002,1.866,-30.697,-7.217,0,151
33805,-0.364,-0.938,-0.031,-2.815,-15.553,-13.598,0,78
33861,-0.386,-0.817,0.003,20.791,17.477,-2.064,110,0
33908,-0.47,-0.795,0.123,16.588,4.55,-8.65,0,0
33961,-0.457,-0.857,0.081,16.496,-5.558,-21.573,0,71
34011,-0.465,-0.912,0.044,18.023,-13.805,-25.389,113,71
34063,-0.445,-0.912,0.005,15.511,2.85,-27.534,112,72
34116,-0.234,-0.772,0.106,21.274,16.397,-21.321,0,72
34170,-0.447,-1.002,0.018,-3.439,20.137,-22.45,0,72
34220,-0.385,-0.826,0.181,5.651,23.676,1.684,111,73
34273,-0.377,-0.865,0.214,-3.795,-7.923,1.173,107,74
34321,-0.39,-1.011,0.183,-15.594,-40.031,-11.65,104,76
34368,-0.335,-1.019,0.186,-14.332,-39.771,-11.128,98,76
34415,-0.143,-0.925,0.187,-1.27,-9.622,1.474,106,77
34463,-0.137,-0.911,0.229,-1.281,-8.029,3.598,104,79
34526,-0.302,-1.052,0.234,-4.407,-41.042,1.968,0,0
34586,-0.251,-1.004,0.249,-0.073,-25.624,0.479,0,0
34634,-0.15,-0.95,0.167,6.007,-18.461,-2.831,102,83
34685,-0.114,-0.902,0.194,6.399,4.651,1.857,106,155
34746,-0.224,-0.995,0.194,2.729,-10.043,-5.22,0,0
34806,-0.201,-0.945,0.204,1.748,-13.889,-5.842,0,0
34867,-0.301,-1.078,0.19,-2.883,-28.327,-12.855,0,0
34920,-0.055,-0.826,0.208,1.813,7.278,3.585,0,85
34973,-0.216,-0.975,0.202,0.054,-6.999,-4.736,0,82
35030,-0.199,-0.945,0.217,0.575,-1.977,-1.813,0,81
35083,-0.187,-0.946,0.22,0.557,-5.045,-2.612,0,81
35136,-0.2,-0.96,0.195,-0.855,-4.654,-2.486,0,80
35189,-0.232,-1.0,0.2,-2.466,-4.519,-1.99,0,81
35243,-0.162,-0.907,0.215,-0.875,0.02,-0.22,0,81
35291,-0.262,-1.015,0.212,-6.139,-14.632,-1.924,101,81
35339,-0.193,-0.978,0.19,-3.222,-9.697,-0.969,100,83
35387,-0.079,-0.861,0.197,2.556,6.677,1.942,107,87
35434,-0.149,-0.931,0.192,-0.692,-1.896,1.979,103,84
35485,-0.094,-0.875,0.207,1.998,5.698,5.499,104,81
35532,-0.262,-1.035,0.208,-4.879,-17.97,0.282,98,80
35623,-0.19,-0.961,0.195,-1.958,-10.365,3.373,99,81
35671,-0.284,-1.056,0.192,-5.495,-28.365,-1.508,99,82
35719,-0.29,-1.049,0.184,-5.159,-30.89,-2.503,99,79
35767,-0.169,-0.932,0.178,-2.03,-7.811,5.702,101,86
35814,-0.108,-0.919,0.242,1.065,-0.556,9.8,103,84
35862,-0.174,-0.958,0.172,-2.145,-10.153,5.677,105,81
35916,-0.146,-0.933,0.185,-1.62,-2.957,9.321,0,81
35973,-0.249,-1.021,0.179,-8.251,-29.675,0.958,0,80
36026,-0.11,-0.932,0.231,-1.351,-5.508,11.207,0,83
36074,-0.222,-1.028,0.094,-7.019,-24.849,0.462,100,80
36122,-0.231,-1.028,0.184,-6.738,-21.237,1.232,99,85
36170,-0.175,-0.988,0.18,-2.722,-11.865,1.695,98,88
36225,-0.15,-0.95,0.184,-1.4,-6.719,0.715,98,0
36279,-0.323,-1.094,0.18,-5.162,-24.323,-2.963,98,0
36333,-0.151,-0.98,0.165,0.522,-4.852,-1.715,99,0
36385,-0.206,-0.98,0.189,-0.388,-0.07,0.354,99,158
36436,-0.156,-0.943,0.187,2.309,-1.355,1.689,99,84
36485,-0.238,-1.009,0.19,0.933,-5.965,0.652,99,82
36532,-0.182,-0.965,0.17,0.743,-2.166,0.678,99,83
36580,-0.097,-0.887,0.228,3.16,2.866,2.392,99,86
36628,-0.296,-1.044,0.053,-8.147,-10.48,-1.318,97,80
36676,-0.205,-0.983,0.156,-5.99,-8.599,0.924,100,83
36723,-0.181,-0.96,0.182,-6.252,-11.073,3.06,100,83
36771,-0.252,-1.054,0.192,-11.415,-23.866,-0.993,99,81
36819,-0.11,-0.924,0.2,-0.623,-0.586,0.585,99,85
36871,-0.171,-0.968,0.197,-1.576,-3.063,-2.517,100,82
36919,-0.241,-1.025,0.194,-1.392,-11.178,-2.635,99,80
36966,-0.207,-1.008,0.181,0.42,-6.838,-0.825,99,82
37014,-0.189,-0.997,0.154,0.597,-4.698,-1.106,100,82
37062,-0.093,-0.897,0.238,3.323,2.831,0.898,102,85
37110,-0.191,-0.967,0.167,-0.939,-3.178,1.046,100,82
37158,-0.083,-0.893,0.267,1.818,-0.485,4.025,103,86
37206,-0.1,-0.9,0.243,0.225,0.355,4.042,102,85
37254,-0.103,-0.909,0.25,-0.04,2.484,3.067,102,85
37305,-0.11,-0.911,0.186,-0.451,-1.592,1.543,102,85
37353,-0.07,-0.902,0.265,1.016,0.846,2.31,102,86
37401,-0.135,-0.926,0.187,-1.228,-0.449,3.53,101,85
37456,-0.233,-1.032,0.181,-3.655,-14.778,0.084,99,0
37511,-0.302,-1.073,0.032,-5.165,-20.876,-2.238,97,0
37566,-0.201,-1.007,0.122,-1.974,-9.948,1.623,100,0
37614,-0.132,-0.94,0.202,-0.345,-3.552,2.813,102,88
37662,-0.184,-0.989,0.143,-3.008,-10.058,0.275,101,84
37713,-0.259,-1.052,0.077,-5.834,-16.074,-0.63,98,81
37762,-0.307,-1.095,0.029,-8.893,-23.01,-2.546,97,81
37810,-0.19,-0.988,0.15,-3.677,-10.438,-0.06,99,81
37858,-0.263,-1.046,0.081,-6.546,-18.09,0.094,99,81
37906,-0.153,-0.962,0.188,-1.72,-7.754,0.737,98,83
37954,-0.209,-1.0,0.131,-4.225,-11.799,-0.116,99,81
38001,-0.265,-1.052,0.073,-6.683,-19.866,-1.161,99,81
38050,-0.272,-1.053,0.058,-9.037,-21.625,-1.131,98,90
38148,-0.31,-1.078,0.019,-13.106,-27.284,-2.121,99,0
38200,-0.31,-1.087,0.023,-15.75,-30.208,-3.298,99,91
38255,-0.268,-1.05,0.062,-14.312,-26.24,-3.047,98,0
38303,-0.11,-0.917,0.227,-1.136,-3.746,-0.104,98,90
38351,0.01,-0.841,0.305,8.618,13.386,3.808,101,84
38400,-0.153,-0.964,0.167,-5.852,-7.382,-1.556,98,83
38448,-0.104,-0.92,0.197,-1.445,-3.089,-1.098,96,86
38496,-0.212,-1.014,0.097,-13.442,-18.2,-4.946,95,82
38544,-0.172,-0.972,0.139,-8.093,-10.94,-3.539,96,85
38592,-0.282,-1.042,0.04,-22.321,-24.393,-12.369,95,87
38644,-0.255,-1.025,0.038,-20.58,-20.557,-12.827,96,84
38692,-0.165,-0.93,0.12,-9.778,-4.617,-7.041,97,89
38740,-0.289,-1.012,0.071,-20.831,-15.903,-16.765,94,85
38789,-0.188,-0.81,0.16,-5.225,-1.884,4.998,94,89
38842,-0.339,-1.047,0.262,-28.973,-18.524,32.115,189,85
38896,-0.438,-0.687,0.417,-2.444,28.084,59.802,187,92
38950,-0.543,-0.553,0.249,-20.779,44.74,30.702,184,96
39005,-0.575,-0.323,-0.035,-5.009,25.459,8.909,180,99
39058,-0.141,0.123,0.172,-21.847,-72.901,45.389,175,99
39114,-0.341,-1.326,-0.294,-34.855,-153.115,33.656,168,99
39169,0.051,-1.789,-0.738,28.344,-96.198,-39.888,163,101
39224,0.261,-1.436,-0.443,1.67,15.365,28.382,0,107
39280,0.027,-1.616,-0.223,-67.565,61.344,14.434,0,110
39336,-0.4,-1.638,0.229,-41.84,-23.489,13.226,0,118
39393,-0.079,-1.54,-0.3,-8.708,-65.634,-41.786,0,120
39446,-0.069,-1.101,0.196,-18.176,-2.438,12.137,157,106
39499,-0.293,-1.274,-0.097,-33.008,-16.215,-12.001,159,103
39556,-0.361,-1.175,-0.049,-27.878,-18.585,-45.992,161,102
39609,-0.407,-1.131,-0.042,-9.548,-19.33,-54.649,162,100
39662,-0.314,-1.069,-0.186,4.036,-23.893,-53.412,163,97
39715,-0.124,-0.952,-0.132,11.825,2.228,-20.939,165,100
39764,-0.089,-0.904,-0.211,16.412,22.305,12.651,84,102
39814,-0.09,-0.914,-0.167,22.344,34.069,17.585,84,100
39867,-0.113,-0.879,-0.068,23.855,30.87,27.954,168,100
39920,-0.198,-0.977,-0.049,23.427,1.431,25.542,170,102
39969,-0.113,-0.829,0.088,26.58,6.823,24.168,90,101
40027,-0.052,-0.83,0.145,16.328,-0.068,28.504,172,102
40075,-0.175,-0.933,0.068,20.672,-8.213,17.95,85,100
40124,-0.211,-1.002,0.014,18.221,-8.364,3.223,85,99
40172,-0.096,-0.851,0.16,14.061,11.359,14.875,85,99
40226,-0.114,-0.865,0.17,18.687,14.768,10.656,176,102
40274,-0.275,-0.965,0.097,-0.997,-2.732,1.557,87,97
40324,-0.193,-0.933,0.135,2.613,-5.723,1.999,90,96
40377,-0.114,-0.864,0.159,7.84,1.069,3.584,180,99
40426,-0.146,-0.888,0.159,2.505,7.111,1.89,91,95
40483,-0.159,-0.878,0.155,2.41,6.08,4.509,182,96
40538,-0.202,-0.893,0.15,-1.38,-0.738,4.377,184,93
40592,-0.123,-0.805,0.172,1.563,-3.365,10.197,186,94
40646,-0.118,-0.851,0.161,-3.439,0.507,14.535,187,90
40700,-0.276,-1.055,0.051,-14.613,-2.522,-9.93,189,94
40798,-0.234,-0.922,0.111,0.581,16.771,16.566,192,89
40852,-0.551,-1.184,-0.113,-8.655,-9.359,-6.671,58,26
40912,-0.365,-1.062,0.03,-0.459,-4.091,-0.238,195,87
40968,-0.337,-1.002,0.053,11.316,-9.394,2.72,197,81
41021,-0.327,-0.949,0.054,11.168,-15.781,1.52,198,80
41075,-0.24,-0.881,0.058,12.113,-6.803,0.226,199,86
41128,-0.416,-1.011,-0.032,-1.444,-12.232,1.503,199,80
41181,-0.367,-1.074,-0.007,6.663,-2.968,-1.925,200,78
41234,-0.224,-0.819,0.136,5.71,6.959,2.404,199,78
41287,-0.483,-1.062,-0.028,-10.688,-16.732,-1.696,200,78
41340,-0.284,-0.89,0.191,0.074,-7.417,14.666,200,80
41394,-0.256,-0.947,0.069,0.842,-25.511,7.601,199,80
41450,-0.332,-1.0,0.059,-3.503,-16.903,1.991,199,81
41503,-0.314,-1.053,0.034,3.822,-10.136,1.164,198,81
41556,-0.254,-0.931,0.151,6.121,-0.812,14.257,198,83
41610,-0.348,-1.066,0.035,-2.75,-11.974,-1.243,198,81
41663,-0.331,-1.013,0.095,1.061,-8.76,-0.853,197,81
41716,-0.152,-0.855,0.234,19.405,-0.074,4.691,198,85
41764,-0.229,-0.903,0.165,11.597,-0.313,-0.752,106,81
41812,-0.377,-1.031,0.051,-1.135,-3.445,-6.384,99,79
41866,-0.193,-0.861,0.233,13.169,3.137,1.824,198,85
41917,-0.393,-0.997,0.078,-0.258,-5.157,-7.271,104,80
41970,-0.088,-0.745,0.347,11.75,8.684,3.582,198,87
42023,-0.376,-1.001,0.099,-0.299,-10.484,-3.111,198,81
42077,-0.325,-0.949,0.13,1.129,-8.155,-1.082,198,81
42130,-0.261,-0.915,0.194,1.413,-1.118,3.178,197,84
42184,-0.286,-0.921,0.182,0.79,-2.501,3.135,198,82
42237,-0.244,-0.904,0.22,0.467,-4.078,6.008,197,84
42291,-0.388,-1.041,0.069,-1.202,-19.283,-1.949,197,81
42344,-0.301,-0.967,0.148,-0.036,-10.5,1.246,196,83
42401,-0.376,-1.025,0.059,-2.087,-22.98,-0.571,196,89
42455,-0.286,-0.958,0.185,-1.409,-13.046,2.062,196,87
42508,-0.266,-0.939,0.139,-0.194,-11.757,1.253,195,87
42562,-0.193,-0.881,0.264,1.495,2.583,7.652,196,89
42615,-0.133,-0.888,0.302,10.857,10.7,12.795,196,90
42670,-0.281,-1.212,0.256,8.174,-9.893,14.213,195,87
42723,-0.404,-1.924,0.169,22.466,-38.374,7.803,196,83
42777,-0.124,-1.496,0.193,69.779,-69.145,25.461,197,93
42830,0.031,-0.771,0.178,107.069,-60.817,42.695,199,86
42888,0.161,-0.124,0.032,140.359,-23.167,126.702,0,87
42942,-0.237,-0.312,0.028,118.824,-39.288,108.74,0,83
42996,-0.373,-0.208,0.179,65.267,149.122,-46.435,0,88
43049,-0.828,-0.024,0.549,15.894,222.298,-73.725,0,85
43104,-1.393,-0.605,0.898,-79.534,82.328,-47.076,0,83
43157,-1.074,-1.011,0.421,-88.779,-50.359,-104.282,0,84
43211,-0.176,-0.727,0.154,-0.91,-60.748,-58.779,0,84
43266,-0.339,-0.564,0.227,-15.908,-29.034,-1.846,0,86
43322,-0.476,-0.816,0.186,-50.435,41.779,20.824,0,84
43376,-0.528,-1.009,0.216,-35.679,-27.485,-31.558,0,85
43430,-0.476,-0.931,0.223,-34.885,-58.978,-17.427,0,83
43528,-0.36,-0.938,0.128,-47.519,-45.588,-21.718,0,85
43581,-0.324,-0.93,0.167,-40.595,-52.649,-12.738,0,87
43635,-0.237,-0.991,0.038,-29.252,-41.931,-5.111,0,84
43689,-0.281,-0.994,0.034,-30.763,-23.207,-2.328,200,84
43744,-0.207,-0.827,0.006,-22.29,-13.701,9.354,199,87
43798,-0.322,-1.042,-0.071,-20.756,-26.28,8.081,0,84
43854,-0.368,-1.053,-0.041,-24.282,-4.002,-3.772,0,83
43909,-0.384,-0.974,-0.039,-0.275,8.454,-0.784,0,86
43963,-0.405,-1.135,-0.009,-25.324,-29.064,-25.215,0,81
44017,-0.344,-1.112,-0.098,-1.047,-18.3,-9.864,0,84
44070,-0.318,-0.947,-0.051,2.658,-3.641,-7.336,199,84
44125,-0.153,-0.811,-0.048,14.937,20.894,14.324,0,87
44179,-0.401,-1.056,-0.049,10.773,6.671,2.121,0,87
44233,-0.304,-0.86,-0.004,7.687,4.62,3.92,199,85
44286,-0.281,-0.885,-0.007,7.45,12.094,20.008,0,87
44344,-0.391,-0.95,0.075,3.3,-0.928,9.748,0,88
44398,-0.244,-0.873,0.141,6.484,-0.001,7.792,0,88
44452,-0.422,-1.012,-0.025,-2.089,-43.492,-1.868,196,84
44506,-0.248,-0.884,0.138,7.739,-6.643,3.694,196,88
44560,-0.379,-1.022,-0.018,1.523,-42.585,-7.776,196,84
44614,-0.293,-0.953,0.056,8.691,-18.75,-4.336,195,86
44667,-0.347,-0.962,0.031,4.68,-20.089,-10.639,195,85
44722,-0.214,-0.875,0.145,11.41,6.478,-0.647,195,87
44776,-0.236,-0.881,0.148,5.823,-1.733,-0.153,195,88
44832,-0.191,-0.86,0.175,4.839,2.085,2.443,195,89
44887,-0.25,-0.905,0.125,3.102,-8.605,-3.101,194,87
44941,-0.323,-0.973,0.062,0.104,-20.472,-3.393,194,85
44994,-0.402,-1.043,0.019,-1.001,-31.516,-4.234,194,84
