Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27781,-0.205,-0.806,0.135,4.367,2.7,-14.397,72,174
27831,-0.241,-0.888,0.196,-3.202,-4.631,13.416,72,164
27884,-0.278,-1.076,0.191,-8.336,-12.737,5.965,73,0
27937,-0.244,-1.058,0.09,-5.26,-16.273,-7.422,73,0
27988,-0.061,-0.78,0.193,0.07,3.666,18.196,73,170
28040,-0.022,-0.845,0.196,2.981,6.409,29.565,73,175
28091,-0.125,-0.966,0.193,0.646,-6.723,9.776,73,175
28142,-0.069,-0.872,0.223,-3.275,-0.603,13.821,72,123
28191,-0.126,-0.971,0.197,-2.768,-7.142,6.111,72,122
28239,-0.182,-0.994,0.186,-4.212,-6.169,2.378,72,120
28288,-0.024,-0.864,0.205,2.32,14.387,9.945,72,122
28338,-0.221,-1.008,0.202,-3.796,-19.342,1.449,72,163
28387,0.002,-0.833,0.185,3.266,9.975,9.992,71,125
28435,-0.169,-0.993,0.18,-2.648,-23.186,2.14,71,121
28487,0.023,-0.87,0.282,7.848,5.54,13.569,71,0
28536,-0.118,-1.004,0.095,1.756,-6.355,6.038,71,122
28587,-0.002,-0.839,0.276,8.282,16.837,19.686,71,108
28636,-0.051,-0.866,0.282,5.899,12.016,14.898,71,141
28686,-0.259,-1.022,0.111,-2.364,-7.01,-2.221,71,160
28737,-0.211,-1.033,0.108,-2.017,-7.326,-4.169,71,162
28788,-0.094,-0.942,0.214,-0.251,0.141,2.353,71,165
28838,-0.028,-0.842,0.191,1.351,7.713,7.7,71,165
28889,-0.237,-1.021,0.189,-3.792,-10.032,2.101,71,142
28938,-0.096,-0.912,0.177,1.064,-4.136,3.0,71,140
28988,-0.058,-0.895,0.279,2.376,4.412,1.538,70,140
29041,-0.079,-0.923,0.228,5.75,12.328,2.129,71,165
29092,-0.215,-1.012,0.151,1.075,4.965,2.164,71,165
29145,-0.062,-0.843,0.215,6.432,8.939,6.886,71,184
29196,-0.256,-1.051,0.183,-0.894,-12.667,-2.733,71,163
29246,-0.053,-0.887,0.294,6.816,0.568,3.624,71,164
29297,-0.291,-1.068,0.179,-0.468,-2.829,0.444,72,163
29348,-0.112,-0.901,0.268,6.81,3.159,4.691,72,163
29395,-0.287,-1.041,0.191,-1.413,-6.572,-1.168,72,107
29444,-0.232,-1.017,0.099,0.851,-6.081,-1.645,72,105
29494,-0.207,-0.979,0.199,0.485,-3.459,1.108,72,105
29542,-0.261,-1.041,0.202,-0.948,-11.733,-0.41,73,107
29589,-0.149,-0.927,0.188,1.023,-4.067,4.945,72,106
29637,-0.129,-0.912,0.204,-0.309,-1.407,6.953,72,106
29684,-0.054,-0.847,0.205,1.895,6.277,7.662,72,106
29731,-0.193,-0.988,0.205,-1.706,-12.411,1.218,72,105
29779,-0.321,-1.093,0.204,-2.037,-28.539,-2.433,72,106
29828,-0.26,-1.052,0.186,-1.603,-20.604,-2.432,72,106
29875,-0.221,-0.994,0.21,0.167,-9.803,-1.565,73,107
29926,-0.072,-0.848,0.216,1.129,7.663,1.638,72,106
29976,0.088,-0.746,0.185,4.555,12.436,6.449,72,162
