Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29722,-0.949,-0.133,0.308,-10.42,-17.834,-27.351,0,3
29771,-0.906,-0.164,0.178,0.359,13.0,-17.473,0,3
29820,-0.968,-0.14,0.178,-1.051,-89.527,-4.748,0,3
29870,-0.95,-0.143,0.294,-0.572,-18.954,2.165,0,3
29918,-0.844,-0.145,0.268,-6.595,-9.437,-5.198,0,3
29967,-0.889,-0.166,0.301,-1.076,-2.206,-1.58,0,3
30016,-0.894,-0.162,0.272,0.55,6.453,10.008,0,3
30064,-0.945,-0.174,0.301,-2.458,-2.676,6.344,0,3
30110,-0.918,-0.109,0.278,1.924,-3.298,7.573,0,3
30159,-0.922,-0.126,0.283,-1.4,-7.738,4.496,0,3
30209,-0.937,-0.144,0.308,-2.071,-10.031,3.26,0,3
30257,-0.891,-0.14,0.285,-1.069,-10.126,0.346,0,3
30306,-0.92,-0.119,0.309,0.763,-8.035,2.136,0,3
30355,-0.886,-0.126,0.332,-2.359,-10.794,4.008,0,3
30403,-0.889,-0.124,0.316,-1.086,-2.622,4.656,0,3
30452,-0.903,-0.123,0.326,-0.076,-0.504,4.565,0,3
30501,-0.882,-0.114,0.334,-0.3,-0.576,5.336,0,3
30553,-0.904,-0.104,0.346,-0.252,0.928,5.221,0,3
30602,-0.914,-0.12,0.339,0.916,-2.183,6.962,0,3
30650,-0.896,-0.079,0.331,-0.053,-7.752,3.146,0,3
30699,-0.898,-0.091,0.318,-2.26,-11.237,2.468,0,3
30748,-0.869,-0.096,0.317,0.023,-2.86,1.952,0,3
30796,-0.901,-0.093,0.37,1.84,-1.094,7.962,0,4
30845,-0.911,-0.095,0.351,1.099,-0.015,0.968,0,4
30895,-0.901,-0.068,0.351,-1.167,-2.529,2.056,0,4
30943,-0.903,-0.089,0.349,-2.84,-5.418,-1.599,0,3
30995,-0.89,-0.076,0.362,-2.176,-2.591,1.016,0,3
31030,-0.893,-0.092,0.353,-2.114,-7.656,0.892,0,3
31079,-0.881,-0.087,0.367,-2.144,-7.802,2.342,0,3
31128,-0.877,-0.074,0.359,0.687,-10.336,1.118,0,3
31163,-0.893,-0.062,0.392,-2.252,-4.391,2.518,0,3
31212,-0.881,-0.062,0.373,-2.244,-7.509,-3.198,0,3
31260,-0.886,-0.097,0.381,-0.961,-0.043,-0.022,0,3
31296,-0.887,-0.082,0.387,-1.19,3.137,0.108,0,3
31345,-0.877,-0.093,0.379,-0.522,3.88,2.106,0,3
31396,-0.874,-0.045,0.373,-0.412,1.69,0.295,0,3
31431,-0.876,-0.064,0.392,-0.929,-1.737,-0.317,0,3
31480,-0.883,-0.093,0.388,-1.538,-0.509,0.388,0,3
31516,-0.869,-0.089,0.362,0.771,2.495,1.937,0,3
31564,-0.876,-0.04,0.383,1.374,2.997,2.649,0,3
31600,-0.884,-0.073,0.373,1.153,-0.508,-0.811,0,3
31648,-0.886,-0.083,0.386,3.595,0.628,1.917,0,3
31684,-0.911,-0.068,0.426,3.298,-10.977,2.024,0,3
31733,-0.888,-0.068,0.38,0.214,-22.565,-0.065,0,3
31768,-0.877,-0.098,0.416,-0.692,-26.031,0.175,0,3
31820,-0.889,-0.076,0.423,0.275,-11.74,0.5,0,4
31855,-0.862,-0.07,0.416,0.023,9.26,-2.55,0,4
31904,-0.863,-0.062,0.396,0.817,13.282,-0.512,0,3
31940,-0.879,-0.088,0.409,0.397,3.708,0.625,0,3
31989,-0.9,-0.087,0.42,0.153,-3.997,0.72,0,3
32080,-0.865,-0.073,0.407,-0.176,-1.58,-0.941,0,3
32116,-0.873,-0.066,0.431,0.031,0.464,0.428,0,3
32165,-0.885,-0.064,0.421,-0.988,-2.739,0.327,0,3
32200,-0.873,-0.076,0.411,-1.639,-3.312,0.353,0,4
32252,-0.869,-0.071,0.427,-1.049,-2.315,-0.019,0,4
32288,-0.871,-0.074,0.419,-1.677,-2.188,0.048,0,4
32337,-0.871,-0.062,0.423,-2.214,-1.411,0.211,0,4
32372,-0.866,-0.074,0.424,-2.092,0.286,-0.767,0,4
32421,-0.869,-0.076,0.416,-1.991,1.382,0.143,0,4
32457,-0.876,-0.066,0.42,-1.19,0.696,0.848,0,4
32506,-0.871,-0.066,0.419,-2.153,-1.301,-0.377,0,4
32542,-0.868,-0.07,0.411,-1.555,-1.113,0.144,0,4
32591,-0.874,-0.065,0.411,-2.539,-0.857,0.228,0,4
32626,-0.874,-0.08,0.405,-2.625,-1.268,-1.193,0,4
32678,-0.873,-0.076,0.41,-1.511,-0.164,-0.238,0,4
32714,-0.878,-0.066,0.432,-1.324,-0.781,-0.388,0,4
32763,-0.85,-0.065,0.431,-0.921,-0.402,0.81,0,4
32799,-0.871,-0.065,0.426,-1.092,-0.56,0.541,0,4
32848,-0.872,-0.077,0.424,-1.716,-0.641,-0.228,0,4
32883,-0.866,-0.073,0.415,-0.229,-1.188,-0.1,0,4
32933,-0.872,-0.06,0.418,-1.201,-3.694,-2.026,0,4
32968,-0.868,-0.08,0.419,-0.758,0.045,-0.182,0,4
33017,-0.858,-0.071,0.433,-0.565,2.755,0.315,0,4
33074,-0.873,-0.058,0.409,-1.494,-1.602,-0.641,0,4
33123,-0.868,-0.074,0.423,-1.414,-1.553,-0.18,0,4
33159,-0.868,-0.071,0.422,-1.267,-0.902,-0.102,0,4
33202,-0.862,-0.073,0.425,-1.067,-0.271,-0.111,84,4
33251,-0.867,-0.075,0.414,-2.303,-0.271,-0.317,0,4
33287,-0.876,-0.075,0.427,-0.868,1.086,-0.187,0,4
33329,-0.87,-0.07,0.426,-1.62,0.019,-0.852,83,4
33379,-0.87,-0.079,0.412,-1.468,-0.585,0.008,0,4
33414,-0.858,-0.077,0.421,-1.59,-0.921,0.397,0,4
33467,-0.872,-0.082,0.415,-1.622,-0.048,0.178,0,4
33503,-0.871,-0.076,0.412,-1.503,0.231,0.211,0,4
33552,-0.872,-0.066,0.426,-0.815,0.346,0.471,0,4
33604,-0.87,-0.065,0.42,-1.33,-1.167,-0.194,0,4
33654,-0.87,-0.067,0.448,-0.378,-0.742,-0.236,0,4
33708,-0.861,-0.063,0.43,-0.15,-1.291,-0.116,0,4
33757,-0.867,-0.071,0.42,-1.09,0.273,-1.143,0,4
33810,-0.874,-0.063,0.423,-0.118,2.3,1.458,0,4
33859,-0.879,-0.089,0.437,-1.724,-3.291,-1.355,0,4
33915,-0.865,-0.076,0.429,-0.875,0.045,-0.61,0,4
33966,-0.863,-0.076,0.424,-1.607,0.59,0.123,0,4
34018,-0.862,-0.066,0.434,-0.81,1.694,-0.014,0,4
34068,-0.876,-0.07,0.418,-1.467,0.683,-0.008,0,4
34120,-0.862,-0.068,0.422,-0.812,0.14,0.189,0,4
34170,-0.869,-0.075,0.423,-1.805,-1.297,-0.53,0,4
34224,-0.87,-0.077,0.404,-1.594,-0.028,0.206,0,4
34273,-0.87,-0.076,0.412,-1.59,-0.618,0.211,0,4
34326,-0.875,-0.068,0.434,-0.587,-0.169,0.595,0,4
34419,-0.867,-0.073,0.414,-1.257,-0.169,0.546,0,4
34476,-0.856,-0.076,0.435,-0.718,-0.403,0.064,0,4
34525,-0.869,-0.059,0.441,-0.378,-1.296,-0.137,0,4
34578,-0.856,-0.08,0.438,-0.022,0.992,0.28,0,4
34628,-0.873,-0.074,0.421,-1.019,-2.317,-1.267,0,4
34681,-0.869,-0.074,0.427,-1.294,2.157,0.423,0,4
34731,-0.871,-0.087,0.414,-1.35,0.704,0.0,0,4
34784,-0.87,-0.074,0.422,-0.801,-1.581,-0.324,0,4
34834,-0.873,-0.067,0.431,-0.555,-1.089,0.382,0,4
34886,-0.872,-0.069,0.423,-0.877,-0.489,0.086,0,4
34939,-0.855,-0.064,0.432,-0.744,-0.082,0.324,0,4
34993,-0.86,-0.071,0.432,-0.98,0.244,0.919,0,4
35043,-0.871,-0.071,0.424,-1.464,-0.781,0.235,0,4
35096,-0.875,-0.067,0.427,-0.809,-0.44,0.075,0,4
35145,-0.872,-0.087,0.432,-1.462,-2.889,-0.357,0,4
35198,-0.841,-0.058,0.431,-0.157,-0.063,0.076,0,4
35249,-0.865,-0.069,0.425,-0.841,0.786,0.711,0,4
35302,-0.857,-0.074,0.424,-1.414,-0.877,-0.211,0,4
35352,-0.858,-0.061,0.431,-0.486,-1.262,-0.968,0,4
35408,-0.857,-0.079,0.421,-1.537,-0.047,0.21,0,4
35458,-0.86,-0.066,0.438,-0.942,1.318,0.171,0,4
35511,-0.871,-0.075,0.424,-1.508,-0.131,0.14,0,4
35561,-0.859,-0.079,0.409,-1.414,-0.226,-0.023,0,4
35614,-0.873,-0.067,0.434,-0.115,-0.819,0.378,0,4
35657,-0.857,-0.062,0.424,-0.527,-1.775,-0.77,83,4
