Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29722,-0.949,-0.133,0.308,-10.42,-70.639,-27.351,0,3
29771,-0.906,-0.164,0.178,0.359,13.0,-17.473,0,3
29820,-0.968,-0.14,0.178,1.101,-89.527,-4.748,2,3
29870,-0.95,-0.143,0.294,-1.732,-18.954,-0.969,0,3
29918,-0.844,-0.145,0.268,-6.595,-8.504,-5.198,1,3
29967,-0.889,-0.166,0.301,-1.076,-2.206,-1.58,2,3
30016,-0.894,-0.162,0.272,0.55,7.16,10.008,2,3
30064,-0.945,-0.174,0.301,-2.458,-4.715,6.344,0,3
30110,-0.918,-0.109,0.278,1.924,10.978,7.573,5,3
30159,-0.922,-0.126,0.283,-1.318,-4.983,4.496,1,3
30209,-0.937,-0.144,0.308,-2.485,-10.031,3.26,0,3
30257,-0.891,-0.14,0.285,-3.055,-24.911,-4.836,0,3
30306,-0.92,-0.119,0.309,0.763,-7.165,2.466,0,3
30355,-0.886,-0.126,0.332,-2.359,-10.794,4.008,0,3
30403,-0.889,-0.124,0.316,1.935,7.849,4.656,5,3
30452,-0.903,-0.123,0.326,-1.739,-5.684,4.565,0,3
30501,-0.882,-0.114,0.334,-2.582,-6.245,5.336,0,3
30553,-0.904,-0.104,0.346,-0.252,5.439,5.221,3,3
30602,-0.914,-0.12,0.339,0.916,-0.635,6.962,1,3
30650,-0.896,-0.163,0.331,-0.053,-14.154,-1.292,0,3
30699,-0.898,-0.091,0.318,-2.26,-11.237,-4.474,0,3
30748,-0.869,-0.096,0.317,0.023,-7.602,-1.33,0,3
30796,-0.901,-0.093,0.37,1.84,-0.126,7.962,0,4
30845,-0.911,-0.095,0.351,1.099,0.869,2.104,0,4
30895,-0.901,-0.203,0.351,-1.598,-8.846,-3.714,0,4
30943,-0.903,-0.089,0.349,-2.84,-5.945,-1.841,0,3
30995,-0.89,-0.138,0.362,-2.176,-8.995,-0.803,0,3
31030,-0.893,-0.092,0.353,-2.403,-9.974,0.259,0,3
31079,-0.881,-0.087,0.367,2.08,14.041,7.451,6,3
31128,-0.877,-0.067,0.359,0.687,-10.336,1.362,0,3
31163,-0.893,-0.062,0.392,-2.252,-8.136,1.492,0,3
31212,-0.881,-0.062,0.373,-2.244,-1.788,-3.198,2,3
31260,-0.886,-0.097,0.381,-2.074,-3.068,-1.136,0,3
31296,-0.887,-0.099,0.387,-1.453,2.564,-0.166,0,3
31345,-0.877,-0.093,0.379,-2.456,-0.086,0.496,0,3
31396,-0.874,-0.045,0.373,-2.585,-2.452,-1.406,0,3
31431,-0.876,-0.064,0.392,-3.402,-6.306,-2.9,0,3
31480,-0.883,-0.093,0.388,-3.215,-3.361,-1.451,0,3
31516,-0.869,-0.089,0.362,0.771,4.256,3.13,2,3
31564,-0.876,-0.04,0.383,1.374,2.628,2.307,0,3
31600,-0.884,-0.084,0.373,1.153,-5.133,-3.624,0,3
31648,-0.886,-0.009,0.386,3.595,14.907,6.745,6,3
31684,-0.911,-0.056,0.47,3.298,-10.977,2.608,1,3
31733,-0.888,-0.074,0.38,0.214,-22.565,-1.207,0,3
31768,-0.877,-0.098,0.513,0.353,-26.031,1.979,3,3
31820,-0.889,-0.075,0.436,0.275,-11.74,0.713,0,4
31855,-0.937,-0.098,0.327,0.023,9.26,-3.922,0,4
31904,-0.9,-0.062,0.396,0.817,13.282,-0.891,0,3
31940,-0.879,-0.088,0.381,0.397,3.617,0.326,0,3
31989,-0.9,-0.087,0.512,0.153,-2.251,1.82,3,3
32080,-0.792,-0.005,0.407,-0.176,0.228,0.043,2,3
