Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
53188,-0.857,0.159,-0.115,6.137,-70.489,-2.673,0,41
53239,-0.97,-0.029,0.141,3.429,-32.405,-0.58,0,41
53289,-0.962,-0.028,0.199,5.351,-27.374,-4.168,0,41
53339,-0.922,-0.042,0.205,7.16,-28.038,-3.119,0,3
53388,-0.985,-0.049,0.208,11.282,-17.42,-3.549,0,3
53436,-0.939,-0.014,0.14,6.786,-15.328,-1.84,0,2
53485,-0.923,-0.064,0.178,13.702,-3.18,0.969,0,2
53536,-0.958,-0.012,0.252,12.328,2.932,-2.495,0,2
53585,-0.971,-0.017,0.248,8.832,-19.191,-4.939,0,3
53635,-0.954,-0.114,0.201,3.827,-48.557,-9.702,0,3
53685,-0.956,-0.011,0.328,0.13,-47.725,-11.153,0,39
53734,-0.886,-0.107,0.32,5.725,-30.511,-8.947,0,4
53783,-0.882,0.013,0.355,7.832,-8.599,-5.802,0,4
53832,-0.894,-0.025,0.37,5.435,-1.186,-1.603,0,4
53881,-0.93,-0.041,0.348,5.672,-1.778,-4.718,0,4
53929,-0.916,-0.04,0.332,5.29,-5.057,-6.504,0,3
53965,-0.902,-0.032,0.381,0.229,-12.939,-4.046,0,3
54017,-0.897,-0.042,0.381,-3.649,-18.26,-5.977,0,3
54052,-0.882,-0.07,0.375,0.145,-16.672,-7.084,0,3
54102,-0.875,-0.054,0.397,0.26,-16.855,-9.916,0,3
54136,-0.845,-0.052,0.385,-2.412,-18.092,-4.427,0,3
54185,-0.884,-0.074,0.438,-2.992,-16.153,-0.099,0,3
54220,-0.834,-0.084,0.432,2.562,-14.733,-3.622,0,4
54269,-0.871,-0.095,0.429,6.122,-15.328,-9.076,0,5
54305,-0.806,-0.081,0.403,4.771,-5.47,-4.954,0,4
54354,-0.848,-0.079,0.449,3.147,2.584,-3.568,0,5
54410,-0.859,-0.04,0.424,2.728,-1.787,-4.252,0,5
54459,-0.871,-0.043,0.449,1.679,-2.083,-2.476,0,4
54495,-0.875,-0.06,0.399,4.265,2.157,-2.846,0,5
54544,-0.872,-0.017,0.419,5.931,-0.237,-3.992,0,5
54579,-0.876,-0.054,0.437,3.489,-3.066,-2.944,0,5
54628,-0.866,-0.071,0.432,3.952,-1.995,-2.414,0,4
54664,-0.849,-0.075,0.441,3.149,-1.745,-2.572,0,4
54713,-0.855,-0.076,0.443,3.293,-1.25,-2.722,0,4
54748,-0.851,-0.066,0.431,3.259,-0.769,-2.949,0,4
54800,-0.863,-0.076,0.442,3.078,-0.294,-2.415,0,4
54836,-0.862,-0.075,0.433,3.076,-0.975,-3.37,0,4
54885,-0.851,-0.071,0.439,3.84,-1.916,-3.172,0,4
54920,-0.862,-0.084,0.443,3.29,-0.784,-2.207,0,4
54970,-0.856,-0.076,0.432,3.15,-0.325,-2.727,0,5
55005,-0.852,-0.063,0.439,3.525,-0.574,-2.949,0,5
55054,-0.857,-0.071,0.435,2.961,-0.46,-2.354,0,5
55090,-0.862,-0.074,0.442,3.223,-2.511,-3.129,0,4
55139,-0.86,-0.084,0.433,2.571,-3.01,-3.983,0,4
55195,-0.857,-0.077,0.437,2.898,-0.544,-2.121,0,4
55244,-0.85,-0.073,0.445,4.034,-1.058,-2.397,0,4
55279,-0.857,-0.06,0.44,3.289,-1.311,-2.855,0,4
55329,-0.853,-0.072,0.442,3.58,-1.401,-2.602,0,4
55364,-0.856,-0.069,0.439,3.56,-1.184,-2.889,0,4
55413,-0.859,-0.088,0.44,2.428,-1.306,-3.034,0,4
55505,-0.859,-0.078,0.428,3.263,-1.281,-3.067,0,4
55559,-0.853,-0.075,0.436,2.778,-2.42,-3.33,0,4
55608,-0.855,-0.078,0.447,3.161,-0.769,-2.291,0,4
55644,-0.867,-0.08,0.426,2.321,-0.977,-3.466,5,5
55696,-0.86,-0.069,0.436,3.098,-0.977,-2.909,0,4
55732,-0.86,-0.075,0.449,2.535,-1.674,-3.451,0,4
