Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
53188,-0.758,0.159,-0.115,6.137,-70.489,0.155,0,41
53239,-0.97,-0.029,0.141,-2.95,-32.405,-0.58,0,41
53289,-0.962,-0.028,0.199,5.351,-27.374,-4.168,0,41
53339,-0.922,-0.042,0.205,7.16,-28.038,-0.687,0,4
53388,-0.985,-0.049,0.208,11.282,-17.42,-2.424,0,7
53436,-0.939,-0.014,0.14,6.786,-15.328,-1.84,0,2
53485,-0.923,-0.004,0.178,13.702,-2.102,0.969,0,2
53536,-0.958,-0.012,0.252,12.328,-0.144,-2.701,0,2
53585,-0.971,-0.017,0.248,8.832,-19.191,-4.939,0,2
53635,-0.954,-0.114,0.201,8.701,-48.557,-9.702,0,3
53685,-0.956,-0.011,0.328,0.13,-47.725,-11.153,0,39
53734,-0.886,-0.107,0.32,5.725,-30.511,-8.947,0,4
53783,-0.882,0.013,0.355,7.832,-17.217,-5.802,0,3
53832,-0.894,-0.025,0.37,5.435,-3.678,-1.603,0,4
53881,-0.93,-0.041,0.348,5.672,-8.257,-4.718,0,2
53929,-0.916,-0.04,0.332,5.29,4.464,-6.504,0,7
53965,-0.902,-0.032,0.381,0.229,-12.939,-4.046,0,9
54017,-0.897,-0.042,0.381,-3.649,-18.26,-5.977,0,2
54052,-0.882,0.072,0.375,0.145,-16.672,-7.084,0,7
54102,-0.875,-0.104,0.341,0.26,-16.855,-9.916,0,2
54136,-0.76,0.039,0.486,-2.412,-18.092,-4.427,0,6
54185,-0.884,-0.299,0.202,-2.992,-16.153,-0.099,5,5
54220,-0.834,-0.174,0.337,-1.975,-14.733,-8.724,0,2
54269,-0.871,-0.093,0.431,6.122,-15.328,-9.076,0,5
54305,-0.806,-0.036,0.449,4.771,0.39,-4.954,0,5
54354,-0.849,-0.083,0.445,3.227,2.72,-3.446,0,5
54410,-0.891,-0.04,0.329,-0.12,-5.282,-4.252,0,2
54459,-0.871,-0.043,0.255,1.679,-7.719,-11.515,0,2
54495,-0.875,-0.108,0.353,4.046,0.767,-5.071,0,4
54544,-0.872,-0.017,0.437,5.931,0.288,-3.992,0,6
54579,-0.876,-0.031,0.46,3.549,-2.685,-2.421,0,6
54628,-0.868,-0.098,0.405,3.123,-3.181,-4.359,0,3
54664,-0.856,-0.094,0.421,2.699,-2.18,-3.175,0,3
54713,-0.826,-0.033,0.487,5.381,-0.207,-0.812,0,5
54748,-0.898,-0.117,0.379,0.827,-1.682,-4.927,0,2
54800,-0.891,-0.104,0.414,1.622,-0.838,-3.617,0,3
54836,-0.741,0.045,0.553,9.429,1.293,1.843,0,8
54885,-0.719,0.06,0.571,10.456,0.34,2.215,0,8
54920,-0.943,-0.166,0.361,-0.883,-2.228,-5.618,0,2
54970,-0.9,-0.121,0.387,1.067,-1.032,-4.402,0,4
55005,-0.807,-0.018,0.484,5.698,0.239,-1.16,0,7
55054,-0.873,-0.087,0.419,2.266,-0.79,-2.959,0,4
55090,-0.767,0.022,0.538,7.917,-0.269,0.839,0,7
55139,-0.814,-0.038,0.48,5.553,-1.544,-1.534,0,5
55195,-0.748,0.033,0.546,8.46,2.429,2.446,0,8
55244,-0.796,-0.018,0.5,6.402,0.13,-0.452,0,6
55279,-0.875,-0.078,0.422,2.638,-1.606,-3.383,0,3
55329,-0.709,0.075,0.586,10.634,1.716,3.119,0,9
55364,-0.941,-0.156,0.353,-0.759,-3.112,-6.511,0,2
55413,-0.722,0.051,0.579,9.826,2.366,3.303,0,9
55505,-0.873,-0.092,0.414,2.642,-1.576,-3.587,0,4
55559,-0.763,0.015,0.527,7.685,-0.356,0.616,0,7
55608,-0.765,0.011,0.538,7.526,1.121,1.377,0,7
55644,-0.829,-0.042,0.464,5.142,0.204,-1.111,0,5
55696,-0.731,0.059,0.567,9.2,1.361,2.175,0,8
55732,-0.829,-0.045,0.481,4.501,-0.984,-1.808,0,5
55781,-1.018,-0.234,0.268,-4.332,-3.99,-8.938,0,2
