Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36841,-2.0,-0.277,-0.158,-108.511,-35.901,185.939,38,93
36886,-2.0,-0.643,-0.373,-70.069,-81.107,189.412,31,84
36930,-1.89,-0.69,-0.267,-58.397,-88.198,199.366,37,97
36975,-1.162,-0.728,-0.169,-63.847,-68.847,158.076,33,103
37021,-0.554,-0.714,-0.249,-62.0,-41.679,91.802,41,108
37066,-0.126,-0.654,-0.375,-58.679,-0.405,133.839,31,108
37117,0.077,-0.595,-0.277,-47.511,42.794,-62.893,121,111
37166,0.006,-0.551,0.024,-20.069,36.992,-113.71,33,106
37211,-0.61,-0.649,0.216,-6.159,-3.378,-148.42,31,103
37256,-1.696,-0.881,-0.073,101.702,99.733,-204.282,40,105
37301,-2.0,-0.487,0.143,116.84,198.809,-103.168,48,98
37355,-2.0,-0.014,0.338,88.031,84.221,-59.153,0,101
37410,-2.118,0.13,0.095,63.824,-45.939,-37.664,5,38
37465,-0.579,0.427,0.055,40.565,-22.015,-34.313,0,109
37520,-0.413,0.664,0.184,-17.809,-12.71,-35.791,0,103
37577,-0.625,0.72,0.104,-40.58,-30.725,59.405,0,107
37632,-1.147,0.569,-0.261,-114.634,-35.58,166.053,0,95
37678,-2.0,-0.611,-0.641,-142.145,46.652,147.863,47,99
37723,-2.0,-0.815,-0.465,-128.275,-56.206,127.832,44,94
37769,-1.262,-0.63,-0.315,-118.924,-35.985,82.603,36,106
37814,-0.681,-0.498,-0.186,-119.718,-42.81,33.947,32,101
37859,-0.167,-0.511,-0.155,-113.55,-23.118,-49.51,31,103
37914,0.278,-0.691,-0.159,-75.557,-21.046,-43.13,0,108
37960,0.369,-0.787,-0.231,28.673,-7.321,-79.038,43,105
38008,-0.423,-0.729,-0.124,101.534,138.778,-141.817,42,102
38055,-2.0,-0.729,-0.143,130.901,123.405,-165.359,48,113
38110,-2.0,0.16,0.236,81.603,128.786,-30.786,0,102
38156,-1.713,-0.393,0.132,35.16,-75.252,-40.561,49,99
38203,-0.666,-0.022,-0.046,52.87,-65.824,7.428,49,105
38257,-0.316,0.291,-0.051,49.71,-2.032,-5.559,0,103
38312,-0.198,0.528,0.196,-0.556,27.84,-16.124,0,113
38368,-0.348,0.738,0.225,-54.321,-28.26,-32.961,0,105
38417,-0.859,0.639,-0.303,-141.863,-32.26,101.076,47,99
38462,-2.0,0.197,-0.496,-169.221,29.327,126.794,47,94
38507,-2.0,-0.847,-0.599,-152.733,-51.282,99.389,37,96
38552,-1.854,-0.765,-0.403,-138.672,-87.748,99.901,38,98
38598,-0.438,-0.711,-0.239,-116.809,-39.763,61.573,43,104
38644,-0.323,-0.563,-0.176,-85.221,-20.374,25.427,36,108
38700,0.216,-0.684,-0.205,-48.931,-17.671,-58.966,0,110
38755,0.38,-0.539,-0.2,118.861,19.694,-50.0,0,109
38801,-0.449,-0.615,0.092,85.206,-39.076,-103.603,44,104
38849,-1.689,-0.61,-0.238,135.504,99.45,-145.763,37,104
38895,-2.0,-0.251,0.295,107.183,157.947,-55.099,49,106
38943,-2.0,-0.539,0.421,42.985,-8.849,-25.244,49,130
38989,-0.508,-0.012,-0.013,56.298,-31.466,-35.855,46,107
39045,-0.463,0.349,-0.071,59.397,45.412,-28.076,0,104
39091,-0.349,0.616,0.125,0.127,63.908,-22.489,47,104
39146,-0.385,0.686,0.243,-42.573,-6.14,-17.489,0,108
39201,-0.818,0.397,-0.132,-127.504,-28.511,59.87,0,101
39259,-2.0,0.227,-0.281,-160.275,8.955,128.221,0,94
39348,-1.844,-0.827,-0.322,-80.824,-43.275,105.389,50,101
39393,-0.662,-0.49,0.136,-80.489,-20.481,73.916,33,106
39449,-0.317,-0.514,-0.17,-71.733,-41.977,37.221,0,113
39504,0.312,-0.602,-0.252,-11.863,-32.321,-25.137,0,110
39560,0.54,-0.493,-0.307,48.092,-3.004,-62.756,0,110
39615,-0.351,-0.644,0.191,96.382,44.847,-116.794,0,103
39661,-2.0,-0.763,-0.384,184.702,111.29,-145.901,47,90
39718,-2.0,-0.084,0.013,128.053,132.557,-22.0,0,92
39764,-1.625,-0.756,-0.383,94.336,-139.148,-102.179,48,97
