Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
33132,-0.744,-0.713,0.16,31.701,51.718,-108.206,149,96
33177,-1.324,-0.927,0.182,-26.149,69.275,-125.58,50,81
33222,-1.703,-0.713,0.19,24.977,77.824,-127.802,43,88
33267,-1.757,-0.453,0.213,29.802,69.489,-80.771,53,85
33321,-1.396,0.052,0.22,26.405,38.847,-38.74,0,92
33376,-0.971,0.51,0.289,61.75,13.351,12.656,0,107
33430,-0.604,0.66,0.285,73.891,-26.573,79.374,0,100
33478,-0.681,0.504,0.143,-65.176,-45.534,154.733,13,28
33523,-1.183,0.231,-0.311,-113.588,-22.748,191.328,49,90
33568,-2.0,-0.626,-0.335,-120.198,-17.908,177.305,37,87
33613,-2.0,-0.547,-0.465,-99.267,-105.183,176.305,37,98
33658,-1.415,-0.673,-0.441,-83.214,-75.122,138.992,10,29
33703,-0.734,-0.493,-0.249,-73.519,-1.956,70.351,44,104
33750,-0.42,-0.443,0.103,-67.015,67.19,227.288,41,114
33795,-0.133,-0.446,-0.024,-58.031,-13.412,-79.878,29,100
33841,0.159,-0.466,0.082,-43.832,25.238,-122.42,41,112
33889,0.022,-0.553,-0.026,-22.023,16.535,-133.847,41,101
33934,-0.914,-0.901,-0.173,23.23,27.237,-150.672,36,101
33979,-2.0,-0.924,-0.194,80.908,81.794,-136.198,36,94
34025,-2.0,-0.661,0.112,105.473,98.489,-57.863,50,101
34071,-1.681,-0.095,0.259,88.176,38.481,-25.908,49,107
34126,-1.379,0.124,0.114,69.687,-39.699,-31.244,0,104
34181,-0.55,0.603,0.09,23.779,-55.8,-115.169,0,103
34237,-0.292,0.846,0.199,-51.13,-12.78,25.594,0,123
34295,-0.671,0.76,-0.0,-124.405,-47.771,99.069,0,111
34340,-1.754,0.26,-0.71,-148.046,-20.336,142.595,50,95
34386,-2.0,-0.637,-0.8,-144.863,-28.74,119.863,45,98
34433,-2.0,-0.678,-0.466,-132.321,-60.916,103.183,47,103
34478,-1.38,-0.625,-0.406,-110.084,-52.756,84.29,44,100
34524,-0.548,-0.43,-0.312,-95.122,-32.099,71.389,35,104
34570,0.069,-0.556,0.196,-67.992,-38.71,28.962,48,111
34615,0.488,-0.647,-0.292,-179.285,-39.656,-132.301,27,108
34664,0.252,-0.616,-0.022,23.954,6.218,-51.344,41,111
34709,-1.023,-0.887,-0.357,71.176,5.678,-133.985,29,105
34754,-2.0,-0.838,-0.148,78.107,123.435,-174.786,36,96
34800,-2.0,-0.404,0.121,55.954,116.229,-73.038,46,101
34846,-1.907,0.332,0.044,47.061,63.602,-56.611,47,110
34900,-0.992,0.214,-0.12,53.252,-23.649,-42.817,0,102
34956,-0.519,0.541,0.044,33.817,35.397,-29.794,0,108
35011,-0.378,0.681,0.306,37.904,31.066,50.953,0,106
35066,-0.48,0.684,0.176,-54.611,-43.267,66.313,0,103
35116,-1.377,0.537,-0.644,-125.267,-11.003,116.557,48,96
35161,-2.0,-0.612,-1.061,-141.771,23.606,87.886,47,101
35206,-2.0,-0.594,-0.569,-144.038,-76.847,124.427,39,98
35261,-1.227,-0.804,-0.565,-128.351,-65.015,103.931,0,102
35316,-0.271,-0.602,-0.227,-114.168,-16.42,46.0,0,107
35362,0.356,-0.706,-0.095,-77.901,-21.481,-22.649,37,117
35408,0.463,-0.745,-0.395,-69.854,-37.561,-83.153,33,106
35454,-0.068,-0.735,0.061,45.771,58.728,-110.802,45,103
35503,-1.819,-1.113,-0.325,107.847,72.649,-152.176,40,103
35592,-2.0,-0.442,0.382,76.13,74.886,23.526,47,94
35638,-1.41,-0.827,0.026,97.977,-23.038,-29.359,48,95
35684,-0.656,0.262,-0.15,108.008,3.197,-25.359,51,102
35730,-0.502,0.752,0.053,65.74,35.069,-8.662,48,106
35777,-0.41,0.844,0.208,-55.958,-26.897,-6.408,50,108
35823,-0.5,0.694,0.201,-62.992,-36.099,84.664,50,101
35869,0.177,0.3,0.44,-83.901,-38.855,150.649,46,101
35914,-2.0,-0.066,-0.101,-84.718,17.368,110.26,38,95
