Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
37122,-0.304,-0.33,0.868,0.023,-0.618,1.168,34,30
37163,-0.318,-0.354,0.853,-0.069,0.26,1.473,34,30
37203,-0.305,-0.323,0.871,-0.214,-1.685,0.698,34,30
37244,-0.314,-0.337,0.874,-0.563,-1.588,0.685,34,30
37285,-0.293,-0.323,0.872,-0.122,0.008,0.557,34,30
37325,-0.33,-0.305,0.886,-0.618,-0.779,0.672,34,30
37366,-0.303,-0.32,0.857,-0.876,-1.931,0.526,34,30
37410,-0.283,-0.327,0.908,-0.802,0.285,2.14,34,30
37451,-0.304,-0.324,0.873,-0.137,-0.366,-1.021,34,31
37492,-0.32,-0.325,0.891,0.097,-0.435,1.796,34,30
37532,-0.117,-0.326,0.896,1.698,-1.618,4.095,34,30
37573,-0.319,-0.323,0.859,-1.06,-0.656,-0.057,34,30
37614,-0.283,-0.321,0.886,-0.153,-1.664,1.26,34,30
37655,-0.265,-0.327,0.871,0.076,-0.306,1.253,34,30
37696,-0.308,-0.327,0.88,0.269,-0.664,1.695,34,31
37737,-0.348,-0.325,0.839,-1.179,-2.107,0.298,34,30
37780,-0.276,-0.323,0.912,-0.992,-0.354,1.14,34,30
37821,-0.322,-0.323,0.892,-0.573,-0.424,0.805,34,30
37862,-0.324,-0.319,0.762,-1.0,-1.649,-1.197,34,30
37903,-0.171,-0.323,1.02,-1.099,-2.405,3.154,34,30
37944,-0.304,-0.324,1.012,-0.494,0.039,1.038,34,30
37985,-0.321,-0.535,0.882,-0.733,-1.644,-3.872,16,15
38026,-0.226,-0.252,0.881,-0.817,0.16,1.737,34,31
38067,-0.321,-0.325,0.775,-0.718,-1.885,-0.099,34,30
38108,-0.308,-0.326,0.872,-1.908,-1.545,-0.046,34,30
38152,-0.308,-0.321,0.87,-0.122,1.038,0.45,34,30
38193,-0.329,-0.334,0.891,-0.615,-1.718,0.237,34,30
38234,-0.214,-0.332,0.874,-0.134,-2.573,1.444,34,30
38275,-0.307,-0.332,0.88,-0.115,-1.763,-0.107,34,31
38316,-0.304,-0.33,0.881,0.565,-0.481,-1.557,34,31
38356,-0.306,-0.203,0.863,0.466,1.29,-1.939,33,31
38397,-0.333,-0.323,0.881,0.031,-0.634,-1.275,33,30
38438,-0.31,-0.322,0.879,-0.586,-2.573,-0.924,33,30
38479,-0.301,-0.321,0.894,-0.308,-0.858,-0.16,34,31
38523,-0.317,-0.321,0.874,-0.191,0.518,0.336,33,31
38564,-0.32,-0.319,0.829,-0.092,-1.985,-0.007,34,31
38605,-0.328,-0.323,0.888,-0.389,-3.29,1.305,34,30
38646,-0.482,-0.323,0.873,-1.65,-3.679,1.802,33,30
38687,-0.298,-0.324,0.872,0.13,-0.808,1.802,33,31
38728,-0.279,-0.327,0.88,0.122,0.466,1.626,33,30
38769,-0.319,-0.271,0.874,0.061,-1.878,1.664,33,31
38810,-0.301,-0.325,0.882,0.084,-2.069,0.342,34,30
38852,-0.291,-0.324,0.871,0.534,1.351,0.076,35,30
38896,-0.321,-0.325,0.902,0.557,0.076,-0.458,35,30
38937,-0.318,-0.327,0.882,0.298,-2.095,-0.275,35,30
38978,-0.306,-0.316,0.881,-0.221,-1.74,0.214,35,31
39019,-0.406,-0.318,0.882,-1.874,-3.307,0.42,35,30
39060,-0.196,-0.319,0.891,1.263,2.519,2.337,35,30
39102,-0.387,-0.319,0.885,-1.267,-2.611,1.45,35,31
39143,-0.345,-0.321,0.885,-1.366,-2.916,1.863,35,30
39227,-0.076,-0.315,0.883,-0.947,-2.015,1.947,35,30
39268,-0.247,-0.324,0.94,-1.267,-1.962,1.511,35,31
39313,-0.304,-0.388,0.888,-0.885,-1.954,1.168,34,30
39354,-0.305,-0.323,0.883,-1.122,-3.297,1.16,34,30
39395,-0.236,-0.323,0.926,-1.084,-0.268,1.099,34,31
39436,-0.394,-0.323,0.849,-1.267,-1.893,-0.644,34,30
39478,-0.153,-0.172,0.88,-1.053,-1.174,3.829,34,31
39519,-0.305,-0.325,0.893,-0.893,-2.0,1.198,34,31
39560,-0.304,-0.324,0.883,-1.099,-1.771,0.306,34,30
39601,-0.068,-0.33,0.886,-1.275,-1.809,1.023,34,30
39643,-0.304,-0.322,0.882,-1.359,-1.863,1.099,34,31
39687,-0.308,-0.331,0.882,-1.427,-1.641,1.288,34,30
39728,-0.305,-0.325,0.871,-1.053,1.328,1.206,34,31
39770,-0.304,-0.331,0.88,-0.878,-0.772,1.473,34,30
39811,-0.305,-0.331,0.881,-0.242,-0.685,1.565,34,30
39852,-0.306,-0.33,0.83,-0.779,-2.291,1.389,34,31
39894,-0.298,-0.324,0.887,1.441,1.863,1.183,34,31
39934,-0.219,-0.331,0.884,-1.023,0.576,1.015,34,30
39975,-0.302,-0.423,0.783,-0.733,-2.995,-0.765,34,30
40017,-0.149,-0.324,0.885,-0.344,1.866,1.069,34,30
40061,-0.224,-0.234,0.881,0.156,0.26,2.348,34,30
40102,-0.3,-0.324,0.912,-0.543,-1.265,1.297,34,30
40144,-0.297,-0.291,0.886,-0.382,-0.733,1.341,34,30
40185,-0.298,-0.323,0.884,-0.008,0.038,1.061,34,30
40226,-0.321,-0.323,0.885,-0.502,-1.252,-0.567,34,30
40268,-0.298,-0.268,0.889,-0.438,-0.833,1.753,34,30
40309,-0.308,-0.327,0.878,-0.771,-0.848,0.957,34,30
40351,-0.332,-0.564,0.869,-0.786,-5.658,-2.945,34,30
40392,-0.296,-0.33,0.885,-0.407,-1.74,1.008,34,30
40437,-0.316,-0.33,0.857,-0.221,-0.359,-0.056,34,30
