Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32596,-0.176,-0.429,0.884,0.16,0.403,1.018,35,89
32641,-0.221,-0.472,0.829,-0.274,-0.329,0.348,33,88
32685,-0.152,-0.473,0.913,0.571,0.497,1.123,35,89
32729,-0.221,-0.415,0.902,0.687,0.59,1.1,35,90
32773,-0.349,-0.592,0.725,-1.805,-2.357,-0.958,29,84
32817,-0.148,-0.401,0.918,-0.618,-1.069,1.357,36,90
32861,-0.204,-0.456,0.859,-0.763,-0.477,0.572,34,89
32908,-0.152,-0.473,0.844,0.879,0.843,1.321,35,91
32952,-0.203,-0.467,0.856,0.049,0.153,0.64,34,90
32996,-0.271,-0.472,0.812,-0.568,-1.051,-0.3,32,87
33040,-0.217,-0.469,0.83,-0.782,-0.84,-0.112,32,87
33084,-0.215,-0.469,0.845,-0.634,-0.924,0.893,32,90
33128,-0.219,-0.491,0.851,-0.45,-1.232,-0.075,30,87
33171,-0.221,-0.473,0.823,-1.789,-2.676,-1.186,27,84
33215,-0.22,-0.509,0.845,-0.771,-0.599,0.061,30,87
33260,-0.271,-0.482,0.814,-0.125,-0.929,0.147,30,88
33306,-0.237,-0.491,0.827,-0.561,-0.403,0.122,31,88
33350,-0.22,-0.486,0.832,-0.34,-0.34,0.137,31,89
33394,-0.275,-0.472,0.804,-0.672,-1.44,0.153,29,87
33438,-0.219,-0.476,0.843,-0.295,-1.053,-0.053,31,89
33483,-0.179,-0.428,0.847,-0.427,-1.046,0.808,33,91
33527,-0.225,-0.482,0.829,-0.908,-1.061,0.316,31,88
33571,-0.208,-0.429,0.833,-0.519,-0.885,1.146,33,90
33615,-0.22,-0.358,0.881,-0.641,1.308,0.733,35,92
33659,-0.213,-0.481,0.841,0.035,-0.508,0.628,31,89
33707,-0.217,-0.481,0.848,1.292,1.074,1.529,34,92
33751,-0.216,-0.511,0.806,-0.261,-0.607,-0.17,30,88
33795,-0.194,-0.483,0.877,0.227,0.033,0.746,32,90
33839,-0.217,-0.587,0.737,-1.338,-2.114,-0.824,27,85
33883,-0.221,-0.485,0.805,-0.487,-0.869,-0.03,30,87
