Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
29707,-0.311,-0.37,1.125,-0.55,-0.13,0.099,30,72
29750,-0.319,-0.378,0.806,-0.693,0.29,-0.13,30,71
29793,-0.317,-0.366,0.8,-0.519,-0.301,-0.244,30,71
29836,-0.323,-0.373,0.817,-0.495,-0.45,-0.137,30,71
29879,-0.312,-0.378,0.853,0.115,0.542,-0.153,30,72
29922,-0.324,-0.373,0.859,0.58,0.977,-0.122,30,71
29965,-0.318,-0.371,0.865,0.023,-0.191,-0.588,30,70
30010,-0.309,-0.368,0.846,0.078,0.603,-0.458,30,72
30053,-0.322,-0.375,0.86,0.122,0.405,-0.206,30,70
30096,-0.321,-0.367,0.923,-0.122,-0.313,-0.565,30,72
30139,-0.312,-0.37,0.942,0.412,0.847,0.532,30,72
30182,-0.318,-0.365,0.862,0.313,0.832,-0.298,30,72
30225,-0.32,-0.371,0.883,-0.084,0.473,-0.163,30,71
30268,-0.316,-0.366,0.862,0.031,0.672,-0.321,30,71
30310,-0.319,-0.369,0.858,0.176,0.695,-0.372,30,72
30353,-0.325,-0.371,0.862,0.061,0.504,0.053,30,71
30396,-0.322,-0.366,0.848,0.191,0.244,-0.267,30,71
30437,-0.33,-0.368,0.86,-0.031,1.031,-0.237,30,71
30480,-0.321,-0.367,0.858,0.115,0.244,-0.176,30,69
30523,-0.323,-0.373,0.858,0.183,0.427,-0.145,30,72
30566,-0.327,-0.371,0.862,0.443,0.626,-0.015,30,71
30608,-0.326,-0.39,0.863,-0.461,-0.542,-0.191,30,71
30651,-0.315,-0.369,0.842,-0.519,-0.504,-0.565,29,72
30694,-0.321,-0.367,0.85,0.053,0.634,-0.252,29,71
30737,-0.329,-0.364,0.869,-0.427,0.51,-0.305,29,71
30780,-0.32,-0.365,0.849,-0.076,-0.29,-0.305,29,70
30826,-0.323,-0.367,0.86,0.069,0.435,-0.618,29,71
30869,-0.324,-0.383,0.861,-0.053,0.214,-0.489,29,71
30912,-0.326,-0.369,0.801,-0.16,-0.282,-0.55,29,71
30955,-0.318,-0.387,0.776,-0.076,0.221,-0.282,29,70
30998,-0.317,-0.364,0.848,-0.496,0.366,-1.96,29,70
31041,-0.329,-0.37,0.862,0.474,-0.565,0.844,29,72
31084,-0.315,-0.368,0.862,0.623,0.267,-0.191,29,73
31127,-0.327,-0.366,0.862,-0.16,0.511,-1.233,29,70
31173,-0.328,-0.367,0.968,-0.55,-0.687,-0.557,29,72
31216,-0.319,-0.371,0.863,-0.273,-0.153,-0.473,29,71
31259,-0.315,-0.366,0.861,-0.061,0.078,-0.515,29,71
31302,-0.326,-0.368,0.853,-0.099,0.29,-0.427,29,71
31345,-0.327,-0.424,0.862,-0.696,-0.038,-1.036,29,71
31388,-0.321,-0.366,0.919,-0.137,0.527,-0.435,29,71
31431,-0.32,-0.364,0.868,-0.351,0.214,-0.435,29,71
31475,-0.323,-0.369,0.859,-0.02,0.08,-0.027,29,71
31518,-0.317,-0.369,0.86,-0.023,0.603,-0.305,29,71
31564,-0.332,-0.37,0.861,0.061,0.237,-0.052,29,70
31607,-0.325,-0.363,0.858,-0.389,-0.13,-0.435,29,71
31650,-0.323,-0.364,0.86,-0.015,0.351,-1.401,29,71
31693,-0.329,-0.367,0.714,-1.305,-1.072,-0.466,29,70
31736,-0.326,-0.37,0.863,-0.389,-0.038,-0.305,29,71
31779,-0.325,-0.368,0.884,-0.231,-0.008,-0.45,29,72
31822,-0.319,-0.364,0.849,0.176,0.687,-0.26,29,71
31908,-0.327,-0.366,0.871,-0.136,1.998,1.707,29,72
31952,-0.321,-0.367,0.864,-0.359,-0.068,-0.466,29,71
31998,-0.32,-0.365,0.859,-0.397,0.496,-0.504,29,71
32041,-0.325,-0.368,0.865,0.031,0.62,0.238,29,71
32084,-0.328,-0.366,0.859,-0.119,0.328,-0.137,29,71
32128,-0.321,-0.43,0.863,-1.178,-0.313,-0.305,30,70
32172,-0.326,-0.37,0.858,-0.076,0.649,-0.496,30,71
32215,-0.323,-0.364,0.86,-0.847,-0.229,-0.137,30,71
32258,-0.32,-0.374,0.849,-0.481,0.237,-0.519,30,71
32302,-0.329,-0.366,0.861,0.031,0.748,-0.214,30,71
32345,-0.323,-0.35,0.858,-0.389,-0.489,-0.29,30,71
32391,-0.315,-0.367,0.801,-1.134,-0.076,-0.489,30,70
32435,-0.326,-0.368,0.864,-0.107,0.802,-0.031,30,71
32478,-0.329,-0.29,0.925,-0.74,-0.702,-0.314,30,72
32521,-0.32,-0.367,0.853,-0.435,0.18,-0.37,29,71
32565,-0.305,-0.369,0.866,0.064,-0.221,-0.29,30,71
32608,-0.326,-0.364,1.028,-0.481,-0.321,-0.588,30,72
32652,-0.325,-0.366,0.863,-0.092,-0.046,-0.214,30,72
32695,-0.325,-0.447,0.77,-0.366,0.511,-0.557,29,70
32738,-0.33,-0.363,0.859,-0.87,-0.145,-0.557,29,72
32785,-0.315,-0.365,0.785,-0.985,-0.221,-0.542,29,70
32828,-0.322,-0.364,0.859,-0.496,0.73,-0.244,30,71
32872,-0.329,-0.364,0.858,-0.443,-0.153,-0.191,29,72
32915,-0.324,-0.365,0.859,-0.611,-0.588,1.022,29,71
32958,-0.325,-0.365,1.093,2.344,0.336,-0.229,30,71
33002,-0.325,-0.413,0.823,-0.412,-0.031,-0.595,29,72
33045,-0.33,-0.367,0.876,0.384,-0.107,-0.275,29,71
33089,-0.316,-0.366,0.851,-0.412,0.351,-0.16,29,71
33132,-0.327,-0.367,0.86,-0.168,0.298,-2.505,29,70
33179,-0.324,-0.366,0.855,-0.611,-0.336,-0.519,29,71
33222,-0.321,-0.37,0.851,-0.344,-0.866,-0.435,29,70
33266,-0.327,-0.365,0.844,-0.374,0.237,-0.298,29,71
33309,-0.318,-0.367,0.85,-0.71,-0.282,-0.58,29,71
33352,-0.323,-0.368,0.863,-0.379,0.282,-0.267,29,71
33396,-0.321,-0.365,0.829,-0.664,-0.198,-0.206,29,71
33439,-0.322,-0.37,0.871,-0.027,-0.183,-0.325,29,71
33483,-0.322,-0.367,0.974,0.069,0.901,-0.275,29,72
33526,-0.33,-0.368,0.861,-0.466,-0.084,-0.656,29,72
33573,-0.329,-0.371,0.86,0.871,-0.214,-0.191,30,72
33617,-0.329,-0.368,1.06,0.305,0.42,-0.252,29,72
33660,-0.323,-0.365,0.849,0.252,0.679,-0.489,29,71
33704,-0.328,-0.363,0.858,-0.069,-0.336,-0.282,30,72
33747,-0.323,-0.368,0.842,-0.557,-0.099,-0.244,29,71
33792,-0.319,-0.368,0.925,0.015,0.45,-0.252,30,71
33835,-0.332,-0.233,0.853,0.198,0.244,-0.443,29,71
33879,-0.321,-0.365,0.849,0.031,0.534,-0.427,29,70
33922,-0.331,-0.366,0.859,0.336,0.901,-0.252,29,70
33969,-0.325,-0.364,0.861,-0.061,-0.046,-0.466,29,71
34013,-0.32,-0.368,0.859,0.099,0.45,-0.216,30,70
34056,-0.331,-0.26,0.845,0.294,0.405,0.337,29,72
34143,-0.325,-0.369,0.823,-0.084,0.405,-0.267,14,35
34187,-0.33,-0.368,0.882,0.137,0.511,-0.237,29,72
34230,-0.326,-0.364,0.845,0.359,0.351,0.046,29,70
34274,-0.331,-0.364,0.865,-0.053,0.756,-0.229,29,71
34317,-0.327,-0.314,0.863,-0.336,-0.069,-0.649,29,72
34361,-0.324,-0.368,0.872,-0.797,-0.366,-0.435,29,70
34408,-0.328,-0.37,0.846,0.115,0.626,1.327,29,72
34451,-0.394,-0.357,0.86,0.183,0.359,-0.099,29,71
34495,-0.325,-0.359,0.869,0.091,-0.511,-0.565,29,71
34539,-0.332,-0.364,0.863,-0.168,0.076,-0.519,29,70
34582,-0.33,-0.365,0.829,-0.595,-0.028,-0.705,29,71
34626,-0.326,-0.366,0.85,-0.702,-0.412,-0.519,29,71
34670,-0.329,-0.473,0.861,0.16,-0.745,-0.473,29,70
34713,-0.328,-0.354,0.865,-0.145,0.224,-0.36,29,71
34757,-0.256,-0.281,0.859,-0.137,-0.076,0.206,29,72
34804,-0.321,-0.365,0.953,-0.496,-0.145,-0.542,29,71
34848,-0.332,-0.363,0.859,-0.554,0.504,-0.438,29,71
34891,-0.327,-0.493,0.851,-0.527,-0.214,-0.588,29,71
34935,-0.322,-0.37,0.849,-0.679,-0.26,-0.585,29,70
34979,-0.328,-0.363,0.773,-0.399,-0.191,0.015,29,71
35022,-0.32,-0.318,0.859,-0.028,0.26,-0.115,29,70
35066,-0.339,-0.365,0.862,0.137,0.588,-0.298,29,72
35110,-0.332,-0.364,0.982,-0.45,-0.053,-0.527,30,72
35154,-0.327,-0.366,0.852,-0.344,-0.221,-1.684,30,70
35202,-0.32,-0.369,0.853,-1.358,0.359,-1.613,29,70
35251,-0.328,-0.365,0.862,0.069,0.366,-0.229,30,70
35294,-0.324,-0.365,0.867,-0.331,-0.176,-0.458,30,70
35337,-0.323,-0.364,0.851,-0.952,-0.183,-0.519,30,70
35380,-0.331,-0.37,0.858,-0.145,0.405,-0.45,30,70
35423,-0.33,-0.363,0.858,0.083,-0.107,-0.229,30,70
35465,-0.327,-0.365,0.861,0.061,0.595,-0.176,30,70
35508,-0.368,-0.382,0.852,-0.481,0.275,-0.741,30,70
35551,-0.329,-0.364,0.85,-1.601,-0.412,-0.282,30,70
35597,-0.326,-0.418,0.851,-0.092,0.344,-0.282,30,70
35639,-0.327,-0.356,0.851,0.115,0.626,-0.305,30,70
35682,-0.236,-0.369,0.861,0.376,0.755,0.603,30,70
35725,-0.329,-0.364,0.752,-0.745,0.412,-1.722,30,70
35768,-0.329,-0.365,0.858,-0.295,0.091,-0.214,30,70
35811,-0.322,-0.365,0.865,0.115,0.626,0.0,30,70
35854,-0.339,-0.355,0.873,-0.046,0.336,-0.191,30,70
35896,-0.328,-0.344,0.872,-0.405,0.466,-0.618,30,70
35939,-0.326,-0.363,0.864,-0.223,0.42,-0.275,30,70
35985,-0.332,-0.42,0.795,-0.076,-0.677,-0.0,30,71
36028,-0.396,-0.416,0.85,-0.344,0.008,-0.115,30,70
36071,-0.329,-0.364,0.86,-0.55,-0.069,-0.115,30,71
36114,-0.328,-0.252,0.863,-0.542,-0.023,-0.229,30,71
36157,-0.327,-0.253,0.849,-0.641,-0.023,-0.015,30,72
36200,-0.44,-0.464,0.859,-0.466,-0.092,-0.298,30,70
36243,-0.2,-0.364,0.86,-0.389,0.473,0.933,30,72
36286,-0.332,-0.363,0.855,-0.22,0.298,-0.298,30,71
36372,-0.33,-0.187,0.858,-0.496,0.427,-0.237,30,72
36418,-0.338,-0.357,0.854,-0.58,-0.023,-0.636,30,71
36461,-0.33,-0.349,0.844,-0.634,-0.069,-0.249,30,71
36504,-0.339,-0.364,0.871,-0.649,-0.122,-1.443,30,70
36547,-0.331,-0.367,0.859,-0.71,-0.26,-0.443,30,71
36590,-0.328,-0.366,0.859,-0.018,0.534,0.214,30,71
36633,-0.34,-0.377,0.812,-0.458,0.641,-0.55,30,71
36676,-0.328,-0.351,0.868,-0.809,-0.817,-0.511,30,72
36719,-0.324,-0.372,0.859,-0.733,0.0,-0.168,30,72
36762,-0.307,-0.356,0.848,-0.117,0.194,-0.244,30,71
36808,-0.514,-0.357,0.851,-0.679,-0.328,-0.466,14,35
36851,-0.328,-0.364,0.848,-0.725,-0.374,-1.205,30,70
36894,-0.346,-0.368,0.86,-0.763,-0.978,-1.6,30,72
36938,-0.321,-0.367,0.993,-0.359,1.271,-0.26,30,72
36981,-0.33,-0.365,0.858,0.99,1.211,0.077,30,72
37024,-0.328,-0.483,0.851,-0.015,0.305,-0.496,30,72
37067,-0.26,-0.252,0.859,-0.336,-0.321,-0.664,30,72
37110,-0.325,-0.364,0.765,-0.023,0.275,-0.436,30,72
37153,-0.332,-0.363,0.85,-0.168,0.237,-0.789,30,71
37199,-0.331,-0.364,0.98,-0.109,1.198,-0.641,30,72
