Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
41257,-0.117,-1.013,0.234,0.939,2.483,2.728,63,0
41310,-0.073,-0.996,0.128,1.725,-11.55,7.063,65,0
41360,-0.078,-0.997,0.124,2.779,0.87,2.869,60,168
41410,-0.086,-1.026,0.12,0.641,2.725,4.855,60,164
41460,-0.112,-0.983,0.191,1.649,-3.257,2.962,56,164
41510,-0.046,-0.997,0.16,2.71,-11.275,4.153,63,174
41561,-0.043,-0.98,0.14,2.542,-13.588,9.282,58,162
41614,-0.035,-0.963,0.152,3.794,0.611,9.885,57,163
41664,-0.055,-0.984,0.153,6.237,2.603,5.359,59,166
41713,-0.081,-1.004,0.148,3.29,-6.427,-2.84,61,162
41765,-0.065,-1.0,0.118,1.847,-8.931,-7.252,58,0
41816,-0.073,-0.979,0.131,0.473,4.717,-4.176,61,162
41866,-0.12,-1.15,0.166,-1.311,1.405,0.16,54,162
41916,-0.116,-0.999,0.188,-1.435,-11.55,3.565,58,161
41966,-0.06,-0.996,0.157,-1.672,-3.542,5.298,56,164
42016,-0.063,-0.993,0.168,0.053,-1.95,8.115,59,162
42068,-0.067,-0.997,0.167,0.296,-0.109,8.206,59,165
42119,-0.058,-0.995,0.166,0.855,2.008,5.771,56,163
42169,-0.083,-0.804,0.189,1.023,-3.901,3.603,65,163
42219,-0.048,-0.992,0.148,2.115,6.084,7.275,65,164
42270,-0.068,-1.0,0.15,2.0,4.069,0.908,63,176
42319,-0.115,-0.949,0.217,0.527,1.702,-0.038,60,162
42370,-0.081,-0.886,0.151,1.581,0.835,-0.305,62,163
42420,-0.162,-0.982,0.167,-1.486,1.916,-0.175,57,162
42470,-0.095,-1.201,0.167,0.534,6.634,0.359,28,49
42530,-0.11,-0.981,0.093,0.809,3.145,0.015,56,162
42579,-0.099,-0.982,0.169,-0.605,-1.695,1.652,59,164
42630,-0.067,-0.994,0.159,0.385,3.351,3.294,61,163
42681,-0.113,-0.994,0.186,-1.677,1.023,0.718,58,168
42731,-0.096,-1.041,0.165,-3.583,-3.565,-0.588,54,166
42780,-0.098,-0.993,0.236,-1.206,-4.061,-0.13,62,164
42832,-0.094,-0.997,0.159,-0.969,-1.253,0.794,59,0
42883,-0.115,-0.996,0.181,-1.626,-6.053,0.001,54,164
42933,-0.098,-0.975,0.188,-1.351,-7.122,2.194,60,164
42986,-0.06,-0.996,0.153,-1.137,-8.84,4.221,60,166
43036,-0.073,-0.995,0.166,1.234,-1.81,3.817,63,165
43086,-0.081,-1.015,0.152,-0.8,-4.389,3.298,57,166
43137,-0.078,-1.127,0.032,-1.008,-6.824,-2.816,54,167
43187,-0.075,-1.047,0.114,-1.06,-3.282,3.145,56,166
43237,-0.074,-1.017,0.166,-0.641,-5.634,3.687,57,166
43287,-0.063,-0.98,0.157,-1.084,-4.154,3.939,55,169
43337,-0.083,-1.03,0.137,-0.582,-3.753,3.733,57,167
43387,-0.064,-0.959,0.204,-0.639,-3.603,2.256,59,165
43441,-0.073,-1.0,0.165,-0.67,-2.99,0.863,56,169
43491,-0.076,-0.916,0.165,0.412,-0.294,0.031,60,170
43543,-0.073,-0.982,0.152,-0.064,3.725,0.443,60,0
43593,-0.104,-0.987,0.183,-0.743,1.435,0.718,59,167
43643,-0.103,-0.997,0.165,-0.356,-2.384,-0.74,58,169
43696,-0.047,-0.879,0.148,1.438,2.188,0.656,63,0
43748,-0.114,-1.016,0.15,-0.962,-3.346,0.215,57,0
43843,-0.079,-0.884,0.153,0.908,-3.496,5.503,61,0
43895,-0.091,-0.983,0.176,-1.031,-2.556,3.0,58,0
43950,-0.068,-0.858,0.146,1.502,-3.733,3.176,61,0
44001,-0.079,-0.881,0.181,0.856,2.109,3.359,60,171
44053,-0.066,-1.174,0.157,-2.47,-8.829,2.916,51,0
44102,-0.082,-0.995,0.169,-0.725,-2.422,3.626,57,161
44154,-0.064,-0.994,0.163,-0.537,3.107,1.491,57,0
44207,-0.081,-0.998,0.272,-0.855,2.099,2.958,61,0
44259,-0.068,-0.982,0.154,-0.954,-1.272,0.641,57,0
44311,-0.071,-0.993,0.162,-0.599,1.237,1.346,56,0
44363,-0.096,-0.998,0.169,0.469,0.71,-0.931,60,0
44419,-0.171,-0.98,0.151,-0.589,2.084,-0.565,55,0
44471,-0.101,-1.005,0.156,-0.06,1.188,0.901,62,0
44523,-0.008,-0.977,0.257,-0.134,2.003,2.944,61,0
44573,0.059,-0.976,0.16,-1.71,3.882,6.248,64,169
44624,-0.184,-1.004,0.166,-0.704,-4.176,3.122,55,171
44677,-0.071,-0.98,0.161,-0.56,-2.244,3.226,58,0
44729,-0.3,-0.996,0.169,-1.26,-6.242,3.16,28,5
44779,-0.067,-0.997,0.156,0.263,-4.519,3.221,59,160
44831,-0.073,-0.993,0.164,0.272,-4.542,3.672,58,0
44887,-0.077,-0.994,0.155,0.215,-1.481,3.939,58,0
44939,-0.068,-0.992,0.168,0.36,0.77,2.954,63,0
44991,-0.083,-0.996,0.167,-0.058,-3.808,1.572,55,0
45043,-0.07,-0.993,0.156,0.802,-5.292,-2.0,53,0
45095,-0.083,-0.993,0.158,0.603,-3.314,0.78,57,0
45148,-0.175,-0.978,0.166,-0.348,-3.969,-1.496,54,0
45200,-0.072,-0.974,0.156,0.481,0.611,3.344,57,0
