Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
47144,0.045,-1.009,0.174,-19.824,26.511,-4.069,1,179
47205,-0.04,-0.893,0.216,-22.916,-5.71,-19.336,0,0
47252,-0.067,-0.891,0.116,-27.771,0.388,-24.863,0,0
47296,-0.093,-0.983,0.134,-34.802,9.528,-35.015,0,168
47348,-0.099,-0.966,0.171,-30.641,29.755,-40.427,57,0
47386,-0.203,-0.931,0.201,-33.542,22.13,-41.45,57,0
47447,-0.264,-0.951,0.263,-33.275,-16.037,-38.206,0,0
47497,-0.289,-1.012,0.254,-22.786,-20.511,-34.809,1,1
47543,-0.243,-1.106,0.208,-16.275,-32.855,-32.092,3,3
47589,-0.181,-1.334,0.167,-4.832,-20.198,-20.626,3,2
47636,-0.172,-1.418,0.128,17.634,-0.197,-9.719,0,0
47682,-0.01,-0.927,0.094,43.13,48.672,38.664,0,0
47728,-0.191,-0.809,0.198,38.45,76.366,82.458,0,0
47774,-0.458,-1.068,0.313,25.656,-14.611,86.603,0,0
47821,-0.235,-1.097,0.059,39.878,-91.763,78.405,2,2
47881,-0.045,-1.167,-0.04,42.336,-70.405,66.0,0,0
47931,-0.099,-0.942,0.016,44.153,-10.198,57.733,0,0
47977,-0.147,-0.896,0.055,42.733,5.001,59.458,0,0
48023,-0.187,-0.842,0.092,33.153,1.837,72.931,0,0
48066,-0.206,-0.831,0.099,21.931,-0.672,77.229,0,144
48123,-0.194,-0.889,0.091,11.588,0.782,65.588,1,141
48179,-0.209,-1.015,0.148,8.704,8.584,25.168,1,123
48235,-0.204,-1.252,0.125,-7.702,9.987,-32.832,0,125
48291,-0.206,-1.101,0.214,-26.573,43.664,-77.87,0,131
48350,-0.152,-0.93,0.264,-27.58,32.916,-69.664,0,155
48409,-0.116,-1.072,0.252,-10.557,7.471,-48.153,0,133
48470,0.003,-0.976,0.212,-9.802,60.489,-37.534,2,1
48516,-0.211,-0.955,0.213,-8.282,77.061,-34.786,0,0
48563,-0.281,-0.849,0.255,-6.733,59.931,-45.908,0,0
48609,-0.333,-0.783,0.257,-15.832,24.321,-64.649,0,0
48655,-0.224,-0.786,0.177,-12.542,12.825,-70.573,1,2
48702,-0.287,-0.852,0.253,-19.237,-4.804,-71.061,0,0
48748,-0.238,-1.099,0.219,-11.42,-9.669,-67.511,0,0
48795,-0.105,-1.183,0.164,-1.859,36.885,-51.962,0,0
48862,-0.246,-1.277,0.299,-4.595,70.237,-25.824,0,0
48908,-0.303,-1.374,0.326,13.84,24.802,18.786,1,1
48955,-0.094,-0.912,0.175,28.855,-4.087,71.29,0,0
49001,-0.267,-0.849,0.26,24.16,-4.674,116.87,0,0
49048,-0.34,-1.114,0.172,22.725,-69.87,126.84,0,0
49094,-0.149,-1.1,-0.04,32.557,-93.16,116.198,0,0
49139,-0.125,-0.995,-0.042,26.435,-65.718,88.931,0,168
49198,-0.051,-1.117,-0.099,31.183,-35.626,67.473,0,169
49256,-0.092,-0.822,0.039,34.237,5.766,59.55,0,164
49318,-0.201,-0.819,-0.035,13.435,26.008,51.008,0,183
49376,-0.272,-0.81,0.197,-4.985,-11.092,29.191,0,144
49434,-0.214,-0.842,0.181,-16.183,-36.893,24.474,2,154
49492,-0.211,-1.253,0.236,-29.0,-37.466,-46.328,0,173
49553,-0.277,-1.142,0.302,-35.023,-19.634,-75.908,0,195
49614,-0.207,-1.025,0.37,-35.763,-10.982,-81.115,0,0
49674,-0.139,-0.96,0.243,-5.702,1.885,-44.954,0,187
49777,-0.191,-1.007,0.19,-5.985,62.672,-35.817,0,200
49838,-0.259,-0.879,0.218,-11.71,33.198,-33.344,0,0
49888,-0.335,-0.792,0.275,-22.305,-18.046,-42.29,0,0
49934,-0.258,-0.785,0.227,-22.053,-52.962,-45.695,0,0
49981,-0.234,-0.845,0.256,-22.931,-70.015,-37.847,0,1
50028,-0.109,-0.916,0.211,-10.595,-55.565,-26.992,1,2
50074,-0.132,-1.024,0.206,-5.473,-27.473,-14.534,1,1
50121,-0.2,-1.102,0.233,-3.618,-35.344,-37.5,0,0
50168,-0.201,-1.157,0.257,-0.622,-39.244,28.779,0,0
50214,-0.233,-1.328,0.217,7.626,-55.489,36.519,0,0
50265,-0.102,-1.129,0.151,30.557,-59.74,50.916,1,1
50312,-0.248,-1.061,0.026,35.847,-64.763,77.221,0,0
50358,-0.182,-1.22,-0.065,33.13,-76.962,93.229,0,0
50405,-0.102,-1.067,-0.107,25.153,-79.26,103.107,0,0
50452,-0.101,-0.978,-0.072,12.794,-67.328,106.359,0,0
50499,-0.172,-0.981,-0.013,4.013,-68.382,96.672,0,0
50545,-0.092,-0.927,-0.059,9.664,-61.466,74.046,1,1
50592,-0.103,-0.809,-0.02,-3.526,-48.183,53.267,0,0
50639,-0.142,-0.779,0.028,-8.198,-36.069,35.84,0,0
50706,-0.158,-0.895,0.075,-12.786,-32.16,4.54,0,0
50753,-0.135,-1.123,0.105,-18.122,-21.443,-21.237,0,0
50800,-0.195,-1.337,0.173,-31.985,-8.977,-57.565,0,0
50847,-0.107,-1.285,0.282,-49.733,-9.511,-74.214,2,2
50894,-0.135,-1.007,0.381,-46.427,-18.603,-60.099,0,0
50940,-0.04,-0.89,0.31,-25.313,-28.634,-20.962,1,1
50988,0.007,-1.064,0.217,-5.405,-27.013,-11.071,0,0
51035,-0.008,-1.07,0.117,1.544,42.504,-3.425,0,0
51082,-0.094,-0.891,0.157,12.328,70.634,-4.831,1,1
51131,-0.192,-0.742,0.096,7.939,71.901,-21.095,0,0
51178,-0.251,-0.757,0.183,15.96,52.55,-17.153,3,3
51225,-0.31,-0.841,0.191,-9.855,18.026,-37.206,1,1
51272,-0.299,-0.891,0.209,-18.588,-25.802,-57.649,0,0
51319,-0.267,-1.035,0.207,-23.878,-57.145,-66.046,0,0
51365,-0.095,-0.947,0.245,-18.74,-50.412,-48.046,2,2
51412,-0.082,-1.032,0.171,-17.779,-20.611,-0.825,0,0
51460,-0.181,-1.135,0.285,-18.069,-1.556,29.298,0,0
51507,-0.235,-1.361,0.272,-10.435,-29.786,46.779,2,2
51574,-0.181,-1.197,0.173,13.679,-37.779,50.534,1,1
51621,-0.234,-0.923,0.1,17.496,-58.099,66.672,0,0
51668,-0.215,-1.072,-0.025,17.893,-91.733,67.886,0,0
51716,-0.101,-1.062,-0.154,21.023,-103.901,66.695,0,0
51763,-0.026,-0.988,-0.157,18.664,-76.855,63.107,1,1
51810,0.015,-1.09,-0.148,24.687,-26.901,61.443,0,0
51857,-0.083,-0.901,-0.035,21.779,21.68,53.252,1,1
51904,-0.223,-0.887,0.043,2.232,-3.196,40.137,0,0
51950,-0.233,-0.934,0.083,-3.814,-7.876,22.183,0,0
52000,-0.199,-0.858,0.104,-5.298,-14.649,-3.82,0,0
52047,-0.085,-0.951,0.042,1.224,-11.344,4.114,1,1
52094,-0.094,-1.244,0.071,-5.099,-17.023,-20.237,0,0
52142,-0.126,-1.36,0.144,-11.771,38.672,-46.634,0,0
52246,-0.174,-0.698,0.43,-22.702,25.023,-50.969,0,0
52293,0.002,-0.951,0.199,0.379,-7.405,-11.969,0,0
52340,0.108,-1.054,0.022,9.74,62.786,-12.099,0,0
52387,-0.104,-0.898,0.182,6.143,107.626,-13.794,2,2
52434,-0.243,-0.8,0.218,4.98,82.595,-12.397,1,1
52485,-0.257,-0.801,0.218,-4.771,42.725,-23.611,0,0
52532,-0.198,-0.913,0.242,-8.733,54.948,-36.267,2,2
52579,-0.177,-0.901,0.076,-13.282,31.824,-39.84,0,0
52626,-0.191,-0.936,0.226,-18.252,44.473,-35.0,0,0
52673,-0.236,-1.05,0.281,-16.771,34.618,-26.313,0,0
52720,-0.256,-1.094,0.297,-16.527,13.661,-18.511,0,0
52767,-0.124,-1.187,0.201,-10.786,19.329,-5.411,0,0
52814,-0.208,-1.259,0.243,-6.473,36.359,3.77,0,0
52861,-0.298,-1.351,0.262,16.684,31.985,14.944,2,2
52929,-0.137,-0.76,0.198,21.206,8.879,20.443,0,0
52977,-0.303,-1.091,0.195,15.542,-23.588,43.885,0,0
53024,-0.208,-1.132,0.067,28.351,-63.252,39.031,1,1
53071,-0.027,-0.93,-0.028,30.0,-43.237,41.809,0,0
53118,-0.065,-0.929,-0.006,26.405,-8.508,50.603,0,0
53166,-0.1,-0.879,0.038,26.374,-7.243,57.504,0,0
53213,-0.073,-0.912,0.018,25.099,20.763,60.58,0,0
53260,-0.098,-0.887,0.049,17.878,30.115,58.031,0,0
53307,-0.137,-0.893,0.075,14.504,36.412,48.42,0,0
53358,-0.087,-1.034,0.136,9.489,36.107,23.489,1,1
53405,-0.201,-1.192,0.171,10.458,41.817,-14.16,0,0
53458,-0.189,-1.407,0.216,6.977,49.344,-63.893,0,0
53505,-0.151,-0.955,0.274,-2.071,53.832,-86.214,0,0
53551,-0.06,-0.787,0.238,3.761,61.305,-41.55,0,0
53597,-0.105,-1.022,0.086,15.244,60.939,-14.435,0,0
53643,-0.047,-0.916,0.027,15.893,95.405,-22.122,0,0
53689,-0.196,-0.801,0.106,6.885,111.115,-7.378,0,0
53735,-0.285,-0.801,0.19,-6.88,81.809,-19.305,0,0
53784,-0.253,-0.847,0.158,0.107,52.053,-37.954,0,0
53830,-0.211,-0.875,0.064,-8.603,46.718,-54.183,0,0
53876,-0.211,-0.935,0.141,-15.878,52.557,-58.908,0,0
