Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35898,-0.271,-0.996,0.025,-0.872,-3.713,-7.009,0,0
35945,-0.291,-0.996,0.071,2.145,8.511,-9.0,0,0
35991,-0.306,-0.996,0.098,6.603,-6.08,-5.551,0,0
36037,-0.246,-0.943,0.075,12.13,-1.242,-2.206,0,0
36084,-0.258,-1.006,0.051,-3.19,-12.445,-6.26,0,0
36130,-0.203,-0.997,0.025,6.08,0.757,3.893,0,0
36176,-0.244,-0.927,0.121,1.304,4.532,6.324,0,0
36222,-0.22,-0.997,0.061,0.702,-3.675,0.63,0,0
36272,-0.24,-0.969,0.118,0.894,-10.196,-4.162,0,0
36319,-0.217,-0.966,0.067,1.442,-9.277,-5.768,0,0
36365,-0.243,-0.962,0.111,0.376,5.573,-2.389,0,0
36411,-0.237,-0.999,0.078,0.538,2.904,-3.845,0,0
36457,-0.251,-0.951,0.1,4.878,9.802,-5.294,0,0
36504,-0.278,-0.943,0.09,-0.679,0.747,-7.39,0,0
36550,-0.251,-0.955,0.151,1.704,8.656,-2.837,0,0
36596,-0.286,-1.022,0.136,-1.826,3.443,-8.916,0,0
36643,-0.294,-1.012,0.087,1.307,4.581,-8.718,0,0
36692,-0.312,-0.896,0.203,-0.23,7.665,-8.359,0,0
36739,-0.287,-0.883,0.18,4.459,-1.501,-1.331,1,1
36785,-0.277,-0.918,0.124,1.611,-6.175,-6.862,0,0
36832,-0.228,-0.903,0.16,1.173,4.95,-9.282,1,1
36878,-0.216,-0.891,0.125,2.842,11.911,-2.653,0,0
36925,-0.269,-0.892,0.143,-2.885,15.26,-8.046,0,0
36971,-0.287,-0.91,0.129,0.598,13.588,-9.45,0,0
37018,-0.293,-0.897,0.144,-2.331,7.686,-15.0,0,0
37064,-0.231,-0.902,0.104,-4.918,8.77,-15.771,0,0
37131,-0.236,-0.867,0.147,-5.58,23.145,-13.382,1,1
37178,-0.359,-1.105,0.137,-9.748,17.595,-22.58,0,0
37224,-0.391,-1.211,0.129,-5.085,-3.484,-33.634,0,0
37271,-0.361,-1.169,0.143,-5.999,-22.708,-31.458,0,0
37318,-0.187,-1.03,0.063,-2.371,-16.945,6.217,1,1
37364,-0.163,-0.855,0.057,0.132,-0.297,20.069,0,0
37411,-0.171,-0.89,0.01,-0.692,2.963,40.977,0,0
37457,-0.247,-1.061,0.004,2.339,-0.375,46.267,0,0
37505,-0.294,-1.141,0.014,2.621,-26.679,36.55,0,0
37554,-0.248,-1.012,-0.043,-1.432,-51.58,22.26,0,0
37601,-0.152,-0.954,-0.113,1.891,-43.511,17.954,0,0
37647,-0.196,-0.896,-0.055,2.909,-23.79,6.345,0,0
37694,-0.205,-0.921,-0.03,5.375,-13.26,11.076,0,0
37741,-0.23,-0.928,-0.013,6.557,-20.377,6.058,0,0
37787,-0.197,-0.923,-0.029,2.896,-14.866,3.311,0,0
37834,-0.189,-0.91,-0.002,1.392,-7.16,0.692,0,0
37880,-0.248,-1.028,0.023,5.221,4.425,-8.074,0,0
37927,-0.245,-1.085,0.021,6.303,10.565,-14.885,0,0
37975,-0.311,-1.227,0.125,-0.386,16.168,-25.321,0,0
38024,-0.28,-1.354,0.048,-4.546,-2.364,-35.74,0,0
38071,-0.272,-0.983,0.149,13.756,8.466,-44.962,0,0
38118,-0.193,-0.677,0.167,7.326,-18.22,-20.901,0,0
38164,0.022,-0.839,0.021,11.511,-14.798,17.115,0,0
38211,0.083,-1.067,-0.106,20.847,41.71,25.0,0,0
38315,-0.272,-0.999,0.131,0.258,77.962,-2.564,0,0
38362,-0.317,-0.761,0.234,5.119,13.237,-7.33,0,0
38408,-0.205,-0.781,0.128,0.142,-4.298,-8.267,0,0
38455,-0.208,-0.844,0.043,1.843,15.939,-8.107,0,0
38522,-0.309,-0.947,0.114,-6.728,18.183,-10.908,0,0
38569,-0.377,-1.047,0.144,-3.804,-6.876,-17.344,0,0
38616,-0.361,-1.114,0.174,-0.653,-4.779,-20.069,1,1
38663,-0.312,-1.29,0.09,-2.758,-3.303,-19.321,0,0
38710,-0.292,-1.24,0.038,-2.801,9.679,-14.855,0,0
38757,-0.277,-1.034,0.061,3.092,19.672,4.16,0,0
38803,-0.311,-0.752,0.144,-4.85,0.884,24.435,0,0
38850,-0.318,-1.034,0.071,-2.352,-30.649,32.45,0,0
38897,-0.276,-1.095,-0.011,7.833,-55.45,25.046,0,0
38947,-0.182,-0.985,-0.074,-0.255,-57.656,22.183,0,0
38994,-0.192,-0.905,-0.064,-2.433,-36.42,27.435,0,0
39042,-0.163,-0.885,-0.071,-5.84,-36.168,36.298,0,0
39089,-0.182,-0.861,-0.051,-7.625,-26.111,37.603,0,0
39136,-0.199,-0.863,-0.005,-9.328,-9.609,26.901,0,0
39183,-0.178,-0.827,0.014,-1.592,-11.34,13.954,0,0
39230,-0.192,-0.912,0.062,3.272,-2.652,11.827,1,1
39276,-0.23,-1.131,0.014,1.47,-2.101,-11.439,0,0
39323,-0.287,-1.392,0.059,4.25,10.412,-28.237,0,0
39391,-0.305,-1.302,0.062,0.876,13.29,-48.641,0,0
39438,-0.193,-1.005,0.122,-0.671,-4.812,-51.275,0,0
39485,-0.125,-0.655,0.153,13.618,20.58,-28.847,0,0
39532,-0.195,-0.777,0.081,-0.098,27.183,-7.916,5,5
39579,-0.245,-0.952,0.121,-3.144,15.412,-1.163,0,0
39626,-0.159,-1.013,0.059,-2.648,-0.09,10.134,0,0
39673,-0.095,-0.794,0.058,2.91,29.504,1.936,0,0
39720,-0.276,-0.847,0.123,-7.507,41.794,-9.153,0,0
39768,-0.299,-0.812,0.167,4.727,24.221,-13.321,0,0
39818,-0.332,-0.834,0.192,-1.88,-0.872,-19.344,0,0
39865,-0.288,-0.966,0.108,-10.382,-12.552,-22.824,0,0
39912,-0.286,-0.933,0.104,-4.75,4.277,-17.802,1,1
39959,-0.321,-1.061,0.137,-8.145,9.65,-13.733,1,1
40006,-0.338,-1.168,0.091,-5.139,9.748,-13.947,0,0
40053,-0.381,-1.224,0.128,-2.252,8.604,-15.954,0,0
40101,-0.4,-1.137,0.103,5.382,-11.515,-11.188,0,0
40148,-0.242,-0.755,0.062,10.55,-17.424,25.626,0,0
40196,-0.356,-1.081,0.098,0.1,-38.023,42.374,1,1
40263,-0.149,-1.187,-0.156,11.725,-51.534,59.313,0,0
40310,-0.158,-0.89,-0.08,3.747,-13.377,59.298,1,3
40357,-0.221,-0.969,-0.05,-3.178,-16.835,57.557,0,0
40406,-0.292,-0.915,-0.01,-5.509,-33.679,48.382,5,5
40451,-0.148,-0.794,-0.066,-9.74,-39.847,39.344,0,175
40512,-0.132,-0.794,-0.071,-1.652,-2.383,28.458,1,195
40571,-0.181,-0.905,0.003,-0.393,4.067,15.307,1,174
40633,-0.269,-1.143,0.019,3.346,0.545,-31.924,1,0
40680,-0.313,-1.334,0.07,2.369,4.829,-73.908,1,2
40748,-0.325,-1.186,0.128,6.234,12.038,-81.344,0,1
40852,-0.136,-0.738,0.125,9.52,-5.363,-32.046,1,3
40900,-0.057,-1.084,-0.031,1.21,45.244,-0.743,0,0
40947,-0.189,-0.968,0.103,5.858,82.122,13.428,1,1
40994,-0.337,-0.863,0.201,-8.542,59.855,6.536,0,0
