Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35898,-0.242,-0.965,0.052,2.722,-0.636,-3.868,0,0
35945,-0.291,-0.868,0.182,16.576,8.511,0.638,2,2
35991,-0.306,-0.996,0.139,11.31,-2.318,-2.493,1,1
36037,-0.254,-0.971,0.051,12.13,-4.286,-4.681,0,0
36084,-0.255,-0.972,0.082,2.468,-8.38,-2.376,0,0
36130,-0.203,-0.997,0.025,22.905,14.462,16.241,4,4
36176,-0.243,-0.916,0.131,1.777,5.339,6.897,0,0
36222,-0.275,-0.997,-0.109,-6.992,-17.726,-10.849,5,5
36272,-0.243,-0.973,0.114,0.785,-10.732,-4.525,0,0
36319,-0.171,-0.91,0.117,2.562,-3.93,-2.639,1,1
36365,-0.232,-0.95,0.123,0.622,6.364,-1.917,1,1
36411,-0.283,-1.049,0.028,-0.832,-1.216,-6.496,0,0
36457,-0.24,-0.939,0.114,5.256,9.802,-4.468,0,0
36504,-0.208,-0.859,0.178,2.232,10.368,-0.163,1,1
36550,-0.226,-0.928,0.179,2.411,8.656,-1.102,1,1
36596,-0.286,-1.022,0.161,-1.191,6.094,-8.916,0,0
36643,-0.164,-0.881,0.242,5.639,17.825,-8.718,3,3
36692,-0.312,-0.906,0.19,-0.853,5.819,-8.359,0,0
36739,-0.287,-0.941,0.103,2.08,-7.663,-10.661,0,0
36785,-0.277,-0.961,0.068,0.129,-9.971,-12.453,0,0
36832,-0.394,-1.057,-0.038,-5.309,-15.454,-9.282,0,0
36878,-0.206,-0.88,0.136,2.862,11.654,-2.884,1,1
36925,-0.338,-0.958,0.064,-4.847,15.26,-8.046,0,0
36971,-0.287,-0.866,0.181,2.273,13.588,-9.45,2,2
37018,-0.293,-0.974,0.05,-5.458,1.733,-15.0,0,0
37064,-0.277,-0.971,0.032,-6.852,7.308,-15.771,0,0
37131,-0.278,-1.005,0.032,-6.612,23.145,-13.382,0,0
37178,-0.359,-1.105,0.066,-9.748,17.595,-22.58,0,0
37224,-0.391,-1.211,0.147,-4.883,-1.415,-33.634,0,0
37271,-0.361,-1.169,0.046,-8.303,-34.175,-31.458,0,0
37318,-0.193,-1.03,0.049,-3.227,-21.029,-0.539,0,0
37364,-0.163,-1.006,-0.058,-4.541,-17.669,20.069,0,0
37411,-0.19,-0.915,0.01,-1.255,1.183,40.977,0,0
37457,-0.286,-1.061,0.004,1.458,-3.225,46.267,0,0
37505,-0.294,-1.141,0.014,-0.613,-26.679,36.55,0,0
37554,-0.18,-1.012,-0.043,1.401,-51.58,22.26,2,2
37601,-0.152,-1.006,-0.113,0.016,-43.511,17.954,0,0
37647,-0.135,-0.836,-0.055,6.964,-13.948,18.304,1,1
37694,-0.25,-0.959,-0.03,2.193,-23.329,4.209,0,0
37741,-0.184,-0.889,-0.013,10.041,-10.009,11.143,1,1
37787,-0.215,-0.941,-0.029,1.539,-18.187,1.652,0,0
37834,-0.133,-0.85,-0.002,6.138,2.315,6.948,2,2
37880,-0.217,-1.028,0.023,7.15,9.908,-3.354,1,1
