Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32316,-0.136,-0.953,0.157,12.141,9.283,-1.466,85,62
32363,-0.065,-0.862,0.256,17.491,14.56,4.157,119,62
32409,-0.178,-0.966,0.153,3.999,-5.613,-7.72,85,62
32454,-0.141,-0.966,0.143,3.442,-7.271,-4.95,75,63
32499,-0.222,-1.057,0.043,-0.912,-7.035,-12.051,75,61
32544,-0.205,-1.035,0.086,-1.465,-0.104,-8.231,75,62
32589,-0.227,-1.034,0.094,-0.82,-0.927,-5.487,75,61
32636,-0.109,-0.923,0.208,4.284,-0.248,2.132,74,64
32681,-0.115,-0.933,0.197,3.496,1.102,1.283,75,65
32727,-0.182,-1.007,0.132,1.632,-0.281,-1.906,74,65
32772,-0.132,-0.954,0.19,1.648,-2.111,-0.846,74,66
32817,-0.212,-1.052,0.05,-0.586,-6.321,-2.618,74,66
32870,-0.098,-0.921,0.222,0.762,3.02,4.032,83,0
32916,-0.16,-0.983,0.175,0.907,-7.409,1.928,81,66
32961,-0.121,-0.976,0.166,1.92,-6.859,2.659,81,65
33007,-0.162,-1.0,0.139,1.408,-4.225,1.205,79,64
33052,-0.187,-1.026,0.117,0.926,-4.862,1.448,77,64
33100,-0.172,-1.01,0.117,1.702,-1.779,2.223,77,62
33146,0.015,-0.843,0.305,10.498,3.739,16.016,85,69
33191,-0.119,-0.957,0.174,4.019,1.994,4.997,79,66
33236,-0.153,-0.979,0.177,1.006,-2.076,2.182,79,65
33282,-0.109,-0.958,0.197,2.283,-3.982,-0.162,80,66
33328,-0.074,-0.905,0.209,2.827,-0.345,0.769,81,68
33373,-0.073,-0.902,0.231,3.271,2.716,1.091,82,67
33419,-0.233,-1.062,0.08,-0.405,-1.955,-1.895,75,62
33464,-0.111,-0.937,0.195,2.309,2.634,-0.045,80,67
33512,-0.199,-1.01,0.129,-0.491,0.843,0.161,77,64
33558,-0.055,-0.9,0.249,1.825,4.54,2.226,83,69
33603,-0.093,-0.918,0.232,0.882,4.468,1.3,82,67
33648,-0.09,-0.908,0.251,0.078,5.02,0.788,82,68
33694,-0.175,-1.006,0.141,0.023,-0.402,-3.88,78,64
33739,-0.154,-0.97,0.18,0.055,3.076,-2.817,79,66
33785,-0.271,-1.074,0.077,-1.627,-2.54,-8.882,75,62
33830,-0.1,-0.931,0.209,1.995,0.118,-0.694,81,67
33876,-0.202,-1.009,0.135,0.14,1.283,-3.106,77,64
33925,-0.159,-0.958,0.194,1.031,0.022,-0.895,80,67
33971,-0.177,-0.984,0.15,0.586,-4.138,-1.358,78,65
34016,-0.267,-1.079,0.041,-2.289,-7.629,-2.462,74,62
34062,-0.222,-1.056,0.084,-0.671,-6.474,-0.837,76,63
34107,-0.103,-0.925,0.22,1.051,1.902,5.856,81,67
34153,-0.173,-1.001,0.149,-0.437,-2.345,2.41,78,65
34198,-0.152,-0.972,0.188,0.642,-3.727,2.801,79,66
34244,-0.198,-1.046,0.086,-0.305,-5.889,-0.838,76,64
34290,-0.185,-1.022,0.112,-0.251,-2.299,0.864,77,65
34338,-0.11,-0.934,0.23,1.049,0.175,2.881,81,68
34384,-0.107,-0.948,0.21,1.033,-1.706,0.577,81,68
34429,-0.145,-0.973,0.153,-0.084,0.337,-1.311,79,67
34476,-0.152,-0.972,0.171,-0.32,1.526,-1.119,79,67
34522,-0.177,-1.001,0.14,-0.364,-2.016,-1.99,78,66
34568,-0.072,-0.903,0.248,0.59,0.636,0.3,82,71
34656,-0.195,-1.008,0.129,-0.787,1.815,-1.32,78,69
34710,-0.159,-0.972,0.188,-0.44,0.147,-0.554,81,0
34763,-0.129,-0.942,0.186,-0.498,-0.84,0.649,81,0
34820,-0.021,-0.846,0.321,1.566,2.364,3.799,86,0
34874,-0.168,-0.996,0.153,-0.379,0.561,1.109,80,0
34927,-0.071,-0.888,0.269,0.833,1.036,2.353,85,0
34982,-0.13,-0.961,0.194,-0.079,-1.003,0.87,112,0
35031,-0.105,-0.934,0.207,1.13,1.068,1.055,112,67
35079,-0.169,-0.992,0.131,0.363,2.301,-0.047,111,65
35126,-0.147,-0.956,0.193,0.244,2.391,-0.312,112,67
35174,-0.153,-0.98,0.147,-0.173,-0.775,-2.061,112,66
35221,-0.141,-0.966,0.176,-1.125,1.251,-1.664,113,67
35272,-0.191,-1.01,0.139,-2.033,-0.746,-3.165,112,66
35320,-0.206,-1.018,0.123,-2.327,-2.196,-4.041,112,67
35368,-0.073,-0.901,0.241,1.137,0.64,0.969,111,72
35417,-0.223,-1.025,0.101,-1.943,-1.801,-4.143,111,67
35463,-0.247,-1.058,0.089,-3.046,-4.581,-3.414,81,65
35510,-0.199,-1.027,0.093,-2.627,-5.005,-1.857,111,63
35558,-0.107,-0.918,0.201,0.011,2.175,0.725,110,67
35611,-0.103,-0.907,0.229,0.197,1.701,0.8,0,67
35664,-0.127,-0.941,0.2,-1.718,-2.988,-1.008,0,67
35723,-0.118,-0.949,0.197,-1.795,-2.833,-1.157,110,0
35771,-0.223,-1.043,0.08,-10.286,-8.485,-5.416,110,70
35819,-0.119,-0.949,0.183,-1.899,-1.597,-0.812,111,69
35872,-0.162,-0.984,0.125,-6.786,-3.4,-4.459,0,70
35920,-0.021,-0.831,0.277,7.68,3.207,5.099,110,74
35969,-0.149,-0.96,0.126,-8.13,-3.065,-5.354,110,70
36017,-0.2,-1.017,0.048,-15.559,-3.2,-11.706,110,68
36065,-0.157,-0.974,0.107,-8.008,3.363,-6.878,110,71
36116,-0.066,-0.917,0.162,-8.008,18.748,-1.391,106,74
36163,-0.116,-0.93,0.115,-8.542,18.99,-6.29,106,75
36218,-0.13,-1.008,0.042,-9.618,13.665,-12.109,104,0
36267,-0.071,-1.073,0.151,-3.727,25.773,-7.535,104,74
36316,0.057,-1.007,0.182,4.429,26.649,-8.839,103,84
36364,0.139,-0.841,0.276,17.809,41.84,31.55,105,77
36412,0.027,-1.371,-0.067,-4.819,77.817,-17.832,105,72
36465,-0.016,-1.035,-0.207,-6.767,122.366,-42.183,0,77
36519,-0.183,-0.524,0.06,-30.084,143.053,-53.374,0,83
36584,-0.259,-0.358,0.108,-8.321,97.725,-77.794,0,0
36638,-0.287,-0.633,0.085,-4.414,12.119,-35.084,0,92
36692,-0.196,-1.747,-0.189,12.344,11.403,-33.061,0,80
36748,0.134,-1.317,-0.203,48.527,33.397,-38.995,0,102
36796,0.043,-1.175,0.239,-10.0,-19.284,60.137,91,85
36843,0.217,-1.491,-0.263,-10.588,-50.191,62.427,86,86
36897,0.343,-1.34,-0.196,14.023,-38.771,69.427,193,93
36953,0.227,-1.234,-0.17,-11.115,-17.483,52.687,192,107
37009,0.034,-1.161,-0.05,-24.656,-14.368,1.856,190,117
37067,0.009,-1.16,-0.08,-14.329,-32.842,-3.491,188,118
37122,0.01,-1.057,-0.01,10.191,-22.842,0.654,187,92
37176,-0.008,-0.919,0.161,11.515,10.385,27.847,186,92
37273,-0.112,-1.058,0.114,10.076,-26.288,10.644,184,95
37327,-0.053,-0.93,0.144,20.389,-13.289,11.114,185,95
37382,-0.106,-0.906,0.151,11.305,-8.165,3.263,185,95
37435,-0.258,-0.878,-0.006,15.351,-22.109,-8.741,185,93
37489,-0.148,-0.888,0.182,8.799,-8.67,5.232,185,93
37543,-0.069,-0.932,0.117,17.817,-7.795,12.998,186,92
37601,-0.035,-0.911,0.125,18.565,-2.744,28.588,187,99
37655,-0.014,-0.899,0.1,23.496,32.066,35.618,189,91
37709,-0.15,-1.006,0.086,12.298,30.656,41.885,191,93
37765,-0.121,-0.955,0.092,3.181,12.838,43.687,195,95
37819,-0.162,-0.95,0.196,-2.564,11.334,38.618,0,88
37873,-0.262,-1.093,0.066,-6.633,-21.005,-28.879,0,81
37928,-0.21,-1.046,0.087,-1.569,1.294,-33.466,0,91
37983,-0.304,-1.187,0.009,2.808,28.687,-82.42,0,82
38047,-0.36,-1.081,0.038,9.868,36.427,-111.542,0,0
38100,-0.309,-0.78,0.077,-9.975,24.908,-87.84,0,71
38158,-0.312,-0.88,0.167,4.012,9.674,-60.908,0,136
38215,-0.349,-0.989,0.22,15.805,-33.198,-45.267,0,134
38273,-0.206,-1.098,-0.025,5.994,-27.499,-29.817,0,132
38330,-0.164,-1.024,-0.034,-2.408,25.046,-5.304,0,132
38387,-0.153,-0.894,0.052,-1.267,51.504,66.511,0,130
38445,-0.209,-1.028,0.121,-8.885,31.389,84.695,0,134
38498,-0.323,-1.046,0.211,-10.664,-17.995,69.008,0,66
38555,-0.265,-1.238,-0.093,-13.634,-72.229,47.664,5,21
38609,-0.13,-0.999,0.148,-11.298,-95.282,36.588,0,73
38669,-0.118,-1.011,-0.005,-4.461,-75.763,30.863,0,68
38721,0.038,-0.876,-0.009,4.78,-50.29,28.328,0,76
38774,-0.093,-0.954,0.15,1.247,-40.725,40.131,0,71
38827,-0.196,-1.037,0.007,-6.043,-37.176,-10.077,0,66
38880,-0.224,-1.079,0.127,-10.13,-37.886,-3.497,0,70
38935,-0.052,-0.878,0.145,-13.885,6.709,-0.314,111,0
38982,-0.197,-0.931,0.407,-25.901,11.304,-4.847,112,69
39032,-0.287,-1.112,0.362,-19.336,-32.275,-33.527,112,67
39086,-0.154,-0.951,0.263,3.251,-39.481,-30.931,0,67
39133,-0.03,-0.833,0.284,5.16,-6.501,8.941,111,67
39180,-0.09,-0.903,0.284,7.054,10.161,8.846,112,68
39235,-0.254,-1.033,0.226,2.238,-4.558,-24.053,113,0
39283,-0.253,-1.019,0.151,-3.382,-1.223,-29.511,115,65
39330,-0.148,-0.858,0.253,1.388,6.208,-25.901,116,63
39377,-0.333,-1.029,0.248,-4.906,-31.52,-40.915,116,62
39426,-0.192,-0.916,0.247,-1.624,-16.98,0.502,116,62
39484,-0.189,-0.965,0.233,-1.368,-30.0,10.873,116,0
39531,-0.106,-0.96,0.224,4.25,-33.13,43.473,116,61
39578,-0.034,-1.123,0.211,15.5,-37.084,57.275,117,61
