Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
27781,-0.21,-0.806,0.131,4.283,2.608,-14.598,72,174
27831,-0.195,-0.83,0.196,-0.742,-0.735,19.709,72,164
27884,-0.188,-0.969,0.191,-4.012,-6.092,17.064,73,0
27937,-0.162,-0.967,0.186,-1.587,-9.123,4.119,73,0
27988,0.055,-0.665,0.193,4.25,13.672,28.858,73,170
28040,-0.267,-1.071,0.196,-7.245,-16.611,7.821,73,175
28091,-0.1,-0.944,0.193,1.53,-4.968,11.623,73,175
28142,-0.327,-1.089,0.223,-13.879,-22.059,-6.95,72,123
28191,-0.154,-0.995,0.167,-3.961,-9.236,4.515,72,122
28239,-0.157,-0.973,0.186,-2.964,-3.917,3.749,72,120
28288,-0.25,-1.057,0.205,-6.509,-10.696,-0.051,72,122
28338,-0.146,-0.943,0.202,-1.04,-8.748,4.392,72,163
28387,-0.395,-1.179,0.185,-10.848,-54.501,-4.941,71,125
28435,-0.074,-0.915,0.18,0.365,-9.392,6.675,71,121
28487,-0.208,-1.053,0.072,-0.383,-26.01,-0.714,71,0
28536,-0.118,-1.028,0.069,0.959,-8.806,4.446,71,122
28587,-0.408,-1.162,-0.096,-3.815,-10.842,-6.92,71,108
28636,-0.186,-0.974,0.155,2.015,5.047,5.833,71,141
28686,-0.065,-0.856,0.301,2.373,3.29,6.862,71,160
28737,-0.311,-1.121,0.005,-4.014,-11.315,-7.363,71,162
28788,-0.13,-0.973,0.176,-1.142,-1.765,1.216,71,165
28838,-0.077,-0.883,0.191,-0.015,4.028,6.009,71,165
28889,-0.133,-0.931,0.189,-1.451,-3.869,4.767,71,142
28938,-0.184,-0.987,0.177,-1.428,-10.441,0.732,71,140
28988,-0.21,-1.03,0.119,-1.795,-8.198,-2.128,70,140
29041,-0.258,-1.082,0.034,1.287,0.198,-2.231,71,165
29092,-0.16,-0.963,0.211,2.52,8.58,3.451,71,165
29145,-0.09,-0.866,0.215,5.226,6.366,6.064,71,184
29196,-0.282,-1.075,0.183,-1.465,-13.619,-3.261,71,163
