Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
45759,-0.935,0.019,0.225,-1.286,0.237,-0.546,0,3
45808,-0.932,-0.023,0.26,-1.918,-8.71,-1.733,0,3
45856,-0.909,-0.015,0.28,-2.389,-6.817,1.779,0,3
45905,-0.943,-0.06,0.324,-1.924,-3.832,-1.634,0,3
45955,-0.914,-0.03,0.292,-0.702,0.103,1.58,0,3
46011,-0.929,-0.034,0.316,-1.0,3.374,-0.649,0,3
46059,-0.927,-0.032,0.282,0.115,1.41,-1.489,0,3
46108,-0.927,-0.006,0.27,-0.336,-0.159,-0.485,0,3
46160,-0.944,-0.023,0.284,-1.493,-3.45,0.977,0,3
46209,-0.925,-0.031,0.302,-3.313,-6.565,-1.565,0,3
46258,-0.906,0.006,0.265,-2.038,0.57,2.405,0,3
46306,-0.965,-0.046,0.343,-2.641,-3.198,-0.343,0,3
46355,-0.943,-0.011,0.318,-2.42,-14.977,-2.282,0,3
46404,-0.916,-0.03,0.279,-3.153,-7.527,-1.679,0,4
46453,-0.903,0.009,0.287,-4.168,-6.58,0.336,0,5
46503,-0.913,-0.022,0.317,-1.549,-9.695,-2.107,0,29
46554,-0.907,-0.025,0.363,0.115,-11.389,-5.374,0,29
46606,-0.891,-0.013,0.339,2.198,-1.832,-1.282,0,11
46643,-0.933,-0.03,0.321,-0.641,0.637,-0.626,0,33
46693,-0.919,-0.024,0.309,-1.939,1.363,-0.19,0,33
46742,-0.92,-0.028,0.341,-3.382,-4.13,-0.643,0,10
46778,-0.901,-0.037,0.33,-3.863,-2.893,0.618,0,9
46827,-0.894,-0.03,0.333,-2.374,1.962,1.504,0,10
46864,-0.899,-0.024,0.332,-2.053,7.252,3.542,0,31
46914,-0.9,-0.015,0.325,-2.282,6.397,2.809,0,34
46965,-0.932,-0.013,0.347,0.237,1.331,-0.748,0,33
47019,-0.912,-0.025,0.331,-1.715,1.702,-0.87,0,33
47068,-0.92,-0.025,0.321,-1.737,-0.654,-0.885,0,5
47117,-0.91,-0.031,0.311,-2.359,-0.072,-1.794,0,5
47166,-0.912,-0.026,0.328,-2.1,0.452,0.027,0,5
47215,-0.896,-0.038,0.307,-2.794,2.794,1.389,0,5
47264,-0.912,-0.023,0.319,-1.625,4.954,1.687,0,5
47312,-0.906,-0.006,0.28,-1.939,2.038,1.374,0,5
47362,-0.922,-0.022,0.309,-1.612,-2.969,-0.863,0,5
47412,-0.909,-0.018,0.323,-0.137,-0.737,-0.468,0,30
47464,-0.918,-0.012,0.313,-2.145,1.924,0.664,0,5
47515,-0.923,-0.024,0.323,-1.543,0.19,-0.099,0,29
47563,-0.916,-0.028,0.314,-1.17,-1.37,-0.618,0,5
47614,-0.91,-0.027,0.317,-1.871,0.209,0.557,0,29
47664,-0.921,-0.018,0.32,-1.189,0.055,0.006,0,5
47714,-0.912,-0.033,0.311,-2.588,-2.443,0.291,0,31
47765,-0.903,-0.029,0.317,-1.476,0.53,0.267,0,31
47814,-0.943,-0.069,0.365,-1.73,3.366,0.108,0,5
47863,-0.92,-0.029,0.333,-0.672,3.542,0.254,0,5
47911,-0.913,-0.016,0.321,-1.16,0.508,-0.592,0,5
47964,-0.927,-0.022,0.309,-1.719,-1.143,-0.649,0,5
48015,-0.912,-0.02,0.321,-2.908,-3.55,-0.113,0,30
48065,-0.903,-0.024,0.317,-2.664,-2.275,-0.157,0,29
48115,-0.911,-0.022,0.328,-2.511,-0.99,0.349,0,29
48166,-0.906,-0.036,0.331,-2.084,3.832,0.763,0,30
48259,-0.923,-0.043,0.341,1.58,-1.416,-0.52,0,5
48308,-0.926,-0.039,0.341,-0.618,1.094,-0.658,0,5
48357,-0.923,-0.036,0.33,0.519,3.725,0.496,0,4
48406,-0.932,-0.034,0.329,0.076,3.221,-0.232,0,4
48457,-0.916,-0.032,0.326,-1.061,0.854,-0.471,0,4
48506,-0.926,-0.027,0.305,-1.004,-2.779,-1.076,0,4
48556,-0.914,-0.024,0.307,-2.008,-1.379,-0.156,0,4
48605,-0.91,-0.02,0.314,-1.69,0.862,0.015,0,4
48654,-0.92,-0.024,0.302,-2.282,1.679,0.341,0,4
48703,-0.917,-0.021,0.333,-2.481,-0.564,0.438,0,4
48752,-0.919,-0.023,0.31,-1.661,0.38,0.25,0,4
48801,-0.921,-0.024,0.317,-1.34,-0.407,-0.779,0,4
48850,-0.908,-0.019,0.31,-1.504,-0.937,0.539,0,4
48903,-0.913,-0.023,0.304,-1.847,0.692,-0.08,0,4
48952,-0.918,-0.047,0.303,-1.0,0.566,-0.308,0,4
49001,-0.905,-0.009,0.292,-0.626,1.855,-0.105,0,4
49050,-0.905,-0.012,0.289,-1.107,3.466,0.256,0,4
49099,-0.908,-0.011,0.298,-0.382,0.923,0.215,0,4
49148,-0.916,-0.029,0.329,-1.57,-0.85,-0.748,0,4
49198,-0.935,-0.05,0.348,-0.847,-2.527,-0.901,0,4
49247,-0.919,-0.023,0.309,-1.714,1.771,-0.172,0,3
49296,-0.924,-0.008,0.304,-1.545,1.687,0.187,0,3
49345,-0.922,-0.021,0.298,-1.24,-0.797,-0.493,0,3
49397,-0.911,-0.021,0.3,-1.711,-1.019,-0.159,0,4
49446,-0.914,-0.021,0.306,-1.616,0.697,-0.089,0,4
49496,-0.92,-0.018,0.298,-1.385,1.794,0.733,0,3
49545,-0.905,-0.007,0.282,-0.458,-1.817,-0.893,0,4
49594,-0.899,0.004,0.264,-0.534,0.446,-0.393,0,4
49643,-0.923,-0.021,0.297,-1.651,-0.524,-0.03,0,4
49692,-0.917,-0.02,0.298,-1.532,-0.47,0.184,0,4
49741,-0.914,-0.018,0.305,-1.781,0.615,-0.052,0,4
49777,-0.92,-0.019,0.3,-1.707,0.087,0.2,0,4
49829,-0.917,-0.017,0.304,-1.442,0.013,-0.006,0,4
49865,-0.921,-0.022,0.304,-1.003,0.047,-0.122,0,4
49914,-0.917,-0.019,0.302,-1.402,0.126,-0.09,0,3
49950,-0.921,-0.024,0.302,-2.131,-0.353,-0.052,0,3
49999,-0.919,-0.021,0.305,-1.621,-0.361,0.04,0,4
50049,-0.915,-0.016,0.3,-1.143,-0.236,-0.133,0,4
50098,-0.915,-0.024,0.305,-1.302,0.616,0.062,0,4
50147,-0.923,-0.02,0.297,-1.619,0.307,-0.114,0,3
50196,-0.917,-0.026,0.294,-1.857,-0.895,-0.262,0,3
50249,-0.921,-0.019,0.309,-1.434,-0.524,-0.104,0,4
50298,-0.921,-0.018,0.294,-1.579,0.877,0.295,0,4
50348,-0.929,-0.013,0.293,-1.207,1.056,-0.022,0,3
50397,-0.921,-0.019,0.3,-1.936,-0.206,-0.155,0,3
50446,-0.916,-0.022,0.29,-1.508,-0.147,-0.071,0,3
