Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
53188,-0.843,0.159,-0.115,6.137,-70.489,-1.859,0,41
53239,-0.97,-0.029,0.141,2.118,-32.405,-0.58,0,41
53289,-0.962,-0.028,0.199,5.351,-27.374,-4.168,0,41
53339,-0.922,-0.042,0.205,7.16,-28.038,-2.718,0,3
53388,-0.985,-0.049,0.208,11.282,-17.42,-3.473,0,3
53436,-0.939,-0.014,0.14,6.786,-15.328,-1.84,0,2
53485,-0.923,-0.061,0.178,13.702,-3.037,0.969,0,2
53536,-0.958,-0.012,0.252,12.328,3.425,-2.463,0,2
53585,-0.971,-0.017,0.248,8.832,-19.191,-4.939,0,3
53635,-0.954,-0.114,0.201,4.263,-48.557,-9.702,0,3
53685,-0.956,-0.011,0.328,0.13,-47.725,-11.153,5,12
53734,-0.886,-0.107,0.32,5.725,-30.511,-8.947,0,4
53783,-0.882,0.013,0.355,7.832,-10.23,-5.802,0,4
53832,-0.894,-0.025,0.37,5.435,-5.087,-1.603,0,4
53881,-0.93,-0.041,0.348,5.672,-0.975,-4.718,0,4
53929,-0.916,-0.04,0.332,5.29,-11.073,-6.504,0,3
53965,-0.902,-0.032,0.381,0.229,-12.939,-4.046,0,3
54017,-0.897,-0.042,0.381,-3.649,-18.26,-5.977,0,3
54052,-0.882,-0.072,0.375,0.145,-16.672,-7.084,0,3
54102,-0.875,-0.055,0.396,0.26,-16.855,-9.916,0,3
54136,-0.836,-0.044,0.398,-2.412,-18.092,-4.427,0,3
54185,-0.884,-0.082,0.429,-2.992,-16.153,-0.099,0,3
54220,-0.834,-0.092,0.422,1.142,-14.733,-5.238,0,4
54269,-0.871,-0.102,0.421,6.122,-15.328,-9.076,0,5
54305,-0.806,-0.072,0.412,4.771,-1.768,-4.954,0,4
54354,-0.849,-0.083,0.445,2.644,1.815,-4.273,0,5
54410,-0.858,-0.04,0.426,2.878,-1.609,-4.252,0,5
54459,-0.871,-0.043,0.447,1.679,-2.253,-2.77,0,4
54495,-0.875,-0.06,0.399,4.259,2.125,-2.902,0,5
54544,-0.872,-0.017,0.427,5.931,0.476,-3.992,0,5
54579,-0.876,-0.067,0.424,3.241,-4.364,-4.994,0,5
54628,-0.867,-0.082,0.422,3.14,-3.097,-4.295,0,4
54664,-0.85,-0.076,0.44,3.131,-1.762,-2.596,0,4
54713,-0.863,-0.088,0.431,1.387,-2.089,-4.43,5,5
54748,-0.852,-0.067,0.43,3.126,-0.81,-3.054,0,4
54800,-0.864,-0.077,0.441,2.801,-0.379,-2.639,0,4
54836,-0.862,-0.075,0.433,3.183,-0.949,-3.285,0,4
54885,-0.853,-0.073,0.437,3.607,-1.98,-3.358,0,4
54920,-0.868,-0.09,0.437,2.076,-1.117,-3.175,0,4
54970,-0.857,-0.077,0.431,3.099,-0.34,-2.767,0,5
55005,-0.858,-0.069,0.433,2.477,-0.889,-3.789,0,5
55054,-0.851,-0.064,0.442,4.195,0.036,-1.301,0,5
55090,-0.867,-0.08,0.436,2.251,-2.92,-3.934,0,4
55139,-0.856,-0.08,0.437,3.673,-2.517,-3.095,0,4
55195,-0.863,-0.083,0.431,1.924,-1.016,-2.902,0,4
55244,-0.846,-0.068,0.45,4.676,-0.777,-1.885,0,4
55279,-0.852,-0.054,0.445,4.412,-0.918,-1.984,0,4
55329,-0.855,-0.074,0.44,3.053,-1.596,-3.017,0,4
55364,-0.856,-0.069,0.439,3.521,-1.199,-2.921,0,4
55413,-0.856,-0.083,0.445,3.49,-0.839,-2.141,0,4
55505,-0.858,-0.077,0.429,3.58,-1.153,-2.809,0,4
55559,-0.846,-0.068,0.443,4.298,-1.873,-2.139,0,4
55608,-0.852,-0.075,0.45,3.696,-0.573,-1.851,0,4
55644,-0.86,-0.073,0.433,3.999,-0.342,-2.085,0,4
55696,-0.858,-0.067,0.438,3.427,-0.875,-2.641,0,4
55732,-0.846,-0.061,0.465,5.23,-0.863,-1.232,0,4
55781,-0.859,-0.074,0.43,3.09,-0.898,-2.585,0,4
55834,-0.859,-0.082,0.436,2.881,-0.621,-2.339,0,5
55883,-0.852,-0.078,0.447,4.522,-0.953,-1.98,0,4
55937,-0.859,-0.074,0.44,3.611,-0.656,-1.958,0,5
55986,-0.862,-0.066,0.427,2.81,-0.712,-2.994,0,5
56039,-0.858,-0.076,0.445,3.631,-0.877,-2.061,0,5
56088,-0.856,-0.068,0.444,3.9,-0.679,-1.783,0,5
56144,-0.847,-0.069,0.451,4.813,-0.569,-1.26,0,5
56194,-0.858,-0.073,0.423,2.744,-0.2,-3.034,0,5
56247,-0.863,-0.066,0.438,4.167,-0.513,-2.319,0,5
56296,-0.864,-0.071,0.439,3.267,-2.748,-3.836,0,4
56349,-0.85,-0.069,0.433,3.928,-1.912,-2.451,0,4
56398,-0.862,-0.08,0.437,3.41,-0.395,-1.876,0,4
56452,-0.866,-0.084,0.443,2.445,-1.438,-3.038,0,4
56501,-0.846,-0.063,0.453,5.054,-0.392,-0.775,0,5
56554,-0.863,-0.075,0.432,2.025,-0.613,-2.933,0,5
56607,-0.862,-0.079,0.428,3.431,-0.361,-2.352,0,5
56659,-0.858,-0.063,0.439,4.061,-0.872,-2.099,0,5
56710,-0.867,-0.075,0.432,2.953,-2.039,-3.555,0,5
56763,-0.869,-0.084,0.436,1.543,-2.252,-4.243,0,4
56812,-0.844,-0.067,0.447,4.989,-1.078,-1.745,0,5
56865,-0.858,-0.075,0.427,2.432,-1.299,-3.485,0,5
56914,-0.866,-0.083,0.43,1.772,-1.596,-3.942,0,4
56968,-0.858,-0.07,0.435,3.069,-0.399,-2.905,0,5
57018,-0.861,-0.077,0.423,2.418,-0.741,-2.997,0,5
57071,-0.852,-0.07,0.448,5.076,-0.418,-1.282,0,5
57123,-0.852,-0.08,0.438,3.075,-1.356,-2.923,0,5
57177,-0.854,-0.074,0.434,3.169,-0.95,-2.438,0,5
57227,-0.844,-0.06,0.444,4.894,-0.771,-1.717,0,5
57280,-0.858,-0.076,0.434,2.757,-1.325,-3.168,0,5
57329,-0.857,-0.075,0.436,3.705,-0.774,-2.472,0,5
57382,-0.861,-0.075,0.442,2.208,-1.467,-3.532,0,5
57433,-0.846,-0.069,0.46,4.838,-0.333,-1.422,0,5
57486,-0.852,-0.069,0.448,3.968,-1.041,-1.993,0,5
57535,-0.862,-0.076,0.433,2.781,-1.036,-3.179,0,5
57591,-0.861,-0.077,0.436,2.017,-1.681,-3.487,0,5
57641,-0.855,-0.073,0.448,3.799,-0.731,-2.528,0,5
57695,-0.863,-0.07,0.455,3.475,-0.79,-2.384,0,5
57744,-0.866,-0.079,0.432,2.45,-1.476,-3.564,0,5
57797,-0.867,-0.077,0.425,3.009,-1.468,-3.262,0,5
57847,-0.848,-0.078,0.451,3.544,-0.802,-2.483,0,5
57901,-0.851,-0.064,0.461,5.6,-0.231,-0.667,0,5
57951,-0.847,-0.067,0.446,5.039,-0.906,-2.035,0,5
58004,-0.849,-0.069,0.446,3.802,-0.824,-2.129,0,5
58100,-0.861,-0.074,0.43,3.225,-1.664,-3.013,0,4
58153,-0.866,-0.074,0.43,2.782,-1.249,-2.958,0,5
58204,-0.855,-0.076,0.452,3.651,-0.684,-2.609,0,5
58257,-0.871,-0.084,0.437,1.986,-1.231,-3.815,0,5
58306,-0.848,-0.072,0.44,3.704,-1.187,-2.341,0,4
58360,-0.869,-0.087,0.421,1.982,-1.271,-3.947,0,5
58409,-0.865,-0.075,0.437,2.4,-1.375,-3.44,0,5
58463,-0.864,-0.075,0.439,2.119,-1.14,-3.873,0,5
58513,-0.864,-0.085,0.435,2.021,-1.578,-3.708,0,5
58566,-0.863,-0.082,0.429,2.256,-1.44,-3.653,0,5
58619,-0.856,-0.075,0.439,2.712,-1.429,-3.123,0,5
58673,-0.849,-0.065,0.45,4.823,-0.561,-1.46,0,5
58723,-0.862,-0.077,0.439,3.018,-1.153,-3.045,0,5
58776,-0.862,-0.082,0.435,2.9,-1.24,-2.994,0,5
58826,-0.856,-0.073,0.437,2.934,-1.187,-3.109,0,4
58880,-0.858,-0.07,0.432,3.298,-0.99,-2.631,0,5
58930,-0.845,-0.066,0.447,5.298,-0.417,-0.939,0,5
58983,-0.863,-0.074,0.438,2.682,-1.588,-3.19,0,5
59033,-0.849,-0.068,0.444,4.169,-0.679,-1.864,0,5
59086,-0.851,-0.074,0.44,3.963,-0.657,-1.931,0,4
59140,-0.847,-0.071,0.453,4.106,-0.637,-1.983,0,5
59190,-0.867,-0.084,0.44,1.93,-1.6,-3.781,0,5
59243,-0.843,-0.065,0.449,5.188,-0.534,-1.094,0,5
59293,-0.856,-0.076,0.441,3.309,-1.428,-2.494,0,5
59346,-0.855,-0.074,0.448,3.696,-0.82,-2.179,0,5
59404,-0.866,-0.086,0.423,1.407,-1.654,-4.363,0,5
59439,-0.863,-0.08,0.436,3.196,-1.045,-2.863,0,5
59488,-0.845,-0.072,0.448,4.584,-0.64,-1.883,0,4
59542,-0.867,-0.081,0.445,2.257,-1.448,-3.513,0,5
59591,-0.859,-0.078,0.437,2.535,-1.508,-3.249,0,5
59627,-0.855,-0.071,0.44,3.002,-1.277,-2.672,0,5
59675,-0.854,-0.076,0.44,2.807,-0.946,-3.03,0,4
59711,-0.854,-0.069,0.441,5.024,-1.061,-1.262,0,5
59759,-0.844,-0.068,0.437,3.709,-1.14,-2.503,0,5
59795,-0.866,-0.076,0.438,2.263,-1.429,-3.732,0,5
59843,-0.855,-0.073,0.45,3.716,-1.087,-2.478,0,5
59879,-0.865,-0.079,0.438,2.795,-1.342,-3.25,0,5
59927,-0.857,-0.076,0.436,3.04,-1.344,-2.943,0,5
59982,-0.855,-0.071,0.439,4.099,-0.9,-2.122,0,5
60032,-0.84,-0.063,0.44,4.964,-0.836,-1.642,0,4
60067,-0.845,-0.071,0.45,4.111,-0.621,-2.052,0,5
60115,-0.853,-0.069,0.45,4.12,-0.798,-2.036,0,5
60151,-0.86,-0.071,0.441,3.569,-1.131,-2.583,0,5
60200,-0.868,-0.077,0.431,2.094,-1.588,-3.796,0,5
60235,-0.848,-0.068,0.447,4.692,-0.576,-1.575,0,5
60284,-0.845,-0.074,0.453,4.203,-1.073,-1.774,0,5
60319,-0.849,-0.07,0.44,3.935,-1.027,-2.109,0,5
60371,-0.864,-0.08,0.436,2.725,-1.335,-3.112,0,4
60406,-0.868,-0.077,0.443,2.771,-1.23,-3.349,0,5
60455,-0.869,-0.094,0.433,1.015,-2.121,-4.852,5,5
60548,-0.858,-0.077,0.454,3.387,-0.821,-2.562,0,4
60582,-0.852,-0.065,0.452,3.869,-0.872,-2.45,0,5
60632,-0.86,-0.076,0.442,3.075,-0.903,-2.858,0,5
60667,-0.86,-0.077,0.443,2.503,-1.208,-3.199,0,5
60717,-0.856,-0.079,0.437,3.591,-0.857,-2.571,0,5
60751,-0.864,-0.087,0.434,1.866,-1.601,-3.961,0,5
60804,-0.846,-0.064,0.45,4.323,-0.603,-1.772,0,5
60838,-0.852,-0.073,0.447,3.003,-1.029,-2.636,0,5
60888,-0.857,-0.079,0.44,2.626,-1.208,-3.051,0,5
60923,-0.855,-0.075,0.438,3.731,-0.772,-2.158,0,5
60973,-0.866,-0.078,0.437,2.174,-1.685,-3.803,0,4
61007,-0.855,-0.076,0.434,2.753,-1.038,-3.07,0,5
61057,-0.86,-0.07,0.439,3.472,-0.866,-2.315,0,5
61092,-0.854,-0.073,0.441,3.321,-0.802,-2.672,0,5
61140,-0.866,-0.079,0.43,1.811,-1.491,-3.704,0,5
61197,-0.868,-0.081,0.442,2.675,-0.89,-3.25,0,5
61246,-0.853,-0.071,0.461,3.598,-1.314,-2.089,0,5
61281,-0.857,-0.067,0.442,3.582,-0.532,-2.382,0,5
61330,-0.861,-0.08,0.426,2.603,-0.819,-3.017,0,4
61366,-0.849,-0.067,0.443,3.899,-0.201,-2.028,0,5
61415,-0.85,-0.064,0.451,4.752,-0.362,-1.495,0,4
61451,-0.864,-0.08,0.434,2.456,-1.439,-3.148,0,4
61500,-0.862,-0.074,0.446,3.109,-1.17,-3.018,0,5
61535,-0.859,-0.081,0.444,2.41,-2.244,-3.48,0,5
61584,-0.857,-0.074,0.431,3.122,-0.849,-2.751,0,4
61640,-0.852,-0.066,0.449,4.268,-0.848,-2.01,0,4
61689,-0.868,-0.07,0.439,3.295,-1.057,-2.605,0,5
61724,-0.855,-0.074,0.437,3.582,-0.688,-2.53,0,5
61773,-0.86,-0.081,0.444,3.103,-1.385,-2.817,0,5
61809,-0.864,-0.078,0.442,2.692,-1.403,-3.285,0,5
61858,-0.851,-0.071,0.439,4.102,-0.922,-1.911,0,5
61894,-0.858,-0.073,0.438,3.43,-0.926,-2.834,0,5
61943,-0.849,-0.073,0.448,3.82,-1.198,-2.356,0,5
61979,-0.847,-0.069,0.436,3.973,-0.772,-1.86,0,5
62031,-0.848,-0.063,0.457,5.072,0.026,-0.999,0,5
62066,-0.858,-0.07,0.438,4.007,-0.945,-2.118,0,5
62116,-0.865,-0.081,0.444,1.79,-1.643,-3.978,0,5
62151,-0.86,-0.076,0.432,2.713,-1.347,-3.118,0,5
62201,-0.852,-0.067,0.454,3.871,-0.979,-2.324,0,4
62236,-0.849,-0.075,0.443,3.569,-0.665,-2.581,0,5
62285,-0.863,-0.081,0.431,2.065,-1.563,-3.66,0,5
62321,-0.836,-0.066,0.455,5.027,-0.511,-1.087,0,5
62370,-0.835,-0.058,0.451,5.801,-0.093,-0.581,0,5
62427,-0.852,-0.072,0.452,4.036,-0.865,-2.103,0,5
62476,-0.85,-0.07,0.443,3.872,-1.352,-2.492,0,5
62529,-0.863,-0.077,0.439,2.299,-1.544,-3.851,0,5
62578,-0.859,-0.077,0.438,2.611,-1.55,-3.507,0,4
62614,-0.858,-0.082,0.436,2.355,-1.426,-3.485,0,5
62663,-0.86,-0.078,0.437,2.827,-1.078,-3.357,0,5
62716,-0.857,-0.076,0.436,3.102,-1.634,-3.308,0,5
62810,-0.855,-0.072,0.438,3.736,-0.886,-2.403,0,4
62862,-0.859,-0.077,0.435,2.947,-1.322,-2.905,0,5
62912,-0.844,-0.062,0.456,5.279,-0.2,-1.057,0,5
62968,-0.856,-0.076,0.444,3.363,-1.354,-2.751,0,5
63017,-0.856,-0.071,0.444,3.428,-0.909,-2.438,0,5
63071,-0.866,-0.076,0.432,2.743,-1.111,-3.022,0,5
63120,-0.856,-0.072,0.428,3.491,-1.079,-2.465,0,5
63173,-0.869,-0.087,0.435,1.85,-1.322,-3.604,0,5
