Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
23107,-0.29,-0.335,0.871,0.962,2.321,3.092,25,41
23148,-0.298,-0.315,0.88,1.779,7.198,3.084,25,41
23189,-0.324,-0.301,0.905,0.84,3.573,1.489,22,42
23236,-0.329,-0.303,0.898,-2.229,-1.046,-0.718,143,42
23278,-0.319,-0.342,0.872,-3.878,-5.893,1.023,32,41
23325,-0.307,-0.337,0.872,-3.718,-6.695,2.924,132,41
23372,-0.271,-0.336,0.869,-2.206,-1.794,1.382,132,41
23416,-0.303,-0.348,0.841,1.977,7.076,-0.51,33,42
23457,-0.378,-0.327,0.89,1.534,6.076,0.489,32,42
23498,-0.338,-0.332,0.87,0.756,1.725,0.305,32,41
23540,-0.32,-0.337,0.879,0.684,1.725,1.237,32,42
23587,-0.33,-0.343,0.875,-0.345,1.382,0.779,131,42
23634,-0.317,-0.339,0.893,-0.786,-2.16,-0.738,132,41
23682,-0.29,-0.33,0.994,-1.656,-2.687,1.689,131,41
23729,-0.292,-0.336,0.902,-0.336,0.945,-1.115,131,41
23770,-0.328,-0.339,0.766,-1.196,3.427,-0.802,36,42
23820,-0.328,-0.343,0.871,0.939,2.313,1.024,132,42
23862,-0.333,-0.25,0.882,1.801,2.692,0.829,36,42
23909,-0.338,-0.332,0.885,-1.275,-2.832,-1.565,131,41
23950,-0.3,-0.328,0.871,-2.107,-1.603,-1.611,33,41
23997,-0.326,-0.333,0.872,-1.794,-3.305,-1.023,131,41
24045,-0.303,-0.334,0.833,-1.397,-1.542,-1.26,131,41
24086,-0.315,-0.334,0.87,-3.073,1.267,-1.557,36,41
24133,-0.322,-0.341,0.869,0.656,0.245,-1.16,131,41
24180,-0.301,-0.339,0.884,1.713,2.516,-2.786,132,41
24225,-0.306,-0.346,0.883,1.252,2.847,-0.985,36,42
24267,-0.314,-0.336,0.843,-0.351,2.817,0.679,36,41
24314,-0.431,-0.335,0.891,-0.321,-3.183,1.252,131,41
24356,-0.301,-0.326,1.009,1.105,3.09,2.382,38,42
24398,-0.337,-0.327,0.875,-0.214,1.05,1.321,38,41
24440,-0.315,-0.338,0.877,-0.695,0.412,1.511,37,42
24481,-0.286,-0.337,0.844,-1.237,1.435,0.664,37,41
24529,-0.345,-0.37,0.896,0.409,2.443,1.137,131,42
24577,-0.305,-0.34,0.84,1.168,5.641,0.809,132,41
24621,-0.372,-0.355,0.905,1.427,-0.502,0.42,36,41
24663,-0.299,-0.333,0.787,1.481,-2.488,-1.843,37,41
24705,-0.31,-0.477,0.856,-2.513,2.214,-2.452,36,42
24747,-0.313,-0.311,0.871,-0.321,4.725,2.316,37,41
24788,-0.409,-0.363,0.912,1.489,-4.969,-1.489,37,42
24830,-0.249,-0.326,0.83,2.099,3.809,-1.763,38,42
24878,-0.342,-0.345,0.893,2.885,3.244,-1.305,132,42
24920,-0.334,-0.329,0.844,2.191,4.527,-1.31,36,42
24962,-0.343,-0.331,0.871,2.107,1.786,0.374,36,42
25012,-0.332,-0.337,0.927,2.046,1.015,0.282,132,42
25059,-0.345,-0.288,0.872,2.084,2.649,0.511,132,42
25106,-0.336,-0.275,0.904,1.779,2.145,0.099,132,42
25154,-0.339,-0.328,0.871,2.076,2.412,0.023,132,42
25201,-0.186,-0.16,0.874,1.344,2.038,-0.748,132,42
25243,-0.344,-0.328,0.853,1.397,0.611,-1.412,38,43
25285,-0.344,-0.385,0.799,1.427,1.374,-1.176,37,42
25370,-0.304,-0.33,0.868,0.916,0.777,-1.855,38,42
25412,-0.348,-0.326,0.86,0.901,-0.212,-0.977,35,42
25454,-0.428,-0.326,0.787,1.244,0.908,-0.931,34,42
25499,-0.329,-0.303,0.855,1.206,0.385,-1.145,34,42
25540,-0.482,-0.363,0.739,1.351,-1.405,-0.885,33,42
25582,-0.515,-0.338,0.7,1.198,-2.042,-1.099,33,42
25624,-0.333,-0.31,0.888,0.702,0.163,-1.008,33,42
25666,-0.409,-0.329,0.813,-0.208,-1.632,-1.145,33,42
25708,-0.238,-0.282,0.965,1.585,-1.176,-0.954,33,42
25750,-0.516,-0.419,0.707,-1.613,-1.389,-0.748,33,42
25792,-0.341,-0.315,0.856,-1.736,-3.136,-3.503,33,42
25833,-0.344,-0.485,0.867,-1.37,-2.244,-2.632,33,41
25878,-0.342,-0.302,0.868,0.495,-0.179,-0.29,33,41
25920,-0.349,-0.295,0.87,-0.313,-1.244,-0.357,33,42
25962,-0.34,-0.107,1.079,1.156,-1.267,0.618,33,42
26004,-0.346,-0.394,0.791,-0.428,-0.439,-0.106,33,42
26046,-0.362,-0.331,0.855,-0.267,-0.612,0.29,33,42
26088,-0.377,-0.359,0.818,-0.489,-1.878,-0.364,33,42
26130,-0.346,-0.423,0.867,-0.231,-0.613,-0.584,33,42
26172,-0.336,-0.313,0.872,-0.017,-0.788,-0.366,33,42
26214,-0.341,-0.334,0.851,-0.01,-0.839,-0.508,33,42
26253,-0.34,-0.326,0.776,-0.494,-1.697,-1.66,33,42
26295,-0.344,-0.326,0.744,-0.775,-2.011,-0.71,33,42
26337,-0.345,-0.328,0.919,0.472,-0.18,0.275,33,42
26379,-0.34,-0.326,0.855,0.152,-0.326,-0.508,33,42
26421,-0.351,-0.319,0.868,0.293,-0.282,-0.389,33,42
26463,-0.269,-0.312,0.87,0.921,0.162,0.549,33,42
26505,-0.341,-0.328,0.87,-0.734,-1.51,-1.463,33,42
26547,-0.428,-0.326,0.788,-0.387,-0.82,-1.373,34,42
26589,-0.346,-0.348,0.867,-0.7,-1.534,-1.493,33,42
26629,-0.346,-0.323,0.867,0.146,-0.603,-0.44,33,42
26671,-0.347,-0.323,0.867,0.3,0.049,-0.417,33,42
26713,-0.368,-0.34,0.869,0.164,-0.595,-0.684,33,42
26755,-0.346,-0.518,0.731,-1.843,-2.032,-2.656,33,42
26797,-0.346,-0.508,0.867,-1.718,-1.806,-2.472,33,42
26839,-0.395,-0.369,0.867,-0.027,-0.505,-0.799,33,42
26881,-0.343,-0.39,0.873,-0.469,-1.037,-1.042,33,41
26923,-0.343,-0.442,0.85,-0.909,-1.251,-1.902,33,41
26964,-0.389,-0.377,0.847,-0.207,-1.195,-1.122,33,42
27004,-0.345,-0.336,0.855,0.048,-1.313,-0.775,33,42
27046,-0.343,-0.275,0.91,0.771,0.443,0.133,34,42
27088,-0.34,-0.326,0.943,1.361,1.276,0.599,34,42
27130,-0.345,-0.294,0.854,0.915,0.004,-0.049,34,42
27173,-0.332,-0.264,0.867,1.292,0.373,0.175,34,42
27215,-0.346,-0.306,0.868,0.785,0.158,-0.129,37,42
27257,-0.346,-0.326,0.869,0.846,0.292,-0.228,34,42
27299,-0.344,-0.218,0.965,0.824,1.382,0.781,34,42
27347,-0.453,-0.415,0.867,0.802,-0.966,-1.681,132,42
27399,-0.41,-0.384,0.867,-0.4,-1.165,-1.134,133,42
27447,-0.231,-0.201,0.985,1.469,0.848,0.838,132,42
27532,-0.366,-0.336,0.868,0.451,-0.394,-0.325,34,42
27574,-0.29,-0.26,0.919,0.824,0.42,0.421,36,41
