Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35898,-0.234,-0.956,0.058,4.667,1.021,-2.176,0,0
35945,-0.291,-0.953,0.105,9.808,8.511,-3.941,0,0
35991,-0.306,-0.996,0.108,8.837,-4.307,-4.122,0,0
36037,-0.254,-0.97,0.053,12.13,-4.762,-5.061,0,0
36084,-0.255,-0.976,0.08,0.08,-10.074,-3.992,5,5
36130,-0.203,-0.997,0.025,11.426,5.078,7.769,0,0
36176,-0.244,-0.932,0.116,0.737,3.526,5.627,0,0
36222,-0.22,-0.997,0.062,0.498,-4.079,0.306,0,0
36272,-0.248,-0.981,0.107,0.47,-12.392,-5.641,0,0
36319,-0.195,-0.935,0.093,2.275,-4.883,-3.242,0,0
36365,-0.246,-0.965,0.108,0.321,5.41,-2.49,0,0
36411,-0.228,-0.988,0.09,1.115,4.813,-2.648,0,0
36457,-0.251,-0.953,0.099,4.707,9.802,-5.708,0,0
36504,-0.24,-0.894,0.143,1.709,9.007,-1.225,0,0
36550,-0.267,-0.975,0.128,0.522,8.656,-6.056,0,0
36596,-0.286,-1.022,0.15,-1.454,5.003,-8.916,0,0
36643,-0.255,-0.973,0.138,3.309,11.071,-8.718,0,0
36692,-0.312,-0.914,0.181,-0.998,5.471,-8.359,0,0
36739,-0.287,-0.907,0.146,3.237,-4.745,-6.267,0,0
36785,-0.277,-0.926,0.11,0.987,-7.908,-9.456,0,0
36832,-0.269,-0.939,0.107,-1.173,-2.776,-9.282,0,0
36878,-0.236,-0.908,0.101,2.083,7.692,-6.543,0,0
36925,-0.264,-0.888,0.148,-2.745,15.26,-8.046,0,0
36971,-0.287,-0.913,0.125,0.496,13.588,-9.45,0,0
37018,-0.293,-0.898,0.145,-2.106,8.155,-15.0,0,0
37064,-0.236,-0.911,0.095,-5.009,8.708,-15.771,0,0
37131,-0.254,-0.928,0.098,-6.111,23.145,-13.382,0,0
37178,-0.359,-1.105,0.149,-9.748,17.595,-22.58,0,0
37224,-0.391,-1.211,0.137,-5.058,-3.229,-33.634,0,0
37271,-0.361,-1.169,0.15,-5.646,-20.885,-31.458,0,0
37318,-0.202,-1.03,0.027,-4.066,-24.901,-6.895,0,0
37364,-0.163,-0.89,0.034,-1.214,-5.493,20.069,0,0
37411,-0.165,-0.88,0.01,-0.383,4.04,40.977,0,0
37457,-0.233,-1.061,0.004,2.968,2.026,46.267,0,0
37505,-0.294,-1.141,0.014,2.134,-26.679,36.55,0,0
37554,-0.236,-1.012,-0.043,-0.672,-51.58,22.26,0,0
37601,-0.152,-0.951,-0.113,2.017,-43.511,17.954,0,0
37647,-0.174,-0.875,-0.055,5.432,-17.419,14.029,0,0
37694,-0.22,-0.932,-0.03,3.669,-18.83,7.315,0,0
37741,-0.21,-0.912,-0.013,8.696,-13.889,9.207,0,0
37787,-0.189,-0.916,-0.029,4.359,-11.15,5.119,0,0
37834,-0.194,-0.917,-0.002,-0.056,-10.139,-1.244,0,0
37880,-0.243,-1.028,0.023,5.663,5.701,-6.976,0,0
37927,-0.242,-1.085,0.021,6.054,10.565,-14.885,0,0
37975,-0.311,-1.227,0.153,3.717,16.168,-25.321,0,0
38024,-0.28,-1.354,0.106,1.373,9.69,-35.74,0,0
38071,-0.272,-0.974,0.198,13.756,8.466,-44.962,0,0
38118,-0.182,-0.677,0.194,8.943,-13.6,-20.901,0,0
38164,0.022,-0.836,0.021,11.511,-9.495,17.115,0,0
38211,0.083,-1.067,-0.106,20.847,41.71,25.0,0,0
38315,-0.272,-0.973,0.171,0.681,77.962,3.737,0,0
38362,-0.317,-0.761,0.232,4.97,13.237,-8.065,0,0
38408,-0.207,-0.781,0.124,0.046,-4.681,-8.267,0,0
38455,-0.199,-0.811,0.075,3.176,15.939,-8.107,0,0
38522,-0.309,-0.913,0.143,-5.493,18.183,-10.908,0,0
38569,-0.377,-0.966,0.194,-0.124,4.979,-17.344,0,0
38616,-0.361,-1.114,0.135,-2.956,-12.149,-20.069,0,0
38663,-0.312,-1.29,0.079,-3.215,-4.898,-19.321,0,0
38710,-0.292,-1.24,0.052,-1.757,9.679,-14.855,0,0
38757,-0.277,-1.034,0.061,2.913,19.672,3.106,0,0
38803,-0.311,-0.752,0.15,-3.976,3.869,24.435,0,0
38850,-0.318,-1.034,0.067,-2.636,-30.649,32.45,0,0
38897,-0.276,-1.095,-0.011,8.815,-55.45,25.046,0,0
38947,-0.165,-0.966,-0.074,1.473,-57.656,22.183,0,0
38994,-0.179,-0.89,-0.064,-1.435,-36.42,27.435,0,0
39042,-0.163,-0.871,-0.071,-4.445,-36.168,36.298,0,0
39089,-0.164,-0.842,-0.051,-5.746,-19.97,37.603,0,0
39136,-0.222,-0.885,-0.005,-9.328,-19.408,26.901,0,0
39183,-0.198,-0.846,0.014,-3.791,-17.71,13.954,0,0
39230,-0.216,-0.929,0.036,0.847,-9.159,5.635,0,0
39276,-0.21,-1.131,0.014,2.805,3.673,-3.942,0,0
39323,-0.287,-1.392,0.051,4.033,10.412,-28.237,0,0
39391,-0.305,-1.302,0.085,1.593,13.29,-48.641,0,0
39438,-0.193,-1.005,0.125,-0.647,-3.887,-51.275,0,0
39485,-0.125,-0.655,0.135,13.618,20.58,-28.847,0,0
39532,-0.188,-0.777,0.155,0.56,27.183,-7.916,0,0
39579,-0.243,-0.949,0.126,-2.972,15.412,-0.516,0,0
39626,-0.159,-1.013,0.038,-3.606,-3.806,7.908,0,0
39673,-0.095,-0.809,0.045,1.98,29.504,0.246,0,0
39720,-0.249,-0.818,0.147,-6.385,41.794,-9.153,0,0
39768,-0.299,-0.834,0.148,4.091,24.221,-13.321,0,0
39818,-0.332,-0.865,0.163,-2.202,-4.379,-19.344,0,0
39865,-0.288,-0.997,0.082,-10.382,-16.37,-22.824,0,0
39912,-0.286,-0.971,0.078,-5.087,0.71,-17.802,0,0
39959,-0.321,-1.061,0.1,-8.145,2.243,-13.733,0,0
40006,-0.338,-1.168,0.096,-4.757,9.748,-13.947,0,0
40053,-0.381,-1.224,0.115,-4.507,5.482,-15.954,0,0
40101,-0.4,-1.137,0.115,8.628,-5.831,-3.906,0,0
40148,-0.246,-0.755,0.052,10.55,-22.963,25.626,0,0
40196,-0.356,-1.081,0.096,-2.551,-38.023,42.374,0,0
40263,-0.149,-1.187,-0.156,11.725,-51.534,59.313,0,0
40310,-0.158,-0.964,-0.08,-0.553,-16.393,59.298,0,0
40357,-0.209,-0.953,-0.05,-1.645,-13.74,57.557,0,0
40406,-0.238,-0.854,-0.01,-1.642,-33.679,48.382,0,0
40451,-0.148,-0.79,-0.066,-9.74,-39.847,39.344,0,175
40512,-0.132,-0.794,-0.071,-3.212,-10.766,28.458,0,195
40571,-0.209,-0.921,0.003,-2.279,-3.091,2.812,0,174
40633,-0.269,-1.143,0.019,0.4,-7.831,-31.924,0,0
40680,-0.313,-1.334,0.044,0.685,1.018,-73.908,0,0
40748,-0.325,-1.186,0.117,5.333,12.038,-81.344,0,0
40852,-0.136,-0.738,0.075,5.265,-18.091,-32.046,0,0
40900,-0.057,-1.084,-0.031,1.799,45.244,0.27,0,0
40947,-0.193,-0.982,0.069,2.585,82.122,9.513,0,0
40994,-0.337,-0.852,0.217,-8.542,59.855,7.82,0,0
41041,-0.335,-0.784,0.178,-7.878,9.191,-1.969,0,0
41089,-0.273,-0.787,0.154,-6.206,-21.999,-9.847,0,0
41136,-0.135,-0.874,0.009,-5.643,-15.901,-15.511,0,0
41184,-0.219,-0.88,0.087,-1.732,17.618,-21.344,0,0
41251,-0.301,-0.957,0.136,-7.557,10.458,-14.221,0,0
41299,-0.359,-1.173,0.116,-3.708,4.489,-12.595,0,0
41347,-0.337,-1.192,0.066,-13.947,-8.467,-14.183,0,0
41394,-0.355,-1.203,0.075,-8.26,-9.473,-9.893,0,0
41442,-0.272,-0.995,0.057,2.032,-14.455,10.852,0,0
41489,-0.25,-0.786,0.092,2.826,-8.775,27.198,0,0
41536,-0.337,-1.14,0.033,-4.326,-41.321,33.458,0,0
41584,-0.235,-1.116,-0.027,10.006,-64.886,34.557,0,0
41631,-0.119,-1.011,-0.109,2.378,-56.168,35.573,0,0
41682,-0.129,-0.951,-0.077,7.317,-19.894,42.962,0,0
41728,-0.183,-0.844,-0.012,3.26,-13.083,48.557,0,167
41789,-0.151,-0.803,-0.054,1.996,-8.271,47.374,0,0
41837,-0.188,-0.846,0.005,-3.504,-3.223,31.443,0,0
41884,-0.171,-0.929,-0.021,9.098,6.231,15.992,0,0
41931,-0.244,-1.082,0.046,6.591,8.443,-11.565,0,0
41979,-0.303,-1.261,0.049,9.446,7.927,-41.641,0,0
42027,-0.315,-1.342,0.07,6.096,2.536,-64.198,0,0
42094,-0.308,-0.906,0.168,3.935,5.528,-68.664,0,0
42143,-0.188,-0.859,0.125,1.579,-3.996,-19.901,0,0
42190,-0.122,-0.983,0.049,11.291,21.832,2.794,0,0
42236,-0.162,-1.033,0.019,7.135,59.809,6.617,0,0
42283,-0.253,-0.869,0.114,0.816,61.214,9.306,0,0
42329,-0.313,-0.782,0.181,-1.161,29.496,4.329,0,0
42375,-0.275,-0.772,0.156,-5.694,-5.936,-10.427,0,0
42422,-0.161,-0.818,-0.006,4.083,-1.177,-20.45,0,0
42468,-0.259,-0.801,0.121,-3.31,12.046,-30.779,0,0
42514,-0.282,-0.957,0.058,1.265,10.702,-27.237,0,0
42561,-0.368,-1.088,0.133,1.4,10.366,-27.824,0,0
42610,-0.319,-1.185,0.062,-2.902,1.62,-27.534,0,0
42656,-0.352,-1.297,0.042,-0.278,16.153,-26.336,0,0
42702,-0.333,-1.131,0.071,7.886,16.427,-14.16,0,0
42749,-0.316,-0.814,0.088,10.679,13.42,13.42,0,0
42796,-0.373,-1.001,0.13,-6.771,-27.0,33.786,0,0
42842,-0.302,-1.15,0.0,6.437,-55.092,41.374,0,0
42889,-0.211,-1.035,-0.051,-1.738,-71.122,43.527,0,0
42935,-0.093,-1.008,-0.149,7.075,-38.985,51.679,0,0
42982,-0.192,-0.828,-0.031,-0.246,-16.59,57.153,0,0
43048,-0.141,-0.794,-0.094,-8.985,-27.282,57.656,0,0
43095,-0.182,-0.748,0.01,-10.672,-13.055,44.069,0,0
43140,-0.147,-0.892,-0.08,-5.946,-9.889,30.206,0,167
43200,-0.229,-1.031,-0.023,3.853,6.484,1.353,0,0
