Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40441,-0.109,-0.98,0.037,-1.342,-2.912,-9.408,0,73
40488,-0.115,-0.979,0.334,1.33,4.453,3.001,108,72
40537,-0.113,-0.979,0.231,0.359,3.398,-3.642,108,78
40589,-0.122,-0.98,0.307,2.006,8.566,1.578,0,78
40642,-0.122,-0.976,0.278,1.642,7.98,0.079,0,80
40695,-0.126,-0.975,0.314,1.837,8.177,1.382,0,81
40749,-0.12,-0.972,0.309,1.545,6.244,0.84,0,79
40802,-0.121,-0.969,0.076,-2.043,-1.445,-4.588,0,77
40858,-0.14,-0.969,0.171,-1.573,-1.056,-0.805,0,77
40911,-0.142,-0.969,0.256,-0.797,-1.782,1.493,0,77
40965,-0.13,-0.979,0.154,-3.324,-9.393,0.108,0,77
41018,-0.113,-0.983,0.144,-2.254,-10.902,2.438,0,77
41071,-0.129,-0.978,0.311,0.438,2.037,15.754,0,80
41124,-0.119,-0.982,0.271,0.512,-2.863,16.122,0,81
41178,-0.11,-0.978,0.179,0.003,-9.923,9.589,0,78
41231,-0.109,-0.981,0.266,1.738,-0.125,20.302,0,77
41284,-0.111,-0.978,0.403,3.347,10.078,34.166,0,78
41339,-0.106,-0.982,0.121,-0.351,-11.354,1.922,0,71
41393,-0.099,-0.985,0.206,0.489,-3.684,9.882,0,72
41446,-0.095,-0.982,0.184,0.312,-2.09,5.374,0,73
41498,-0.098,-0.978,0.023,-1.797,-4.138,-4.093,0,73
41551,-0.108,-0.987,0.175,-0.791,0.308,0.659,0,73
41605,-0.112,-0.981,0.295,0.745,2.76,2.421,0,78
41658,-0.12,-0.981,0.135,-2.091,0.495,-5.877,0,80
41711,-0.119,-0.987,0.247,-0.784,0.405,-2.739,0,79
41764,-0.113,-0.988,0.387,2.024,2.291,4.099,0,81
41822,-0.131,-0.981,0.35,1.345,2.355,2.559,0,81
41875,-0.125,-0.985,0.208,-0.236,-1.374,-1.077,0,79
41928,-0.125,-0.972,0.261,0.85,-0.095,2.586,0,78
41981,-0.132,-0.979,0.152,-0.171,-5.935,0.483,0,78
42035,-0.132,-0.976,0.304,2.095,0.44,9.93,0,80
42088,-0.126,-0.982,0.112,-0.805,-12.148,-0.108,0,81
42141,-0.117,-0.979,0.332,4.294,3.38,20.134,0,77
42194,-0.117,-0.978,0.319,4.571,2.438,21.072,0,75
42248,-0.109,-0.984,0.323,4.604,2.341,22.192,0,74
42304,-0.099,-0.985,0.143,0.379,-8.545,4.161,0,72
42357,-0.097,-0.976,0.301,3.175,2.068,14.423,0,70
42409,-0.106,-0.979,0.28,2.259,-0.834,9.551,0,69
42463,-0.104,-0.982,0.322,3.649,1.432,9.142,0,70
42516,-0.108,-0.977,0.143,-0.105,-4.941,-0.23,0,70
42568,-0.121,-0.981,0.194,0.844,-2.428,0.554,0,69
42621,-0.119,-0.98,0.197,0.392,-2.464,0.301,0,70
42675,-0.121,-0.975,0.095,-0.676,-4.97,-0.885,0,69
42727,-0.123,-0.975,0.225,0.047,-1.705,1.631,0,69
42783,-0.121,-0.973,0.13,-0.804,-5.652,-0.615,0,71
42836,-0.131,-0.975,0.244,0.131,-1.063,3.974,0,70
42890,-0.129,-0.97,0.249,0.116,-1.077,5.14,0,70
42942,-0.12,-0.98,0.092,-2.211,-7.429,-1.067,0,71
42995,-0.117,-0.982,0.202,-1.044,-2.92,4.862,0,72
43048,-0.113,-0.975,0.142,-2.53,-5.052,0.733,0,71
43145,-0.113,-0.988,0.292,0.073,-1.904,8.389,0,72
43198,-0.104,-0.975,0.212,-0.624,-2.066,3.987,0,73
43251,-0.119,-0.979,0.252,0.066,-0.005,4.992,0,71
43304,-0.116,-0.97,0.007,-4.541,-10.728,-5.489,0,71
43355,-0.111,-0.98,0.241,-0.238,-1.564,4.097,0,71
43408,-0.125,-0.976,0.156,-2.237,-4.832,0.712,0,70
43462,-0.126,-0.978,0.05,-4.271,-9.985,-4.256,0,79
43515,-0.115,-0.974,0.078,-2.964,-8.945,-2.904,0,79
43569,-0.123,-0.977,0.165,-1.192,-5.255,2.72,0,79
43623,-0.12,-0.977,0.067,-1.457,-10.076,-3.395,0,77
43676,-0.121,-0.975,0.03,-1.612,-11.889,-6.543,0,77
43729,-0.124,-0.978,0.275,1.056,0.726,10.952,0,76
43783,-0.123,-0.977,0.316,1.475,0.944,13.038,0,76
43840,-0.123,-0.981,0.354,3.08,2.791,17.005,0,77
43893,-0.126,-0.984,0.249,2.504,-0.419,10.346,0,77
43947,-0.126,-0.979,0.265,2.963,-0.325,11.835,0,76
44000,-0.122,-0.976,0.223,2.186,-3.75,8.097,0,77
44054,-0.112,-0.988,0.334,5.887,1.955,15.871,0,77
44107,-0.12,-0.983,0.27,4.54,-0.075,11.239,0,75
44161,-0.126,-0.98,0.385,8.982,7.835,20.147,0,77
44215,-0.131,-0.974,0.144,-0.247,-10.491,0.423,0,75
44268,-0.135,-0.973,0.102,-1.832,-19.172,-3.012,0,76
44324,-0.141,-0.962,0.06,-4.505,-27.069,-6.955,0,75
44378,-0.135,-0.975,0.421,14.522,15.258,24.78,0,69
44431,-0.157,-0.945,0.211,2.672,-13.751,5.786,0,68
44484,-0.166,-0.965,0.214,1.901,-22.367,4.947,0,70
44537,-0.147,-0.964,0.01,-7.761,-54.391,-18.54,0,72
44591,-0.198,-0.92,0.32,5.843,-5.88,14.88,0,66
44644,-0.221,-0.913,0.044,-4.241,-27.977,-22.982,0,66
44697,-0.141,-0.909,0.285,3.942,-30.672,19.582,0,66
44750,-0.461,-1.033,0.465,-14.813,-39.944,29.305,0,66
44807,-0.344,-1.374,0.5,23.67,-38.076,17.719,0,67
44860,-0.333,-1.532,0.466,29.45,-80.267,2.426,0,63
44912,-0.206,-1.278,0.232,72.069,-111.397,31.489,0,64
44965,0.061,-0.965,0.058,111.565,-103.183,91.748,0,67
45020,0.135,-0.643,-0.007,122.679,-39.542,123.107,0,68
45073,0.123,-0.798,-0.083,104.092,31.046,108.817,0,65
45126,-0.019,-0.549,0.057,46.069,88.824,10.389,0,66
45179,-0.378,-0.471,0.523,-64.023,65.198,-71.878,0,73
45233,-0.305,-0.466,0.803,-153.855,-53.885,-78.626,0,66
45289,0.057,-0.826,0.275,-91.267,-97.603,-75.305,0,65
45342,0.155,-0.461,0.212,-42.298,-69.974,-41.603,0,66
45396,-0.115,-0.597,0.335,-67.504,53.443,-47.737,0,80
45451,-0.429,-1.589,0.151,-64.679,84.214,-52.336,0,84
45506,-0.388,-1.784,0.263,33.08,84.71,-94.748,0,95
45566,-0.538,-1.011,0.573,-37.656,78.473,-53.687,0,198
45625,-0.262,-1.261,0.425,-61.779,68.643,23.887,0,150
45685,-0.269,-0.903,0.406,20.247,-52.366,8.718,0,187
45746,-0.18,-0.889,0.399,-26.29,-86.244,-46.977,0,189
45803,-0.077,-1.011,0.066,20.611,-64.992,-37.771,87,190
45900,0.081,-1.177,-0.029,27.351,93.588,42.595,85,196
45955,-0.103,-1.266,0.066,21.756,132.473,56.084,83,0
46007,-0.065,-0.554,0.301,32.504,145.313,80.832,0,54
46060,-0.51,-0.799,0.615,-16.849,70.939,65.489,0,54
46112,-0.526,-0.936,0.539,-14.707,-55.412,-13.776,0,54
46166,-0.097,-1.046,0.44,-13.198,-119.427,23.377,0,66
46212,0.107,-0.895,0.234,-0.369,-81.664,2.618,77,58
46261,0.11,-0.849,0.193,-5.453,-18.0,6.084,76,59
46306,-0.035,-0.869,0.385,-25.107,13.221,-30.937,76,59
46352,-0.087,-1.18,0.179,-13.916,14.16,-26.622,76,58
46398,-0.129,-1.033,0.179,-12.489,10.435,-34.84,77,51
46444,0.019,-0.877,0.072,20.923,22.359,6.883,77,64
46489,-0.048,-0.862,0.065,-5.652,54.336,-9.467,79,50
46535,-0.146,-1.064,0.049,-14.651,50.595,-7.804,81,47
46588,-0.164,-1.014,0.279,5.697,37.275,3.384,0,59
46635,-0.193,-0.967,0.247,-11.939,3.407,-18.55,84,59
46693,-0.122,-0.995,0.209,-2.863,1.815,-30.252,0,106
46748,-0.171,-0.978,0.088,-14.611,-17.355,-35.351,0,90
46800,-0.167,-0.981,0.08,-19.222,-32.293,-30.908,0,49
46848,-0.071,-1.0,-0.182,-28.514,-66.443,-79.124,26,15
46893,-0.048,-0.968,0.171,1.634,15.688,15.647,86,52
46939,-0.117,-0.983,0.178,1.901,23.748,21.829,87,51
46992,-0.143,-0.977,0.215,4.258,20.45,26.586,0,52
47047,-0.156,-0.986,0.111,0.15,-1.528,5.71,0,102
47102,-0.114,-0.983,0.138,1.261,1.921,18.016,0,103
47167,-0.129,-0.99,0.227,-0.078,0.848,34.727,0,119
47219,-0.111,-0.986,0.156,-3.168,-7.574,20.036,0,56
47270,-0.119,-0.986,-0.014,-13.246,-25.822,-11.783,0,51
47315,-0.104,-0.98,0.13,-5.441,-10.802,7.766,86,50
47361,-0.137,-0.987,0.061,-12.935,-23.782,-2.28,85,46
47410,-0.104,-1.004,0.057,-9.877,-23.642,-3.199,85,119
47458,-0.123,-0.98,0.05,-12.451,-21.544,-6.101,84,120
47507,-0.134,-1.004,0.387,7.34,14.242,3.577,85,118
47552,-0.125,-0.986,0.251,0.159,-1.423,-1.613,85,54
47600,-0.117,-0.986,0.091,-8.308,-17.722,-4.527,85,50
47645,-0.109,-0.981,0.09,-7.175,-12.018,-1.487,85,49
47690,-0.146,-0.988,0.345,3.955,7.843,5.593,85,60
47734,-0.12,-0.987,-0.023,-12.603,-24.575,-1.408,85,44
47779,-0.112,-0.992,0.123,-5.961,-8.059,2.729,84,53
47828,-0.13,-0.994,0.247,1.346,2.027,8.97,84,125
47883,-0.117,-0.979,0.5,14.469,13.999,25.522,84,198
47932,-0.107,-0.972,0.022,-10.214,-10.754,3.915,84,120
47980,-0.113,-0.977,0.484,18.378,12.393,24.371,84,117
48032,-0.113,-0.966,-0.058,-19.593,-4.423,-2.656,84,132
48078,-0.115,-0.965,-0.085,-11.969,-6.747,-6.412,85,51
48128,-0.113,-0.971,0.08,-13.954,-0.636,1.694,86,118
48176,-0.119,-0.968,0.084,-16.695,-3.945,-3.528,86,119
48226,-0.106,-0.969,0.073,-17.74,-1.546,-6.753,86,135
48274,-0.124,-1.001,-0.023,-18.718,-2.487,-15.218,88,101
48331,-0.127,-1.026,0.263,-17.0,10.555,-1.494,0,137
48431,-0.103,-1.091,0.05,-15.939,-0.721,-13.618,0,138
