Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40848,-0.184,-0.952,0.184,8.756,13.684,-3.532,0,76
40900,-0.134,-0.952,0.186,6.701,2.449,-3.45,0,73
40953,-0.123,-0.953,0.179,4.62,3.961,-2.489,0,73
41007,-0.138,-0.973,0.191,4.092,2.5,-1.012,0,79
41060,-0.13,-0.962,0.186,4.152,4.81,2.995,0,81
41113,-0.161,-0.987,0.209,2.869,5.08,3.555,0,82
41166,-0.177,-0.997,0.23,2.303,-3.857,1.86,0,83
41220,-0.14,-0.978,0.224,3.678,-6.989,4.29,0,73
41275,-0.124,-0.985,0.23,7.703,-3.454,7.398,0,74
41328,-0.131,-0.99,0.226,9.077,-5.247,8.099,0,72
41380,-0.123,-0.999,0.201,11.581,-5.995,8.879,0,75
41434,-0.117,-0.996,0.199,8.925,-4.852,4.752,0,77
41487,-0.123,-0.982,0.202,11.814,0.424,3.967,0,76
41540,-0.132,-0.967,0.211,8.319,0.214,0.863,0,75
41593,-0.139,-0.963,0.208,6.565,-1.668,0.511,0,75
41646,-0.135,-0.961,0.196,3.449,-4.967,-1.701,0,73
41699,-0.135,-0.971,0.203,4.045,-4.992,-1.164,0,71
41754,-0.127,-0.976,0.2,5.76,0.641,0.802,0,70
41807,-0.108,-0.988,0.217,5.345,2.588,3.238,0,71
41860,-0.079,-0.965,0.216,11.962,21.847,4.821,0,71
41913,-0.147,-0.995,0.283,10.384,22.001,5.001,0,78
41966,-0.133,-0.955,0.272,13.3,14.781,1.237,0,71
42019,-0.197,-0.972,0.301,11.496,0.977,-0.954,0,72
42073,-0.106,-0.948,0.224,19.305,2.319,-1.891,0,74
42126,-0.159,-0.969,0.249,13.862,4.872,-3.132,0,75
42179,-0.128,-0.948,0.245,15.682,5.308,-4.322,0,77
42234,-0.133,-0.997,0.249,20.243,22.855,-2.163,0,78
42289,-0.162,-1.021,0.256,11.63,14.453,-8.494,0,78
42342,-0.117,-0.782,0.266,15.319,26.898,-2.2,0,78
42395,-0.253,-0.727,0.443,-6.703,13.504,4.401,0,76
42448,-0.498,-1.088,0.742,-32.794,-83.58,-5.028,0,76
42501,-0.462,-1.166,0.672,16.08,-182.427,-6.323,0,69
42551,-0.23,-0.944,0.483,47.115,-215.611,9.0,148,69
42605,-0.044,-1.016,0.32,79.794,-196.183,49.718,0,70
42661,0.207,-1.253,-0.122,120.725,-101.397,65.015,0,76
42716,0.007,-1.242,0.017,72.053,18.893,77.947,135,101
42767,-0.033,-0.928,0.029,30.641,34.252,84.695,142,86
42820,-0.065,-0.691,0.144,0.014,41.122,86.863,0,76
42873,-0.386,-0.464,0.647,-105.473,-51.573,42.527,0,76
42928,-0.275,-0.64,0.569,-123.893,-196.756,-11.544,0,94
42983,0.231,-1.171,-0.021,-67.855,-217.863,-50.229,0,99
43037,0.592,-0.835,0.029,-4.026,-84.16,-44.71,0,99
43091,0.485,-0.636,0.183,-11.26,84.321,-8.891,0,92
43146,0.151,-0.517,0.322,-21.55,150.076,2.702,0,94
43195,-0.039,-0.544,0.564,-64.763,129.038,6.602,67,82
43241,-0.431,-1.346,0.824,-118.74,48.275,-67.351,64,80
43288,-0.528,-2.0,0.435,-86.641,-85.046,-172.527,63,94
43333,0.354,-1.162,0.082,20.208,-110.527,-97.153,63,83
43380,0.614,-0.689,0.363,27.779,-38.267,82.305,63,101
43426,0.216,-1.002,0.318,7.905,2.693,148.122,64,86
43515,0.134,-0.976,0.279,26.191,-0.633,76.153,67,87
43569,0.187,-0.881,0.182,28.412,22.775,49.481,0,75
43626,0.115,-0.849,0.123,30.573,49.084,43.229,0,90
43679,0.028,-1.03,0.093,26.618,71.679,30.786,0,61
43731,0.006,-1.011,-0.024,35.427,98.916,12.544,0,58
43784,-0.055,-0.87,0.08,31.076,135.565,13.213,0,53
43839,-0.181,-1.235,0.077,20.954,138.702,-7.013,0,51
43884,-0.263,-1.013,0.127,23.313,136.863,-43.481,76,48
43929,-0.345,-0.946,0.175,12.542,119.489,-53.275,81,45
43980,-0.458,-1.027,0.204,3.294,86.618,-77.71,0,44
44028,-0.378,-1.061,0.135,10.4,46.962,-90.771,98,86
44086,-0.282,-1.02,0.059,19.565,42.282,-87.145,0,84
44134,-0.25,-1.072,0.032,9.392,55.45,-86.977,101,87
44183,-0.275,-0.938,0.205,-2.923,52.748,-66.886,101,83
44237,-0.309,-1.051,0.2,-3.56,13.252,-46.298,0,106
44286,-0.195,-0.864,0.237,4.733,-23.718,-10.503,97,98
44336,-0.135,-0.965,0.249,-0.573,-19.931,17.699,100,99
44384,-0.098,-1.018,0.342,-1.587,-9.316,38.695,97,85
44432,-0.158,-1.037,0.51,7.983,-28.901,56.366,97,86
44480,-0.098,-1.074,0.532,35.389,-60.389,60.58,95,87
44531,0.033,-1.07,0.382,58.611,-61.885,56.588,91,89
44579,0.085,-1.051,0.29,63.389,-29.924,47.42,93,89
44627,0.041,-0.996,0.305,56.893,1.184,37.275,92,89
44677,-0.048,-0.958,0.342,50.977,8.237,18.18,91,107
44725,-0.108,-0.932,0.399,37.16,-4.661,1.981,92,90
