Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40027,-0.438,-0.921,0.319,-25.062,29.13,-52.626,192,87
40081,-0.297,-0.913,0.272,-11.019,28.947,-49.863,0,86
40128,-0.352,-0.965,0.266,-24.056,29.649,-55.412,76,90
40175,-0.246,-0.968,0.236,-14.432,27.687,-55.618,77,94
40221,-0.121,-0.984,0.227,-1.658,25.794,-57.817,59,98
40268,-0.22,-1.02,0.217,-15.402,5.59,-59.076,83,103
40317,-0.132,-1.029,0.209,-8.609,8.456,-54.916,95,100
40369,-0.103,-0.998,0.193,0.5,25.733,-41.13,97,97
40417,-0.082,-0.982,0.154,7.84,28.824,-24.779,98,96
40465,-0.111,-0.965,0.162,0.54,34.802,-21.792,98,94
40513,-0.138,-0.98,0.192,2.417,29.679,8.174,100,101
40565,-0.141,-0.981,0.211,-0.406,17.348,0.516,100,155
40617,-0.114,-0.969,0.197,-0.665,2.959,2.262,101,153
40675,-0.105,-0.977,0.205,-1.652,5.306,8.099,0,154
40729,-0.089,-1.005,0.184,2.483,15.63,27.678,0,100
40781,-0.113,-0.967,0.218,-4.262,-12.076,-4.194,100,153
40836,-0.09,-0.985,0.183,-0.463,-8.653,11.358,101,154
40885,-0.098,-0.993,0.196,-4.838,-17.065,2.947,92,103
40933,-0.083,-1.023,0.189,-1.744,-8.241,5.169,100,102
40982,-0.079,-0.991,0.191,-3.684,-16.822,-3.607,97,103
41031,-0.051,-0.967,0.157,4.635,-3.048,7.394,98,100
41079,-0.069,-0.96,0.177,5.895,14.252,11.705,98,100
41134,-0.113,-1.017,0.182,0.448,7.906,0.24,0,101
41189,-0.132,-0.978,0.208,0.197,7.865,-0.073,0,103
41247,-0.113,-0.971,0.198,-4.84,-16.512,-6.959,0,172
41300,-0.086,-0.984,0.167,5.52,15.196,10.796,66,159
41351,-0.092,-0.989,0.177,-2.615,-0.336,-8.886,63,156
41407,-0.115,-0.995,0.192,-1.084,4.992,-4.607,0,137
41465,-0.114,-0.972,0.209,1.149,2.287,3.245,0,155
41516,-0.106,-0.981,0.197,5.513,9.417,10.535,99,134
