Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40027,-0.305,-0.921,0.319,-8.786,29.13,-52.626,192,87
40081,-0.487,-0.913,0.272,-31.121,28.947,-49.863,0,86
40128,-0.203,-0.965,0.266,-5.19,29.649,-55.412,76,90
40175,-0.118,-0.968,0.236,-0.282,27.687,-55.618,77,94
40221,0.046,-0.984,0.227,11.263,25.794,-57.817,59,98
40268,-0.09,-1.02,0.217,-4.967,36.809,-59.076,83,103
40317,-0.132,-1.029,0.209,4.253,56.367,-54.916,95,100
40369,-0.103,-0.998,0.193,6.524,59.348,-41.13,97,97
40417,-0.082,-0.982,0.154,8.941,28.824,-24.779,98,96
40465,-0.111,-0.965,0.162,1.13,34.802,-15.669,98,94
40513,-0.138,-0.98,0.192,3.944,29.679,14.991,100,101
40565,-0.141,-0.981,0.211,-1.002,9.281,-2.234,100,155
40617,-0.114,-0.969,0.197,-0.799,2.303,1.903,101,153
40675,-0.105,-0.977,0.205,0.692,18.6,20.717,0,154
40729,-0.089,-1.005,0.184,-3.23,-10.983,-9.487,0,100
40781,-0.113,-0.967,0.218,-6.715,-19.739,-14.678,100,153
40836,-0.09,-0.985,0.183,-1.671,-12.983,6.578,101,154
40885,-0.098,-0.993,0.196,-3.466,-11.389,7.559,92,103
40933,-0.083,-1.023,0.189,6.469,15.965,23.94,100,102
40982,-0.079,-0.991,0.191,-2.982,-14.771,-2.112,97,103
41031,-0.051,-0.967,0.157,0.226,-14.99,-0.004,98,100
41079,-0.069,-0.96,0.177,9.37,21.137,17.674,98,100
41134,-0.113,-1.017,0.182,6.268,19.132,9.255,0,101
41189,-0.132,-0.978,0.208,-12.138,-23.103,-19.997,0,103
41247,-0.113,-0.971,0.198,-3.099,-11.613,-3.858,0,172
41300,-0.086,-0.984,0.167,-0.972,-3.112,-2.405,66,159
41351,-0.092,-0.989,0.177,2.241,15.771,1.429,63,156
41407,-0.115,-0.995,0.192,-1.836,3.215,-6.297,0,137
41465,-0.114,-0.972,0.209,-2.463,-5.814,-3.967,0,155
41516,-0.106,-0.981,0.197,2.626,2.452,5.863,99,134
41567,-0.09,-0.979,0.186,6.045,11.538,6.443,101,134
41616,-0.105,-0.979,0.173,6.788,20.107,4.894,101,99
41670,-0.115,-0.985,0.177,3.073,11.836,-1.897,0,98
41728,-0.122,-0.985,0.183,2.439,12.911,-1.253,0,154
41788,-0.112,-0.984,0.179,1.101,7.126,-3.252,0,153
41844,-0.126,-0.98,0.186,1.354,13.788,0.342,0,122
41901,-0.126,-0.989,0.191,-1.265,0.777,-10.656,0,121
41956,-0.131,-0.973,0.18,-1.479,2.798,-9.208,0,122
42015,-0.127,-0.976,0.181,-1.764,0.847,-9.244,0,170
42071,-0.134,-0.975,0.182,-0.144,2.361,-1.129,0,124
42122,-0.129,-0.984,0.182,-1.716,-2.448,-6.705,105,119
42177,-0.115,-0.982,0.164,1.519,2.023,0.924,0,118
