Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
28498,-0.577,-0.006,0.798,-0.276,-0.786,-0.466,0,129
28556,-0.562,0.013,0.793,-0.333,0.183,-0.479,0,155
28612,-0.599,-0.023,0.795,-0.532,-1.805,-0.549,0,135
28668,-0.524,0.048,0.804,0.002,0.142,-0.078,0,136
28726,-0.492,0.088,0.8,0.27,1.282,0.382,0,155
28782,-0.513,0.05,0.799,0.265,-0.329,0.085,0,136
28840,-0.636,-0.061,0.812,-0.802,-1.752,-0.914,0,156
28901,-0.596,-0.022,0.805,-0.299,-0.099,-0.581,0,158
28957,-0.561,0.014,0.8,0.004,-0.464,-0.576,0,130
29014,-0.491,0.078,0.796,0.281,0.171,0.293,0,136
29070,-0.583,-0.022,0.8,-0.263,-0.772,-0.848,0,136
29127,-0.664,-0.092,0.811,-0.761,-1.392,-1.636,0,155
29186,-0.595,-0.021,0.809,-0.204,-0.686,-0.989,0,158
29243,-0.6,-0.025,0.81,-0.546,-2.076,-0.906,0,157
29300,-0.533,0.039,0.811,0.204,0.325,-0.121,0,155
29359,-0.506,0.069,0.798,0.329,-0.171,0.309,0,156
29417,-0.589,-0.012,0.808,-0.388,-0.966,-0.695,0,129
29475,-0.538,0.029,0.809,-0.003,0.254,-0.045,0,156
29533,-0.603,-0.027,0.808,-0.429,-1.331,-0.733,0,157
29589,-0.531,0.048,0.795,0.222,-0.143,0.002,0,136
29645,-0.543,0.03,0.795,-0.059,0.054,-0.084,0,136
29703,-0.575,0.003,0.793,-0.124,-0.672,-0.503,0,136
29760,-0.614,-0.048,0.798,-0.426,-1.668,-1.033,0,156
29816,-0.583,-0.02,0.806,-0.197,-0.85,-0.66,0,136
29875,-0.54,0.034,0.801,0.052,0.069,0.038,0,156
29934,-0.564,0.008,0.803,-0.187,-0.649,-0.353,0,136
29991,-0.546,0.031,0.803,0.033,-0.407,0.348,0,155
30048,-0.557,0.017,0.805,-0.237,-0.384,-0.21,0,129
30105,-0.674,0.011,0.825,3.226,2.716,12.031,0,135
30161,-0.584,0.103,0.754,3.091,-14.038,19.947,0,135
30219,-0.176,0.087,0.75,-32.0,-47.443,-77.435,0,144
30276,-1.268,-0.347,1.237,24.04,22.536,12.916,0,145
30332,-0.02,0.101,0.616,7.354,-146.473,71.588,0,138
30390,-0.1,-0.077,0.938,-14.237,77.137,-43.443,0,138
30449,-0.646,0.087,0.959,10.833,19.311,15.977,0,138
30507,-0.316,0.036,0.783,15.789,13.913,17.542,0,138
30564,-0.573,0.035,0.883,-13.611,56.466,-25.939,0,155
30623,-0.665,-0.045,0.834,-2.549,38.382,-12.602,0,175
30680,-0.645,-0.044,0.797,-1.54,27.855,-1.252,0,137
30737,-0.678,-0.017,0.795,-0.247,-1.293,2.114,0,137
30793,-0.607,-0.009,0.764,-0.724,-11.801,1.265,0,136
30852,-0.611,-0.042,0.791,-0.531,-10.058,-1.439,0,170
30909,-0.556,0.014,0.782,-0.213,0.994,0.225,0,138
30968,-0.594,0.003,0.787,-0.306,0.35,-0.221,0,137
31027,-0.554,0.033,0.792,0.29,-1.898,-0.148,0,156
31085,-0.562,0.014,0.786,-0.066,0.192,-0.056,0,158
31143,-0.58,0.011,0.779,-0.253,0.589,-0.106,0,170
31202,-0.535,0.048,0.779,0.386,-0.563,0.558,0,170
31260,-0.54,0.05,0.781,0.284,0.816,0.136,0,155
31318,-0.611,-0.028,0.782,-0.574,-0.756,-0.66,0,138
31418,-0.573,0.005,0.782,-0.047,-0.461,-0.274,0,154
31475,-0.613,-0.041,0.784,-1.106,-0.339,-2.556,0,153
31538,-0.547,0.033,0.772,0.941,4.221,6.044,0,171
31595,-0.545,0.072,0.775,0.437,1.442,2.788,0,155
31652,-0.608,-0.012,0.783,-0.071,0.472,-2.209,0,138
31710,-0.547,0.048,0.771,-0.097,-0.675,-0.093,0,155
31768,-0.554,0.024,0.765,-0.385,4.208,-5.207,0,156
