Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
31793,-0.754,-0.146,0.435,-14.745,-2.059,-19.324,0,137
31849,-0.75,-0.186,0.399,-16.516,-2.881,-21.953,0,136
31905,-0.751,0.182,0.851,5.394,9.808,6.68,0,136
31962,-0.752,0.125,0.774,1.81,6.834,2.321,0,137
32018,-0.462,0.193,0.866,5.814,10.078,7.348,0,136
32075,-0.753,-0.229,0.34,-19.739,-3.581,-25.348,0,137
32132,-0.751,0.085,0.721,-0.708,5.507,-1.215,0,147
32191,-0.755,-0.061,0.548,-9.503,0.567,-12.307,0,136
32248,-0.753,-0.022,0.578,-7.252,2.619,-9.381,0,137
32305,-0.757,0.018,0.653,-4.464,3.769,-5.797,0,137
32361,-0.755,0.072,0.714,-1.613,4.434,-2.082,0,137
32417,-0.754,0.139,0.802,2.862,6.925,3.528,0,136
32474,-0.761,0.021,0.639,-4.612,3.322,-6.389,0,137
32531,-0.753,0.164,0.837,4.224,7.512,5.406,0,137
32587,-0.749,0.163,0.819,3.905,6.939,5.153,0,137
32644,-0.756,0.032,0.672,-3.538,3.859,-4.913,0,136
32703,-0.75,0.066,0.704,-1.844,4.88,-2.663,0,136
32760,-0.759,-0.177,0.401,-16.715,-3.688,-21.83,0,147
32817,-0.756,0.008,0.616,-5.861,1.699,-7.941,0,136
32874,-0.825,-0.25,0.363,-25.391,-29.181,-23.545,0,148
32931,-0.884,0.215,0.903,8.555,-47.557,23.298,0,148
32989,-0.686,-0.085,0.493,-26.363,-66.71,-11.934,0,154
33047,-0.225,0.075,0.766,1.526,-3.263,-32.382,0,150
33104,-0.962,-0.021,0.887,-8.574,77.443,-12.086,0,146
33162,-0.848,-0.069,0.593,-2.375,-7.768,10.473,0,147
33221,-0.711,-0.115,0.498,-18.733,-30.733,-30.285,0,149
33278,-0.415,0.183,0.978,6.776,31.168,11.775,0,146
33336,-0.547,0.001,0.684,-4.061,41.008,-3.093,0,147
33393,-0.769,-0.104,0.542,-12.532,46.603,-17.872,0,148
33451,-0.826,-0.077,0.555,-9.176,8.34,-13.789,0,136
33507,-0.794,-0.133,0.476,-14.193,-29.519,-18.432,0,138
33564,-0.754,-0.051,0.585,-8.292,-11.888,-11.559,0,147
33622,-0.875,-0.148,0.475,-14.688,-3.004,-19.337,0,145
33679,-0.747,0.081,0.753,-0.323,29.229,-0.705,0,137
33738,-0.793,-0.084,0.529,-10.666,5.782,-14.341,0,138
33795,-0.773,-0.05,0.554,-8.454,-2.528,-11.257,0,136
33852,-0.748,0.033,0.677,-3.267,1.711,-4.352,0,137
33908,-0.743,-0.264,0.288,-21.817,-0.914,-28.235,0,138
33966,-0.767,-0.086,0.52,-10.621,1.349,-13.645,0,137
34022,-0.753,0.119,0.78,1.866,5.274,2.447,0,137
34079,-0.752,-0.33,0.197,-25.944,-6.181,-33.383,5,41
34136,-0.762,-0.093,0.51,-11.094,1.947,-14.378,0,137
34193,-0.758,0.044,0.689,-2.449,3.268,-3.466,0,137
34252,-0.75,-0.025,0.59,-7.101,1.709,-9.417,0,137
34310,-0.757,-0.03,0.586,-7.043,3.327,-9.313,0,137
34366,-0.757,0.156,0.831,4.269,6.515,5.57,0,137
34423,-0.756,0.046,0.689,-2.26,3.173,-3.125,0,138
34481,-0.748,-0.137,0.453,-13.833,-1.337,-17.847,0,137
34537,-0.75,0.046,0.685,-2.959,4.559,-3.893,0,137
34594,-0.757,0.031,0.668,-3.584,3.453,-4.616,0,137
34694,-0.753,-0.189,0.387,-16.909,-3.084,-22.183,0,137
34751,-0.758,0.037,0.679,-2.726,4.791,-4.125,0,137
34810,-0.754,0.328,1.048,14.793,13.529,19.397,0,137
34868,-0.76,-0.052,0.573,-7.986,1.62,-10.684,0,137
34924,-0.75,-0.231,0.342,-19.402,-3.897,-25.401,0,138
34981,-0.762,0.146,0.821,3.511,7.456,4.378,0,137
35039,-0.754,-0.094,0.512,-10.972,0.047,-14.352,0,137
35095,-0.75,0.009,0.633,-5.029,3.574,-6.781,0,138
35152,-0.759,-0.134,0.466,-13.359,-1.027,-17.524,0,137
35210,-0.748,0.083,0.722,-0.349,5.179,-0.518,0,137
35266,-0.76,-0.069,0.535,-10.005,0.968,-13.232,0,137
35326,-0.754,-0.079,0.523,-10.085,0.493,-12.439,0,137
35384,-0.757,-0.106,0.507,-10.481,-2.758,-14.211,0,137
35441,-0.926,0.112,0.838,3.131,-11.753,7.105,0,146
35499,-0.84,0.307,0.991,15.363,-67.672,16.588,0,150
35557,-0.34,0.124,0.707,-2.737,-42.473,9.609,0,158
35615,-0.298,0.249,1.013,13.9,42.315,-50.84,0,156
35673,-0.896,-0.114,0.481,-22.18,58.962,-11.426,0,150
35732,-0.923,0.112,0.811,16.786,19.25,10.095,0,165
35789,-0.717,0.127,0.569,-15.942,-51.137,-2.68,0,145
35851,-0.422,0.079,0.864,-22.511,-40.573,-4.255,0,153
35908,-0.524,-0.131,0.591,-15.762,24.014,-23.659,0,155
35966,-0.597,-0.022,0.654,-8.017,86.42,-14.699,0,150
36024,-0.898,-0.074,0.588,-11.638,70.344,-20.292,0,147
36081,-0.916,0.016,0.654,-4.613,18.009,-6.818,0,137
36139,-0.785,0.011,0.635,-5.159,-23.511,-6.534,0,137
36196,-0.821,-0.101,0.525,-11.85,-23.714,-16.022,0,137
36253,-0.556,0.082,0.739,-0.857,26.165,-0.965,0,148
36312,-0.778,-0.144,0.466,-15.462,3.925,-19.723,0,149
36372,-0.788,0.075,0.728,-0.656,9.864,-1.101,0,137
36428,-0.666,0.044,0.69,-2.81,0.943,-3.784,0,136
36486,-0.707,0.017,0.645,-4.719,3.975,-6.31,0,137
36543,-0.758,-0.009,0.621,-6.036,4.479,-8.12,0,136
36600,-0.757,-0.147,0.447,-14.599,-2.866,-18.973,0,136
36658,-0.751,0.131,0.798,2.809,7.03,3.304,0,137
36715,-0.744,-0.029,0.594,-7.675,2.687,-9.988,0,136
36772,-0.757,-0.011,0.616,-6.621,3.05,-8.713,0,148
36830,-0.746,-0.125,0.486,-13.023,-1.976,-16.935,0,136
36891,-0.743,-0.079,0.529,-10.072,0.679,-13.252,0,147
36947,-0.744,-0.051,0.573,-8.067,2.095,-10.71,0,136
37005,-0.748,-0.209,0.354,-18.287,-3.361,-24.476,0,137
37062,-0.753,-0.027,0.61,-6.762,1.767,-8.957,0,136
37120,-0.369,0.249,0.951,9.86,11.345,12.713,0,136
37177,-0.753,-0.016,0.604,-6.528,3.21,-8.555,0,137
37234,-0.749,-0.018,0.619,-6.357,2.741,-8.486,0,137
37292,-0.752,-0.078,0.54,-10.32,0.504,-13.643,0,147
37349,-0.752,0.051,0.708,-2.095,4.231,-2.896,0,137
37405,-0.751,0.182,0.859,5.893,9.403,7.445,0,148
37463,-0.754,-0.166,0.415,-16.009,-1.372,-20.745,0,147
37520,-0.75,0.016,0.644,-4.435,2.828,-5.716,0,137
37621,-0.758,-0.19,0.393,-17.02,-2.698,-22.204,0,148
37679,-0.749,-0.04,0.574,-8.103,2.499,-10.761,0,148
37737,-0.754,0.109,0.78,1.137,5.822,3.272,0,148
37795,-0.754,-0.062,0.538,-8.471,-1.558,-15.413,0,148
37853,-0.806,-0.066,0.465,-10.555,-16.355,-22.257,0,147
37915,-0.991,0.457,0.3,-7.077,-10.321,-56.277,0,172
37972,-0.929,0.696,0.978,-42.519,50.046,-10.042,0,131
38030,-0.901,-0.573,0.917,-6.264,-40.618,30.321,0,130
38087,-0.738,-0.15,0.455,16.526,-70.168,-65.061,0,131
38146,-0.616,-0.293,0.19,-6.728,46.351,-49.687,0,152
38203,-0.703,-0.103,0.573,-9.764,69.252,22.176,0,133
38260,-0.69,-0.247,0.385,-7.209,35.878,42.473,0,133
38317,-0.573,-0.273,0.362,-13.605,49.412,26.405,0,132
38374,-0.561,0.082,0.434,2.133,59.137,-17.512,0,133
38434,-1.322,-0.239,0.389,-41.0,74.847,-122.672,167,164
38492,-1.536,-0.303,0.406,-31.84,76.832,27.763,167,165
38549,-0.82,0.021,0.4,11.272,-36.42,26.214,166,166
38606,-0.561,0.101,0.218,29.451,-51.053,-29.008,166,163
38666,-0.824,-0.225,0.115,-31.252,30.84,-68.244,168,0
38712,-0.887,-0.074,0.156,-2.844,93.015,-95.71,169,0
38766,-1.247,-0.135,0.339,-9.553,102.611,-92.87,169,124
38827,-1.22,-0.293,0.268,29.644,54.84,-39.313,171,0
38872,-1.016,-0.3,0.215,23.611,-26.527,-10.637,170,0
38934,-0.84,-0.283,0.248,17.012,-11.496,1.514,170,0
38980,-0.873,-0.327,0.24,24.954,-22.672,-19.604,171,0
39038,-0.839,-0.28,0.247,24.634,-14.612,-16.036,170,70
39097,-0.882,-0.318,0.255,7.978,-2.868,-11.835,170,0
39141,-0.882,-0.125,0.271,23.664,8.377,4.019,170,0
39199,-0.973,-0.072,0.302,-2.447,2.909,-6.588,169,0
39244,-0.905,0.097,0.327,2.541,-4.112,4.165,169,0
39303,-0.864,-0.139,0.333,-10.903,-16.287,-2.333,170,0
39350,-0.779,-0.23,0.307,-15.129,3.968,-11.474,170,0
39408,-0.8,0.056,0.279,20.997,64.613,16.256,169,0
39453,-0.897,-0.285,0.286,-9.872,31.885,-9.071,170,0
39512,-0.954,-0.272,0.313,13.521,33.679,18.558,170,0
39557,-1.0,-0.285,0.281,2.965,20.463,-1.975,170,0
39615,-0.913,-0.267,0.225,0.313,4.479,-3.856,170,0
39659,-0.879,-0.393,0.236,-7.545,-3.515,-17.261,170,0
39717,-0.911,-0.268,0.26,-7.32,-3.524,-13.376,170,0
39762,-0.897,-0.266,0.283,-1.775,1.384,0.105,170,0
39824,-0.958,-0.282,0.258,1.927,-2.203,12.158,170,0
39868,-1.178,0.41,0.736,-14.889,18.034,40.557,169,0
39922,-1.432,0.123,0.93,-16.926,6.359,99.16,168,121
39975,-1.128,-0.563,0.431,54.298,-30.099,75.008,165,121
40027,-0.65,-0.347,0.027,47.634,80.992,164.275,161,76
40078,-0.609,-0.083,0.052,35.893,78.183,170.397,157,77
40129,-0.83,0.379,-0.029,10.605,43.321,42.992,156,79
40179,-0.761,0.544,0.287,-35.84,83.159,18.397,155,80
40230,-0.872,0.184,0.192,-14.06,-24.397,36.809,154,78
40285,-0.836,0.236,0.073,-5.428,-21.945,28.427,154,79
40379,-0.814,0.324,0.152,23.038,38.855,52.552,155,87
40429,-0.614,0.315,-0.102,32.519,42.656,-29.084,156,79
40480,-0.744,0.466,-0.119,30.534,79.053,-50.863,158,76
40531,-0.78,0.288,-0.185,-22.431,69.076,-58.084,160,74
40582,-0.529,0.264,-0.248,28.513,67.084,-72.725,162,69
40633,-0.779,0.094,-0.289,-4.219,61.885,-96.061,165,66
40683,-0.98,0.085,-0.428,11.657,89.947,-131.031,168,63
40737,-1.018,-0.202,-0.559,-15.045,93.511,-113.511,172,59
40788,-1.244,0.099,-0.456,-2.417,107.313,-95.863,176,58
40840,-1.205,-0.048,-0.532,-4.307,31.863,-81.527,179,57
40891,-1.128,-0.153,-0.509,-18.664,-5.014,-48.809,180,56
40950,-0.901,-0.073,-0.546,-5.209,33.366,5.648,181,0
40995,-0.931,-0.126,-0.442,1.247,43.252,-1.825,182,0
41055,-0.915,-0.261,-0.399,-7.067,-12.968,-5.136,183,0
41101,-0.82,-0.096,-0.384,16.623,4.961,9.672,182,0
41149,-0.814,-0.1,-0.387,23.679,-21.496,9.305,183,12
41203,-0.789,-0.291,-0.32,30.573,-43.115,-2.567,184,51
41254,-0.833,-0.364,-0.422,48.527,-40.225,-12.152,185,49
41306,-0.853,-0.402,-0.52,61.168,48.939,-16.894,187,47
41355,-0.479,-0.329,-0.55,66.29,81.046,10.773,191,26
41406,-0.805,-0.22,-0.43,67.664,64.969,-13.413,0,24
41459,-0.647,-0.373,-0.552,72.817,51.595,-10.518,0,20
41499,-0.597,-0.406,-0.577,88.511,96.206,10.588,17,20
41540,-0.778,-0.439,-0.396,100.031,91.847,23.954,16,38
41584,-0.518,-0.659,-0.427,120.015,52.641,29.282,17,40
41634,-0.773,-0.566,-0.256,133.282,-81.775,19.076,17,0
41670,-0.795,-0.31,-0.471,166.305,-105.985,-42.458,17,0
41710,-0.824,-0.473,-0.257,170.679,-133.962,-75.313,17,25
41760,-0.285,-0.589,-1.026,218.015,-93.809,-58.298,16,0
41797,-0.823,-0.601,-0.459,199.481,82.519,3.028,17,0
41841,-1.254,-0.934,0.141,145.74,63.835,37.435,16,108
41886,-1.058,-1.155,-0.025,144.412,-116.26,-27.283,17,105
41931,-0.505,-0.603,-0.067,103.84,-66.809,10.053,21,107
41979,-0.909,-1.08,0.435,70.931,-71.405,19.221,31,104
42024,-0.514,-0.736,0.164,98.595,-115.45,19.779,23,108
42071,-0.627,-0.759,0.111,101.298,-45.847,16.412,25,107
42116,-0.812,-0.485,0.341,97.656,-71.452,35.038,28,104
42161,-0.933,-0.588,0.792,72.634,-41.733,27.542,32,103
42207,-0.817,-0.339,0.403,61.221,-63.122,38.435,36,105
42252,-1.021,-0.433,0.948,36.427,-138.573,2.663,30,106
42301,-0.867,-0.77,0.443,-40.429,-124.183,-89.954,29,162
42349,-0.687,-0.624,0.506,-31.748,103.305,-135.786,30,98
42403,-0.771,-0.378,1.313,-29.557,66.496,-104.42,0,95
42450,-0.703,-0.192,0.883,-36.89,-111.542,-109.038,74,89
42499,-0.132,-0.389,0.461,-7.551,-100.115,-84.618,73,91
42544,-0.113,-0.312,0.024,44.015,91.802,-174.893,38,97
42589,-0.262,0.254,0.801,32.916,169.412,-35.13,40,98
42637,-0.785,-0.789,1.563,50.122,69.534,-28.076,72,99
42682,-0.624,-0.448,0.892,73.473,-117.321,-12.297,36,96
42727,0.259,-0.396,0.275,96.878,-55.534,-7.182,30,99
42818,0.086,-0.296,0.52,72.153,123.015,-44.197,25,99
42863,-0.928,-0.278,2.0,67.855,62.153,14.267,33,100
42908,-0.425,-0.186,0.726,66.0,53.473,-33.489,28,99
42954,-0.941,-0.084,1.258,63.855,-50.258,-41.908,25,100
42999,-0.531,-0.049,1.129,26.435,-94.015,-47.137,34,101
43045,-0.149,-0.277,0.682,-12.961,-106.321,-47.176,36,101
43086,0.164,-0.013,0.789,28.217,-36.427,-44.061,33,30
43131,0.105,-0.121,0.722,8.414,84.618,-61.863,32,101
43177,-0.458,-0.008,1.058,23.076,131.397,-56.252,36,103
43222,-0.791,-0.07,1.219,-8.559,-6.764,-29.382,40,103
43266,-0.452,-0.241,0.884,-1.116,-35.763,-31.007,39,75
43310,-0.202,-0.013,0.87,-5.698,-45.275,-0.087,38,73
43354,-0.173,-0.228,0.922,-12.039,-13.657,-39.876,31,73
43398,-0.244,-0.304,0.913,-20.591,-0.532,-30.552,29,73
43442,-0.652,-0.256,0.961,-16.423,0.289,-22.669,31,72
43487,-0.573,-0.244,0.916,-17.704,-13.538,-13.372,34,73
43531,-0.304,-0.097,0.908,-3.36,21.891,-1.735,41,72
43578,-0.492,-0.189,0.911,-10.708,5.317,-10.726,35,73
43622,-0.092,0.109,0.917,9.846,61.177,9.77,47,73
43667,-0.575,-0.225,0.901,-16.465,-6.915,-16.915,35,76
43713,-0.643,-0.31,0.885,-24.347,-12.072,-26.743,32,102
43759,-0.353,-0.023,0.914,-1.412,8.959,-0.248,42,102
43804,-0.232,0.225,1.065,-33.496,24.767,-0.269,38,103
43849,-0.456,-0.181,0.883,-70.275,5.044,-35.427,41,73
43893,-0.793,-0.423,0.899,-53.565,24.28,-82.153,38,72
43937,-0.902,-0.224,1.18,-24.298,-36.664,-48.084,38,75
43985,-0.277,-0.2,0.54,25.397,-159.237,-40.069,35,73
44027,0.262,-0.063,0.208,51.832,-97.695,-21.789,34,30
44069,0.412,0.056,0.257,40.947,0.191,47.099,36,34
44115,0.177,-1.687,0.99,33.641,77.527,73.267,40,107
44160,-0.182,0.331,1.043,37.779,250.13,-30.511,43,75
44207,-0.571,0.38,1.325,-62.924,179.504,56.252,56,103
44254,-0.973,-0.342,0.761,7.005,61.076,2.653,59,105
44301,-1.004,0.075,1.008,26.783,62.624,-29.763,58,104
44348,-0.641,-0.02,0.924,7.854,-82.794,-6.145,60,103
44398,-0.431,-0.181,0.881,-0.729,-82.443,-34.732,35,103
44442,-0.15,-0.033,0.859,-0.318,-50.542,0.171,39,76
44487,-0.271,-0.157,0.815,-1.828,-11.271,-28.064,37,76
44531,-0.378,-0.04,0.906,-2.941,16.899,-12.003,39,76
44576,-0.489,-0.14,0.927,-11.111,-1.778,-21.427,35,76
44620,-0.262,0.124,0.907,9.012,60.773,1.217,39,75
44665,-0.568,0.081,1.351,3.881,-22.221,5.494,38,76
44709,-0.486,0.125,1.305,-29.634,-152.26,13.634,41,78
44760,-0.119,-0.12,0.679,-37.573,-167.855,8.445,41,103
44806,0.201,-0.357,0.165,-2.368,-38.183,-37.458,37,102
44852,0.169,0.0,0.377,-7.867,100.427,-27.724,43,102
44894,-0.29,-0.111,0.452,-15.207,157.817,2.517,39,30
44940,-0.208,0.2,0.427,-30.557,110.435,26.887,43,101
44987,-0.485,0.497,0.934,71.084,41.282,9.405,42,101
45033,-0.557,-0.103,1.412,-65.496,-43.252,34.321,38,100
45122,-0.463,-0.247,0.718,-20.456,82.672,25.061,39,99
45168,-0.473,0.157,1.153,-48.328,44.115,44.046,46,103
45222,-0.528,-0.298,1.542,-43.267,-35.916,68.763,42,98
45267,-0.279,-0.352,1.094,-45.74,61.524,56.305,46,105
45313,-0.148,0.013,1.039,-45.237,47.45,62.389,37,101
45357,-0.468,0.035,1.288,-28.321,14.988,30.031,32,98
45401,-0.299,-0.046,0.915,-39.89,-83.962,35.359,28,92
45445,-0.268,0.169,0.928,-26.015,-16.117,35.427,28,92
45489,-0.526,-0.065,1.1,-38.176,15.304,49.809,31,94
45533,-0.057,-0.172,0.145,31.519,-60.626,61.832,31,96
45577,-0.111,-0.542,-0.108,-35.908,175.084,-40.252,32,90
45624,-2.0,0.524,-0.484,15.038,181.168,31.466,30,90
45668,-0.371,0.377,0.166,-24.893,-59.557,-4.458,28,87
45711,-0.146,-0.18,0.593,-39.153,-89.924,11.722,22,92
45755,-0.285,-0.889,0.481,4.915,55.74,-10.741,16,90
45798,-1.263,-0.107,1.145,17.912,48.641,-12.126,22,91
45842,-0.288,0.011,1.077,3.049,-42.656,18.295,20,94
45885,-0.393,-0.135,0.785,-4.894,2.896,-9.232,23,89
45929,-0.697,-0.119,0.854,-14.098,-1.607,-19.643,23,89
45975,-0.79,-0.294,1.048,-31.053,-29.313,-31.397,20,89
46019,-0.832,0.162,1.316,-3.284,-209.229,15.939,19,95
46063,-0.005,-0.038,0.0,12.217,-162.229,17.298,20,89
46106,0.181,0.029,-0.043,-4.2,41.237,17.748,19,90
46145,-0.153,-0.711,2.0,48.305,91.008,-65.432,19,17
46189,-0.162,0.058,0.618,-8.115,100.58,7.788,19,91
46233,-0.86,-0.346,1.341,-23.291,-60.217,-28.449,23,88
46273,-0.269,-0.104,0.919,-8.031,-32.733,11.832,38,17
46317,-0.256,-0.272,0.771,-9.562,-19.644,-9.297,30,89
46364,-0.307,-0.156,0.841,0.993,26.211,-6.042,23,89
46407,-0.428,-0.013,0.956,1.202,29.493,-5.47,16,92
46461,-0.199,0.103,0.893,6.924,38.63,13.346,0,95
46504,-0.471,-0.092,1.154,-15.854,-12.769,-13.394,16,88
46548,-0.667,-0.122,1.067,-12.399,-41.611,-16.968,23,88
46593,-0.707,0.072,0.961,-29.427,-65.962,-21.859,24,88
46637,-0.054,-0.179,0.502,-26.336,-43.847,12.947,27,88
46681,0.025,-0.17,0.14,21.418,29.558,34.511,25,92
46725,-0.237,-0.383,0.365,-18.139,68.847,-14.498,8,28
46772,-0.113,-0.119,0.944,5.181,84.985,-24.329,27,91
46816,-0.814,-0.062,0.582,-10.037,32.695,-12.461,26,88
46861,-0.759,-0.361,1.063,-13.481,-70.385,-11.664,35,88
46905,-0.223,-0.353,0.555,-16.817,-54.779,-21.382,27,87
46949,-0.283,0.148,1.109,9.644,61.606,11.384,35,99
46994,-0.462,-0.127,0.925,-5.59,24.386,-11.158,29,90
47038,-0.467,-0.054,0.944,-1.962,10.311,-1.909,31,93
47082,-0.412,-0.063,1.02,-9.865,-6.883,-9.984,31,91
47130,-0.393,0.004,1.397,21.979,-25.954,21.557,35,95
47174,-0.472,-0.479,0.989,29.832,-79.824,14.893,29,94
47219,-0.136,-0.294,0.648,117.504,-72.122,-29.58,34,92
47259,0.082,0.362,0.39,63.313,38.137,-36.542,29,21
47299,-0.13,0.411,0.133,-28.527,110.405,-33.282,28,12
47386,-0.878,0.046,1.409,-136.824,22.206,-19.057,29,90
47431,-0.697,-0.976,1.304,52.679,-27.29,-18.919,26,86
47475,-0.204,0.115,0.473,-2.056,-13.632,-12.701,25,84
47519,-0.249,0.057,0.91,-43.679,4.375,-44.344,33,91
47567,-0.601,-0.169,0.931,5.931,22.977,3.317,28,87
47611,-0.496,-0.111,0.825,-21.501,0.887,-14.194,29,87
47655,-0.54,-0.175,0.902,-14.865,-10.03,-14.307,26,85
47700,-0.538,-0.233,0.969,-21.933,-19.34,-16.003,26,84
47745,-0.465,-0.057,1.271,-1.253,20.312,11.017,33,90
47789,-0.764,-0.381,1.295,-6.438,-85.611,-5.804,28,86
47828,-0.172,-0.505,0.459,104.397,-124.962,-14.365,31,15
47869,0.135,0.183,0.147,117.626,48.362,-36.802,31,13
47908,-0.018,0.527,0.279,-13.772,95.756,-35.969,26,10
47956,-0.287,0.317,0.419,-101.008,139.099,-34.878,29,85
48001,-0.967,0.111,1.392,-119.878,87.053,-34.405,26,85
48045,-0.822,-0.672,1.151,50.794,-32.107,10.286,28,86
48089,-0.206,0.211,0.509,-11.133,-22.362,-15.482,28,84
48133,-0.24,0.187,0.891,-41.359,41.829,-28.519,38,88
48187,-0.414,-0.286,0.943,21.805,26.262,0.724,0,87
48232,-0.437,-0.006,0.909,-2.373,35.076,-9.626,30,86
48276,-0.331,0.095,0.929,11.551,92.835,14.995,31,91
48320,-0.557,-0.046,0.954,0.345,-21.847,-1.405,31,86
48367,-1.328,0.097,1.281,36.312,-209.427,10.466,36,90
48407,-0.172,0.041,0.734,33.177,-250.137,18.665,31,10
48447,0.744,0.02,0.377,14.516,-138.634,14.405,23,12
48487,0.949,-0.125,0.098,-9.236,131.42,-8.804,22,11
48531,0.032,-0.128,0.276,-23.168,250.13,-35.443,24,86
48575,-1.432,-0.059,1.494,-49.405,242.282,-37.656,26,86
48619,-1.324,-0.231,1.147,26.359,-5.523,5.872,30,84
48664,-0.522,0.059,0.909,9.13,-112.336,-19.222,31,85
48711,0.013,-0.271,0.392,-27.748,-80.313,-26.963,26,79
48755,-0.334,-0.086,1.074,10.112,43.924,4.811,30,86
