Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34248,-0.429,-0.031,0.897,-1.032,1.158,-0.451,0,132
34305,-0.426,-0.031,0.899,-1.022,0.451,-0.377,0,131
34361,-0.4,0.001,0.899,-0.547,1.188,-0.126,0,132
34417,-0.438,-0.046,0.887,-1.344,0.388,-0.769,0,132
34472,-0.42,-0.019,0.887,-0.817,0.266,-0.2,0,131
34529,-0.39,0.006,0.897,-0.194,0.394,0.035,0,131
34585,-0.414,-0.006,0.892,-0.609,-0.047,-0.006,0,133
34644,-0.419,-0.035,0.892,-0.944,0.027,-0.398,0,132
34701,-0.411,-0.009,0.891,-0.341,0.395,-0.123,0,132
34757,-0.399,0.012,0.886,-0.211,0.032,-0.077,0,133
34813,-0.431,-0.031,0.9,-0.787,-0.227,-0.3,0,133
34870,-0.401,-0.015,0.902,-0.565,-0.129,-0.111,0,133
34926,-0.442,-0.053,0.895,-1.458,0.313,-0.584,0,133
34982,-0.438,-0.039,0.893,-0.939,-0.492,-0.464,0,131
35039,-0.406,-0.013,0.901,-0.471,-0.203,-0.211,0,131
35095,-0.424,-0.026,0.89,-0.774,0.2,-0.474,0,132
35154,-0.424,-0.037,0.896,-0.706,0.184,-0.381,0,132
35211,-0.419,-0.019,0.883,-0.391,0.006,-0.319,0,132
35267,-0.412,-0.002,0.899,-0.403,0.384,-0.118,0,132
35323,-0.408,-0.008,0.886,-0.342,-0.075,-0.18,0,133
35380,-0.419,-0.019,0.895,-0.54,0.432,-0.527,0,133
35444,-0.427,-0.018,0.889,-0.745,0.004,-0.427,0,133
35501,-0.435,-0.044,0.894,-0.866,-0.554,-0.441,0,133
35556,-0.395,0.019,0.894,-0.002,-0.148,0.113,0,133
35612,-0.428,-0.034,0.887,-0.861,-0.118,-0.509,0,131
35672,-0.413,0.002,0.89,-0.264,-0.184,-0.129,0,132
35728,-0.436,-0.038,0.885,-0.849,-0.699,-0.536,0,133
35784,-0.416,-0.016,0.895,-0.398,-0.28,-0.238,0,133
35841,-0.421,-0.022,0.894,-0.608,-0.334,-0.303,0,133
35897,-0.412,-0.005,0.891,-0.468,-0.325,-0.075,0,133
35953,-0.441,-0.048,0.883,-0.912,-0.356,-0.6,0,132
36009,-0.431,-0.023,0.896,-0.879,-0.405,-0.426,0,132
36066,-0.431,-0.04,0.885,-0.974,-0.733,-0.429,0,132
36122,-0.445,-0.044,0.883,-1.131,-0.248,-0.417,0,132
36180,-0.409,0.005,0.888,-0.264,0.064,-0.134,0,132
36237,-0.42,-0.009,0.888,-0.395,-0.745,-0.245,0,132
36293,-0.416,-0.014,0.897,-0.573,-0.057,-0.084,0,132
36349,-0.427,-0.032,0.885,-0.918,-0.121,-0.206,0,132
36406,-0.444,-0.045,0.89,-1.349,-1.061,-0.446,0,132
36462,-0.419,-0.019,0.889,-0.564,-0.256,-0.229,0,132
36518,-0.424,-0.009,0.888,-0.607,-0.214,-0.119,0,134
