Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
34248,-0.417,-0.016,0.897,-0.7,1.556,-0.292,0,132
34305,-0.358,0.049,0.899,0.516,2.336,0.488,0,131
34361,-0.382,0.022,0.899,-0.209,1.534,0.068,0,132
34417,-0.43,-0.034,0.887,-0.999,0.632,-0.62,0,132
34472,-0.446,-0.051,0.887,-1.459,-0.137,-0.503,0,131
34529,-0.426,-0.039,0.897,-1.14,-0.072,-0.409,0,131
34585,-0.435,-0.033,0.892,-1.144,-0.25,-0.242,0,133
34644,-0.435,-0.053,0.892,-1.242,-0.111,-0.557,0,132
34701,-0.371,0.039,0.891,0.485,0.779,0.313,0,132
34757,-0.419,-0.014,0.886,-0.748,-0.193,-0.343,0,133
34813,-0.428,-0.027,0.9,-0.703,-0.185,-0.263,0,133
34870,-0.396,-0.01,0.902,-0.488,-0.08,-0.065,0,133
34926,-0.361,0.046,0.895,0.294,1.384,0.339,0,133
34982,-0.465,-0.071,0.893,-1.441,-0.835,-0.764,0,131
35039,-0.462,-0.082,0.901,-1.593,-0.99,-0.895,0,131
35095,-0.415,-0.014,0.89,-0.573,0.314,-0.341,0,132
35154,-0.427,-0.041,0.896,-0.743,0.156,-0.411,0,132
35211,-0.475,-0.087,0.883,-1.408,-0.55,-1.042,0,132
35267,-0.413,-0.005,0.899,-0.488,0.349,-0.175,0,132
35323,-0.368,0.04,0.886,0.37,0.302,0.37,0,133
35380,-0.389,0.018,0.895,0.034,0.769,-0.115,0,133
35444,-0.449,-0.045,0.889,-1.145,-0.266,-0.715,0,133
35501,-0.39,0.014,0.894,0.081,0.034,0.221,0,133
35556,-0.375,0.042,0.894,0.273,0.049,0.317,0,133
35612,-0.477,-0.095,0.887,-1.77,-0.798,-1.125,5,39
35672,-0.458,-0.055,0.89,-1.175,-0.858,-0.75,0,132
35728,-0.391,0.02,0.885,0.052,-0.067,0.089,0,133
35784,-0.407,-0.006,0.895,-0.255,-0.165,-0.141,0,133
35841,-0.419,-0.02,0.894,-0.583,-0.315,-0.286,0,133
35897,-0.409,-0.002,0.891,-0.462,-0.312,-0.062,0,133
35953,-0.41,-0.007,0.883,-0.199,0.116,-0.177,0,132
36009,-0.419,-0.008,0.896,-0.609,-0.239,-0.277,0,132
36066,-0.409,-0.011,0.885,-0.478,-0.457,-0.14,0,132
36122,-0.464,-0.065,0.883,-1.401,-0.461,-0.598,0,132
36180,-0.406,0.006,0.888,-0.292,0.055,-0.132,0,132
36237,-0.404,0.011,0.888,-0.094,-0.566,-0.084,0,132
36293,-0.457,-0.066,0.897,-1.484,-0.673,-0.543,0,132
36349,-0.431,-0.037,0.885,-0.989,-0.173,-0.245,0,132
36406,-0.401,0.013,0.89,-0.241,-0.449,0.029,0,132
36462,-0.405,-0.002,0.889,-0.275,-0.089,-0.086,0,132
36518,-0.418,-0.001,0.888,-0.488,-0.126,-0.05,0,134
36575,-0.415,-0.009,0.883,-0.426,0.052,-0.136,0,133
36632,-0.385,0.033,0.882,0.285,0.08,0.165,0,132
36690,-0.403,0.005,0.891,-0.156,0.09,0.018,0,132
36748,-0.388,0.018,0.886,-0.034,-0.46,0.207,0,133
36804,-0.437,-0.039,0.886,-0.856,0.11,-0.374,0,132
36860,-0.424,-0.01,0.885,-0.553,-0.085,-0.153,0,132
36917,-0.386,0.024,0.885,0.089,-0.108,-0.0,0,133
36973,-0.44,-0.048,0.891,-0.934,-1.011,-0.39,0,133
37029,-0.427,-0.022,0.891,-0.718,0.324,-0.174,0,134
37129,-0.466,-0.086,0.889,-1.725,-1.771,-0.939,0,133
37185,-0.434,-0.03,0.888,-1.001,-0.178,-0.398,0,132
37244,-0.436,-0.03,0.879,-1.135,0.273,-0.988,0,132
37301,-0.413,0.006,0.897,-0.797,1.073,-1.126,0,132
37357,-0.448,-0.068,0.881,-1.279,-1.907,-0.747,0,132
37413,-0.395,0.021,0.886,0.324,2.609,0.678,0,132
37471,-0.452,-0.047,0.891,-1.157,-4.362,-1.161,0,132
37527,-0.534,-0.079,0.911,-1.803,-15.519,-1.634,0,131
37583,-0.62,-0.096,0.891,-5.397,-34.916,5.453,0,131
37640,0.008,0.221,0.84,-4.254,-46.351,3.814,0,132
37696,-0.495,-0.095,1.055,-30.031,75.847,-56.611,0,133
37757,-0.57,0.029,0.893,8.996,-106.519,30.061,0,161
37816,0.49,0.022,0.567,-4.546,-24.015,-20.433,0,159
37872,-0.368,-0.094,1.057,1.505,82.695,-5.069,0,132
37928,-0.424,-0.091,0.831,13.027,72.084,16.353,0,134
37985,-0.553,-0.001,0.926,9.252,27.168,15.992,0,130
38042,-0.525,-0.045,0.902,-3.863,26.565,-2.475,0,131
38098,-0.594,-0.097,0.816,-6.702,-5.069,-10.977,5,39
38155,-0.505,-0.002,0.892,-1.174,-0.072,-0.233,0,131
38211,-0.404,0.028,0.855,-0.307,4.76,0.327,0,131
38270,-0.493,-0.031,0.853,-1.5,5.317,-0.636,0,132
38327,-0.559,-0.068,0.858,-2.016,0.396,-0.881,0,131
38384,-0.499,-0.013,0.84,-0.712,0.156,-0.38,0,131
38440,-0.522,-0.048,0.856,-1.163,-3.122,-0.874,0,130
38497,-0.422,0.04,0.853,0.162,0.553,0.316,0,130
38553,-0.521,-0.047,0.847,-1.326,0.82,-0.242,0,130
38609,-0.522,-0.044,0.85,-1.07,-0.734,-0.506,0,131
38667,-0.482,-0.013,0.844,-0.446,-0.682,-0.185,0,131
38726,-0.465,0.01,0.854,-0.104,-0.072,0.194,0,131
38782,-0.485,-0.008,0.847,-0.574,0.069,-0.117,0,131
38839,-0.519,-0.056,0.852,-1.369,-1.059,-0.392,0,130
38896,-0.567,-0.09,0.849,-1.959,-0.862,-0.826,0,131
38952,-0.51,-0.036,0.851,-1.164,-0.917,-0.214,0,131
39009,-0.449,0.023,0.858,0.037,0.53,0.085,0,130
39066,-0.518,-0.047,0.847,-1.09,-0.21,-0.399,0,130
39122,-0.447,0.03,0.854,0.144,0.128,0.184,0,131
39179,-0.519,-0.053,0.856,-1.062,-1.36,-0.406,0,130
39238,-0.519,-0.055,0.853,-1.168,-0.283,-0.446,0,131
39296,-0.48,0.003,0.858,-0.225,-0.274,-0.007,0,130
39352,-0.469,-0.003,0.848,-0.253,-0.294,-0.155,0,131
39408,-0.441,0.03,0.849,0.101,0.496,0.328,0,131
39465,-0.456,0.015,0.847,0.983,4.988,1.18,0,130
39522,-0.538,-0.047,0.886,-4.015,-4.096,-6.127,0,131
39579,-0.594,0.19,1.199,3.698,43.328,-3.548,0,131
39635,-1.005,0.033,1.621,42.244,11.053,61.282,0,133
39693,-0.876,-0.056,0.868,84.718,-90.351,31.046,0,146
39746,-0.357,0.075,0.216,75.618,36.603,61.458,63,148
39796,-0.331,0.159,0.481,48.542,77.321,83.771,59,159
39848,-0.259,0.215,0.6,-0.14,50.74,60.275,58,183
39900,-0.325,0.259,0.803,9.272,4.004,46.13,55,178
39992,-0.224,0.273,0.777,20.059,-25.344,19.25,52,155
40043,-0.329,0.262,0.721,27.778,15.588,-3.038,49,178
40092,-0.312,0.527,0.76,60.154,50.588,12.317,54,139
40150,-0.467,0.548,0.748,35.352,54.405,-3.841,182,163
40198,-0.588,0.548,0.672,10.101,47.878,-42.511,44,134
40257,-0.649,0.401,0.626,4.555,36.794,-49.305,187,138
40313,-0.676,0.253,0.576,8.102,33.931,-35.122,0,130
40372,-0.652,0.441,0.443,16.805,32.611,-24.328,0,145
40428,-0.605,0.409,0.303,11.527,63.847,-39.244,0,127
40486,-0.838,0.391,0.305,13.1,91.29,-38.275,0,156
40543,-1.019,0.444,0.51,-15.003,37.527,-44.084,0,124
40599,-0.879,0.24,0.33,-25.817,7.039,-49.939,0,126
40658,-0.764,0.185,0.321,-14.156,29.336,-30.145,164,0
40704,-0.98,0.167,0.512,3.98,101.115,-38.351,164,0
40765,-1.162,0.115,0.449,6.569,69.534,-20.722,164,0
40811,-1.006,0.149,0.187,17.949,35.985,-8.384,164,0
40869,-0.909,0.235,0.032,26.242,54.443,6.592,164,0
40914,-0.997,0.164,0.125,10.844,44.824,6.812,164,0
40966,-0.973,0.149,0.13,0.369,29.71,1.279,165,71
41017,-0.887,0.185,0.002,19.871,33.595,1.237,165,70
41068,-0.887,0.098,-0.075,1.883,60.664,-8.565,165,70
41120,-1.005,0.184,-0.029,19.053,59.511,-7.461,166,70
41171,-1.004,0.111,-0.083,-2.515,41.176,-10.763,166,67
41226,-0.927,0.123,-0.184,22.508,38.336,-4.124,166,66
41278,-0.943,0.07,-0.177,0.01,36.931,-5.114,167,65
41329,-0.916,0.209,-0.213,40.856,40.065,-1.962,167,66
41380,-0.839,0.139,-0.288,7.67,35.115,-3.814,168,64
41432,-0.864,0.113,-0.357,39.939,58.656,-5.137,169,63
41484,-0.952,0.174,-0.333,42.527,49.42,0.012,170,65
41535,-0.951,0.168,-0.439,44.031,37.084,-2.855,171,61
41586,-0.818,-0.014,-0.504,38.084,26.885,0.177,172,58
41641,-0.798,0.191,-0.465,44.244,66.466,14.892,174,62
41693,-0.859,0.085,-0.492,53.046,87.588,30.347,175,62
41745,-0.834,-0.001,-0.506,60.122,53.305,28.458,177,62
41796,-0.73,0.07,-0.604,71.817,55.435,34.298,179,62
41849,-0.68,-0.017,-0.709,72.618,58.634,35.588,0,57
41897,-0.7,0.094,-0.771,72.779,52.389,48.679,124,60
41945,-0.68,0.045,-0.842,64.084,43.748,42.802,99,55
41993,-0.685,-0.078,-0.809,53.939,6.289,52.664,68,104
42040,-0.604,-0.16,-0.769,47.931,-1.351,44.427,95,57
42091,-0.716,-0.27,-0.813,91.16,-30.855,39.351,120,56
42139,-0.764,-0.361,-0.625,136.115,-64.031,31.023,120,51
42187,-0.707,-0.264,-0.841,200.061,-9.849,39.687,120,49
42240,-0.955,-0.181,-1.239,94.183,-25.879,112.611,0,48
42296,-2.0,-2.0,-0.521,112.076,-45.71,-48.908,0,56
42349,-0.519,0.001,0.002,123.198,-104.542,-135.405,0,51
42403,-0.035,0.355,-0.506,115.603,-105.542,-169.473,0,12
42443,-1.729,-1.153,-0.278,134.817,-38.87,-218.802,16,9
42491,2.0,2.0,0.37,-19.122,-82.031,-30.061,16,13
42541,-0.399,-1.0,-1.197,-33.679,86.038,106.366,16,0
42629,-1.097,-0.825,-0.059,-9.256,-99.763,14.579,16,116
42678,-0.627,-0.916,-0.307,5.12,-141.87,25.827,18,0
42714,-0.532,-0.701,-0.187,13.329,-99.603,10.287,14,0
42764,-0.708,-0.638,-0.036,-2.665,-91.618,-18.026,15,0
42799,-0.771,-0.787,-0.045,4.725,-136.771,-1.16,11,0
42849,-0.66,-0.54,-0.026,19.241,-181.786,7.453,14,0
42885,-0.821,-0.743,0.012,-13.455,-178.511,-33.359,13,0
42927,-0.789,-0.927,0.021,40.004,-158.847,-63.718,16,32
42982,-0.992,-1.23,0.267,40.061,-134.573,-87.229,0,116
43032,-1.107,-1.494,0.33,52.55,-162.45,-128.947,0,24
43086,-1.041,-1.735,0.786,48.458,-205.809,-144.977,0,19
43126,-0.324,-2.0,-0.271,157.924,-130.137,-203.069,31,18
43167,0.063,-0.973,-0.103,250.13,63.603,-185.634,52,17
