Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
43841,-1.549,0.081,0.661,21.115,88.198,172.649,31,0
43879,-1.903,-0.271,0.451,-25.647,108.313,250.13,38,0
43923,-2.0,-0.821,0.673,-42.435,65.481,219.031,46,93
43968,-1.093,-1.01,-0.261,-51.382,-15.511,154.198,34,96
44013,-0.274,-0.773,-0.212,-50.351,-14.649,89.008,32,99
44058,0.021,-0.709,-0.346,-57.275,43.374,10.748,22,101
44102,0.027,-0.663,-0.186,-43.015,77.336,-51.695,35,100
44150,-0.224,-0.558,0.034,-23.851,46.489,-72.458,34,97
44195,-0.687,-0.867,0.265,32.504,-24.359,-100.962,46,94
44240,-1.555,-0.837,-0.081,66.832,16.373,-194.992,49,93
44286,-1.81,-0.489,-0.173,64.786,143.802,-118.901,52,102
44337,-1.827,0.111,0.627,41.959,154.008,-76.718,53,162
44395,-1.448,0.368,0.328,-33.412,-22.214,-45.206,0,167
44451,-0.65,1.021,-0.286,-74.366,-91.58,-103.569,141,0
44495,-0.879,1.058,-0.324,-126.267,-51.076,87.588,142,0
44540,-1.445,0.543,-0.875,-169.794,-35.511,148.13,50,92
44583,-2.0,-0.411,-1.309,-170.58,10.9,140.176,53,88
44627,-2.0,-0.925,-1.032,-167.321,-49.092,142.244,36,89
44673,-1.018,-0.976,-0.857,-161.13,-73.015,123.527,36,93
44720,-0.29,-0.812,-0.668,-125.099,-33.565,57.16,71,96
44765,0.054,-0.733,-0.334,-74.664,-16.118,-55.945,31,99
44810,0.094,-0.495,-0.056,-34.053,-10.455,-63.634,31,98
44855,-0.16,-0.23,0.137,-37.527,-24.832,-111.557,36,96
44899,-0.974,-0.307,-0.204,-53.794,22.992,-160.519,28,91
44947,-1.913,-0.516,-0.217,-86.336,70.397,-153.84,38,89
44992,-1.969,-0.386,-0.235,-65.977,63.046,-76.664,41,89
45037,-1.591,-0.202,0.035,-70.641,-38.74,-37.215,43,88
45087,-0.808,-0.01,-0.074,-35.779,-74.641,15.489,147,89
45138,-0.639,0.401,-0.156,4.947,7.412,65.122,146,89
45190,-1.083,0.215,-0.153,-31.16,32.679,131.069,146,87
45238,-1.76,-0.497,-0.704,-59.74,11.286,170.038,106,88
45284,-1.43,-0.542,-0.754,-74.985,-18.802,172.55,57,90
45335,-1.01,-0.635,-0.56,-88.87,-1.827,89.137,101,93
45384,-0.561,-0.509,-0.27,-90.84,1.593,9.423,98,96
45432,-0.283,-0.544,-0.109,-73.794,-19.115,-82.672,98,91
45477,-0.111,-0.57,0.383,-41.084,-30.13,-143.13,39,97
45522,-0.148,-0.445,-0.151,23.515,8.497,-155.229,40,93
45568,-0.964,-0.479,-0.222,39.672,67.695,-122.733,40,90
45618,-1.997,-0.479,-0.447,66.939,159.679,-94.664,145,89
45669,-2.0,-0.292,-0.258,105.183,89.725,80.06,145,90
45716,-1.289,-0.176,-0.265,85.702,1.028,40.847,59,94
45769,-0.668,0.045,-0.198,84.725,-15.09,45.847,141,92
45815,-0.474,0.708,0.148,54.557,-2.03,40.718,54,95
45864,-0.609,0.882,0.006,-10.874,11.437,56.008,139,63
45911,-1.246,0.416,-0.332,-92.832,11.454,94.137,54,92
45961,-1.911,-0.051,-0.814,-106.878,7.626,89.053,140,87
46010,-1.626,-0.545,-0.826,-108.153,-30.908,71.947,139,67
46056,-0.966,-0.635,-0.61,-103.55,-27.939,46.145,42,95
46105,-0.48,-0.552,-0.309,-77.595,-16.466,32.137,132,75
46158,-0.032,-0.724,-0.111,-37.702,-46.267,32.173,131,88
46252,-0.232,-0.165,-0.13,57.458,167.255,-92.069,135,90
46298,-1.768,-0.055,-0.42,80.664,127.695,-128.435,47,87
46344,-2.0,0.109,-0.355,44.557,125.42,42.699,143,14
46391,-1.775,0.326,0.208,25.595,9.85,50.229,142,11
46441,-0.978,0.396,-0.205,-24.76,-55.672,66.137,140,96
46492,-0.8,0.47,-0.119,-14.027,-14.278,77.779,139,95
46543,-0.747,0.368,-0.168,8.984,25.393,118.275,138,94
46595,-1.032,0.03,-0.354,-48.718,15.498,135.145,137,95
46649,-0.846,0.104,-0.603,23.768,11.856,88.473,136,97
