Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
32202,-0.388,-0.385,0.815,-0.278,-0.621,-0.18,0,89
32257,-0.334,-0.39,0.815,0.13,0.05,0.029,0,89
32310,-0.542,-0.386,0.821,-0.353,-0.496,-0.287,0,89
32364,-0.345,-0.388,0.825,-0.124,-0.856,0.169,0,89
32417,-0.527,-0.387,0.823,-1.153,-2.124,-0.485,0,89
32472,-0.487,-0.39,0.822,-0.513,-1.029,-0.165,0,89
32525,-0.358,-0.389,0.808,-0.129,-0.545,-0.028,0,89
32581,-0.455,-0.393,0.814,-0.868,-1.365,-0.208,0,89
32635,-0.424,-0.391,0.814,-0.138,-0.516,-0.221,0,89
32690,-0.438,-0.39,0.823,-0.087,0.909,-0.13,0,89
32743,-0.476,-0.386,0.815,-0.369,-1.526,-0.308,0,90
32797,-0.441,-0.389,0.812,-0.197,-1.095,-0.417,0,89
32850,-0.358,-0.394,0.823,0.416,0.604,0.01,0,88
32905,-0.276,-0.392,0.822,0.264,1.288,0.305,0,90
32958,-0.358,-0.388,0.825,0.096,-0.432,0.005,0,88
33012,-0.324,-0.394,0.823,0.157,0.055,0.078,0,88
33065,-0.429,-0.389,0.809,-0.017,-0.277,0.14,0,89
33123,-0.4,-0.393,0.81,-0.555,-1.52,-0.314,0,88
33176,-0.298,-0.387,0.816,-0.056,-0.68,0.185,0,89
33230,-0.386,-0.39,0.816,0.416,0.027,0.09,0,89
33284,-0.292,-0.395,0.821,1.366,0.634,0.182,0,90
33338,-0.423,-0.394,0.817,0.056,0.056,-0.071,0,89
33391,-0.151,-0.392,0.819,1.133,0.317,0.422,0,88
33445,-0.478,-0.394,0.807,-0.182,-0.741,-0.2,0,88
33500,-0.424,-0.387,0.812,0.017,-0.365,-0.096,0,89
33553,-0.508,-0.39,0.822,-0.242,-1.65,-0.371,0,89
33610,-0.347,-0.391,0.817,-0.043,-0.786,-0.05,0,88
33664,-0.266,-0.393,0.818,0.349,0.047,0.201,0,90
33718,-0.586,-0.391,0.82,-0.169,-2.733,-0.422,0,90
33772,-0.254,-0.393,0.823,0.234,0.207,0.316,0,91
33826,-0.399,-0.401,0.823,0.051,-1.098,-0.288,0,90
33881,-0.374,-0.393,0.823,0.06,-0.147,-0.065,0,94
33935,-0.619,-0.392,0.822,-0.442,-3.021,-1.227,5,28
33989,-0.395,-0.391,0.809,-0.058,-1.191,-0.551,0,95
34043,-0.345,-0.392,0.819,0.084,-0.92,-0.287,0,95
34101,-0.446,-0.385,0.822,-0.44,-1.5,-0.656,0,95
34155,-0.602,-0.391,0.816,-0.488,-2.836,-1.406,0,95
34209,-0.338,-0.392,0.819,0.167,-0.369,-0.344,0,95
34264,-0.59,-0.389,0.825,-1.1,-3.319,-1.497,0,95
34318,-0.203,-0.394,0.818,0.804,0.054,0.751,0,95
34372,-0.401,-0.389,0.823,0.331,-0.443,-0.557,0,95
34426,-0.292,-0.389,0.827,0.673,0.012,-0.04,0,95
34481,-0.356,-0.394,0.822,0.175,-0.748,-0.27,0,95
34535,-0.498,-0.393,0.826,-0.558,-2.884,-1.314,0,95
34592,-0.493,-0.395,0.828,-0.21,-2.924,-1.537,0,95
34648,-0.47,-0.396,0.821,-0.245,-2.902,-1.59,0,95
34702,-0.394,-0.391,0.832,-0.122,-1.425,-1.299,0,95
34756,-0.361,-0.399,0.823,0.254,-1.441,-0.815,0,95
34810,-0.323,-0.399,0.838,-0.035,-1.125,-0.213,0,94
34865,-0.292,-0.398,0.828,-0.308,-1.614,-0.586,0,94
34962,-0.436,-0.397,0.827,-0.896,-5.722,-2.172,0,94
35016,-0.354,-0.398,0.824,-0.946,-3.244,-1.465,0,94
35070,-0.296,-0.403,0.832,-0.336,-2.766,-1.229,0,95
35129,-0.406,-0.406,0.836,-1.923,-6.537,-2.463,0,94
35183,-0.237,-0.402,0.824,-0.243,-1.438,-0.361,0,94
35237,-0.339,-0.405,0.834,-1.457,-5.789,-1.978,0,94
35292,-0.299,-0.402,0.825,-1.237,-4.51,-0.944,0,94
35347,-0.449,-0.408,0.841,-4.238,-12.489,-1.249,0,94
35401,-0.126,-0.405,0.839,1.051,1.376,3.686,0,95
35456,-0.442,-0.413,0.839,-6.802,-28.35,-15.816,0,94
35510,-0.399,-0.396,0.894,10.456,11.469,14.649,0,84
35564,-0.675,-0.362,0.6,4.93,69.664,97.351,0,85
35621,-0.918,-0.444,1.072,-15.237,76.153,141.275,0,100
35673,0.178,-0.427,0.791,2.216,-146.527,71.634,133,104
35723,0.561,-0.312,0.413,13.382,-58.847,-54.405,133,70
35774,-0.11,-0.259,0.469,-19.511,123.321,-52.061,134,102
35823,-1.284,-0.404,1.217,-15.168,76.229,-33.313,136,63
35876,-0.806,-0.354,1.018,-12.308,-73.191,-32.489,0,64
35934,-0.057,-0.163,0.617,-10.487,-0.645,17.25,0,87
35988,-0.4,-0.486,0.799,-34.038,43.763,2.752,0,87
36043,-0.611,-0.56,0.808,-22.191,-3.88,-22.153,0,101
36102,-0.606,-0.537,0.802,-6.899,4.474,-18.383,0,102
36157,-0.547,-0.46,0.643,-0.301,-4.901,-11.15,0,102
36211,-0.519,-0.442,0.686,-6.63,4.532,-9.324,0,101
36267,-0.519,-0.464,0.727,-4.471,-0.809,-6.224,0,100
36322,-0.489,-0.475,0.727,-1.809,-1.469,-3.409,0,99
36377,-0.493,-0.461,0.703,-0.678,1.345,-5.618,0,99
36431,-0.464,-0.487,0.742,2.764,1.102,-4.516,0,100
36483,-0.399,-0.464,0.777,1.185,0.735,-3.388,139,99
36535,-0.587,-0.472,0.641,-4.715,-6.416,-11.543,139,100
36587,-0.569,-0.481,0.657,-5.063,-8.937,-11.217,0,100
36642,-0.518,-0.475,0.676,-5.897,-10.753,-11.605,0,100
36698,-0.417,-0.509,0.805,-2.18,-4.452,-5.731,0,99
36752,-0.461,-0.585,0.881,2.22,-4.967,-7.18,0,84
36805,-0.394,-0.666,0.886,19.061,12.741,16.883,0,61
36857,-0.462,-0.5,0.619,20.656,-29.435,-21.573,0,60
36913,-0.739,-0.686,0.794,2.253,-62.542,-65.595,0,92
36966,-0.647,-1.489,0.465,26.725,-94.542,-93.718,0,77
37022,0.021,-0.109,0.88,74.099,29.328,-88.74,0,62
37080,-0.181,0.101,1.115,24.779,-12.354,-26.71,0,63
37126,0.155,-0.125,1.006,-25.107,-139.84,-53.26,93,64
37173,0.244,-0.351,0.843,-29.015,-109.023,-72.931,92,65
37220,0.445,-0.501,0.774,-26.489,-67.435,-72.0,95,64
37267,0.485,-0.528,0.828,-21.832,-30.519,-70.321,97,64
37315,0.5,-0.654,0.698,-16.053,31.977,-94.886,98,65
37366,0.376,-0.457,0.694,-26.893,52.641,-93.588,137,107
37417,0.254,-0.486,0.669,-36.885,46.817,-100.107,141,78
37473,0.198,-0.562,0.672,-51.443,32.672,-116.366,157,96
37528,0.228,-0.606,0.804,-81.176,11.562,-116.679,0,93
37585,0.247,-0.631,0.867,-85.779,-14.347,-137.221,130,0
37683,0.255,-0.679,0.567,-32.443,61.817,-153.336,78,0
37723,0.114,-0.611,0.544,-34.145,60.183,-151.725,79,0
37777,0.072,-0.556,0.508,2.039,51.458,-146.443,76,0
37815,0.222,-0.194,-0.244,46.16,103.321,-133.542,39,0
37866,-0.176,0.737,0.525,-20.58,146.534,-81.687,36,0
37918,-0.64,-0.124,0.937,-136.176,-18.531,-28.71,33,0
37974,0.278,-0.485,0.918,-68.466,-87.267,66.603,34,0
38025,0.529,-0.582,0.789,-55.756,-87.168,146.511,31,0
38077,0.473,-0.747,0.737,14.385,-42.023,149.855,47,0
38116,0.685,-0.627,0.804,-16.107,-55.565,128.16,43,0
38164,0.718,-0.694,0.479,31.17,-29.435,61.71,41,136
38211,0.886,-1.153,0.272,19.656,17.817,103.336,37,137
38258,0.898,-1.593,0.892,-25.755,-41.395,127.634,52,99
38309,0.892,-2.0,0.358,82.107,106.092,48.855,125,95
38358,-0.294,-1.138,1.4,91.466,131.046,17.366,41,81
38404,-0.107,-0.744,1.169,55.71,46.427,-115.573,23,118
38451,-0.076,-1.12,0.065,158.809,39.789,-126.366,31,120
38497,-0.002,-0.18,0.555,106.748,87.87,-106.389,27,118
38544,-0.265,-0.567,0.833,11.668,106.725,-93.282,31,118
38595,-0.578,-1.227,1.044,-7.316,-7.603,-118.893,29,0
38647,-0.095,0.181,0.9,96.527,46.646,-75.916,36,0
38699,-0.19,0.028,1.198,24.985,-37.267,-23.168,33,0
38750,0.085,-0.841,0.604,34.885,-94.573,-23.733,29,0
38805,0.347,-0.266,0.576,69.87,-26.565,-19.942,31,0
38856,0.23,-0.348,1.064,30.114,32.927,13.708,31,0
38914,0.225,-0.225,1.347,21.511,-27.397,-22.901,29,0
38965,0.49,0.183,1.241,81.817,-27.099,-34.771,49,0
39019,0.448,-0.019,0.804,99.321,-4.965,-23.908,87,0
39072,0.443,0.735,0.252,98.382,74.061,4.215,86,0
39126,0.196,0.654,0.475,1.334,128.779,26.939,74,0
39172,0.635,-0.573,0.839,-20.435,177.573,74.305,73,89
39222,-0.457,0.549,1.29,30.153,153.053,105.511,73,161
39276,-0.156,0.082,0.889,-44.969,29.328,89.901,73,160
39325,-0.077,0.152,0.839,-16.405,14.789,54.008,73,144
39375,-0.011,0.13,0.744,-21.267,-7.372,0.988,74,144
