Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
36324,-0.513,-0.41,0.731,-0.41,-1.406,-0.285,0,106
36378,-0.499,-0.41,0.726,0.597,-0.65,0.096,0,106
36433,-0.521,-0.401,0.726,0.721,-0.852,-0.276,0,106
36488,-0.515,-0.434,0.721,-0.249,-1.925,-0.368,0,106
36543,-0.511,-0.426,0.728,0.138,-1.565,-0.478,0,106
36597,-0.511,-0.452,0.723,0.043,-1.833,-0.599,0,107
36653,-0.521,-0.413,0.724,0.566,-1.554,-0.326,0,107
36710,-0.517,-0.408,0.732,-0.145,-1.455,-0.721,0,107
36765,-0.51,-0.404,0.723,0.234,-1.327,-0.218,0,106
36819,-0.51,-0.446,0.731,-0.297,-2.831,-1.42,0,106
36875,-0.513,-0.405,0.719,0.17,-1.163,-0.465,0,106
36929,-0.506,-0.446,0.722,-0.037,-2.814,-0.465,0,106
36984,-0.509,-0.374,0.722,0.215,0.335,0.163,0,106
37039,-0.506,-0.376,0.73,0.171,-0.493,-0.175,0,107
37094,-0.519,-0.428,0.735,-0.162,-2.12,-0.812,0,107
37148,-0.504,-0.383,0.715,0.398,-0.436,0.19,0,106
37207,-0.511,-0.421,0.728,-0.042,-2.353,-0.938,0,107
37261,-0.515,-0.389,0.722,0.219,-0.636,0.019,0,107
37316,-0.505,-0.449,0.723,-0.108,-2.564,-0.466,0,107
37371,-0.508,-0.429,0.731,0.251,-1.934,-0.931,0,107
37426,-0.507,-0.438,0.729,0.466,-1.455,-0.585,0,107
37481,-0.507,-0.412,0.723,0.854,-0.778,0.019,0,107
37535,-0.509,-0.37,0.719,2.057,0.254,0.35,0,106
37591,-0.509,-0.436,0.73,0.745,-1.187,-0.186,0,106
37646,-0.514,-0.416,0.73,0.689,-0.875,-0.188,0,106
37703,-0.507,-0.407,0.731,1.176,-0.867,0.334,0,107
37758,-0.509,-0.43,0.735,0.747,-1.107,-0.023,0,107
37813,-0.508,-0.396,0.721,1.541,-0.081,-0.068,0,106
37868,-0.52,-0.477,0.729,-0.209,-2.506,-0.429,0,106
37923,-0.514,-0.419,0.728,0.988,-0.798,-0.091,0,107
37978,-0.508,-0.427,0.721,0.595,-1.817,-0.512,0,107
38033,-0.511,-0.452,0.737,0.363,-2.232,-0.209,0,106
38088,-0.507,-0.407,0.733,1.146,0.13,0.102,0,107
38142,-0.52,-0.445,0.719,0.592,-1.562,-0.543,0,107
38201,-0.507,-0.419,0.726,0.329,-1.917,-0.289,0,107
38256,-0.508,-0.42,0.725,0.312,-1.407,-0.069,0,106
38312,-0.585,-0.392,0.778,0.155,8.057,2.446,0,128
38366,-0.513,-0.508,0.563,8.034,-3.855,7.523,0,89
38421,-0.536,-0.38,0.619,-19.878,25.809,-3.51,0,106
38475,-0.574,-0.439,0.74,-16.809,-35.252,1.027,0,97
38526,-0.365,-0.438,0.741,-6.915,2.18,4.405,134,90
38581,-0.464,-0.53,0.752,20.695,29.725,17.015,0,105
38636,-0.451,-0.609,0.748,44.595,63.595,33.481,0,108
38693,-0.499,-0.381,0.699,76.328,61.542,15.653,0,94
38748,-0.678,-0.081,0.657,59.588,79.359,9.031,0,85
38801,-0.76,-0.062,0.547,29.611,51.565,5.174,0,83
38845,-0.819,-0.309,0.523,-6.86,11.085,-13.983,19,82
38888,-0.86,-0.263,0.571,-2.923,-7.066,-7.238,17,82
38931,-0.708,-0.226,0.57,-8.34,-17.587,-11.793,16,82
38974,-0.726,-0.215,0.616,1.688,-4.52,-5.612,16,82
39060,-0.807,-0.302,0.607,5.02,9.385,-5.61,15,83
39103,-0.713,-0.221,0.546,4.426,12.435,-1.715,16,82
39149,-0.809,-0.247,0.597,-0.93,2.566,-4.392,16,81
