Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40845,-0.43,-0.278,0.84,0.148,-0.522,-0.477,0,93
40898,-0.434,-0.289,0.839,-0.616,-3.221,0.017,0,93
40952,-0.411,-0.255,0.853,0.385,-1.639,-0.282,0,92
41007,-0.416,-0.266,0.849,0.303,0.968,-0.66,0,92
41060,-0.433,-0.244,0.869,-0.35,-0.155,0.352,0,93
41114,-0.413,-0.268,0.859,-0.578,-1.235,0.232,0,93
41168,-0.425,-0.272,0.857,-0.182,0.567,0.043,0,94
41223,-0.42,-0.279,0.841,-0.477,-0.75,0.048,0,94
41279,-0.412,-0.29,0.844,-0.771,0.032,0.448,0,93
41333,-0.427,-0.262,0.86,0.802,1.567,0.18,0,94
41388,-0.432,-0.271,0.843,-0.316,-0.313,0.34,0,93
41442,-0.413,-0.251,0.858,-0.082,-0.396,0.409,0,94
41495,-0.427,-0.267,0.854,-0.263,-0.471,0.471,0,94
41549,-0.427,-0.288,0.841,-0.394,-0.363,0.108,0,93
41604,-0.42,-0.269,0.851,0.237,-0.814,0.743,0,93
41658,-0.412,-0.285,0.843,0.67,0.261,0.421,0,93
41711,-0.427,-0.284,0.835,0.117,2.407,0.097,0,93
41768,-0.432,-0.278,0.834,0.399,1.469,-0.241,0,93
41823,-0.434,-0.286,0.833,0.353,1.244,0.031,0,94
41877,-0.427,-0.28,0.835,0.712,2.195,-0.01,0,93
41930,-0.448,-0.289,0.827,0.219,1.889,0.086,0,93
41985,-0.444,-0.259,0.838,0.421,1.105,-0.381,0,94
42039,-0.444,-0.269,0.846,0.504,0.314,-0.211,0,93
42093,-0.438,-0.271,0.839,0.546,-0.176,-0.148,0,93
42147,-0.438,-0.287,0.833,-0.133,0.351,-0.641,0,94
42202,-0.45,-0.272,0.843,-0.086,-0.647,-0.173,0,93
42259,-0.441,-0.275,0.846,0.3,0.135,-0.525,0,93
42312,-0.442,-0.264,0.845,0.095,-0.247,-0.681,0,94
42366,-0.447,-0.263,0.846,-0.095,-1.712,-0.607,0,93
42421,-0.434,-0.261,0.845,0.102,-0.772,-0.304,0,94
42475,-0.44,-0.281,0.838,0.426,-0.851,-0.83,0,92
42529,-0.433,-0.273,0.836,0.378,0.312,-1.019,0,92
42584,-0.45,-0.28,0.842,0.216,-0.571,-1.251,0,92
42638,-0.437,-0.287,0.826,0.1,-0.623,-1.942,0,92
42692,-0.449,-0.279,0.846,0.434,-1.011,-1.497,0,92
42749,-0.439,-0.271,0.839,-0.25,-2.579,-1.468,0,92
42804,-0.43,-0.27,0.847,0.102,-1.611,-1.541,0,93
42858,-0.446,-0.297,0.833,-1.014,-4.203,-2.837,0,92
42912,-0.429,-0.278,0.838,-1.189,-4.246,-2.551,0,92
42967,-0.434,-0.278,0.841,-0.952,-4.315,-2.761,0,92
43021,-0.429,-0.276,0.856,-1.479,-4.104,-2.197,0,92
43075,-0.418,-0.305,0.83,-1.548,-5.846,-3.695,0,91
43129,-0.427,-0.294,0.841,-2.275,-7.151,-3.617,0,93
43184,-0.417,-0.283,0.857,-2.038,-5.811,-1.894,0,92
43241,-0.398,-0.305,0.832,-2.417,-8.608,-3.773,0,91
43293,-0.406,-0.288,0.858,-1.545,-5.506,-2.813,0,60
43350,-0.402,-0.286,0.869,-1.828,-7.458,-3.324,0,59
43402,-0.382,-0.32,0.836,-3.291,-9.387,-3.05,0,58
43457,-0.38,-0.301,0.86,-2.661,-7.375,-2.309,0,59
43510,-0.376,-0.325,0.831,-4.14,-10.508,-3.745,0,58
43606,-0.35,-0.329,0.852,-2.802,-8.23,-3.329,0,58
