Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
40845,-0.43,-0.288,0.832,0.077,-0.741,-0.547,0,93
40898,-0.434,-0.309,0.823,-0.749,-3.582,-0.138,0,93
40952,-0.411,-0.273,0.84,0.244,-2.063,-0.43,0,92
41007,-0.416,-0.267,0.848,0.288,0.904,-0.669,0,92
41060,-0.433,-0.262,0.857,-0.503,-0.521,0.236,0,93
41114,-0.413,-0.267,0.86,-0.581,-1.254,0.239,0,93
41168,-0.425,-0.288,0.846,-0.338,0.369,-0.034,0,94
41223,-0.42,-0.186,0.91,0.408,0.504,0.49,0,94
41279,-0.412,-0.217,0.896,-0.14,0.821,0.817,0,93
41333,-0.427,-0.289,0.842,0.558,1.237,0.024,0,94
41388,-0.432,-0.225,0.877,0.064,0.183,0.659,0,93
41442,-0.413,-0.31,0.817,-0.534,-1.075,0.067,0,94
41495,-0.427,-0.267,0.855,-0.258,-0.47,0.475,0,94
41549,-0.427,-0.257,0.863,-0.168,-0.058,0.346,0,93
41604,-0.42,-0.223,0.885,0.569,-0.127,1.088,0,93
41658,-0.412,-0.27,0.854,0.788,0.547,0.529,0,93
41711,-0.427,-0.272,0.843,0.225,2.753,0.187,0,93
41768,-0.432,-0.328,0.799,-0.061,0.238,-0.495,0,93
41823,-0.434,-0.262,0.848,0.564,2.059,0.127,0,94
41877,-0.427,-0.265,0.845,0.844,2.591,0.061,0,93
41930,-0.448,-0.268,0.84,0.416,2.431,0.181,0,93
41985,-0.444,-0.22,0.867,0.785,1.806,-0.176,0,94
42039,-0.444,-0.281,0.839,0.415,0.148,-0.288,0,93
42093,-0.438,-0.251,0.853,0.683,0.013,-0.014,0,93
42147,-0.438,-0.271,0.843,-0.024,0.466,-0.527,0,94
42202,-0.45,-0.347,0.788,-0.505,-1.201,-0.802,0,93
42259,-0.441,-0.305,0.825,0.171,-0.214,-0.817,0,93
42312,-0.442,-0.208,0.886,0.342,0.485,-0.14,0,94
42366,-0.447,-0.277,0.836,-0.165,-1.914,-0.771,0,93
42421,-0.434,-0.261,0.846,0.108,-0.81,-0.335,0,94
42475,-0.44,-0.261,0.851,0.539,-0.559,-0.553,0,92
42529,-0.433,-0.303,0.816,0.195,0.003,-1.491,0,92
42584,-0.45,-0.215,0.887,0.68,0.106,-0.047,0,92
42638,-0.437,-0.223,0.869,0.532,0.437,-0.526,0,92
42692,-0.449,-0.368,0.782,-0.094,-2.777,-3.525,5,28
42749,-0.439,-0.248,0.856,-0.088,-2.027,-0.944,0,92
42804,-0.43,-0.279,0.841,0.012,-1.97,-1.811,0,93
42858,-0.446,-0.261,0.857,-0.58,-2.323,-1.57,0,92
42912,-0.429,-0.218,0.88,-0.325,-1.303,-0.608,0,92
42967,-0.434,-0.28,0.839,-0.999,-4.481,-2.866,0,92
43021,-0.429,-0.249,0.875,-0.948,-2.438,-1.191,0,92
43075,-0.418,-0.296,0.835,-1.235,-4.807,-3.155,0,91
43129,-0.427,-0.278,0.851,-1.846,-5.82,-2.963,0,93
43184,-0.417,-0.293,0.85,-2.345,-6.809,-2.377,0,92
43241,-0.398,-0.293,0.839,-2.015,-7.257,-3.167,0,91
43293,-0.406,-0.292,0.856,-1.722,-6.089,-3.051,0,60
43350,-0.402,-0.245,0.898,-0.67,-3.917,-1.855,0,59
43402,-0.382,-0.294,0.853,-2.349,-6.625,-1.966,0,58
43457,-0.38,-0.313,0.852,-3.094,-8.609,-2.78,0,59
43510,-0.376,-0.311,0.838,-3.495,-8.806,-3.185,0,58
43606,-0.35,-0.299,0.871,-1.698,-5.371,-2.392,0,58
43661,-0.362,-0.345,0.874,-4.019,-9.257,-2.215,0,58
43714,-0.356,-0.335,0.85,-3.7,-10.562,-2.78,0,59
43769,-0.349,-0.397,0.872,-8.097,-20.711,-4.329,0,58
43822,-0.341,-0.331,0.869,-1.603,-5.249,-1.855,0,60
43875,-0.321,-0.288,0.882,-2.84,-8.047,-1.719,0,59
43927,-0.312,-0.35,0.88,-5.66,-16.164,-3.202,0,59
43979,-0.286,-0.339,0.871,-2.482,-7.016,-0.275,0,60
44033,-0.297,-0.339,0.881,-0.926,-1.387,-0.015,0,60
44085,-0.277,-0.346,0.888,-3.614,-7.919,-1.995,0,61
44137,-0.264,-0.354,0.897,-8.054,-18.466,-4.331,0,60
44190,-0.24,-0.365,0.893,-4.153,-10.91,-3.415,0,60
44246,-0.227,-0.38,0.898,-9.575,-23.3,-4.5,0,60
44299,-0.18,-0.399,0.883,-8.638,-18.09,-4.518,0,61
44351,-0.178,-0.404,0.891,-9.277,-18.715,-9.815,0,60
44404,-0.174,-0.401,0.88,-5.739,-10.068,-7.388,0,61
44456,-0.206,-0.411,0.905,-6.129,-12.646,-7.998,0,61
44510,-0.18,-0.399,0.882,-9.746,-20.527,-11.045,0,61
44563,-0.3,-0.459,1.01,-31.695,-7.138,-7.435,0,62
44609,-0.296,-0.832,1.113,-63.145,-0.873,-54.458,82,63
44656,-0.024,-1.038,0.885,-35.038,106.344,-61.473,112,62
44712,-0.552,-0.706,1.221,14.077,55.557,-19.405,0,64
44770,-0.347,-0.427,0.719,59.931,-62.725,18.015,0,67
44818,0.019,-0.11,0.593,80.221,-148.557,42.557,126,71
44866,0.358,-0.119,0.296,48.275,-38.725,-12.874,104,74
44915,0.075,-0.163,0.687,7.63,42.282,5.104,121,75
44968,-0.197,-0.553,0.922,-5.442,-24.519,-22.733,194,75
45022,0.184,-0.362,0.846,1.413,-40.626,-23.985,193,77
45071,0.223,-0.273,0.892,4.419,-11.399,12.802,108,78
45124,0.154,-0.203,0.95,-19.519,-18.241,-6.799,192,77
45175,0.11,-0.273,0.953,-31.595,-27.252,-15.398,99,78
45221,0.156,-0.399,0.901,-35.511,-37.87,-8.272,72,80
45270,0.218,-0.297,0.882,-26.954,-25.473,-2.636,105,80
45319,0.186,-0.363,0.884,-40.336,3.331,-2.249,107,78
45365,0.133,-0.47,0.803,-38.969,-1.785,-14.12,72,76
45411,0.124,-0.512,0.805,-40.405,-12.511,-7.97,71,77
45458,0.183,-0.487,0.694,-36.679,8.807,-3.704,95,75
45506,0.085,-0.536,0.941,-31.496,52.87,1.438,101,74
45555,-0.053,-0.507,0.935,-33.069,-4.088,-13.473,71,73
45601,0.161,-0.561,0.77,-34.397,-18.242,-7.302,71,73
45647,0.265,-0.578,0.803,-33.061,7.3,-12.838,70,74
45693,0.328,-0.645,0.708,-29.519,39.023,-19.359,71,72
45740,-0.007,-0.727,0.958,-20.84,45.206,-42.771,71,70
45786,0.07,-0.739,0.689,-25.656,-11.732,-56.977,72,69
45832,0.223,-0.747,0.591,-28.099,30.16,-53.069,73,68
45878,0.116,-0.808,0.553,-33.328,58.099,-56.046,74,67
45924,-0.005,-0.683,0.663,-31.473,63.695,-49.832,75,67
45977,0.008,-0.676,0.65,-23.42,42.496,-31.672,148,66
46024,-0.031,-0.514,0.671,-23.489,27.267,-34.555,92,65
46071,0.112,-0.661,0.53,-29.534,10.665,-2.116,78,65
46159,0.128,-0.703,0.626,-45.427,7.678,-28.702,65,65
46204,0.067,-0.663,0.742,-53.328,-12.295,-55.427,65,66
46251,0.143,-0.545,0.483,-46.985,-36.405,-77.061,63,64
46297,0.059,-0.578,0.52,-41.069,-38.42,-77.496,62,89
46346,0.236,-0.531,0.46,-29.565,-63.023,-74.679,84,99
46393,0.496,-0.811,0.312,16.132,-50.947,-66.954,73,99
46436,0.606,-0.813,0.31,38.687,-3.62,-64.763,71,54
46483,0.708,-0.856,0.27,63.214,57.344,-0.589,63,97
46528,0.374,-1.271,0.335,83.802,85.611,77.58,66,55
46573,0.284,-1.551,1.448,-3.844,-3.626,56.489,63,53
46617,1.137,-2.0,0.329,21.755,-147.863,106.511,59,55
46662,0.734,-1.381,0.56,61.565,-113.924,25.0,65,52
46707,0.895,-1.381,0.347,-40.565,11.132,-21.481,65,56
46752,0.354,-1.979,0.794,33.481,74.466,-29.618,72,51
46803,0.082,-1.087,0.808,144.244,-38.847,-89.359,71,96
46855,0.297,-0.6,0.344,171.634,-50.977,-157.405,128,98
46909,0.327,-0.46,0.034,170.489,19.623,-158.954,84,0
46962,0.253,0.167,0.287,111.084,81.45,-104.137,59,0
47003,0.023,0.157,0.665,60.366,53.595,-49.099,90,0
47062,0.107,-0.164,0.523,75.817,-7.903,-27.107,164,0
47106,0.524,-0.049,0.366,107.969,34.924,-7.353,139,0
47159,0.642,0.288,0.096,91.092,151.412,-8.905,137,127
47208,0.041,0.43,0.494,26.626,207.634,8.686,72,112
47260,-0.17,0.5,0.945,-19.198,84.443,-10.493,73,109
47308,-0.008,0.113,0.929,-37.427,-51.42,-26.275,74,108
47363,0.302,0.278,0.776,-45.58,-52.626,-42.565,77,112
47411,0.251,0.11,1.014,-94.656,12.57,-75.328,80,107
47458,0.175,0.038,1.148,-75.008,33.214,-80.229,112,57
47503,-0.054,-0.201,1.287,-77.008,2.688,-75.802,85,54
47551,0.005,-0.123,1.147,-72.733,-4.096,-57.397,137,53
47599,-0.1,-0.252,1.321,-72.847,-59.954,-40.916,89,114
