Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35088,-0.112,-0.984,0.078,-5.287,-19.435,3.387,0,87
35141,-0.115,-1.0,0.102,-2.828,-11.176,8.598,0,88
35195,-0.122,-1.001,0.129,0.491,-4.43,9.599,0,88
35249,-0.138,-1.012,0.151,-0.034,-5.035,2.422,0,77
35302,-0.141,-1.003,0.135,7.181,-5.568,5.657,0,77
35355,-0.121,-0.999,0.12,8.844,-4.054,2.016,0,91
35409,-0.12,-0.994,0.097,5.066,-0.051,-4.231,0,91
35463,-0.132,-0.985,0.104,6.71,8.113,-7.05,0,82
35519,-0.15,-0.98,0.112,1.25,3.419,-17.85,0,89
35572,-0.156,-0.979,0.119,2.762,7.412,-12.591,0,79
35625,-0.151,-0.983,0.12,-0.252,4.363,-15.504,0,77
35679,-0.155,-0.978,0.13,-0.298,8.109,-15.794,0,78
35732,-0.157,-0.984,0.14,-0.982,8.439,-14.549,0,90
35786,-0.158,-0.985,0.145,-0.639,4.113,-15.595,0,91
35841,-0.156,-0.978,0.15,-0.413,5.582,-11.509,0,88
35894,-0.159,-0.981,0.163,-0.213,0.031,-15.647,5,26
35948,-0.175,-0.98,0.158,0.435,4.491,-4.326,0,87
36004,-0.16,-0.974,0.16,0.088,0.313,-3.904,0,87
36058,-0.159,-0.986,0.161,1.275,0.98,-0.578,0,87
36112,-0.145,-0.975,0.143,2.651,3.028,1.117,0,87
36165,-0.141,-0.981,0.147,1.265,1.799,0.59,0,87
36218,-0.148,-0.98,0.152,2.302,4.749,1.177,0,87
36273,-0.146,-0.98,0.137,0.257,1.77,-0.802,0,87
36326,-0.147,-0.979,0.148,-0.295,2.457,-0.568,0,87
36380,-0.146,-0.981,0.145,0.051,3.35,0.931,0,89
36434,-0.141,-0.989,0.151,-2.456,1.177,-4.143,0,89
36491,-0.144,-0.986,0.15,-2.216,1.139,-6.737,0,89
36545,-0.143,-0.993,0.162,-2.102,0.433,-9.408,0,90
36599,-0.152,-0.987,0.167,0.663,5.743,-1.687,0,89
36653,-0.162,-0.98,0.163,1.138,4.701,-3.708,0,89
36707,-0.153,-0.983,0.154,0.786,1.215,-8.826,0,89
36761,-0.155,-0.982,0.141,0.811,1.628,-9.404,0,89
36814,-0.173,-0.979,0.15,1.596,3.787,-4.517,0,88
36869,-0.167,-0.981,0.137,1.405,2.516,-0.773,0,87
36922,-0.155,-0.979,0.138,0.084,-0.839,-2.29,0,88
36979,-0.146,-0.975,0.141,-0.147,0.966,-1.543,0,89
37033,-0.15,-0.993,0.141,-0.526,1.697,-2.1,0,88
37087,-0.144,-0.984,0.148,-0.473,-0.101,-3.023,0,88
37141,-0.144,-0.987,0.153,-0.933,0.11,-5.015,0,89
37195,-0.143,-0.984,0.156,0.249,2.812,-0.05,0,89
37250,-0.149,-0.986,0.149,-0.209,1.858,-2.777,0,88
37303,-0.145,-0.979,0.147,-1.012,0.974,-9.871,0,88
37357,-0.156,-0.99,0.148,-0.46,1.498,-4.354,0,87
37411,-0.164,-0.975,0.152,-1.372,0.271,-5.59,0,88
37468,-0.163,-0.973,0.149,-0.759,0.434,-3.139,0,88
37522,-0.166,-0.985,0.15,-0.712,-0.186,-2.629,0,87
37576,-0.155,-0.984,0.146,-1.017,-0.175,-2.656,0,88
37630,-0.153,-0.983,0.142,0.092,1.548,0.183,0,87
37684,-0.155,-0.977,0.143,-1.818,-0.832,-2.952,0,86
37738,-0.151,-0.984,0.147,-2.705,-3.003,-3.488,0,87
37835,-0.14,-0.987,0.141,0.332,1.037,0.269,0,87
37889,-0.145,-0.988,0.141,-0.05,2.464,-1.06,0,87
37943,-0.157,-0.982,0.149,-0.678,-0.026,-4.868,0,87
38000,-0.147,-0.987,0.133,-1.454,-2.292,-8.755,0,87
38054,-0.155,-0.982,0.136,-0.401,1.412,-3.696,0,87
38108,-0.157,-0.988,0.147,-0.456,0.988,-2.687,0,87
38162,-0.149,-0.982,0.133,-0.06,-0.507,-1.846,0,87
38216,-0.146,-0.987,0.129,0.153,0.968,-2.625,0,86
38270,-0.153,-0.997,0.137,0.35,2.789,-3.036,0,86
38325,-0.157,-0.985,0.147,0.542,0.854,-2.836,0,87
38378,-0.146,-0.979,0.135,0.157,-0.347,-3.532,0,87
38432,-0.141,-0.993,0.138,0.522,1.554,-4.302,0,88
38487,-0.14,-0.985,0.145,0.75,3.154,-3.776,0,88
38544,-0.142,-0.988,0.133,0.726,3.428,-2.48,0,88
38598,-0.15,-0.984,0.136,0.526,2.785,-3.387,0,87
38652,-0.156,-0.986,0.134,0.121,3.237,-5.977,0,88
38706,-0.158,-0.977,0.142,-0.311,2.857,-4.917,0,87
38760,-0.154,-0.985,0.138,-0.392,2.555,-2.876,0,86
38814,-0.15,-0.985,0.129,-0.243,2.306,-4.231,0,87
38868,-0.158,-0.988,0.135,0.429,5.623,0.103,0,86
38923,-0.157,-0.983,0.141,-0.004,3.115,-2.136,0,87
38977,-0.154,-0.98,0.143,-1.024,0.45,-4.326,0,86
39034,-0.153,-0.986,0.143,-0.886,1.398,-2.329,0,87
39089,-0.145,-0.988,0.138,-0.228,2.906,-1.757,0,87
39143,-0.149,-0.99,0.128,0.257,4.562,-0.084,0,88
39197,-0.148,-0.988,0.14,0.158,2.707,-4.002,0,87
39251,-0.156,-0.986,0.138,-0.205,0.847,-7.348,0,87
39305,-0.158,-0.987,0.139,0.08,2.43,-4.146,0,87
39359,-0.165,-0.987,0.138,-0.033,2.871,-1.81,0,86
39413,-0.153,-0.984,0.133,-0.174,-0.017,-6.352,0,87
39468,-0.154,-0.989,0.136,-0.123,0.435,-6.433,0,87
39525,-0.159,-0.979,0.136,1.189,3.499,-2.649,0,86
39579,-0.159,-0.984,0.141,0.328,1.801,-5.76,0,87
39633,-0.158,-0.982,0.14,-0.087,-0.761,-6.623,0,88
39688,-0.156,-0.99,0.146,0.619,1.224,-3.62,0,87
39742,-0.16,-0.979,0.138,0.989,3.119,-2.681,0,88
39796,-0.16,-0.988,0.146,-0.161,-0.026,-9.429,5,26
39851,-0.159,-0.973,0.139,0.322,0.085,-6.657,0,87
39905,-0.158,-0.986,0.146,0.363,1.368,-3.623,0,86
39959,-0.166,-0.98,0.146,-0.091,0.536,-6.779,0,86
40016,-0.164,-0.985,0.152,0.098,0.284,-5.309,0,86
40071,-0.151,-0.982,0.143,0.261,0.908,-2.937,0,87
40125,-0.155,-0.983,0.15,0.174,0.207,-7.774,0,86
40179,-0.153,-0.983,0.142,0.285,2.16,-3.272,0,86
40233,-0.162,-0.976,0.153,0.309,0.682,-3.257,0,86
40289,-0.153,-0.979,0.161,0.208,-0.158,-3.909,0,86
40343,-0.151,-0.975,0.155,0.145,0.756,-8.547,0,86
40397,-0.164,-0.978,0.149,0.121,1.779,-4.643,0,87
40452,-0.155,-0.978,0.137,-0.738,-0.063,-6.74,0,87
40506,-0.156,-0.975,0.14,-0.741,2.18,-2.992,0,87
40606,-0.162,-0.981,0.144,-1.358,0.994,-2.023,0,87
40662,-0.162,-0.984,0.147,-1.422,1.634,-2.434,0,87
40716,-0.151,-0.986,0.152,-0.04,3.065,-0.236,0,87
40770,-0.155,-0.99,0.143,-2.669,1.125,-7.317,0,87
40824,-0.164,-0.988,0.158,-2.136,1.671,-7.121,0,86
40879,-0.152,-0.979,0.155,-1.162,1.225,-4.07,0,87
40933,-0.152,-0.984,0.144,-1.517,0.509,-6.192,0,86
40988,-0.157,-0.977,0.14,0.065,3.237,-0.84,0,86
41035,-0.161,-0.98,0.132,-1.491,0.997,-4.553,91,75
41093,-0.166,-0.977,0.146,-1.37,0.708,-3.637,0,76
41147,-0.155,-0.98,0.129,-1.413,2.802,-2.938,0,89
41202,-0.163,-0.98,0.137,-2.823,0.738,-6.256,0,89
41256,-0.157,-0.978,0.14,-1.79,1.189,-4.76,0,90
41311,-0.159,-0.98,0.125,-1.008,4.89,-2.618,0,87
41359,-0.159,-0.974,0.128,-1.646,1.971,-5.663,92,80
41407,-0.158,-0.972,0.135,-1.22,4.04,-4.654,92,78
41455,-0.167,-0.958,0.133,-0.688,5.844,-3.93,100,80
41510,-0.151,-0.945,0.128,1.029,9.126,-2.182,0,103
41569,-0.133,-0.882,0.089,2.346,11.253,-0.231,0,101
41618,-0.141,-0.838,0.096,3.244,17.45,7.212,99,90
41673,-0.047,-0.782,0.064,8.612,28.374,14.938,0,90
41729,-0.051,-0.74,0.075,14.024,53.084,16.542,163,149
41777,-0.015,-0.789,0.024,21.511,78.969,24.114,58,103
41827,-0.111,-0.84,0.042,22.023,99.733,11.691,71,146
41876,-0.015,-0.844,-0.024,27.565,127.137,9.96,44,146
41931,-0.155,-0.889,0.027,38.489,164.664,-2.524,57,143
41980,-0.302,-0.887,0.135,45.504,138.763,-0.817,57,141
42032,-0.434,-1.087,0.185,55.565,93.664,-8.747,67,138
42079,-0.492,-1.196,0.073,51.397,46.84,-41.733,38,137
42126,-0.445,-1.323,0.094,49.756,62.924,-48.321,40,134
42175,-0.474,-1.324,0.142,61.748,100.817,-41.527,70,134
42224,-0.503,-0.998,0.27,74.519,102.244,8.884,72,135
42273,-0.556,-0.952,0.228,72.557,59.672,13.55,30,183
42319,-0.406,-0.648,0.152,50.763,19.74,10.724,27,132
42369,-0.494,-0.867,0.13,30.634,13.78,4.559,28,185
42419,-0.467,-0.799,0.094,29.679,-34.031,-20.024,27,137
42465,-0.467,-0.841,0.138,17.015,-61.786,-17.374,25,136
42514,-0.189,-1.011,-0.175,29.794,14.026,-6.951,70,137
42563,-0.413,-0.551,0.265,-22.069,74.977,-28.115,69,138
