Timestamp(ms),AccelX(g),AccelY(g),AccelZ(g),GyroX(deg/s),GyroY(deg/s),GyroZ(deg/s),DistanceLeft(cm),DistanceRight(cm)
35088,-0.112,-0.984,0.078,-6.912,-19.435,-1.986,0,87
35141,-0.115,-1.0,0.102,-2.386,-9.924,10.226,0,88
35195,-0.122,-1.001,0.129,1.057,-3.222,11.085,0,88
35249,-0.138,-1.012,0.151,5.662,1.202,12.182,0,79
35302,-0.141,-1.003,0.135,-5.314,-13.865,-7.174,0,67
35355,-0.121,-0.999,0.12,18.87,3.246,9.066,0,91
35409,-0.12,-0.994,0.097,-4.818,-9.172,-11.163,0,91
35463,-0.132,-0.985,0.104,6.001,7.371,-7.77,0,82
35519,-0.15,-0.98,0.112,3.786,7.073,-13.037,0,89
35572,-0.156,-0.979,0.119,4.38,11.077,-7.323,0,80
35625,-0.151,-0.983,0.12,4.302,20.489,-15.504,0,82
35679,-0.155,-0.978,0.13,-1.768,0.335,-15.794,0,76
35732,-0.157,-0.984,0.14,0.135,17.278,-0.147,0,90
35786,-0.158,-0.985,0.145,2.605,30.245,21.945,0,91
35841,-0.156,-0.978,0.15,-1.601,-1.583,-21.074,0,88
35894,-0.159,-0.981,0.163,0.367,6.074,-7.701,0,87
35948,-0.175,-0.98,0.158,3.404,16.331,9.854,0,87
36004,-0.16,-0.974,0.16,0.149,0.653,-3.519,0,87
36058,-0.159,-0.986,0.161,2.067,2.182,0.623,0,87
36112,-0.145,-0.975,0.143,0.453,0.098,-0.89,0,87
36165,-0.141,-0.981,0.147,2.7,3.842,1.488,0,87
36218,-0.148,-0.98,0.152,-0.833,-0.672,-0.873,0,87
36273,-0.146,-0.98,0.137,2.625,5.849,1.231,0,87
36326,-0.147,-0.979,0.148,0.584,3.737,0.408,0,87
36380,-0.146,-0.981,0.145,-2.895,-0.457,-3.974,0,89
36434,-0.141,-0.989,0.151,-1.472,2.268,-2.086,0,89
36491,-0.144,-0.986,0.15,-1.421,2.206,-4.535,0,89
36545,-0.143,-0.993,0.162,2.254,7.605,5.75,0,90
36599,-0.152,-0.987,0.167,2.538,9.066,5.339,0,89
36653,-0.162,-0.98,0.163,2.645,7.793,2.429,0,89
36707,-0.153,-0.983,0.154,2.23,4.833,-2.42,0,89
36761,-0.155,-0.982,0.141,-0.528,-0.711,-13.635,0,89
36814,-0.173,-0.979,0.15,1.949,4.389,-3.365,0,88
36869,-0.167,-0.981,0.137,1.68,2.769,-0.552,0,87
36922,-0.155,-0.979,0.138,0.871,0.694,-0.189,0,88
36979,-0.146,-0.975,0.141,-0.992,-0.39,-3.944,0,89
37033,-0.15,-0.993,0.141,-1.321,0.521,-4.284,0,88
37087,-0.144,-0.984,0.148,-0.216,0.335,-2.144,0,88
37141,-0.144,-0.987,0.153,-1.766,-1.054,-7.676,0,89
37195,-0.143,-0.984,0.156,1.841,4.915,5.788,0,89
37250,-0.149,-0.986,0.149,1.066,3.629,2.44,0,88
37303,-0.145,-0.979,0.147,2.138,4.886,5.461,0,88
37357,-0.156,-0.99,0.148,-5.302,-2.677,-25.113,0,87
37411,-0.164,-0.975,0.152,-4.743,-2.136,-18.291,0,88
37468,-0.163,-0.973,0.149,-0.571,0.637,-3.015,0,88
37522,-0.166,-0.985,0.15,0.415,0.445,-0.067,0,87
37576,-0.155,-0.984,0.146,-1.543,-0.41,-3.882,0,88
37630,-0.153,-0.983,0.142,3.216,3.853,5.298,0,87
37684,-0.155,-0.977,0.143,-1.825,-0.845,-2.945,0,86
37738,-0.151,-0.984,0.147,-2.974,-3.264,-3.821,0,87
37835,-0.14,-0.987,0.141,-1.659,-0.704,-4.179,0,87
37889,-0.145,-0.988,0.141,5.733,8.66,13.587,0,87
37943,-0.157,-0.982,0.149,0.779,1.603,0.254,0,87
38000,-0.147,-0.987,0.133,1.051,0.763,1.688,0,87
38054,-0.155,-0.982,0.136,-1.924,-0.429,-10.315,0,87
38108,-0.157,-0.988,0.147,-0.401,0.995,-2.967,0,87
38162,-0.149,-0.982,0.133,3.563,5.995,12.143,0,87
38216,-0.146,-0.987,0.129,0.796,2.081,-0.223,0,86
38270,-0.153,-0.997,0.137,1.579,5.251,2.331,0,86
